Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Netherlands ,1970,13037686,2986,1972312304.0,3095773943.0,16465356939.0,27328869590.0,6972495905.0,11342305351.0,10984588727.0,20356373685.0,16527094392.0,8662969890.0,9861153801.0,12067999898.0,34951672393.0,2953278174.0,5001154273.0,38928892337.0,38165079668.0
 Netherlands ,1971,13186712,3428,2140768957.0,3604175301.0,19350414137.0,31735938617.0,8497164817.0,12634828561.0,12893236060.0,23238773800.0,18708479779.0,9774011993.0,11237265888.0,14449571607.0,40517578040.0,3373324799.0,5712471488.0,45204382269.0,44579637546.0
 Netherlands ,1972,13324176,4173,2596979779.0,4299453287.0,23722653171.0,38798049760.0,10751003014.0,14076288010.0,14684669487.0,28047046747.0,21515112910.0,11825146143.0,13737994403.0,18418716154.0,49869135020.0,4015702114.0,6800289282.0,55602607110.0,54706271700.0
 Netherlands ,1973,13447570,5480,3359442028.0,5478644858.0,32627001038.0,50920960026.0,14051731429.0,18496808741.0,18373053116.0,36869228597.0,29272829441.0,15114652582.0,17632270412.0,24758249053.0,65436991712.0,5275211558.0,8933173803.0,73699228838.0,72268379711.0
 Netherlands ,1974,13560532,6413,3525050974.0,5966573094.0,43953378424.0,60534406792.0,17293884317.0,21463143105.0,20148385185.0,43240522475.0,39829537135.0,20552937973.0,23911910922.0,30237788994.0,80206118464.0,6150086636.0,10414707845.0,86957300410.0,85467497092.0
 Netherlands ,1975,13663969,7400,4337265235.0,6752826991.0,47607631821.0,73648141582.0,21668129779.0,22994776671.0,23179976999.0,51980011803.0,43065082816.0,19208612941.0,24339804920.0,37305053930.0,91652813309.0,7023720017.0,11894142217.0,101000000000.0,101000000000.0
 Netherlands ,1976,13760112,8059,4716769775.0,7131629783.0,53009632156.0,80761872048.0,23631126367.0,24940420537.0,24137883052.0,57130745681.0,48275884502.0,20406888446.0,26612383213.0,40844089768.0,99402980628.0,7461915460.0,12636192630.0,111000000000.0,110000000000.0
 Netherlands ,1977,13855566,9338,4647888239.0,8129379461.0,58357884629.0,96060138545.0,28408255351.0,30208445000.0,29688715663.0,67651883195.0,55544735795.0,22309018861.0,29816901420.0,48861132162.0,115000000000.0,8821169053.0,14937979862.0,129000000000.0,128000000000.0
 Netherlands ,1978,13949408,11298,5505208611.0,9913187278.0,68368575559.0,119000000000.0,35357453063.0,36821665444.0,36508618028.0,83660395926.0,66349174654.0,26580671637.0,35209273208.0,61822648020.0,142000000000.0,10921235231.0,18494301399.0,158000000000.0,157000000000.0
 Netherlands ,1979,14040287,12967,6284764066.0,10797422172.0,85993956799.0,138000000000.0,41730636638.0,40866636396.0,40803099933.0,96145429679.0,83885157291.0,30669495629.0,41298314373.0,72200913494.0,164000000000.0,12398366905.0,20995698639.0,182000000000.0,180000000000.0
 Netherlands ,1980,14130387,13934,6723288844.0,12051298859.0,98400354274.0,147000000000.0,44985317570.0,46083603751.0,45421466822.0,102000000000.0,96425217907.0,31868706664.0,45259463940.0,78019962294.0,178000000000.0,13376602456.0,22652230796.0,197000000000.0,195000000000.0
 Netherlands ,1981,14217318,11557,6347181090.0,9080009727.0,90101104410.0,122000000000.0,37887015315.0,33973818500.0,35069350826.0,84155491476.0,82037810030.0,26008817875.0,39577672019.0,65146834087.0,150000000000.0,11082319722.0,18767143739.0,164000000000.0,164000000000.0
 Netherlands ,1982,14296533,11095,6298574025.0,8088799440.0,87012554922.0,119000000000.0,37327945793.0,31196455035.0,32985207633.0,81365981519.0,78614183948.0,24829208494.0,37510310972.0,64540024827.0,145000000000.0,10720603705.0,18154492730.0,159000000000.0,158000000000.0
 Netherlands ,1983,14369647,10744,5833850615.0,7338914931.0,83766051599.0,115000000000.0,35953333720.0,31523531832.0,31735227426.0,79208021361.0,77068745422.0,23680294924.0,36050320957.0,63532618953.0,141000000000.0,10503136600.0,17786156330.0,154000000000.0,153000000000.0
 Netherlands ,1984,14441927,10059,5437293019.0,6603009687.0,84040573051.0,105000000000.0,31742384989.0,30414298547.0,30438086597.0,72819275560.0,75041139001.0,23805246466.0,35783623287.0,57735362077.0,132000000000.0,9878087991.0,16728131658.0,145000000000.0,144000000000.0
 Netherlands ,1985,14515704,9874,5465314441.0,6420933437.0,86171163039.0,105000000000.0,32161416109.0,30881308445.0,31583767613.0,73327625847.0,78509611046.0,23154473842.0,36080080085.0,57404068204.0,132000000000.0,9976187724.0,16893576481.0,143000000000.0,144000000000.0
