Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 New Caledonia ,1970,110982,3409,16269743.0,14734862.0,194553646.0,223181660.0,28241818.0,184591771.0,180135664.0,194939842.0,241986433.0,122335000.0,128217062.0,77130267.0,378313611.0,11665099.0,130296579.0,378313611.0,378313611.0
 New Caledonia ,1971,115793,3772,22345936.0,32088764.0,203735344.0,276583094.0,37084322.0,175678780.0,175678780.0,239498773.0,242011449.0,121671137.0,129606427.0,100387875.0,436828282.0,12354820.0,140044462.0,436828282.0,436828282.0
 New Caledonia ,1972,120866,4215,23590781.0,68742794.0,193320014.0,343146571.0,83822563.0,193854680.0,193854680.0,259324008.0,223184939.0,179767863.0,193079960.0,108340826.0,511577329.0,18091358.0,99731610.0,509395018.0,509395018.0
 New Caledonia ,1973,126118,4317,19568114.0,69956625.0,189228353.0,415853272.0,111005248.0,170597929.0,161948970.0,304848024.0,233386159.0,173127225.0,190240071.0,135804687.0,548166296.0,22220790.0,110376009.0,544464888.0,544464888.0
 New Caledonia ,1974,131481,4896,19662156.0,86074773.0,289402719.0,455051529.0,118315683.0,184202757.0,183254495.0,336735847.0,291253543.0,218557262.0,235237534.0,150476618.0,643721400.0,27488174.0,124782144.0,643721400.0,643721400.0
 New Caledonia ,1975,136601,5978,24393189.0,110199216.0,341966594.0,587309982.0,160576734.0,238067776.0,238067776.0,426733248.0,358853200.0,261395929.0,282670999.0,200496362.0,816652157.0,33503744.0,165388647.0,816652157.0,816652157.0
 New Caledonia ,1976,140673,5675,27252638.0,92253863.0,322382136.0,556722599.0,171353264.0,191493516.0,191493516.0,385369335.0,293759961.0,252317077.0,271340983.0,231831563.0,798313553.0,29807573.0,145826933.0,798313553.0,798313553.0
 New Caledonia ,1977,143370,5842,27435245.0,89570311.0,333129470.0,620253695.0,192404908.0,186405197.0,186405197.0,427848787.0,312645383.0,256241384.0,274330065.0,251618473.0,837620087.0,31901448.0,162764545.0,837620087.0,837620087.0
 New Caledonia ,1978,145262,5824,26762119.0,94569238.0,244356673.0,716532591.0,235362846.0,185787117.0,203360421.0,481169744.0,313918685.0,138868101.0,158220672.0,350174288.0,846004702.0,29345712.0,186932672.0,846004702.0,846004702.0
 New Caledonia ,1979,146947,7127,30250946.0,106524699.0,390211348.0,854408235.0,282484368.0,171745221.0,248018974.0,571923867.0,383217432.0,229777912.0,253177148.0,402324654.0,1047225696.0,35796953.0,219151297.0,1047225696.0,1047225696.0
 New Caledonia ,1980,148599,7957,35390485.0,107759407.0,415314308.0,975015027.0,329747169.0,257352215.0,265409115.0,645267858.0,482242544.0,256454112.0,286638200.0,456627070.0,1182476941.0,44189297.0,251872482.0,1182463925.0,1182463925.0
 New Caledonia ,1981,150228,6488,14461958.0,54973658.0,342006589.0,876623387.0,298276623.0,165588915.0,174737698.0,578346764.0,411199317.0,201708390.0,225309010.0,390695519.0,974628708.0,43395995.0,245792568.0,974628708.0,974628708.0
 New Caledonia ,1982,151967,5953,15231068.0,56756649.0,253530328.0,849977266.0,298185810.0,164336526.0,174772318.0,551791456.0,365872005.0,154494913.0,171993903.0,383145040.0,904599891.0,39843469.0,237629762.0,904599891.0,904599891.0
 New Caledonia ,1983,154101,5346,15551841.0,38175982.0,223455784.0,782131327.0,287027092.0,138162414.0,144058402.0,495104234.0,323038085.0,118951740.0,135679893.0,378981414.0,823857891.0,35484178.0,219984584.0,823857891.0,823857891.0
 New Caledonia ,1984,156755,5078,14173098.0,33362164.0,270314719.0,745944264.0,289736647.0,115832982.0,134291995.0,456207617.0,334886650.0,142196707.0,157873966.0,367229258.0,796066180.0,26602880.0,196824813.0,796066180.0,796066180.0
 New Caledonia ,1985,159702,5353,15798730.0,29069418.0,285736035.0,791638174.0,323387328.0,119846312.0,131862161.0,468250846.0,339626782.0,172837247.0,192663704.0,384574505.0,854820851.0,29020449.0,203694046.0,854820851.0,854820851.0
 New Caledonia ,1986,162797,7379,22480955.0,53188780.0,220870818.0,1193777626.0,488577620.0,250713075.0,244018816.0,705200006.0,466446069.0,156374061.0,186462489.0,562270048.0,1201321571.0,55340790.0,321578508.0,1201321571.0,1201321571.0
 New Caledonia ,1987,166055,8961,28878489.0,63887709.0,261214899.0,1424827672.0,575263890.0,371394203.0,364128829.0,849563782.0,572116171.0,183409515.0,223332471.0,708355658.0,1488093158.0,68645888.0,394992943.0,1488093158.0,1488093158.0
 New Caledonia ,1988,169474,12231,33007743.0,98903199.0,657468066.0,1579515116.0,643110852.0,430162440.0,420874107.0,936404264.0,596863081.0,581841096.0,634681182.0,792832125.0,2072775434.0,81305225.0,432045959.0,2072775434.0,2072775434.0
 New Caledonia ,1989,173156,12619,38887106.0,99834090.0,693752531.0,1736006292.0,603788921.0,504739297.0,464360843.0,1132217371.0,753346094.0,613624919.0,662891116.0,805534643.0,2185082976.0,98644460.0,479291561.0,2185082976.0,2185082976.0
 New Caledonia ,1990,177264,14269,50825767.0,142932318.0,555285642.0,2273776326.0,824656145.0,589011245.0,616878552.0,1449120180.0,894571876.0,423312377.0,487521320.0,1125732149.0,2529430336.0,140972819.0,581445963.0,2529440437.0,2529440437.0
 New Caledonia ,1991,181720,14604,49764175.0,151008195.0,534002253.0,2296823821.0,869659420.0,668604355.0,634261712.0,1427164401.0,853682244.0,476907489.0,534645629.0,1186765906.0,2653790387.0,141396544.0,590209938.0,2653780639.0,2653780639.0
 New Caledonia ,1992,186262,15698,53350039.0,160112455.0,490861919.0,2641881476.0,984612117.0,698527077.0,694205048.0,1657269359.0,918462224.0,428971718.0,495869654.0,1357137726.0,2923893835.0,164933179.0,692490782.0,2923883445.0,2923883445.0
 New Caledonia ,1993,190782,14793,55056092.0,178696788.0,500551715.0,2745952775.0,795940761.0,618235983.0,601760306.0,1950012014.0,1042409226.0,392763886.0,443439965.0,1334845585.0,2822340958.0,167469968.0,642832560.0,2822331246.0,2822331246.0
