Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Nicaragua ,1970,2444767,417,167229259.0,50421126.0,183049554.0,853665086.0,81333789.0,173829136.0,140732690.0,772331297.0,181884870.0,188436219.0,210710807.0,413317352.0,1138624519.0,120156600.0,176789376.0,1018540712.0,1140274489.0
 Nicaragua ,1971,2525481,428,177032018.0,54788692.0,191687630.0,915635998.0,87788081.0,176304091.0,141751789.0,827799388.0,189261204.0,204887385.0,227598730.0,439474221.0,1212339332.0,126902064.0,186592136.0,1080739708.0,1213649602.0
 Nicaragua ,1972,2603182,441,189358261.0,59690072.0,274089046.0,940870826.0,90311564.0,136268067.0,146895811.0,850510733.0,209497594.0,222115008.0,251232116.0,428215606.0,1273339674.0,140926804.0,203916815.0,1146714223.0,1293333421.0
 Nicaragua ,1973,2682747,528,233667565.0,90943513.0,299958301.0,1231619759.0,97155237.0,315730255.0,233036687.0,1134464522.0,331696326.0,274043768.0,297046556.0,528045021.0,1592239422.0,179072340.0,263415897.0,1415578978.0,1605730509.0
 Nicaragua ,1974,2769211,712,317910294.0,183049554.0,389926608.0,1641622565.0,128115276.0,576761387.0,394488289.0,1513507288.0,519934497.0,366147637.0,395167688.0,743505360.0,2247209889.0,247155721.0,360469801.0,1971645576.0,2233136620.0
 Nicaragua ,1975,2857461,726,307767835.0,175721748.0,393275076.0,1827341187.0,157086799.0,410114470.0,396429429.0,1670254388.0,471405983.0,417345219.0,458594455.0,789122163.0,2347081570.0,248465991.0,367457907.0,2075384980.0,2335240613.0
 Nicaragua ,1976,2947454,818,360518329.0,200374233.0,537647404.0,1974528170.0,188387691.0,385364928.0,412589424.0,1786140479.0,472085382.0,456265087.0,510131737.0,916169812.0,2721915811.0,289084357.0,445637342.0,2409717323.0,2713229207.0
 Nicaragua ,1977,3038680,966,443502088.0,206100598.0,633830919.0,2341306677.0,217747441.0,691046037.0,565842471.0,2123559235.0,672605201.0,511733178.0,579964268.0,1086844595.0,3288631795.0,384734057.0,587680302.0,2936348755.0,3288777380.0
 Nicaragua ,1978,3128544,898,457332714.0,124912395.0,649942385.0,2360135740.0,274865502.0,318249994.0,336690829.0,2085270238.0,537113591.0,534250408.0,601947685.0,969696763.0,3022792596.0,326257198.0,542694370.0,2810514318.0,3143871238.0
 Nicaragua ,1979,3214311,611,375108932.0,39020797.0,567881713.0,1816798278.0,298645385.0,-105872604.0,112866221.0,1518152893.0,345879199.0,446802474.0,503970812.0,677484247.0,2090194912.0,221572137.0,273002122.0,1962545260.0,2249972165.0
 Nicaragua ,1980,3303309,762,369521984.0,109494676.0,393242825.0,2575079083.0,396820492.0,358458272.0,281944282.0,2178258591.0,639019590.0,559198512.0,629429035.0,799443421.0,2585210798.0,303350161.0,374031650.0,2515773977.0,2844847269.0
 Nicaragua ,1981,3397659,782,357799827.0,129366255.0,402822689.0,2513081360.0,489690994.0,580871509.0,483563119.0,2023361996.0,685414195.0,645809964.0,731401630.0,951834920.0,2930741451.0,340522624.0,419816195.0,2656646697.0,3002204959.0
 Nicaragua ,1982,3491906,863,424990302.0,135702213.0,322042851.0,2661625695.0,584957332.0,516654341.0,418773471.0,2076668364.0,477764907.0,710444222.0,800355497.0,1034541093.0,3257181767.0,385881774.0,475738275.0,3012561752.0,3355966405.0
 Nicaragua ,1983,3584610,925,494461925.0,182411945.0,423084447.0,2725410026.0,848924979.0,669371196.0,530648290.0,1876510566.0,595161076.0,709870322.0,804419323.0,1109349419.0,3491703517.0,404761591.0,496324834.0,3317508787.0,3631192002.0
 Nicaragua ,1984,3674501,939,546946299.0,201147215.0,368562144.0,2867838826.0,980729310.0,680341287.0,545220371.0,1887109516.0,600699339.0,764259698.0,851821733.0,1017664150.0,3505223705.0,408105052.0,479558434.0,3451854204.0,3732528304.0
 Nicaragua ,1985,3763034,862,501189539.0,248550496.0,318964363.0,2536355813.0,955580716.0,682405197.0,561284692.0,1580782308.0,428994594.0,802444075.0,880869188.0,957657439.0,3354295987.0,312885624.0,453136491.0,3244878678.0,3596890328.0
 Nicaragua ,1986,3852017,855,445394197.0,174284686.0,271109511.0,2807919937.0,968248254.0,503489092.0,387299302.0,1859036648.0,406664267.0,813328534.0,890788394.0,910153359.0,3369503925.0,309839441.0,639043848.0,3292044064.0,3640613436.0
 Nicaragua ,1987,3941463,851,629569878.0,155802647.0,260730959.0,2699519324.0,944354817.0,480126523.0,368838918.0,1755164508.0,279808835.0,559617669.0,604132711.0,922097296.0,3344987431.0,273449543.0,759935357.0,3354526369.0,3704287412.0
 Nicaragua ,1988,4033291,754,569601130.0,156495696.0,362556364.0,3294210404.0,804032643.0,736465866.0,709967209.0,2490177761.0,1069067226.0,478752018.0,523708527.0,837491999.0,3066643579.0,263186397.0,716159830.0,3039496856.0,3357504752.0
 Nicaragua ,1989,4129447,750,646075996.0,138410470.0,670969555.0,3123147868.0,681691416.0,783927160.0,726466065.0,2441456972.0,1223411288.0,488219105.0,541874110.0,876054358.0,3106820997.0,265694529.0,638711013.0,3096111080.0,3428491368.0
 Nicaragua ,1990,4227820,757,627700015.0,144374667.0,549481671.0,3034948152.0,885846134.0,598425886.0,574925884.0,2149102018.0,894996985.0,485824850.0,538707289.0,1006256608.0,3198781987.0,276147599.0,605595817.0,3200737332.0,3554967505.0
 Nicaragua ,1991,4327289,761,627071583.0,122359521.0,478849925.0,3535811314.0,558309712.0,622429034.0,517453418.0,2977501602.0,1048348204.0,528414980.0,582793595.0,1017851814.0,3297796353.0,284370097.0,663349743.0,3293122934.0,3653862335.0
 Nicaragua ,1992,4427172,804,677724149.0,129040119.0,401419656.0,3938201067.0,566713411.0,664744464.0,601407056.0,3371487655.0,1127754750.0,534373408.0,595722016.0,1122668511.0,3487559281.0,304464792.0,657939693.0,3561106684.0,3874553066.0
 Nicaragua ,1993,4526689,824,724085218.0,143094593.0,507251822.0,3947571362.0,540760352.0,659455828.0,617821621.0,3406811010.0,1080797631.0,584924164.0,652231367.0,1152666140.0,3727003390.0,316751594.0,738174479.0,3731119219.0,4133618242.0
 Nicaragua ,1994,4625260,742,735047507.0,163373776.0,584736203.0,3593034106.0,470490913.0,720238769.0,654225648.0,3122543193.0,1125410547.0,531029789.0,591067340.0,1032411108.0,3439841397.0,262292336.0,655649331.0,3432595198.0,3848588180.0
 Nicaragua ,1995,4721929,773,832024811.0,194794443.0,766373937.0,3747728757.0,505028552.0,832206714.0,696688462.0,3242700205.0,1297131437.0,561483246.0,621473618.0,1101882062.0,3712404409.0,263515169.0,698714305.0,3652206064.0,4118083965.0
 Nicaragua ,1996,4812391,808,922946763.0,201902784.0,836488042.0,3912335692.0,514593403.0,1016561346.0,782118318.0,3397742289.0,1531088968.0,576737728.0,650624209.0,1131026989.0,3867967559.0,239703610.0,721763204.0,3889476068.0,4293734931.0
 Nicaragua ,1997,4895962,827,876834064.0,180184749.0,982524623.0,4048469960.0,493686897.0,1227803884.0,887228277.0,3554783063.0,1902970461.0,587841910.0,663382194.0,1165115580.0,3919671482.0,262676766.0,771478128.0,4048770215.0,4375338783.0
 Nicaragua ,1998,4974552,884,890315719.0,204088993.0,1032895575.0,4253069230.0,537190879.0,1273685864.0,976198188.0,3715878351.0,1962119271.0,580324700.0,677845096.0,1285422955.0,4125508421.0,283399292.0,784436366.0,4397359551.0,4619894994.0
 Nicaragua ,1999,5049878,912,826229580.0,306091622.0,1037063870.0,4456313937.0,649751968.0,1705216380.0,1347735890.0,3806561969.0,2400750130.0,571179823.0,663550796.0,1430368872.0,4360306053.0,316846403.0,817218781.0,4603234385.0,4839838057.0
 Nicaragua ,2000,5123222,947,908507717.0,281800069.0,1184133800.0,4780308417.0,720980275.0,1449137870.0,1224895368.0,4059328141.0,2364403919.0,627160646.0,737716145.0,1635153867.0,4613968962.0,269139356.0,781651808.0,4850441054.0,5092553708.0
 Nicaragua ,2001,5192764,971,900564794.0,311749330.0,1174489196.0,5072643980.0,780032468.0,1384123792.0,1194988689.0,4292611512.0,2341060648.0,718711475.0,826995156.0,1738046133.0,4879885107.0,320935448.0,781594247.0,5041062814.0,5333911402.0
 Nicaragua ,2002,5259006,945,858986344.0,241015543.0,1134666820.0,5109281435.0,750851565.0,1246819988.0,1083579972.0,4358429870.0,2303010772.0,762059784.0,867553941.0,1727605930.0,4770944466.0,306388202.0,769394506.0,4970615726.0,5206313233.0
 Nicaragua ,2003,5323062,952,832345916.0,236819206.0,1270021908.0,5241263535.0,798131534.0,1260040214.0,1104115294.0,4443132001.0,2479526762.0,730860767.0,847233779.0,1837445004.0,4862030932.0,357547546.0,750639482.0,5067848625.0,5304485890.0
 Nicaragua ,2004,5386223,1030,925841451.0,281837570.0,1539563393.0,5609011589.0,858572997.0,1486151156.0,1283932380.0,4750438591.0,2872279656.0,800164932.0,944486160.0,1968536287.0,5307469126.0,370160016.0,816607641.0,5546756383.0,5773621221.0
 Nicaragua ,2005,5454678,1124,1020987197.0,320892996.0,1776324289.0,6127278377.0,970787433.0,1741041258.0,1500825588.0,5156490944.0,3356412914.0,843645893.0,990565196.0,2110194015.0,5735207429.0,374173709.0,918394316.0,6130096249.0,6300251491.0
 Nicaragua ,2006,5529811,1176,1075401057.0,329633955.0,2114772292.0,6528553282.0,1025744124.0,1910914297.0,1647139672.0,5502809158.0,3790567656.0,919392527.0,1082357312.0,2237083844.0,6123492326.0,405699219.0,993316939.0,6504204331.0,6763672215.0
 Nicaragua ,2007,5607453,1287,1221986864.0,336259241.0,2454433001.0,7096340330.0,1040630129.0,2323817373.0,1900632257.0,6055710201.0,4451215755.0,1038528036.0,1202388027.0,2383460393.0,6719353489.0,443345071.0,1131913893.0,7214806856.0,7423374949.0
 Nicaragua ,2008,5687744,1454,1381843958.0,454782426.0,2928943927.0,8008482731.0,1175809337.0,2855150185.0,2289751158.0,6832673394.0,5295609422.0,1190020771.0,1411511313.0,2614434775.0,7742723775.0,447347188.0,1432804114.0,8272549189.0,8496967421.0
 Nicaragua ,2009,5770639,1393,1333406560.0,342912475.0,2820023123.0,7952660437.0,1203128637.0,1925336820.0,1685895713.0,6749531800.0,4399317836.0,1129831187.0,1406093788.0,2682849414.0,7580352107.0,474680272.0,1340409599.0,8039810830.0,8298702543.0
 Nicaragua ,2010,5855734,1453,1487441628.0,307068195.0,3544353705.0,8284758467.0,1234716691.0,2175625277.0,1854523180.0,7050041776.0,5246135088.0,1249443001.0,1617084061.0,2713606286.0,7942735783.0,494406590.0,1323129023.0,8506810206.0,8758602360.0
 Nicaragua ,2011,5942553,1598,1845861444.0,375375187.0,4400107774.0,8876151919.0,1329180775.0,3028345850.0,2405827842.0,7546971143.0,6530276043.0,1373452056.0,1888076214.0,2775368848.0,8845115392.0,499381984.0,1461051714.0,9498342640.0,9774329500.0
 Nicaragua ,2012,6030607,1677,1854855045.0,486367396.0,4999461851.0,9397430614.0,1429054046.0,3266155237.0,2955781768.0,7968376568.0,7131030262.0,1496258729.0,2099000087.0,2965562946.0,9500173350.0,515215067.0,1579172808.0,10111593882.0,10532017440.0
 Nicaragua ,2013,6119379,1707,1811194828.0,541912466.0,4965877871.0,9846349587.0,1511492133.0,3394265272.0,3113064809.0,8334857454.0,7223504558.0,1591932723.0,2246406249.0,3170855036.0,9911459036.0,535369108.0,1605721349.0,10445547853.0,10982988173.0
 Nicaragua ,2014,6208676,1840,1985104559.0,555077620.0,5347156413.0,10431347125.0,1696477033.0,3430992923.0,3247330478.0,8734870092.0,7329057806.0,1750334750.0,2426728217.0,3464453332.0,10734837446.0,556672082.0,1746801634.0,11426365377.0,11880438655.0
 Nicaragua ,2015,6298598,1947,2055094743.0,753480150.0,5113365856.0,10785782941.0,1792609004.0,4270512988.0,3733060228.0,8993173937.0,7412965495.0,1811187378.0,2529417102.0,3665037543.0,11534443689.0,663421739.0,1867992411.0,12260230245.0,12756696290.0
 Nicaragua ,2016,6389235,1978,1981665871.0,744285152.0,5165902265.0,11273155496.0,1921279645.0,4145312482.0,3672795228.0,9351875851.0,7298277045.0,1879284741.0,2682846031.0,3894410430.0,11980759730.0,689501633.0,1988050614.0,12640244064.0,13286093197.0
 Nicaragua ,2017,6480532,2017,2067388823.0,780933155.0,5698946009.0,11550816007.0,1986608681.0,4124109197.0,3689291966.0,9564207327.0,7587978364.0,1880744499.0,2640358121.0,4103928655.0,12419956093.0,707363964.0,2119983375.0,13070984566.0,13785892849.0
 Nicaragua ,2018,6572233,1883,1995752015.0,687758005.0,5506692240.0,11117786456.0,1928073010.0,3135771842.0,2915703711.0,9189713446.0,6735028702.0,1803439033.0,2567984565.0,4076173603.0,11895888564.0,660929552.0,1907290824.0,12376100329.0,13025221836.0
 Nicaragua ,2019,6663924,1820,1920799762.0,496992408.0,5680165658.0,10974056270.0,1901856135.0,2188217438.0,2151638115.0,9072200135.0,6245806142.0,1766517241.0,2616222572.0,3901805578.0,11365432766.0,603332574.0,1826279872.0,12130381736.0,12596636128.0
 Nicaragua ,2020,6755895,1741,1958528286.0,538552392.0,5309771067.0,10795752973.0,1885839097.0,2424383580.0,2352658378.0,8909913875.0,5942949388.0,1704000310.0,2710799642.0,3818697063.0,11349915633.0,548966630.0,1774371620.0,11760903493.0,12586958232.0
 Nicaragua ,2021,6850540,1927,2169868164.0,637431561.0,6563591377.0,12462626614.0,1994432151.0,3309518127.0,3342242348.0,10468194463.0,8322721665.0,1957544984.0,3172680221.0,3838912057.0,12470221649.0,595243804.0,2056085842.0,13198637240.0,14013014452.0
