Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Niger ,1970,4669708,117,252652036.0,17643239.0,64123939.0,562014166.0,89473700.0,44329842.0,31941815.0,472540466.0,93438112.0,51096581.0,150102619.0,144267909.0,640049811.0,13962155.0,61421853.0,546251377.0,580985639.0
 Niger ,1971,4797068,132,271030490.0,19120530.0,78628790.0,581809921.0,90479094.0,37293853.0,35910819.0,491330827.0,85818960.0,53850950.0,161833804.0,153760171.0,686535435.0,14869352.0,65921088.0,634900346.0,622599077.0
 Niger ,1972,4926318,140,338282230.0,23644099.0,96855966.0,736492726.0,109030425.0,56951716.0,41103217.0,627462301.0,121144798.0,70256330.0,200843009.0,196075907.0,859937213.0,19153185.0,81938783.0,691557132.0,780685556.0
 Niger ,1973,5059382,141,362776806.0,25051851.0,134278601.0,768134795.0,129037297.0,98428011.0,79221591.0,639097498.0,178264422.0,72691566.0,214584825.0,205386266.0,915976072.0,19703712.0,88472611.0,715156053.0,832117048.0
 Niger ,1974,5196579,203,417312772.0,30332249.0,115521673.0,976376528.0,132424802.0,107141473.0,88029713.0,843951726.0,235876888.0,78488189.0,252916798.0,232138926.0,1056740957.0,22395907.0,101644304.0,1053493001.0,955648096.0
 Niger ,1975,5339497,225,520067476.0,35312063.0,171346200.0,1091812326.0,201728977.0,234136969.0,201585384.0,890083349.0,290294443.0,122309601.0,303381167.0,321002216.0,1336376282.0,32237918.0,124375443.0,1199058314.0,1217118321.0
 Niger ,1976,5488658,256,639421653.0,42585287.0,209199030.0,1198627233.0,215428414.0,306203012.0,214792863.0,983198819.0,309372389.0,114437057.0,374088047.0,336784500.0,1582332560.0,30412758.0,159040314.0,1407396985.0,1440362797.0
 Niger ,1977,5644703,292,746344702.0,62320259.0,232170710.0,1388792726.0,231606520.0,397045357.0,315535048.0,1157186206.0,366577119.0,113021246.0,484705641.0,393192471.0,1906280781.0,38615606.0,181102101.0,1647519631.0,1700814438.0
 Niger ,1978,5810351,379,925899011.0,113355874.0,334745963.0,1890018577.0,276171923.0,587133450.0,472882128.0,1613846654.0,575369890.0,127321204.0,705072797.0,646392144.0,2720815252.0,59668189.0,270427236.0,2201694562.0,2302630828.0
 Niger ,1979,5987151,482,1116384746.0,173397973.0,547519973.0,2365589101.0,352721277.0,773538479.0,624005659.0,2012867825.0,784374096.0,162246229.0,1197190328.0,805024235.0,3733883929.0,78240501.0,363646146.0,2884371350.0,3014474898.0
 Niger ,1980,6173177,575,1358344466.0,227597930.0,647121751.0,2954528140.0,467846050.0,933998668.0,761728111.0,2486682091.0,976986010.0,177611685.0,1304110577.0,992259840.0,4426495334.0,98875559.0,445306962.0,3549569597.0,3671649376.0
 Niger ,1981,6366262,482,1142824279.0,198754365.0,553857863.0,2553176709.0,473464428.0,722996108.0,709836665.0,2079712281.0,729337839.0,250896325.0,934600169.0,775417485.0,3639647491.0,70801720.0,517249472.0,3067411687.0,3202222497.0
 Niger ,1982,6564445,426,1068721406.0,162495375.0,451575996.0,2475360152.0,451731081.0,643443843.0,556034777.0,2023629071.0,706957566.0,233849798.0,817148149.0,696544969.0,3271378774.0,69606367.0,456862508.0,2794936461.0,2919022906.0
 Niger ,1983,6766606,369,943356959.0,115413722.0,400304852.0,2308999644.0,420699469.0,327649140.0,368735043.0,1888300174.0,477212558.0,212861193.0,790448240.0,632527299.0,2963303172.0,64120012.0,417436940.0,2497310158.0,2608745056.0
 Niger ,1984,6973849,288,657412849.0,100418303.0,357775889.0,2028450300.0,376086479.0,88931520.0,148171819.0,1652363821.0,374495018.0,194209766.0,671587990.0,558551342.0,2422157907.0,53723665.0,380463757.0,2007774988.0,2113703068.0
 Niger ,1985,7187618,278,665912313.0,75620848.0,321044720.0,1959329970.0,396342136.0,257148757.0,242109954.0,1562987834.0,453841353.0,194920893.0,672661515.0,581946229.0,2396158553.0,56147539.0,343870110.0,1994964239.0,2083800653.0
 Niger ,1986,7408364,353,812665645.0,105017743.0,427233837.0,2502118637.0,514990516.0,283727902.0,280437020.0,1987128121.0,530797717.0,219555427.0,830260115.0,718278047.0,3063214846.0,80844676.0,516148620.0,2611869355.0,2694918600.0
 Niger ,1987,7636591,394,890799820.0,128978925.0,567302909.0,2959176427.0,623574417.0,258917350.0,361950222.0,2335602010.0,672324248.0,265578647.0,963561893.0,826848413.0,3495538592.0,97153502.0,588196040.0,3005535369.0,3117664402.0
 Niger ,1988,7872252,397,952060870.0,110043757.0,495838755.0,3016829283.0,638608673.0,417312639.0,353111349.0,2378220610.0,694544606.0,266070689.0,980321910.0,910952176.0,3673840330.0,98961067.0,621500550.0,3122286953.0,3240725553.0
 Niger ,1989,8116075,361,861303999.0,100398701.0,450798140.0,2896245834.0,631651842.0,327028338.0,353512535.0,2264593992.0,641116478.0,269173244.0,928181092.0,870690452.0,3420713440.0,99348389.0,560790807.0,2932016601.0,3024502300.0
 Niger ,1990,8370648,412,1057694209.0,100045190.0,562546989.0,3325780124.0,721425399.0,445750370.0,377454022.0,2604354725.0,754642305.0,312607256.0,992471281.0,1109828321.0,4048765654.0,116065546.0,672661106.0,3450658874.0,3590556747.0
