Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 North Macedonia ,1990,2044174,1405,226661604.0,209309494.0,534898061.0,2629076073.0,539934385.0,573908367.0,704987668.0,2089141688.0,815283804.0,471822099.0,690694511.0,975277867.0,2489345183.0,179121435.0,208280278.0,2872592388.0,2911754369.0
 North Macedonia ,1991,2036686,1423,298148918.0,127809267.0,411218973.0,2529502309.0,533230383.0,447230025.0,627694804.0,1996271928.0,508868236.0,323764942.0,477953203.0,1238872434.0,2393243393.0,154729429.0,95730139.0,2898561889.0,2915997372.0
 North Macedonia ,1992,2018023,1316,366534288.0,119097645.0,897279448.0,2328384459.0,442473022.0,373768651.0,594669744.0,1885911437.0,966415438.0,346617916.0,470945868.0,884359295.0,2068761712.0,156762867.0,71061749.0,2655671279.0,2739202118.0
 North Macedonia ,1993,1996893,1450,278443561.0,146200183.0,847418023.0,2691323637.0,524699007.0,470313475.0,622292322.0,2166624630.0,1087656425.0,332330174.0,494259397.0,1655696166.0,2971087699.0,175513288.0,220975104.0,2896144905.0,2963449626.0
 North Macedonia ,1994,1982458,1771,390897689.0,179062587.0,921093934.0,3363651775.0,630481894.0,541253072.0,683520088.0,2733169881.0,1280777397.0,360047087.0,565321872.0,2450285325.0,4155344533.0,195639035.0,374138027.0,3510551657.0,3559611794.0
 North Macedonia ,1995,1983964,2351,518574266.0,240189995.0,1052714412.0,4169768370.0,813448771.0,960652373.0,974080624.0,3356319599.0,1496259066.0,462122113.0,783244117.0,1832838608.0,4144443657.0,261637159.0,507959512.0,4665166226.0,4707029598.0
 North Macedonia ,1996,1994226,2301,514145811.0,231549309.0,886235930.0,4174262502.0,782820318.0,916806586.0,1009441386.0,3391442184.0,1328918112.0,456836808.0,779362067.0,1760208035.0,4049849645.0,250040996.0,514543427.0,4588043247.0,4642001493.0
 North Macedonia ,1997,2004234,1912,431140343.0,206734464.0,989148286.0,3603640441.0,718190547.0,806893461.0,848778876.0,2885449894.0,1478896568.0,382256364.0,662679092.0,1457963626.0,3391160213.0,216721249.0,415921439.0,3832686209.0,3912995037.0
 North Macedonia ,1998,2012844,1837,431995837.0,216752149.0,1051270027.0,3469637720.0,709770378.0,824271009.0,821494127.0,2759867342.0,1569782505.0,352192156.0,617661291.0,1383877705.0,3296175689.0,250379223.0,395509483.0,3696657120.0,3765731208.0
 North Macedonia ,1999,2023778,1876,429185060.0,200322345.0,1103870561.0,3469427785.0,739615396.0,748256634.0,803103757.0,2729812389.0,1497681443.0,352050566.0,615297137.0,1421444234.0,3354469585.0,288605070.0,399615739.0,3796651442.0,3863608393.0
 North Macedonia ,2000,2037936,1817,380933643.0,212400284.0,1243035508.0,3485637666.0,638763735.0,825494724.0,770704516.0,2846873932.0,1781296813.0,338371648.0,595200282.0,1306736681.0,3180420370.0,307432644.0,377716836.0,3702885128.0,3772861492.0
 North Macedonia ,2001,2053384,1793,361493773.0,192159772.0,1083163068.0,3551090238.0,884090747.0,643808812.0,820883853.0,2666999491.0,1568415100.0,332553694.0,571526137.0,1352629006.0,3142137088.0,283683322.0,380645079.0,3682440885.0,3709646980.0
 North Macedonia ,2002,2064737,1924,408688192.0,213349564.0,1056872682.0,3942064044.0,833895474.0,837020014.0,860797630.0,3108168571.0,1817610840.0,338990996.0,565347596.0,1420766060.0,3313188660.0,283093380.0,421943868.0,3972587951.0,4018349891.0
 North Macedonia ,2003,2071142,2359,570723695.0,323845152.0,1367961366.0,4838826810.0,894255900.0,886833771.0,998788058.0,3944570910.0,2147334064.0,441771030.0,788516555.0,1715208514.0,4274085929.0,344241947.0,531550066.0,4886309466.0,4946289079.0
