Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Oman ,1970,670693,307,43131933.0,35845908.0,197788616.0,86453979.0,34430800.0,36943998.0,36943998.0,52023179.0,52777141.0,1038537.0,152748428.0,39421500.0,277046474.0,1252732.0,4645974.0,205579499.0,268409418.0
 Oman ,1971,688803,370,43779729.0,69188969.0,207443271.0,119475224.0,65534933.0,89732448.0,89732448.0,53940291.0,101327090.0,1041585.0,159206598.0,57996503.0,342095344.0,3769225.0,8154320.0,254830033.0,315323809.0
 Oman ,1972,708045,407,47957269.0,82976833.0,228111681.0,209557142.0,113782979.0,114601562.0,114601562.0,95774164.0,168082291.0,1691328.0,181109159.0,94629292.0,424870130.0,6217626.0,11979952.0,288413891.0,384188039.0
 Oman ,1973,728597,530,51557299.0,96433477.0,305481594.0,309363571.0,188126495.0,132584386.0,132584386.0,121237076.0,241578309.0,3701911.0,246801769.0,122462817.0,555247827.0,9356111.0,28636355.0,385808567.0,505851171.0
 Oman ,1974,754676,1791,54538961.0,236607496.0,1192083947.0,748235804.0,597861024.0,527827607.0,527827607.0,150374780.0,744597703.0,12528196.0,1011331853.0,324384454.0,1748694831.0,26554108.0,95277959.0,1351250615.0,1723549414.0
 Oman ,1975,787194,2281,63315345.0,288824323.0,1483131605.0,1043225041.0,694270662.0,782191401.0,782191401.0,348954379.0,1112955889.0,13154606.0,1265117323.0,522764101.0,2325614897.0,50733460.0,134860345.0,1795327605.0,2195592765.0
 Oman ,1976,824081,2836,61089363.0,410625488.0,1249074943.0,1121143173.0,443229046.0,1231769343.0,1118042649.0,677914128.0,982248622.0,11203043.0,1614681927.0,582829909.0,2864613430.0,50922612.0,144464132.0,2337504219.0,2680975810.0
 Oman ,1977,866124,2993,80451019.0,361907207.0,1267656972.0,1413076356.0,494009958.0,1124557629.0,1020729572.0,919066398.0,1007137087.0,17455903.0,1673103207.0,669881279.0,3029619876.0,66387997.0,177889167.0,2592077602.0,2870460136.0
 Oman ,1978,912750,2906,102483249.0,331284292.0,1250887824.0,1659353699.0,501001533.0,1062405912.0,964316193.0,1158352166.0,1114423283.0,22145550.0,1560201336.0,756519855.0,3024965750.0,78081335.0,196395684.0,2652070581.0,2870763309.0
 Oman ,1979,963351,3798,134530128.0,399489880.0,1784328028.0,1912124974.0,652608311.0,1302855369.0,1182565449.0,1259516663.0,1268586781.0,29961627.0,2263970137.0,942662750.0,4095742432.0,96187151.0,258902386.0,3658619452.0,3910653283.0
 Oman ,1980,1017462,5851,175590189.0,546572683.0,2932334861.0,3071670756.0,918472145.0,1809003416.0,1641981904.0,2153198611.0,1865909930.0,40643599.0,4008584389.0,1279452166.0,6510258250.0,144469332.0,355589491.0,5952954120.0,6256014459.0
 Oman ,1981,1075624,6755,201913761.0,725259904.0,3682414333.0,3530817520.0,1247107896.0,2333948351.0,2121917204.0,2283709624.0,2279768278.0,70255362.0,4722826041.0,1560268285.0,7874238491.0,192338275.0,471632225.0,7265554966.0,7551882717.0
 Oman ,1982,1138301,6797,216870336.0,841836595.0,3471666927.0,4243849946.0,1464431539.0,2794140573.0,2542651797.0,2779418407.0,2681802104.0,102770241.0,4642691212.0,1773571525.0,8266133099.0,229210299.0,561953131.0,7737421635.0,7942132038.0
 Oman ,1983,1204626,6771,241099989.0,992335191.0,3342499164.0,4559847303.0,1739178097.0,2890658766.0,2630894359.0,2820669206.0,2490244810.0,149800692.0,4637328841.0,2003208636.0,8745726450.0,247754123.0,623999669.0,8157079364.0,8397088881.0
 Oman ,1984,1273306,7051,234819925.0,1218808566.0,3471692049.0,5185787301.0,2062822675.0,3272682719.0,2980162871.0,3122964626.0,2705470729.0,191316608.0,4942509167.0,2278025843.0,9659457153.0,281178168.0,704115485.0,8978016412.0,9254100985.0
 Oman ,1985,1353289,7346,242599157.0,1065927709.0,3902282621.0,5737389461.0,2342888791.0,3666929872.0,3340606543.0,3394500670.0,3036581780.0,229059025.0,5634233660.0,2525976404.0,10586549692.0,320424676.0,797388086.0,9941407018.0,10280627288.0
 Oman ,1986,1443446,5564,247492915.0,910693069.0,2249889326.0,5484770701.0,2343751199.0,3018528607.0,2748941479.0,3141019503.0,2448491989.0,254633405.0,3737661163.0,2557682624.0,8406439090.0,296168020.0,656741299.0,8031680334.0,8138146052.0
 Oman ,1987,1533351,5503,281879586.0,549790226.0,2988349100.0,5098488887.0,2401148044.0,1896861321.0,1723518333.0,2697340843.0,1837620250.0,263918975.0,4443965792.0,2591610338.0,8743270520.0,285318278.0,590706299.0,8438393046.0,8532893254.0
 Oman ,1988,1623433,4874,294509079.0,496570874.0,2626001592.0,5668769126.0,2527593873.0,1791134624.0,1626856814.0,3141175254.0,2147785056.0,293127399.0,3808561815.0,2747729662.0,8392689311.0,316503779.0,728814101.0,7913064463.0,8293439321.0
 Oman ,1989,1713838,5208,304182736.0,436484512.0,3191915113.0,5935289004.0,2738425092.0,1856253490.0,1687061220.0,3196863912.0,2196646635.0,327812403.0,4612162850.0,2929008876.0,9377450107.0,344396401.0,751214731.0,8925233217.0,9268487498.0
 Oman ,1990,1804524,6215,312244117.0,442493147.0,4319670837.0,7057577834.0,3161674720.0,2029659906.0,1837237763.0,3895903113.0,2634276427.0,343459774.0,6209471423.0,3467231178.0,11696841207.0,394951779.0,870449563.0,11215166252.0,11556031285.0
