Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Puerto Rico ,1970,2737619,1681,202289862.0,454845117.0,2262031992.0,4574870087.0,775577027.0,1472460569.0,1421350368.0,3799293060.0,3203818745.0,1280619684.0,1482308238.0,1773784843.0,4919754752.0,189261542.0,817265150.0,4602639901.0,5105645474.0
 Puerto Rico ,1971,2782018,1922,245106522.0,566303699.0,2400060465.0,5270594476.0,913979914.0,1708036651.0,1594020390.0,4356614562.0,3693406910.0,1344785405.0,1561067640.0,1936348481.0,5440122805.0,225200300.0,906096163.0,5345824836.0,5726370760.0
 Puerto Rico ,1972,2829184,2071,260339130.0,568693166.0,2614039281.0,5871801838.0,1040977123.0,1897040706.0,1761022526.0,4830824714.0,4011252490.0,1610919848.0,1868653693.0,2233414370.0,6185549795.0,222933183.0,1031516253.0,5860653457.0,6417956532.0
 Puerto Rico ,1973,2876681,2224,252030435.0,566303699.0,3249803262.0,6568641632.0,1230972948.0,1793038475.0,1601020479.0,5337668684.0,4556130626.0,1893183651.0,2181328374.0,2528519529.0,6936914901.0,263741291.0,1144991573.0,6396975918.0,7100415807.0
 Puerto Rico ,1974,2924358,2360,396047826.0,592587837.0,4186989324.0,7217394625.0,1325970860.0,1799038603.0,1696021695.0,5891423765.0,5456005123.0,2218795109.0,2544553793.0,2714047054.0,7716766771.0,308327928.0,1161202333.0,6902592895.0,7793015635.0
 Puerto Rico ,1975,2972267,2445,375276087.0,540019561.0,4056338797.0,8215173815.0,1613964531.0,2218047594.0,2079026594.0,6601209283.0,6243395308.0,2390169561.0,2772244685.0,3097771109.0,8369097525.0,328731982.0,1255054101.0,7265941127.0,8313226047.0
 Puerto Rico ,1976,3020456,2528,396047826.0,461167147.0,4318668595.0,9251317331.0,1612964553.0,1974042358.0,1836023485.0,7638352778.0,6507578647.0,2998044823.0,3378993618.0,3162451600.0,9189896217.0,374074324.0,1417161701.0,7636453972.0,9095062749.0
 Puerto Rico ,1977,3068870,2698,366967391.0,378730533.0,6198184442.0,10131150060.0,1728962004.0,1496032101.0,1554019878.0,8402188056.0,7820239611.0,3325672451.0,3711126561.0,3403592343.0,9894961904.0,439065015.0,1595480060.0,8281269145.0,10050302922.0
 Puerto Rico ,1978,3117169,2919,455593478.0,396651536.0,6928592899.0,10929981820.0,1866958972.0,1855039805.0,1730022129.0,9063022849.0,8440451277.0,3935563883.0,4336564042.0,3782550178.0,11207308606.0,478361712.0,1757587660.0,9099058546.0,11321928375.0
 Puerto Rico ,1979,3166208,3210,480519565.0,418156740.0,8465536891.0,11913426977.0,2054954840.0,2091044869.0,1915024496.0,9858472137.0,9589029620.0,4477913619.0,4946716061.0,4180318896.0,12505457144.0,539573874.0,1940172009.0,10163515339.0,12929206160.0
