Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Qatar ,1970,118007,4355,3870860.0,47051704.0,347218265.0,225983349.0,110444827.0,124723401.0,122085051.0,115538522.0,158989418.0,16793873.0,372941141.0,81476652.0,542224709.0,9265123.0,27619228.0,513922026.0,538935598.0
 Qatar ,1971,133096,4919,5114891.0,63286858.0,458444792.0,300870281.0,146681074.0,166333980.0,162814912.0,154189207.0,212106399.0,22515027.0,490109055.0,109201611.0,717787602.0,12396890.0,37678298.0,654662206.0,713542654.0
 Qatar ,1972,148338,6088,7421410.0,88974855.0,658478375.0,437890257.0,212076015.0,241443668.0,236292573.0,225814242.0,307748414.0,31139271.0,716355967.0,155385385.0,1036538045.0,17596381.0,50804047.0,903031839.0,1030063887.0
 Qatar ,1973,163734,7969,10783127.0,130529401.0,978562632.0,618019600.0,305631984.0,340846812.0,333701487.0,312387616.0,434374483.0,47645735.0,1042626762.0,224932638.0,1512185036.0,25729350.0,77583758.0,1304738063.0,1503054561.0
 Qatar ,1974,179299,10604,13789415.0,179694534.0,1232973008.0,829547099.0,401484154.0,460869895.0,451115356.0,428062945.0,588295377.0,63339301.0,1299380465.0,306952056.0,1945713521.0,34677498.0,111219552.0,1901207838.0,1935094626.0
 Qatar ,1975,195043,12108,18062864.0,196155256.0,1554727807.0,1075399036.0,510803889.0,588381277.0,575521159.0,564595146.0,748983902.0,64850005.0,1780997984.0,356294500.0,2487535582.0,40031145.0,95993833.0,2361511976.0,2469524218.0
 Qatar ,1976,210990,13961,22707585.0,282915377.0,2200869617.0,1184326720.0,627486270.0,653726147.0,640858515.0,556840450.0,832611457.0,115766446.0,2207043184.0,468283879.0,3223762504.0,55224695.0,187587783.0,2945707474.0,3206311027.0
 Qatar ,1977,227177,13535,24501034.0,389251935.0,2089912900.0,1688803197.0,771656262.0,955792895.0,935080681.0,917146935.0,1225051676.0,125742933.0,2122908159.0,651159241.0,3522534578.0,71337166.0,263377043.0,3074756993.0,3509457316.0
 Qatar ,1978,243624,14482,28631123.0,347906962.0,2385668963.0,1792153525.0,805798447.0,937862726.0,915422116.0,986355078.0,1183935619.0,153932848.0,2393312205.0,799871526.0,3943099734.0,87677964.0,285699955.0,3528042551.0,3931749595.0
 Qatar ,1979,260368,19845,32332227.0,361991651.0,3883842501.0,2245764678.0,1134808160.0,1087899929.0,1058482903.0,1110956517.0,1584279118.0,226772884.0,3856058267.0,966117056.0,5645493803.0,101044514.0,327950087.0,5167061123.0,5632962972.0
 Qatar ,1980,277450,30202,41017601.0,428283665.0,5777192392.0,2770328780.0,1537339690.0,1335259642.0,1303265913.0,1232989090.0,2044864141.0,257769936.0,5530903400.0,1368820270.0,7837709220.0,110051774.0,358632511.0,8379516378.0,7837916673.0
 Qatar ,1981,294887,31226,47252747.0,451296214.0,5897802199.0,3727197803.0,2237087913.0,1537362638.0,1459340660.0,1490109891.0,2489835166.0,409465987.0,5965556296.0,1600490750.0,8695677449.0,113335790.0,517745651.0,9208223281.0,8672527475.0
 Qatar ,1982,312608,26104,52197802.0,505772534.0,4602472529.0,3614560441.0,1987912088.0,2089560440.0,2030494506.0,1626648352.0,2695329671.0,382003480.0,4517266207.0,1913034341.0,7609801879.0,126913917.0,494617078.0,8160308799.0,7611263738.0
 Qatar ,1983,330454,21017,53571429.0,385758712.0,3503571430.0,3838461540.0,2253571429.0,1421978022.0,1571428572.0,1584890110.0,2279120880.0,402051110.0,3386762627.0,2042763849.0,6435783162.0,124697080.0,442229466.0,6945129839.0,6484890112.0
 Qatar ,1984,348241,20814,56593407.0,390183185.0,3695054945.0,4106593407.0,2478296704.0,1139285714.0,1181868132.0,1628296703.0,2070604396.0,502289263.0,3640150504.0,2172315707.0,6811911228.0,133010218.0,419658208.0,7248135602.0,6870329671.0
 Qatar ,1985,365868,18372,58516484.0,363083290.0,3159890110.0,3710989011.0,2165384615.0,1098351648.0,1090109890.0,1545604396.0,1815934066.0,486086383.0,3151074646.0,2054968693.0,6082827997.0,124697080.0,330487805.0,6721703374.0,6153296703.0
 Qatar ,1986,382328,14848,65109890.0,291462138.0,2013736264.0,3796978022.0,2303296703.0,936538462.0,934615385.0,1493681319.0,1694230769.0,488008759.0,2024538433.0,2155681096.0,4970581929.0,113612895.0,320177477.0,5676923245.0,5053021978.0
 Qatar ,1987,397391,14910,65109890.0,274593836.0,2249450549.0,4158791209.0,2410989011.0,785164835.0,819780220.0,1747802198.0,1746978022.0,576712658.0,2243339963.0,2258698579.0,5350060669.0,140769148.0,367549254.0,5925000045.0,5446428571.0
 Qatar ,1988,412142,15381,63736264.0,284825429.0,2263461538.0,4508516484.0,2742582418.0,965384615.0,912912088.0,1765934066.0,1699175824.0,861773486.0,2452458380.0,2560589755.0,5917065520.0,182611946.0,372843746.0,6339175868.0,6038186813.0
 Qatar ,1989,426896,15662,58791209.0,268786716.0,2743406593.0,4604945055.0,2517857143.0,992307692.0,927197802.0,2087087912.0,1852747253.0,915325376.0,2919096731.0,2507315622.0,6390241118.0,185382992.0,450867849.0,6685906429.0,6487912088.0
 Qatar ,1990,441675,17165,57692308.0,312478384.0,3934890110.0,4466483516.0,2418131868.0,1322527473.0,1250274725.0,2048351648.0,2363461538.0,947731135.0,3808166874.0,2493885030.0,7273898165.0,189262457.0,412413112.0,7581428878.0,7360439560.0
 Qatar ,1991,456486,15517,65384615.0,284548900.0,3265384615.0,4613736264.0,2454395604.0,1313186813.0,1199175824.0,2159340659.0,2308791209.0,916423876.0,3203031614.0,2575904307.0,6808435560.0,213093454.0,466472669.0,7083516621.0,6883516484.0
 Qatar ,1992,471293,16697,73901099.0,331558922.0,3901923077.0,4883791209.0,2543406593.0,1577472527.0,1417307692.0,2340384615.0,2717032967.0,883743492.0,3670272234.0,2755817300.0,7584255077.0,239418393.0,513287130.0,7868955985.0,7646153846.0
 Qatar ,1993,486041,15153,77197802.0,330729333.0,3299725275.0,4925000000.0,2574175824.0,1414560440.0,1332142857.0,2350824176.0,2482692308.0,792842592.0,3176726584.0,2699778202.0,7056234370.0,262695181.0,509107268.0,7365109608.0,7156593407.0
 Qatar ,1994,500683,15158,77747253.0,475354284.0,3309340659.0,4747252747.0,2541208791.0,1808516484.0,1806318681.0,2206043956.0,2490659341.0,809869347.0,3228363062.0,2675230996.0,7298609481.0,282369609.0,559544277.0,7589314444.0,7374450549.0
 Qatar ,1995,515133,16258,79945055.0,542827493.0,3608241758.0,5201373626.0,2592307692.0,2854395604.0,2443681319.0,2609065934.0,3526098901.0,683267187.0,3743922710.0,2771431570.0,8085264550.0,301766933.0,645370790.0,8375020415.0,8137912088.0
 Qatar ,1996,529265,16984,79670330.0,627169003.0,3961263736.0,5462087912.0,2990659341.0,3240109890.0,3168131868.0,2471428571.0,3604120879.0,686288063.0,4259693518.0,3016068796.0,9030405301.0,338898952.0,708904701.0,8989010989.0,9059340659.0
 Qatar ,1997,550591,20404,79670330.0,794469377.0,5454670330.0,5926098901.0,3361538462.0,4003021978.0,3908241758.0,2564560440.0,4085989011.0,938393882.0,5787562336.0,3414329879.0,11247762765.0,402078806.0,769652038.0,11234065934.0,11297802198.0
 Qatar ,1998,580997,17513,70329670.0,752989945.0,5240109890.0,5834890110.0,3238736264.0,3278846154.0,3170329670.0,2596153846.0,4098351648.0,806848471.0,4471416480.0,3551440897.0,10244646362.0,517354328.0,881115042.0,10174725275.0,10255494505.0
 Qatar ,1999,613302,20013,72252747.0,666159669.0,7440934066.0,5796153846.0,3179395604.0,2340109890.0,2272802198.0,2616758242.0,3184065934.0,787899341.0,6569255352.0,3609753635.0,12376851547.0,528992723.0,930437421.0,12274175824.0,12393131868.0
 Qatar ,2000,645937,26942,66208791.0,644313835.0,11949450549.0,6197252747.0,3493131868.0,3578846154.0,3457142857.0,2704120879.0,3965659341.0,965307140.0,11815869537.0,3617366492.0,17744596183.0,555871871.0,1044965657.0,17403021978.0,17759890110.0
