Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Russian Federation ,1990,148005704,3870,87102109657.0,53721037163.0,109000000000.0,393000000000.0,114000000000.0,184000000000.0,177000000000.0,279000000000.0,109000000000.0,143000000000.0,213000000000.0,85195436140.0,527000000000.0,53557637148.0,34738834476.0,573000000000.0,574000000000.0
 Russian Federation ,1991,148455402,3789,76199475923.0,55096661727.0,78566528326.0,337000000000.0,89189293876.0,217000000000.0,141000000000.0,248000000000.0,77617643706.0,149000000000.0,216000000000.0,86762526769.0,548000000000.0,41415857798.0,73211379891.0,563000000000.0,564000000000.0
 Russian Federation ,1992,148725601,3241,35886085863.0,33373831061.0,323000000000.0,235000000000.0,65462049162.0,181000000000.0,127000000000.0,170000000000.0,252000000000.0,120000000000.0,181000000000.0,65729621451.0,510000000000.0,37271490180.0,157000000000.0,482000000000.0,493000000000.0
 Russian Federation ,1993,148897270,3040,34808208705.0,36258555694.0,185000000000.0,279000000000.0,76606341715.0,132000000000.0,101000000000.0,203000000000.0,149000000000.0,104000000000.0,156000000000.0,82278537610.0,436000000000.0,37524908738.0,88853222402.0,453000000000.0,461000000000.0
 Russian Federation ,1994,148829113,2730,25088016011.0,37745608965.0,120000000000.0,279000000000.0,88102870637.0,111000000000.0,96514469806.0,191000000000.0,101000000000.0,89602483401.0,137000000000.0,77313224417.0,394000000000.0,38927810300.0,77932196478.0,406000000000.0,411000000000.0
 Russian Federation ,1995,148557451,2674,26366992784.0,33499360990.0,117000000000.0,283000000000.0,74911532388.0,109000000000.0,92228830013.0,208000000000.0,103000000000.0,74326274676.0,113000000000.0,74643968192.0,370000000000.0,44446850542.0,78424689079.0,397000000000.0,402000000000.0
 Russian Federation ,1996,148233411,2622,25454478964.0,31739457172.0,102000000000.0,279000000000.0,75138560038.0,99231706101.0,86149357367.0,204000000000.0,85668478438.0,76442529939.0,115000000000.0,68149649673.0,354000000000.0,43885719169.0,69848765643.0,389000000000.0,395000000000.0
 Russian Federation ,1997,147939972,2694,23583490594.0,30555834799.0,100000000000.0,306000000000.0,83881158700.0,95150682862.0,81152898735.0,222000000000.0,91223267740.0,78645526935.0,118000000000.0,80024208712.0,365000000000.0,44600190755.0,68364370178.0,398000000000.0,408000000000.0
 Russian Federation ,1998,147672728,1764,13703355896.0,17955877242.0,84599314792.0,206000000000.0,49901860486.0,43349984604.0,47960850744.0,156000000000.0,66525322640.0,52959070813.0,79817051462.0,56456361693.0,244000000000.0,26207740621.0,50140787258.0,261000000000.0,273000000000.0
 Russian Federation ,1999,147336388,1284,12494142622.0,10705961574.0,84670737899.0,133000000000.0,28080293011.0,31065396797.0,30962945042.0,105000000000.0,51273530762.0,39242194221.0,57630723197.0,36977762144.0,175000000000.0,16295765914.0,40546736968.0,189000000000.0,197000000000.0
 Russian Federation ,2000,146844839,1733,14501606871.0,15062071306.0,114000000000.0,158000000000.0,38532219640.0,51912544565.0,47993656297.0,120000000000.0,62419364242.0,52299388182.0,76552592429.0,49027157647.0,230000000000.0,20368993754.0,54565242596.0,254000000000.0,262000000000.0
 Russian Federation ,2001,146235530,2080,17456940744.0,19951329809.0,113000000000.0,201000000000.0,49544309209.0,71960368914.0,63503075296.0,151000000000.0,74255647140.0,54762049604.0,82393513864.0,66717997275.0,271000000000.0,24025273789.0,60457595483.0,304000000000.0,309000000000.0
 Russian Federation ,2002,145590136,2341,19233594284.0,16469919840.0,122000000000.0,236000000000.0,59940963024.0,73989315649.0,67850382496.0,176000000000.0,84412504805.0,53631420465.0,85358150043.0,84051943736.0,309000000000.0,30631036264.0,72760353599.0,341000000000.0,348000000000.0
 Russian Federation ,2003,144946723,2903,23687655084.0,23029099584.0,152000000000.0,293000000000.0,74651855231.0,95976907434.0,86914467206.0,218000000000.0,103000000000.0,63172270698.0,102000000000.0,107000000000.0,382000000000.0,39773432414.0,86876714777.0,421000000000.0,435000000000.0
 Russian Federation ,2004,144353636,4033,28989488722.0,29556238413.0,203000000000.0,395000000000.0,97107784066.0,132000000000.0,120000000000.0,298000000000.0,131000000000.0,91873317005.0,160000000000.0,136000000000.0,521000000000.0,55927184638.0,109000000000.0,582000000000.0,597000000000.0
 Russian Federation ,2005,143800049,5214,32523936427.0,35187987918.0,269000000000.0,506000000000.0,125000000000.0,164000000000.0,150000000000.0,382000000000.0,164000000000.0,122000000000.0,218000000000.0,177000000000.0,661000000000.0,65804673975.0,134000000000.0,750000000000.0,771000000000.0
 Russian Federation ,2006,143338669,6737,38233842651.0,44442207514.0,334000000000.0,650000000000.0,167000000000.0,224000000000.0,203000000000.0,483000000000.0,208000000000.0,155000000000.0,274000000000.0,236000000000.0,853000000000.0,81101556795.0,180000000000.0,966000000000.0,1000000000000.0
 Russian Federation ,2007,143117693,8921,49126687559.0,64215686685.0,392000000000.0,851000000000.0,218000000000.0,336000000000.0,297000000000.0,633000000000.0,280000000000.0,201000000000.0,347000000000.0,323000000000.0,1120000000000.0,106000000000.0,236000000000.0,1280000000000.0,1310000000000.0
 Russian Federation ,2008,143086549,11381,62352742397.0,90021746539.0,520000000000.0,1100000000000.0,287000000000.0,453000000000.0,402000000000.0,811000000000.0,367000000000.0,253000000000.0,428000000000.0,419000000000.0,1430000000000.0,129000000000.0,302000000000.0,1630000000000.0,1680000000000.0
 Russian Federation ,2009,143163643,8346,49950719511.0,66564815851.0,342000000000.0,914000000000.0,246000000000.0,247000000000.0,292000000000.0,667000000000.0,251000000000.0,161000000000.0,297000000000.0,362000000000.0,1080000000000.0,100000000000.0,202000000000.0,1190000000000.0,1230000000000.0
 Russian Federation ,2010,143242599,10410,51004299299.0,85673914628.0,446000000000.0,1060000000000.0,276000000000.0,369000000000.0,358000000000.0,785000000000.0,322000000000.0,200000000000.0,378000000000.0,422000000000.0,1330000000000.0,118000000000.0,277000000000.0,1490000000000.0,1540000000000.0
 Russian Federation ,2011,143364543,13851,64461413616.0,135000000000.0,574000000000.0,1390000000000.0,361000000000.0,496000000000.0,436000000000.0,1030000000000.0,409000000000.0,237000000000.0,465000000000.0,643000000000.0,1770000000000.0,134000000000.0,325000000000.0,1990000000000.0,2050000000000.0
 Russian Federation ,2012,143629362,14900,64615350505.0,147000000000.0,594000000000.0,1530000000000.0,397000000000.0,542000000000.0,476000000000.0,1140000000000.0,447000000000.0,256000000000.0,495000000000.0,721000000000.0,1910000000000.0,145000000000.0,339000000000.0,2140000000000.0,2210000000000.0
 Russian Federation ,2013,143956866,15369,68627396221.0,140000000000.0,592000000000.0,1650000000000.0,428000000000.0,533000000000.0,503000000000.0,1220000000000.0,469000000000.0,257000000000.0,504000000000.0,784000000000.0,2000000000000.0,162000000000.0,343000000000.0,2210000000000.0,2290000000000.0
 Russian Federation ,2014,144285070,13801,69202985620.0,125000000000.0,558000000000.0,1480000000000.0,383000000000.0,461000000000.0,441000000000.0,1090000000000.0,426000000000.0,237000000000.0,449000000000.0,685000000000.0,1790000000000.0,141000000000.0,322000000000.0,1990000000000.0,2060000000000.0
 Russian Federation ,2015,144668389,9164,52809089487.0,86961385434.0,391000000000.0,961000000000.0,249000000000.0,302000000000.0,281000000000.0,711000000000.0,282000000000.0,171000000000.0,319000000000.0,461000000000.0,1220000000000.0,94222784305.0,211000000000.0,1330000000000.0,1360000000000.0
 Russian Federation ,2016,145109157,8554,49031369889.0,81075592208.0,330000000000.0,916000000000.0,238000000000.0,295000000000.0,279000000000.0,678000000000.0,264000000000.0,151000000000.0,291000000000.0,439000000000.0,1150000000000.0,90148539601.0,200000000000.0,1240000000000.0,1280000000000.0
 Russian Federation ,2017,145452536,10534,55941253441.0,106000000000.0,411000000000.0,1120000000000.0,290000000000.0,372000000000.0,346000000000.0,829000000000.0,327000000000.0,197000000000.0,376000000000.0,530000000000.0,1420000000000.0,109000000000.0,244000000000.0,1530000000000.0,1570000000000.0
 Russian Federation ,2018,145652293,11101,56253937622.0,119000000000.0,510000000000.0,1130000000000.0,293000000000.0,363000000000.0,342000000000.0,836000000000.0,345000000000.0,215000000000.0,419000000000.0,533000000000.0,1480000000000.0,109000000000.0,244000000000.0,1620000000000.0,1660000000000.0
 Russian Federation ,2019,145742286,11250,59772087968.0,118000000000.0,481000000000.0,1180000000000.0,306000000000.0,384000000000.0,354000000000.0,874000000000.0,352000000000.0,223000000000.0,425000000000.0,552000000000.0,1520000000000.0,113000000000.0,253000000000.0,1640000000000.0,1690000000000.0
 Russian Federation ,2020,145617329,9987,59563303492.0,89062863926.0,381000000000.0,1060000000000.0,274000000000.0,348000000000.0,320000000000.0,783000000000.0,305000000000.0,203000000000.0,355000000000.0,502000000000.0,1340000000000.0,103000000000.0,231000000000.0,1450000000000.0,1490000000000.0
 Russian Federation ,2021,145102755,11960,67533078862.0,121000000000.0,549000000000.0,1210000000000.0,313000000000.0,399000000000.0,353000000000.0,894000000000.0,379000000000.0,261000000000.0,468000000000.0,566000000000.0,1600000000000.0,116000000000.0,260000000000.0,1740000000000.0,1780000000000.0
