Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Serbia ,1990,9952515,4076,6868370071.0,2315355522.0,3467853516.0,36753031555.0,7603896882.0,5809107870.0,4506396653.0,29149134673.0,5498321894.0,9072360619.0,11253042217.0,11789148026.0,37801934224.0,2139243469.0,3439364802.0,40567929411.0,40531671048.0
 Serbia ,1991,9966438,3717,6276368135.0,2091318668.0,3297384796.0,33614269079.0,6992771415.0,5324781959.0,4124746161.0,26620291597.0,5222266338.0,8243461991.0,10249149963.0,10820825309.0,34505551948.0,1945384666.0,3121299142.0,37049145414.0,37014169496.0
 Serbia ,1992,9982532,2728,4575879437.0,1591152703.0,2168992082.0,24608541992.0,5104450563.0,3864790279.0,3031917655.0,19504091429.0,3437816984.0,6140122518.0,7598900107.0,7857937678.0,25394128026.0,1441161285.0,2329096817.0,27229886325.0,27204452701.0
 Serbia ,1993,10031061,1933,3304054619.0,1094038486.0,1701875303.0,17586114965.0,3610606695.0,2791706314.0,2144309013.0,13975508270.0,2704758694.0,4324042983.0,5360787742.0,5643191134.0,18062796160.0,1021594298.0,1639129880.0,19393023111.0,19374913251.0
 Serbia ,1994,10077898,2016,3449808729.0,1107898459.0,2023954599.0,18518954418.0,3914289793.0,2952438901.0,2278857094.0,14604664625.0,3193175704.0,4451600619.0,5576890492.0,6029023259.0,18899763510.0,1054833403.0,1681309170.0,20321122716.0,20302146165.0
 Serbia ,1995,10123867,2166,3596063463.0,1411403899.0,1131630419.0,19582158355.0,4025172013.0,2994201224.0,2440977659.0,15556986343.0,1801285339.0,5140699832.0,6278322772.0,6096966322.0,20530079434.0,1188246866.0,1959076111.0,21927144203.0,21906667895.0
 Serbia ,1996,10167162,2334,4208153768.0,1194779970.0,2658978250.0,21736813354.0,4326676783.0,3559595346.0,2568457258.0,17410136571.0,4250217501.0,5110854831.0,6371289833.0,7076176024.0,22016084977.0,1232311583.0,1933373799.0,23727306577.0,23705149216.0
 Serbia ,1997,10202390,2236,3831546547.0,1114204204.0,3082852853.0,21099039039.0,4835555556.0,3406171171.0,2666081081.0,16263483483.0,4794174174.0,4730585586.0,6125105105.0,7158888889.0,21126831832.0,1131576577.0,1765510511.0,22815164430.0,22793858859.0
 Serbia ,1998,10075996,2016,3368872651.0,948997912.0,3815010438.0,19560156576.0,4052599165.0,1797202505.0,2441419624.0,15507557411.0,4798768267.0,4310240084.0,5526972860.0,6093486430.0,18664081420.0,1062473904.0,1663277662.0,20314620772.0,20373601253.0
 Serbia ,1999,7959744,1491,2198690602.0,495042239.0,1282375924.0,11634371700.0,2259028511.0,849308342.0,1329672650.0,9375343189.0,1828310454.0,2608099261.0,3295976769.0,3465564942.0,11016731785.0,535432946.0,1026024287.0,11867124630.0,11937745512.0
 Serbia ,2000,7935022,1243,1684198092.0,277900954.0,866569741.0,9448128124.0,1908378010.0,904302590.0,1203909587.0,7539750114.0,1352598819.0,2675749659.0,3204252612.0,2724136756.0,9140429350.0,386969559.0,862971377.0,9866077849.0,9866401636.0
 Serbia ,2001,7917793,1638,1899075615.0,294304631.0,2681202911.0,12685163239.0,2787357619.0,2241884542.0,1581663595.0,9897805620.0,4647702726.0,3214508069.0,3967624847.0,3783844734.0,11529988047.0,545574700.0,1039563521.0,12966580780.0,12960546471.0
 Serbia ,2002,7904269,2156,1672225532.0,562409682.0,3440310810.0,16734842620.0,4117055895.0,3241505722.0,2588461592.0,12617786725.0,6295737726.0,3844160286.0,4869458313.0,5261903752.0,14486157335.0,762480332.0,1357679724.0,17038168328.0,17120919874.0
 Serbia ,2003,7887463,2831,1817801987.0,788821130.0,5203768141.0,21353840837.0,5437705808.0,4473513914.0,3855204681.0,15916135029.0,8548767331.0,4538809951.0,5956331832.0,7639221209.0,19075641102.0,1085736538.0,1787728405.0,22325971097.0,22482355561.0
 Serbia ,2004,7863395,3294,2230028742.0,968609865.0,6571202472.0,25566886029.0,5916845091.0,6837799368.0,5108546558.0,19650040938.0,12833921420.0,5354934962.0,6947685393.0,8373843382.0,22035019715.0,1329592987.0,2185259346.0,25903176363.0,26141968161.0
 Serbia ,2005,7830944,3454,1865679112.0,1034802795.0,7741606919.0,26127004467.0,5401606330.0,6286442749.0,5380861521.0,20725398137.0,12471831413.0,5408093599.0,7032400617.0,9045972353.0,22988328163.0,1543807092.0,2465666194.0,27049347143.0,27683222723.0
 Serbia ,2006,7794792,4045,2214484342.0,1326444162.0,9563350702.0,31276525610.0,6622910643.0,7060124169.0,6886546488.0,24653614966.0,15417937762.0,6033947781.0,8007899320.0,10242695635.0,27010560896.0,1986940605.0,3232096831.0,31527102524.0,32482062719.0
 Serbia ,2007,7758174,5392,2641648017.0,1916326755.0,11781282285.0,41460227773.0,8951850500.0,10787677624.0,10261617112.0,32508377273.0,20858215157.0,7670616753.0,10258450830.0,13426198262.0,35802825055.0,2708616441.0,4851584750.0,41831092963.0,43170972524.0
 Serbia ,2008,7722794,6573,3885724032.0,2277919007.0,14845679083.0,49779349202.0,10504220805.0,13789687156.0,12373560604.0,39275128397.0,26220478623.0,8959179715.0,12131983456.0,15992380313.0,43640628845.0,3433253922.0,5919368116.0,50760945940.0,52194236817.0
 Serbia ,2009,7688034,5788,3252401574.0,1637302369.0,11899419015.0,42755530915.0,8813031918.0,8425889366.0,8442580595.0,33942498997.0,17917945341.0,6737229337.0,9609001981.0,14538193882.0,37811479350.0,3323275353.0,5451304191.0,44499543813.0,45162893954.0
 Serbia ,2010,7653748,5348,2761112368.0,1425658011.0,13489119372.0,39569494195.0,8003712045.0,7360264447.0,7391837334.0,31565782150.0,18599433250.0,6399799336.0,9149163253.0,13329074062.0,34954677224.0,3039758866.0,5249910663.0,40930409176.0,41819451171.0
 Serbia ,2011,7620918,6215,3667342965.0,1869394570.0,16256083297.0,46537129869.0,9330236973.0,9028701379.0,8623779552.0,37206892896.0,22563780015.0,7501171321.0,11263370088.0,15011565383.0,41559200568.0,3602226078.0,6145301484.0,47365225837.0,49258136024.0
 Serbia ,2012,7591350,5517,2786802300.0,1638055886.0,15524118630.0,40932527390.0,8217629667.0,8345270540.0,8751255004.0,32714897723.0,21492658725.0,6851894721.0,10058092990.0,13373331514.0,36554423672.0,3213940591.0,5484200391.0,41878045197.0,43309253216.0
 Serbia ,2013,7566676,6145,3588055605.0,1456880060.0,19285844314.0,43961077248.0,8661730401.0,8409876749.0,7972428511.0,35299346846.0,23262527525.0,7800584175.0,11532050696.0,14704073047.0,40951435580.0,3781925733.0,5888450439.0,46496587228.0,48394267329.0
 Serbia ,2014,7543960,6000,3325360134.0,1503738081.0,19802612047.0,43087269159.0,8496356318.0,7775846132.0,7506451304.0,34590912841.0,23603524686.0,7042227140.0,10373392712.0,14705887193.0,39530110593.0,3888352924.0,5733379548.0,45266921156.0,47062201828.0
 Serbia ,2015,7519496,5028,2662441474.0,1489187199.0,17915463844.0,35040099879.0,6508140115.0,7408138293.0,6729885580.0,28531959764.0,20707752254.0,5856361810.0,8740962703.0,11884651898.0,33064241929.0,3378230261.0,4908768395.0,37809798691.0,39655949761.0
 Serbia ,2016,7493288,5131,2771639125.0,1586071456.0,19742896444.0,35299954416.0,6509875955.0,7356469631.0,6942098253.0,28790078462.0,21706658519.0,6027149712.0,8920825141.0,11922885802.0,33753153158.0,3499153157.0,5052578477.0,38446580605.0,40692661514.0
 Serbia ,2017,7464880,5535,2656997175.0,1819984530.0,22297854646.0,38439936022.0,7130727546.0,8648186865.0,7835998365.0,31309208476.0,25206898075.0,6665161794.0,9702878975.0,12913878350.0,36680697966.0,3913200726.0,5673758211.0,41320185327.0,44179075315.0
 Serbia ,2018,7433818,6465,3212027159.0,2258202797.0,25540395826.0,43536157442.0,8375776110.0,11472636749.0,10148928316.0,35160381332.0,29908529143.0,7356731187.0,10653909076.0,14913903737.0,41955808427.0,4405427811.0,6512337848.0,48055916788.0,50640663278.0
 Serbia ,2019,7401056,6584,3067372530.0,2943413777.0,26277890617.0,43713958751.0,8568339994.0,12923620187.0,11572624931.0,35145618757.0,31394672128.0,7048154087.0,10243259437.0,15337192909.0,42612560869.0,4440934856.0,6580387360.0,48729143247.0,51514242853.0
 Serbia ,2020,7358005,7026,3383025246.0,2901232751.0,25727949544.0,44848231238.0,9327164580.0,12905207618.0,11438835495.0,35521066658.0,30146364565.0,7080158544.0,10373577600.0,16338076992.0,44318634980.0,4719396352.0,6603326039.0,51693917704.0,53335020409.0
 Serbia ,2021,7296769,8377,4118418237.0,3766796948.0,34309384827.0,51845907125.0,10589335765.0,16172467854.0,14180353738.0,41256571360.0,39259651071.0,8348457909.0,12160725516.0,18473660778.0,52549480754.0,5720720128.0,8309159146.0,61127521109.0,63068108024.0
