Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Seychelles ,1970,54379,408,1831868.0,630812.0,17131872.0,14983913.0,7883834.0,8753862.0,8539181.0,7100079.0,19302037.0,455098.0,572482.0,8892217.0,18790544.0,721443.0,6141722.0,22184754.0,22271753.0
 Seychelles ,1971,55694,475,2184535.0,749338.0,20421763.0,17831106.0,9398293.0,10425668.0,10170769.0,8432814.0,22961546.0,541574.0,681319.0,10589820.0,22392501.0,862581.0,7324906.0,26431720.0,26541852.0
 Seychelles ,1972,57052,647,3035742.0,1031978.0,28614240.0,24708398.0,13180741.0,14615146.0,14283823.0,11527657.0,31928409.0,760936.0,954811.0,14700206.0,31223033.0,1220180.0,10280116.0,36893244.0,37029048.0
 Seychelles ,1973,58359,761,3676453.0,1287028.0,34127434.0,30282530.0,15688584.0,17460623.0,16998476.0,14593946.0,38903512.0,907134.0,1143903.0,17913341.0,37636961.0,1414481.0,12201756.0,44404813.0,44582433.0
 Seychelles ,1974,59621,871,4298302.0,1457232.0,40133088.0,34863926.0,18472572.0,20434299.0,19939300.0,16391354.0,44846741.0,1058905.0,1332464.0,20752347.0,43967987.0,1710452.0,14417190.0,51908315.0,52120186.0
 Seychelles ,1975,60943,944,4679536.0,1546890.0,45212873.0,37755736.0,20883471.0,23126106.0,22722957.0,16872265.0,49310372.0,1212130.0,1509482.0,22585144.0,48624255.0,1981856.0,16321347.0,57540856.0,57761396.0
 Seychelles ,1976,62181,916,4996304.0,1897435.0,44283907.0,42585161.0,20229227.0,22776434.0,21905794.0,22355934.0,53811706.0,1175428.0,1505062.0,24784701.0,50448090.0,1670431.0,15594158.0,56971352.0,59544672.0
 Seychelles ,1977,63166,1160,6428429.0,1966381.0,61068089.0,49716143.0,28211845.0,30652141.0,30115120.0,21504298.0,64213973.0,1576205.0,1970714.0,30180244.0,65600216.0,2812536.0,22241912.0,73256413.0,77935718.0
 Seychelles ,1978,63978,1512,7926474.0,2403771.0,84895564.0,62857236.0,39597020.0,43980250.0,44039559.0,23260215.0,86181860.0,2377417.0,2878521.0,38213352.0,86498964.0,4011393.0,31065454.0,96751469.0,103407803.0
 Seychelles ,1979,64662,2213,10114847.0,4461125.0,111157705.0,110846177.0,61472337.0,49784989.0,48960566.0,49373840.0,120374730.0,3444389.0,3888268.0,57353038.0,128432226.0,5117463.0,47497485.0,143103758.0,153846080.0
 Seychelles ,1980,65290,2628,11221485.0,4991354.0,88543927.0,145017357.0,77784063.0,67046002.0,65065798.0,67233294.0,127863177.0,4989341.0,5225392.0,68470460.0,149109953.0,6529236.0,52672026.0,171605843.0,178051932.0
 Seychelles ,1981,65930,2773,11025457.0,4853171.0,89719594.0,158104680.0,89959535.0,57145479.0,60540157.0,68145145.0,121730871.0,6153822.0,7443880.0,73741263.0,154150686.0,5537109.0,51549805.0,182845049.0,184605383.0
 Seychelles ,1982,66435,2615,9195754.0,3537936.0,74203338.0,171516726.0,94987649.0,55290662.0,58160370.0,76529077.0,126499726.0,5759261.0,7128210.0,73594470.0,145438736.0,5202309.0,46780057.0,173706621.0,177966306.0
 Seychelles ,1983,66859,2555,12727173.0,2705466.0,73773132.0,171083418.0,88703442.0,37232946.0,39261161.0,82379976.0,113427082.0,6518647.0,8109441.0,67662962.0,144082650.0,5673400.0,47204207.0,170828006.0,176648442.0
 Seychelles ,1984,67346,2610,11356438.0,3319094.0,89849746.0,162087289.0,85487318.0,38977181.0,38839603.0,76599971.0,114550296.0,6801237.0,9285692.0,65643857.0,150431441.0,7245923.0,53580438.0,175779586.0,182831995.0
 Seychelles ,1985,67833,2903,11303449.0,4553945.0,98425761.0,189061556.0,107735610.0,45522207.0,46321135.0,81325946.0,130048700.0,7822124.0,11157610.0,73579663.0,169944504.0,7878066.0,61471771.0,196919869.0,204083978.0
 Seychelles ,1986,68325,3543,13981912.0,5257319.0,97144680.0,242226291.0,148346617.0,60653488.0,60622506.0,93879674.0,140846093.0,8972377.0,13102971.0,87220114.0,201239702.0,7334393.0,74342993.0,242098784.0,252349250.0
 Seychelles ,1987,68897,4127,14339953.0,4572788.0,116881405.0,262417714.0,133702316.0,58503574.0,56121199.0,128715398.0,150778523.0,10928630.0,13519800.0,111632536.0,238169432.0,7824055.0,86280300.0,284317200.0,301190241.0
 Seychelles ,1988,69585,4737,14383879.0,4863068.0,165481481.0,282106501.0,142156156.0,86089033.0,80193318.0,139950344.0,207654234.0,13147283.0,16650948.0,123728079.0,262249557.0,7976346.0,94647236.0,329638752.0,342925750.0
