Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Slovenia ,1990,1986024,9194,1019642775.0,845482225.0,14735465717.0,12478586157.0,2972871802.0,3484492618.0,3779351432.0,9505714355.0,12922813515.0,5108166515.0,5753141338.0,5155125519.0,16448278666.0,1592647398.0,2082239391.0,18258699528.0,18183749831.0
 Slovenia ,1991,1989797,6691,764558308.0,521899358.0,9888301603.0,9506762132.0,2368270252.0,2500985226.0,3026988212.0,7138491880.0,8908306186.0,3863914215.0,4531856749.0,3764969462.0,11945781994.0,1066831019.0,1295667107.0,13313773190.0,13257627208.0
 Slovenia ,1992,1991340,6603,761840700.0,534220146.0,7386069526.0,9598890602.0,2503941533.0,2569899364.0,2703167897.0,7094949069.0,6661415745.0,3494250926.0,3971661652.0,4039271215.0,11671846463.0,962327005.0,1402525748.0,13149578816.0,13100878725.0
 Slovenia ,1993,1991685,6677,669265376.0,583245248.0,6954633079.0,10246021888.0,2627465211.0,2860837761.0,2765509437.0,7618556677.0,6918455743.0,3229775099.0,3681749532.0,4192451255.0,11638434340.0,1017207266.0,1494515661.0,13298230941.0,13257517355.0
 Slovenia ,1994,1991449,7577,667236852.0,665782161.0,8058835499.0,11239316953.0,2857114901.0,3514938994.0,3352810236.0,8382202052.0,7870123910.0,3713335630.0,4315021223.0,4559589900.0,13104430384.0,1108846595.0,1787953654.0,15089017887.0,15049380906.0
 Slovenia ,1995,1991106,10778,860499089.0,1058079285.0,9702567212.0,16394344000.0,3805842603.0,5437846085.0,4940928364.0,12588501397.0,10181186165.0,4606794870.0,5264313099.0,7205852890.0,18338087731.0,1421361403.0,2527981963.0,21459845527.0,21353571132.0
 Slovenia ,1996,1990667,10831,807130551.0,1152614718.0,9920334110.0,16373853786.0,3810568986.0,5399174412.0,5135401768.0,12563284800.0,10188612253.0,4675718684.0,5313237102.0,7335703525.0,18510515585.0,1448896000.0,2452933690.0,21561301595.0,21504748284.0
 Slovenia ,1997,1989828,10430,779254565.0,1166147622.0,9875786174.0,15560705370.0,3664723457.0,5439638665.0,5229148241.0,11895981913.0,10112019146.0,4617278763.0,5235008370.0,6871876652.0,18087139702.0,1477678371.0,2557174122.0,20754640315.0,20764111063.0
 Slovenia ,1998,1988279,11120,792618306.0,1226320776.0,10517611252.0,16496521850.0,3905917195.0,6022260506.0,5789711824.0,12590604655.0,10892256991.0,4931586156.0,5678592794.0,7255346367.0,19203256497.0,1620077517.0,2630300737.0,22110487176.0,22144136618.0
 Slovenia ,1999,1986261,11424,679574964.0,1364389151.0,10016989862.0,17081241114.0,4042413961.0,6613159943.0,6293544920.0,13038827154.0,11000288153.0,4997332907.0,5679706781.0,7601363908.0,19596026023.0,1693348817.0,2577642403.0,22691808344.0,22711102766.0
 Slovenia ,2000,1984339,10201,626098220.0,1155063365.0,10173035671.0,15172771003.0,3745897567.0,5864635039.0,5566739394.0,11426873435.0,10919228295.0,4395080889.0,5027236405.0,6998006006.0,17720069732.0,1596467856.0,2317197880.0,20241960751.0,20291213416.0
 Slovenia ,2001,1982487,10522,582061946.0,1125353854.0,10803076354.0,15525371312.0,3930631163.0,5568784501.0,5510219264.0,11594740148.0,11020364488.0,4578262482.0,5252651672.0,7242259611.0,18318154704.0,1660843973.0,2454983648.0,20859816877.0,20876867678.0
 Slovenia ,2002,1983767,11737,699784921.0,1205081460.0,12289723237.0,17279520950.0,4381928507.0,5976678972.0,5793507867.0,12897592443.0,12056925087.0,5059769123.0,5833880400.0,8204153561.0,20514000723.0,1781139404.0,2789960978.0,23283834784.0,23488999070.0
 Slovenia ,2003,1989411,14738,667417419.0,1580678088.0,15115289971.0,21857960100.0,5563682382.0,7871849379.0,7422002802.0,16294277718.0,15209364716.0,6429301701.0,7383141114.0,10443119274.0,25939889472.0,2271366007.0,3594167571.0,29320216516.0,29635734734.0
 Slovenia ,2004,1996722,16995,836160335.0,1832800553.0,18947170737.0,25002359067.0,6478754974.0,9910733982.0,8957375200.0,18523604093.0,19445145177.0,7378599285.0,8579449259.0,12125307051.0,30193565418.0,2718114330.0,4101733891.0,33934322959.0,34415118608.0
 Slovenia ,2005,2004778,17889,878028730.0,2058949099.0,21654275689.0,26131969397.0,6845596781.0,10304105742.0,9631297293.0,19286372616.0,21886011067.0,7461291200.0,8726498537.0,12754487653.0,31796116054.0,2921741784.0,4456410250.0,35864124038.0,36204339761.0
 Slovenia ,2006,2013570,19360,836612534.0,2435117363.0,25609935511.0,27538930284.0,7364086565.0,11958732150.0,10965814653.0,20174843719.0,25628870543.0,8081650763.0,9456632144.0,13772011725.0,34685720611.0,3286791113.0,4898555733.0,38983434688.0,39478727403.0
 Slovenia ,2007,2023229,23181,983153753.0,3333962464.0,32594208482.0,32778229970.0,8378626884.0,15863654685.0,13782413303.0,24399603086.0,33232182854.0,9780833861.0,11381006313.0,16181236249.0,42058591299.0,4062364716.0,6116867804.0,46900549178.0,48003908915.0
