Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Solomon Islands ,1970,172833,182,14809981.0,1195662.0,7952001.0,32256005.0,6160001.0,4704001.0,4704001.0,26096004.0,11200002.0,1094223.0,1219715.0,7045916.0,28704265.0,1512926.0,2920066.0,31447723.0,32032005.0
 Solomon Islands ,1971,177264,192,15994537.0,1291479.0,10321949.0,33574691.0,5784829.0,8166817.0,8166817.0,27789862.0,13044221.0,1181870.0,1317325.0,7610494.0,31001439.0,1634029.0,3153575.0,33964501.0,34595543.0
 Solomon Islands ,1972,181876,204,17449091.0,1408801.0,10868267.0,34635137.0,6449301.0,8718500.0,8718500.0,28185835.0,14451212.0,1289289.0,1437125.0,8301569.0,33819441.0,1782619.0,3440235.0,37051952.0,37740356.0
 Solomon Islands ,1973,186816,266,23377595.0,1886984.0,13634158.0,41207205.0,12763631.0,11767177.0,11767177.0,28443574.0,16048540.0,1726946.0,1925164.0,11120388.0,45307675.0,2387898.0,4609645.0,49637760.0,50560001.0
 Solomon Islands ,1974,192155,373,33705761.0,2722738.0,26214556.0,54601979.0,16916731.0,15590003.0,15590003.0,37685248.0,23492826.0,2491387.0,2776372.0,16044279.0,65338498.0,3444028.0,6645320.0,71583724.0,72913710.0
 Solomon Islands ,1975,197853,322,29964043.0,2418584.0,15447722.0,60590828.0,18770099.0,17302347.0,17302347.0,41820729.0,28539012.0,2213691.0,2467881.0,14250378.0,58068999.0,3061111.0,5907001.0,63619863.0,64801885.0
 Solomon Islands ,1976,204082,347,33344086.0,2689435.0,24441412.0,57129994.0,17688852.0,16316449.0,16316449.0,39441142.0,25785690.0,2461513.0,2744894.0,15853936.0,64613865.0,3404279.0,6577234.0,70786983.0,72102165.0
 Solomon Islands ,1977,210932,379,37650475.0,3048402.0,32822636.0,60127932.0,18642540.0,17160503.0,17160503.0,41485392.0,28608919.0,2787928.0,3103562.0,17958658.0,73032272.0,3850999.0,7420176.0,80015509.0,81502153.0
 Solomon Islands ,1978,218193,442,45447686.0,3659727.0,35025134.0,75673632.0,23434677.0,21618407.0,21618407.0,52238955.0,35368517.0,3352483.0,3741853.0,21555930.0,88002021.0,4640224.0,8956601.0,96416365.0,98207728.0
 Solomon Islands ,1979,225786,566,60209851.0,4845667.0,69517876.0,92509948.0,28598981.0,26432597.0,26432597.0,63910967.0,58316490.0,4434558.0,4949070.0,28606371.0,116644284.0,6135585.0,11897738.0,127770033.0,130143930.0
 Solomon Islands ,1980,233668,603,66086847.0,5412261.0,73268263.0,110771722.0,34485124.0,31547057.0,31547057.0,76286598.0,74111812.0,4938586.0,5469616.0,31824775.0,128580390.0,6796881.0,12990010.0,140905897.0,143523850.0
 Solomon Islands ,1981,241827,656,75168402.0,5954568.0,92404717.0,136921666.0,42251127.0,39230692.0,33424445.0,94670540.0,106969284.0,5481741.0,6166979.0,35052059.0,144788399.0,7633835.0,14812557.0,158631035.0,161578312.0
 Solomon Islands ,1982,250250,640,75446548.0,6061372.0,90864539.0,141384269.0,43480868.0,40417490.0,33917312.0,97903401.0,109442881.0,5530915.0,6170622.0,36028830.0,146379573.0,7643625.0,15028576.0,160239080.0,163216234.0
 Solomon Islands ,1983,258945,467,55881804.0,4818550.0,67602467.0,109651069.0,34848697.0,30921658.0,26939708.0,74802372.0,85048082.0,4360006.0,4721895.0,28012324.0,110148831.0,5908674.0,10805582.0,120865250.0,123110859.0
 Solomon Islands ,1984,267913,638,83456651.0,5966797.0,106146183.0,136686764.0,40903965.0,39961840.0,33759511.0,95782798.0,108737029.0,5652755.0,6673392.0,35251210.0,156078855.0,8165091.0,16565713.0,170882848.0,174057757.0
 Solomon Islands ,1985,277158,567,72529996.0,6077933.0,81781960.0,147626230.0,44976701.0,41937735.0,33698760.0,102649528.0,111361232.0,5402607.0,5875335.0,37142921.0,143844405.0,7293519.0,14924701.0,157066484.0,159984693.0
 Solomon Islands ,1986,286527,497,62187769.0,6546081.0,76313523.0,139764571.0,48291703.0,37955785.0,36520241.0,91472868.0,108986506.0,5799598.0,5799598.0,35946024.0,128797014.0,7464829.0,10852713.0,142345255.0,144989951.0
