Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Somalia ,1970,3720977,85,178314769.0,17653537.0,39512764.0,310631116.0,35409516.0,48327150.0,31154295.0,275221600.0,57445480.0,18985378.0,23533287.0,39411742.0,309684545.0,21857340.0,28913869.0,316810495.0,341025550.0
 Somalia ,1971,3818389,87,167480709.0,19082629.0,47662710.0,328309274.0,34871440.0,42637568.0,33196392.0,293437834.0,71570204.0,21618737.0,26368142.0,42940606.0,311555442.0,23315860.0,32367496.0,331083158.0,347039348.0
 Somalia ,1972,3918220,107,248467936.0,21820014.0,71225988.0,404184154.0,92687093.0,65471923.0,50542459.0,311497060.0,92998124.0,22147397.0,27455787.0,47882149.0,410003992.0,24494333.0,39883773.0,417799725.0,447883941.0
 Somalia ,1973,4022336,127,232637762.0,23074921.0,76555530.0,548849576.0,107488802.0,6048405.0,62384980.0,441360774.0,147926712.0,24632318.0,30978972.0,65925283.0,435292734.0,33456630.0,49219166.0,509228821.0,483699611.0
 Somalia ,1974,4125823,114,256076125.0,49070971.0,88634661.0,667691454.0,124847266.0,19140948.0,118984273.0,542844188.0,202963027.0,23415679.0,31019161.0,78709008.0,512860251.0,39566772.0,58418214.0,470205388.0,572504036.0
 Somalia ,1975,4228289,168,391803733.0,38346616.0,121053564.0,694764687.0,156748846.0,173820502.0,117949627.0,538015841.0,232622875.0,25791059.0,35063575.0,93516603.0,694571916.0,59347526.0,76493864.0,711979978.0,757015879.0
 Somalia ,1976,4333779,187,484177408.0,41356764.0,117432304.0,730632410.0,148471679.0,261937841.0,141056717.0,582160731.0,238658309.0,38407063.0,48691304.0,110733422.0,804840025.0,50208190.0,69672937.0,809440803.0,871344245.0
 Somalia ,1977,4449505,100,248480678.0,23621800.0,28978656.0,437390534.0,62604223.0,85516078.0,62604223.0,374786312.0,107847068.0,20846561.0,25364391.0,54794830.0,414414139.0,24848068.0,37304372.0,443650957.0,444038199.0
 Somalia ,1978,4777703,105,276543353.0,12793821.0,42379531.0,464206558.0,94723479.0,104810915.0,73933521.0,369483079.0,108562949.0,18514135.0,22020134.0,75901801.0,448521826.0,23004274.0,38258444.0,502465003.0,502834055.0
 Somalia ,1979,5408813,96,264197027.0,15950867.0,38351181.0,545554192.0,114938375.0,81481864.0,88104065.0,430615817.0,147991796.0,25682623.0,29771112.0,79581580.0,461999291.0,23264080.0,49234625.0,518144039.0,517395442.0
 Somalia ,1980,5892224,97,369629326.0,15266002.0,27982152.0,591532759.0,79277245.0,52288542.0,56229224.0,512255514.0,97556710.0,25597874.0,27915922.0,59540721.0,548052800.0,23743435.0,51957392.0,574048054.0,574246743.0
 Somalia ,1981,5934938,112,419593998.0,15566316.0,21744388.0,682737430.0,77831582.0,43246498.0,13628098.0,604905847.0,79769801.0,28225305.0,31526334.0,72016927.0,621259565.0,29012707.0,53543283.0,667110544.0,667958514.0
 Somalia ,1982,5951805,122,459311438.0,15847822.0,36854416.0,767057564.0,86001982.0,49498084.0,18852836.0,681055582.0,124558912.0,35626304.0,39031207.0,76760540.0,686062975.0,31971040.0,63140927.0,725571310.0,728851152.0
 Somalia ,1983,6142513,109,408114818.0,12239441.0,30083860.0,695589164.0,90022804.0,76868265.0,103101085.0,605566360.0,132822719.0,29969472.0,33305769.0,76067554.0,624630910.0,34449642.0,60453687.0,668364987.0,669718570.0
 Somalia ,1984,6369020,111,466862206.0,14215005.0,14226515.0,721811488.0,58609560.0,74355412.0,64030829.0,663201929.0,93853564.0,32285902.0,35831021.0,66505506.0,692368587.0,38777613.0,70177236.0,706468491.0,716539851.0
 Somalia ,1985,6630637,119,515177530.0,17521342.0,33827196.0,818159931.0,85537263.0,95526813.0,72356993.0,732622669.0,137868779.0,38446777.0,41804493.0,74129466.0,779593033.0,52564025.0,78396177.0,791817942.0,809645162.0
 Somalia ,1986,6908579,113,479109764.0,20412840.0,46718601.0,798346453.0,78386001.0,143864169.0,135678547.0,719960452.0,180702868.0,42458707.0,46935923.0,85067108.0,766059858.0,55618184.0,78916039.0,778477779.0,808226355.0
 Somalia ,1987,7158004,123,569706732.0,25803153.0,53353721.0,910432190.0,101116724.0,196341692.0,152879241.0,809315466.0,248367617.0,44634078.0,42569826.0,85747102.0,877178173.0,59718171.0,93633190.0,882247449.0,911759985.0
 Somalia ,1988,7160461,136,623595366.0,35434907.0,32226645.0,940280811.0,115056168.0,209320588.0,175718369.0,825224643.0,205669181.0,17418600.0,20566030.0,87744474.0,926765865.0,63553476.0,95871612.0,972877242.0,976158864.0
 Somalia ,1989,7035378,144,684411234.0,36600843.0,23537649.0,931489108.0,104407535.0,246395309.0,229228398.0,827081573.0,148368371.0,19329938.0,23762874.0,92092036.0,998827351.0,66044124.0,95916240.0,1009756883.0,1053053695.0
