Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 South Africa ,1970,22368306,794,1230423325.0,769948501.0,3922735560.0,13367416725.0,2367012716.0,5293472447.0,4688849183.0,11000404009.0,4537398187.0,3931186649.0,5784999288.0,5250437347.0,17432734346.0,1783838999.0,2613086885.0,17749555194.0,18656436461.0
 South Africa ,1971,23031441,854,1474300577.0,894520143.0,4346054191.0,15150429548.0,2842208681.0,6489642176.0,5464707087.0,12308220868.0,5155078815.0,4190957398.0,6018481451.0,6056174349.0,19231247416.0,2023158901.0,2764611996.0,19669351293.0,20591360441.0
 South Africa ,1972,23698507,871,1523096881.0,1073162885.0,5285235847.0,15609525096.0,2820560908.0,5734578714.0,5887570134.0,12788964189.0,4735239531.0,4272360395.0,6455687663.0,6316066590.0,20232414096.0,1994064074.0,2870336002.0,20638703783.0,21621173733.0
 South Africa ,1973,24382513,1162,1988686656.0,1543460047.0,7247189666.0,20167420173.0,3584525267.0,7701650766.0,7626746029.0,16582894907.0,6474444982.0,5926362082.0,9358633665.0,8168648617.0,27860949447.0,2814361052.0,3987159410.0,28327528530.0,29635319023.0
 South Africa ,1974,25077016,1415,2997034063.0,1967998143.0,10043833569.0,24540853354.0,4632810814.0,11390762896.0,9489300898.0,19908042540.0,10199020664.0,7240300434.0,12055547440.0,9879457440.0,35155800818.0,3338163761.0,4917599971.0,35490745575.0,37223447010.0
 South Africa ,1975,25777964,1414,2739941688.0,1994164807.0,10278654308.0,26779461192.0,5641640992.0,12156420398.0,11515758750.0,21137820200.0,11142547108.0,8142597076.0,12764422998.0,10146339803.0,36312565672.0,3581944123.0,5085752254.0,36447229033.0,38493019666.0
 South Africa ,1976,26480300,1321,2310183491.0,1774962634.0,9886260003.0,26219890570.0,5816359405.0,10718531483.0,11325851098.0,20403531164.0,10274099991.0,7906923347.0,12466900535.0,10030114219.0,34768443053.0,3481379171.0,4704903004.0,34969740075.0,36959082763.0
 South Africa ,1977,27199838,1425,2663519483.0,1783888451.0,11969341314.0,29188148267.0,6578167002.0,11364670997.0,11682064390.0,22609981265.0,9939449991.0,8042356202.0,13540551221.0,11031604004.0,38318053109.0,4208831535.0,5089658416.0,38767144657.0,41048208458.0
 South Africa ,1978,27943445,1598,2908859091.0,1825967307.0,14737540329.0,32473467167.0,7234201000.0,12195421801.0,12645571871.0,25239266167.0,11625349990.0,9090488727.0,16405518275.0,12438517186.0,43813324787.0,4638807843.0,5595655084.0,44647913349.0,47224429660.0
 South Africa ,1979,28697014,1922,3183424208.0,2031862506.0,19786919910.0,38987084696.0,8683446335.0,15654901869.0,15538466561.0,30303638361.0,14412914775.0,11652401560.0,22110786857.0,14955743915.0,53942783168.0,5367394227.0,6293571455.0,55169145182.0,58276503954.0
 South Africa ,1980,29463549,2698,4789027480.0,2672216592.0,28628822230.0,53356610077.0,11895835983.0,25738626357.0,22432001141.0,41460774094.0,22027807963.0,16775141555.0,34537249130.0,19563635000.0,78288166099.0,7253219011.0,9472818885.0,79482833025.0,83912539371.0
 South Africa ,1981,30232561,2697,5108573891.0,3242071568.0,23583853271.0,58530325758.0,12744146795.0,29576612418.0,24446190244.0,45786178963.0,25138479201.0,19052349975.0,32754875062.0,21030570811.0,80274738876.0,7456517255.0,10682130290.0,81533203893.0,86252098058.0
 South Africa ,1982,31022417,2416,4079031151.0,3112511266.0,20184207545.0,56455617674.0,12906990056.0,20361101101.0,22459069838.0,43548627618.0,20405854589.0,17043326641.0,28443101406.0,20564086437.0,72635504277.0,6656939847.0,9779834170.0,74952870262.0,79121411435.0
 South Africa ,1983,31865176,2627,3548516793.0,3481350665.0,21038842166.0,63883799636.0,14381659931.0,22449346109.0,23725032589.0,49502139705.0,17786554173.0,18899417137.0,32209694683.0,23932905184.0,81334120192.0,7450126829.0,10711526040.0,83715644825.0,88229549694.0
 South Africa ,1984,32768207,2261,3391744505.0,2855273497.0,19183408908.0,57185427531.0,13648779942.0,20059586979.0,19332447564.0,43536647589.0,17732934993.0,16299385123.0,27437609139.0,22227959991.0,71563674235.0,7013591181.0,8637495921.0,74075499363.0,78093503778.0
 South Africa ,1985,33752964,1668,2789750732.0,2069658678.0,18069569368.0,42714793190.0,10775135651.0,12612460561.0,14042716126.0,31939657539.0,12921130271.0,11752066321.0,21183325804.0,17090857111.0,54383423322.0,5006071003.0,6243759995.0,56286102434.0,59647666510.0
 South Africa ,1986,34877834,1843,3051515668.0,2226783395.0,20080312305.0,49849478758.0,12711031538.0,13353323933.0,13814516073.0,37138447220.0,14231750254.0,13491054829.0,24495463174.0,19090990719.0,62088816305.0,6026508881.0,7197554468.0,64265345109.0,68114593939.0
 South Africa ,1987,36119333,2356,4509117384.0,2821505154.0,26080376059.0,67043385715.0,17016621238.0,14501743949.0,16464321757.0,50026764477.0,17453545292.0,18087864857.0,30419997023.0,25487775134.0,81642831885.0,8023468759.0,10380968431.0,85085681767.0,89366053282.0
 South Africa ,1988,37393853,2451,5005767879.0,3012596663.0,26953242657.0,72190363410.0,17658677090.0,19615233633.0,19254671915.0,54531686320.0,20846130415.0,19721284493.0,32274025124.0,26698524719.0,86892000095.0,8535477504.0,11365608206.0,91638627117.0,96056287126.0
 South Africa ,1989,38668684,2465,4799678719.0,3076096386.0,25735560000.0,75282213031.0,19018131741.0,21428874767.0,20855331691.0,56264081289.0,20522919802.0,20878618917.0,32679847618.0,28486624881.0,89827264012.0,8182849146.0,12602167262.0,95307749757.0,99975421719.0
 South Africa ,1990,39877570,2781,4806878520.0,3701817922.0,27275041623.0,92151660128.0,22763834609.0,21258021487.0,23064555979.0,69387825519.0,21016334464.0,24622055454.0,37570280350.0,34306412374.0,105000000000.0,9419312629.0,15610498244.0,111000000000.0,117000000000.0
