Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Spain ,1970,33792617,1198,3904684420.0,4114567935.0,4972593213.0,30217104245.0,4045923976.0,11624849529.0,11023258841.0,26171180268.0,5612204766.0,9543076551.0,11541866768.0,9418878016.0,37541226360.0,2731656107.0,5829573119.0,40470206741.0,40992170319.0
 Spain ,1971,34133622,1351,4691087145.0,4437542293.0,6066555021.0,34533186584.0,4681517675.0,12153942103.0,11463155823.0,29851668908.0,6004791266.0,10746265868.0,12997063039.0,10974365987.0,42959456772.0,3145866704.0,6713531602.0,46105233559.0,46617734549.0
 Spain ,1972,34515170,1697,5607005940.0,5592187638.0,7888137975.0,43492016052.0,5869485103.0,16151194602.0,15226151031.0,37622530949.0,8185351134.0,14065120949.0,17011050166.0,13539146523.0,54532609950.0,4078778671.0,8704441017.0,58558672519.0,59135631410.0
 Spain ,1973,34898147,2237,7232931913.0,7920283085.0,10477445947.0,57602008840.0,7795916346.0,22571187634.0,21451472858.0,49806092495.0,11628982215.0,18603279564.0,22499722493.0,18264959278.0,72465652565.0,5279940248.0,11267815544.0,78082832686.0,78650722199.0
 Spain ,1974,35329897,2744,8467711363.0,10540122536.0,12825108968.0,72259506590.0,10038132724.0,30976913154.0,28076208972.0,62221373865.0,18006093816.0,23499976668.0,28422027862.0,23139698115.0,91375454448.0,6638597179.0,14167297394.0,96947690028.0,97273206247.0
 Spain ,1975,35760431,3186,9858172665.0,12234662536.0,14203658444.0,86037023263.0,12508143312.0,34554928102.0,31289864399.0,73528879951.0,19178168834.0,27094674984.0,32769636911.0,28851092112.0,109000000000.0,7976630362.0,17022772474.0,114000000000.0,115000000000.0
 Spain ,1976,36139064,3244,9642531912.0,11893127510.0,14892843109.0,91493054365.0,13951926533.0,33677613375.0,30471770242.0,77541127832.0,20751631662.0,27948289170.0,33802036164.0,30700876618.0,112000000000.0,8313615658.0,17741918730.0,117000000000.0,119000000000.0
 Spain ,1977,36513082,3583,10537393030.0,12883046593.0,17550435627.0,102000000000.0,15875591335.0,34917330854.0,32689758426.0,85777418927.0,21073151399.0,30695841376.0,37125055679.0,35242251198.0,125000000000.0,9408700578.0,20078915804.0,131000000000.0,132000000000.0
 Spain ,1978,36865443,4300,12627972163.0,15347124175.0,22291322000.0,122000000000.0,19960926354.0,38820555036.0,37537975051.0,102000000000.0,22236932185.0,36599172955.0,44264862215.0,43216195915.0,153000000000.0,11973263953.0,25551934462.0,159000000000.0,161000000000.0
 Spain ,1979,37188965,5711,14874179113.0,20489301657.0,29407241349.0,165000000000.0,27792878985.0,50564167760.0,47762753510.0,138000000000.0,30325003969.0,47982490960.0,58032365728.0,58307895205.0,204000000000.0,16678629557.0,35593480005.0,212000000000.0,215000000000.0
 Spain ,1980,37491666,6128,15080979074.0,21771646447.0,33261358404.0,184000000000.0,31665797605.0,56725298257.0,52985320584.0,152000000000.0,40194928335.0,51639857351.0,62455748701.0,65387248973.0,221000000000.0,17936868371.0,38278696168.0,230000000000.0,233000000000.0
 Spain ,1981,37758649,5274,11234923701.0,17393808814.0,33026190173.0,163000000000.0,29492361566.0,46054168466.0,45927025738.0,133000000000.0,38732106307.0,44214076083.0,53474806228.0,59759507005.0,193000000000.0,16174503249.0,34517873431.0,199000000000.0,203000000000.0
 Spain ,1982,37982149,5063,11003581611.0,17044462133.0,33276258815.0,157000000000.0,28843877990.0,44264288529.0,43935684591.0,128000000000.0,38321866210.0,41688502111.0,50419983114.0,58584150676.0,186000000000.0,15707619326.0,33521005515.0,192000000000.0,196000000000.0
 Spain ,1983,38169760,4383,9351770677.0,13948084042.0,32608305580.0,137000000000.0,25906589024.0,37143660773.0,37270901997.0,111000000000.0,35374001774.0,36273059873.0,43870368011.0,50734680662.0,162000000000.0,13944297421.0,29758321650.0,167000000000.0,171000000000.0
 Spain ,1984,38329925,4397,9843442232.0,12368624765.0,36663448157.0,135000000000.0,25673384329.0,35446653670.0,34390493641.0,109000000000.0,34831075150.0,36362263771.0,43978804453.0,53060655982.0,164000000000.0,14163457055.0,30226651950.0,169000000000.0,172000000000.0
 Spain ,1985,38471920,4636,9692358257.0,13330837470.0,37722622786.0,142000000000.0,27455598882.0,37640656067.0,37100197531.0,114000000000.0,36162613115.0,37870037458.0,45801041989.0,55389526176.0,170000000000.0,14558660162.0,31067681695.0,178000000000.0,181000000000.0
 Spain ,1986,38590808,6430,12910337678.0,18403944299.0,45733296405.0,194000000000.0,37674607036.0,54607601348.0,52941451307.0,157000000000.0,43101211977.0,52485340202.0,63478570932.0,76880592864.0,233000000000.0,19508476241.0,41634228808.0,248000000000.0,251000000000.0
 Spain ,1987,38694533,8135,16338191458.0,24790489069.0,56496068123.0,248000000000.0,49363640310.0,73821447555.0,71073178888.0,199000000000.0,59269976049.0,64553908799.0,78078473727.0,97544719199.0,297000000000.0,25546403471.0,54522715734.0,315000000000.0,319000000000.0
 Spain ,1988,38781722,9563,19654908900.0,31726209659.0,65086238195.0,289000000000.0,57684639089.0,95351237706.0,90727950253.0,232000000000.0,73015352537.0,74474901545.0,90063934720.0,116000000000.0,352000000000.0,30254254116.0,64546676235.0,371000000000.0,376000000000.0
 Spain ,1989,38847318,10561,20056482564.0,38634467896.0,68863006605.0,322000000000.0,65680716195.0,111000000000.0,106000000000.0,257000000000.0,86198355787.0,80350495101.0,97186554390.0,129000000000.0,389000000000.0,33064744338.0,70584861044.0,410000000000.0,415000000000.0
 Spain ,1990,38889889,13641,25648103035.0,53484351624.0,84367911257.0,416000000000.0,87179715676.0,144000000000.0,138000000000.0,329000000000.0,107000000000.0,99269124727.0,120000000000.0,171000000000.0,505000000000.0,42990019350.0,91764978333.0,530000000000.0,537000000000.0
