Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sri Lanka ,1970,12388769,224,650558796.0,109127317.0,584305075.0,2312508044.0,175382092.0,604362408.0,424435191.0,2137125952.0,656545207.0,381237501.0,413518327.0,465075386.0,2087338984.0,220241388.0,228817769.0,2776858451.0,2815130072.0
 Sri Lanka ,1971,12654651,225,642950572.0,101757151.0,582650368.0,2392781593.0,186421190.0,549277357.0,401868372.0,2206360402.0,629997029.0,395607672.0,429239796.0,492171384.0,2140900192.0,233732166.0,241049122.0,2849435345.0,2881312510.0
 Sri Lanka ,1972,12914457,247,677753733.0,116085053.0,570153963.0,2677074351.0,194592028.0,607043737.0,440242665.0,2482482323.0,610352832.0,439284526.0,475314399.0,523652169.0,2374977858.0,283101090.0,299071413.0,3189593350.0,3218597319.0
 Sri Lanka ,1973,13169737,264,802518701.0,112148415.0,699882858.0,3045283456.0,229555801.0,491630763.0,454523776.0,2815727655.0,734713003.0,431721207.0,502592070.0,510548808.0,2559627164.0,297281821.0,334537350.0,3475389278.0,3502373692.0
 Sri Lanka ,1974,13418276,323,1055759840.0,123829620.0,944705484.0,4064854202.0,253694272.0,651025704.0,474828797.0,3811159931.0,1211592678.0,597800245.0,670249273.0,535698343.0,3161129749.0,354775659.0,420817015.0,4334933297.0,4358964299.0
 Sri Lanka ,1975,13662873,332,824717616.0,137968413.0,1042646814.0,4110750400.0,239184830.0,806881955.0,535589144.0,3871565570.0,1325928217.0,1052961679.0,1139719336.0,586486155.0,3429720140.0,338075687.0,402752932.0,4539252858.0,4509822194.0
 Sri Lanka ,1976,13910170,311,782739317.0,146599557.0,1042914884.0,3669001426.0,216078051.0,789846018.0,564063608.0,3452923375.0,1126723728.0,964459486.0,1061176252.0,538243617.0,3245404217.0,320105834.0,396539640.0,4325719902.0,4290637978.0
 Sri Lanka ,1977,14159052,346,921281586.0,137345637.0,1387493661.0,4060685150.0,240207520.0,671857784.0,555307926.0,3820477630.0,1237372504.0,1177035564.0,1264513540.0,596366334.0,3688016525.0,345442582.0,423066846.0,4898640533.0,4854356293.0
 Sri Lanka ,1978,14414816,234,590762050.0,121456074.0,950311753.0,2749655974.0,193119625.0,768779738.0,643948427.0,2556536349.0,1080812265.0,769472801.0,838622156.0,406933054.0,2505688257.0,216570368.0,331344555.0,3366433146.0,3326572048.0
 Sri Lanka ,1979,14680387,284,744050216.0,182082715.0,1134111804.0,3436124926.0,217396776.0,1200354672.0,982877981.0,3218728151.0,1539266411.0,832730658.0,915152041.0,555481715.0,3076365038.0,312299985.0,367298366.0,4163315754.0,4062258962.0
