Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 State of Palestine ,1970,1118241,186,22132214.0,16886286.0,18365589.0,249961451.0,65672958.0,28310267.0,26905639.0,184288492.0,103285364.0,28788815.0,34314164.0,63485377.0,167335394.0,6216648.0,24300706.0,207856268.0,177351765.0
 State of Palestine ,1971,1136148,222,25396505.0,19377093.0,26398524.0,273076115.0,69329877.0,39920474.0,37939855.0,203746238.0,127377354.0,33035593.0,39375857.0,72848187.0,192016122.0,7133440.0,27885041.0,252757527.0,203508476.0
 State of Palestine ,1972,1166851,337,36857750.0,28122022.0,39262748.0,397309868.0,91391099.0,89178949.0,84754447.0,305918769.0,210793548.0,47945015.0,57146520.0,105723514.0,278671347.0,10352370.0,40469171.0,393700906.0,295349517.0
 State of Palestine ,1973,1195399,414,45951217.0,35058956.0,49146665.0,533678924.0,120818295.0,112118058.0,106554949.0,412860629.0,297625518.0,59771120.0,71242898.0,131811294.0,347423426.0,12906808.0,50452253.0,495261134.0,368223892.0
 State of Palestine ,1974,1225364,615,71971806.0,54911005.0,76442965.0,735465867.0,157862452.0,231609241.0,220117287.0,577603415.0,419110233.0,93612734.0,111580638.0,206451236.0,544152659.0,20216505.0,79021469.0,753213300.0,576733002.0
 State of Palestine ,1975,1263706,622,72247940.0,55123972.0,95410923.0,777266105.0,153594010.0,193940470.0,184318403.0,623672096.0,476202821.0,93978916.0,112016048.0,207238974.0,546251380.0,20294619.0,79329827.0,785624902.0,578942448.0
 State of Palestine ,1976,1300913,692,84894566.0,64777094.0,111894302.0,838790448.0,160941736.0,245812802.0,233618716.0,677848712.0,508683964.0,110441967.0,131635631.0,243503025.0,641870695.0,23843671.0,93216708.0,900670349.0,680264614.0
 State of Palestine ,1977,1337323,698,87412454.0,66697015.0,119929100.0,909863420.0,168314597.0,257099140.0,244343972.0,741548823.0,580801835.0,113715685.0,135537289.0,250729842.0,660899807.0,24547875.0,95975330.0,932995389.0,700446989.0
 State of Palestine ,1978,1374123,704,90882508.0,69327155.0,124351619.0,853086626.0,158298739.0,298791181.0,283958853.0,694787887.0,539295438.0,118187995.0,140877881.0,260735456.0,687124288.0,25530339.0,99770950.0,967232392.0,728337644.0
 State of Palestine ,1979,1412626,837,105590716.0,80556010.0,137922154.0,1052245403.0,192100311.0,341437893.0,324497250.0,860145092.0,662228278.0,137305847.0,163667178.0,302885334.0,798298811.0,29667338.0,115932234.0,1182857999.0,846107296.0
 State of Palestine ,1980,1453620,997,134028999.0,102283125.0,166222731.0,1163866131.0,208575205.0,495602250.0,471024467.0,955290926.0,726115162.0,174407773.0,207871611.0,384413933.0,1013466628.0,37654157.0,147214803.0,1448799356.0,1073980249.0
 State of Palestine ,1981,1497547,937,123772758.0,94471165.0,188845715.0,1182586234.0,208078823.0,390914332.0,371534483.0,974507411.0,792914073.0,161111151.0,192004992.0,354929478.0,935827113.0,34738191.0,135910528.0,1403200825.0,991661360.0
 State of Palestine ,1982,1546087,973,131538771.0,100356248.0,178371833.0,1187391542.0,203565419.0,440070250.0,418227287.0,983826123.0,759240823.0,171105867.0,203938304.0,377335529.0,994464635.0,36917398.0,144378385.0,1504179092.0,1054084858.0
 State of Palestine ,1983,1604100,999,136394809.0,103913041.0,184242259.0,1299390458.0,225426123.0,442545498.0,420512315.0,1073964335.0,830469791.0,177059631.0,211127363.0,391699526.0,1031136695.0,38375355.0,149626601.0,1602287653.0,1093711709.0
 State of Palestine ,1984,1674189,891,134368210.0,102568538.0,160041231.0,1261917296.0,217881537.0,401497443.0,381628155.0,1044035759.0,742565471.0,174667088.0,208208871.0,385134779.0,1015687432.0,37786071.0,147620964.0,1491405755.0,1076050329.0
 State of Palestine ,1985,1731085,792,125386584.0,95834233.0,145215844.0,1185436192.0,205528441.0,402819616.0,382891104.0,979907751.0,708564800.0,163732071.0,195050851.0,359410300.0,948890780.0,35210463.0,137998349.0,1370414825.0,1004702951.0
 State of Palestine ,1986,1775266,1207,201437206.0,153871567.0,231994740.0,1830575536.0,309134456.0,683141949.0,649329564.0,1521441080.0,1095109286.0,262607061.0,312810767.0,577085376.0,1522333232.0,56254466.0,220873851.0,2143419204.0,1612806022.0
 State of Palestine ,1987,1862765,1343,221727226.0,168806681.0,251777552.0,2227120622.0,378957357.0,709396176.0,673974196.0,1848163265.0,1365800263.0,287460729.0,342806054.0,637202673.0,1675634905.0,62226039.0,242866231.0,2502375790.0,1778518685.0
 State of Palestine ,1988,1963256,1310,233298379.0,176468132.0,280455458.0,2201543797.0,358442820.0,751172918.0,713202297.0,1843100978.0,1351950341.0,299737581.0,358208517.0,673712759.0,1763372058.0,66455931.0,255228339.0,2571320464.0,1876876251.0
 State of Palestine ,1989,2041380,1214,224105593.0,172719063.0,259644219.0,2106502189.0,355551850.0,712037552.0,677866292.0,1750950339.0,1270435059.0,293289411.0,349068470.0,636183666.0,1692949529.0,62863416.0,248009320.0,2478391094.0,1783015176.0
 State of Palestine ,1990,2124609,1239,240895554.0,185292251.0,280695412.0,2318640859.0,413053856.0,783221674.0,744534047.0,1905587003.0,1388015274.0,321702081.0,382056002.0,690692620.0,1833588928.0,67166531.0,267485971.0,2632747653.0,1935843863.0
 State of Palestine ,1991,2214272,1272,261668317.0,199305392.0,302774339.0,2510503991.0,452562160.0,845814763.0,803854167.0,2057941831.0,1501146429.0,338327480.0,402826016.0,747583805.0,1964027214.0,71056981.0,281586702.0,2817154370.0,2086781015.0
 State of Palestine ,1992,2309999,1515,317868081.0,237914966.0,374007909.0,3104966059.0,545169622.0,1033623275.0,979752423.0,2559796437.0,1871907851.0,400523464.0,480481014.0,927913901.0,2401919441.0,91419740.0,346321738.0,3499710597.0,2573316615.0
 State of Palestine ,1993,2410644,1560,339458018.0,248265506.0,404974663.0,3275733386.0,542939250.0,1114973096.0,1055179581.0,2732794136.0,1993961823.0,415949296.0,502784545.0,1004398590.0,2567934214.0,103973006.0,369054548.0,3760653333.0,2771980343.0
 State of Palestine ,1994,2515164,1275,377100000.0,315900000.0,413500000.0,3319000000.0,513700000.0,1144800000.0,1104500000.0,2805300000.0,2044700000.0,535800000.0,626600000.0,983900000.0,2841300000.0,98100000.0,439700000.0,3206000000.0,2843300000.0
 State of Palestine ,1995,2623144,1419,388000000.0,295300000.0,562100000.0,3890000000.0,604400000.0,1249400000.0,1182500000.0,3285600000.0,2441200000.0,573300000.0,673900000.0,1171100000.0,3071500000.0,104700000.0,438500000.0,3722600000.0,3282800000.0
 State of Palestine ,1996,2734001,1402,443800000.0,322100000.0,546000000.0,4133600000.0,743900000.0,1243200000.0,1180700000.0,3389700000.0,2497700000.0,483700000.0,584500000.0,1246300000.0,3106700000.0,105100000.0,404900000.0,3834000000.0,3409600000.0
 State of Palestine ,1997,2847213,1503,429300000.0,290200000.0,650300000.0,4535300000.0,832700000.0,1317500000.0,1231900000.0,3702600000.0,2746200000.0,463300000.0,583200000.0,1399800000.0,3363100000.0,161300000.0,499300000.0,4280100000.0,3759800000.0
 State of Palestine ,1998,2950918,1622,476500000.0,305500000.0,734400000.0,4805300000.0,907100000.0,1402100000.0,1306100000.0,3898200000.0,2885600000.0,496700000.0,629300000.0,1509500000.0,3625900000.0,192900000.0,512200000.0,4786500000.0,4067800000.0
 State of Palestine ,1999,3044486,1651,454900000.0,466800000.0,751600000.0,5032900000.0,1000900000.0,1831300000.0,1682000000.0,4032000000.0,3363500000.0,452100000.0,590100000.0,1588600000.0,3788600000.0,177700000.0,510500000.0,5025000000.0,4271200000.0
 State of Palestine ,2000,3139954,1535,417600000.0,313600000.0,885000000.0,4965700000.0,1098900000.0,1358900000.0,1321800000.0,3866800000.0,2895400000.0,450300000.0,613500000.0,1778000000.0,3859500000.0,204300000.0,532500000.0,4819100000.0,4313600000.0
 State of Palestine ,2001,3230078,1338,339200000.0,326900000.0,615900000.0,4881800000.0,1116400000.0,1184200000.0,1163200000.0,3765400000.0,2696200000.0,439300000.0,634900000.0,1729300000.0,3702900000.0,248900000.0,423700000.0,4322700000.0,4003700000.0
 State of Palestine ,2002,3309486,1141,285600000.0,191900000.0,477800000.0,4383700000.0,985800000.0,930500000.0,902500000.0,3397900000.0,2233600000.0,321500000.0,521700000.0,1643600000.0,3359000000.0,274900000.0,441300000.0,3774700000.0,3555800000.0
 State of Palestine ,2003,3384190,1245,277000000.0,224900000.0,515100000.0,4838100000.0,906000000.0,1143000000.0,1108900000.0,3932100000.0,2516400000.0,499300000.0,695300000.0,1709400000.0,3688200000.0,295000000.0,486600000.0,4212700000.0,3968000000.0
 State of Palestine ,2004,3460125,1396,512800000.0,237000000.0,596800000.0,5855400000.0,1242500000.0,1151500000.0,1111600000.0,4612900000.0,3137400000.0,455800000.0,683100000.0,1834800000.0,4076000000.0,314000000.0,494300000.0,4831300000.0,4603100000.0
 State of Palestine ,2005,3541193,1546,460800000.0,272900000.0,723300000.0,6661500000.0,1385200000.0,1241300000.0,1223000000.0,5276300000.0,3573900000.0,579800000.0,802700000.0,2114900000.0,4474300000.0,265200000.0,557800000.0,5474700000.0,5125700000.0
 State of Palestine ,2006,3627668,1591,609000000.0,313200000.0,736300000.0,6997400000.0,1399200000.0,1155100000.0,1120600000.0,5598200000.0,3683400000.0,455400000.0,668500000.0,2175300000.0,4706400000.0,350600000.0,589800000.0,5770900000.0,5348300000.0
 State of Palestine ,2007,3717878,1713,519100000.0,245900000.0,1066300000.0,7658000000.0,1640400000.0,1204900000.0,1160700000.0,6017600000.0,4284100000.0,580200000.0,775800000.0,2310500000.0,5060200000.0,413700000.0,795200000.0,6368300000.0,5815700000.0
 State of Palestine ,2008,3808818,2096,740400000.0,221400000.0,1165000000.0,9209500000.0,1832800000.0,1371900000.0,1313500000.0,7376700000.0,4645300000.0,798300000.0,1046000000.0,2563100000.0,6208800000.0,633900000.0,1004000000.0,7981700000.0,7310400000.0
 State of Palestine ,2009,3899398,2210,810300000.0,265000000.0,1133300000.0,10103900000.0,2342700000.0,1504800000.0,1471100000.0,7761200000.0,4943200000.0,871300000.0,1154700000.0,2696300000.0,6906300000.0,602900000.0,1377100000.0,8617800000.0,8085700000.0
 State of Palestine ,2010,3992278,2575,871600000.0,361100000.0,1367300000.0,11525500000.0,2500800000.0,1921500000.0,1824900000.0,9024700000.0,5264300000.0,1184000000.0,1442200000.0,3150700000.0,8261000000.0,681600000.0,1753800000.0,10280600000.0,9681500000.0
 State of Palestine ,2011,4087744,2920,933200000.0,524200000.0,1799400000.0,13094700000.0,2892300000.0,1863800000.0,2357700000.0,10202400000.0,5723200000.0,1283000000.0,1593800000.0,3777200000.0,9787200000.0,771900000.0,2186900000.0,11935614000.0,11186100000.0
 State of Palestine ,2012,4184161,3123,989600000.0,605800000.0,1871100000.0,13965400000.0,3126900000.0,2378500000.0,2499200000.0,10838500000.0,6299900000.0,1600600000.0,1864700000.0,4073000000.0,10782400000.0,843500000.0,2405800000.0,13065925000.0,12208400000.0
 State of Palestine ,2013,4281794,3427,1027000000.0,631800000.0,2111100000.0,15261500000.0,3381700000.0,3067200000.0,2936200000.0,11879800000.0,6845800000.0,1608200000.0,1876500000.0,4628000000.0,11748500000.0,972500000.0,2612700000.0,14675800000.0,13515500000.0
 State of Palestine ,2014,4380475,3532,1096100000.0,725500000.0,2213600000.0,15999200000.0,3523200000.0,3151700000.0,2960400000.0,12476000000.0,7263000000.0,1504000000.0,1788700000.0,4928000000.0,12203800000.0,792200000.0,2873300000.0,15472300000.0,13989700000.0
 State of Palestine ,2015,4484614,3497,1035200000.0,665300000.0,2244300000.0,15842800000.0,3494500000.0,3505400000.0,3304600000.0,12348300000.0,7645500000.0,1302400000.0,1629700000.0,4875800000.0,11948800000.0,807200000.0,2935600000.0,15684800000.0,13972400000.0
