Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sudan (Former) ,1970,14647616,84,478845492.0,38477886.0,188983343.0,1132349228.0,232260196.0,128518093.0,112877657.0,900089032.0,216157381.0,109238943.0,138968984.0,237446870.0,1169356695.0,78968984.0,196648478.0,1228506609.0,1233693283.0
 Sudan (Former) ,1971,15065729,88,517711087.0,44595060.0,199666859.0,1227501439.0,237294659.0,140594486.0,129910971.0,990206781.0,229009191.0,118529581.0,150269960.0,259511776.0,1278753594.0,87329121.0,219330845.0,1332963818.0,1338753594.0
 Sudan (Former) ,1972,15521975,106,666588170.0,71381390.0,226763355.0,1466496271.0,267874785.0,258971856.0,182248708.0,1198621485.0,293113154.0,144465825.0,178299828.0,334534751.0,1602989666.0,105522688.0,246659966.0,1643578408.0,1659118328.0
 Sudan (Former) ,1973,16012056,132,852940841.0,97550259.0,254557726.0,1958348656.0,300623206.0,382688111.0,274531879.0,1657725450.0,461117175.0,190066055.0,227380816.0,420855831.0,2051717410.0,127125216.0,325861575.0,2119577835.0,2134480190.0
 Sudan (Former) ,1974,16580570,155,939497418.0,119072373.0,293811029.0,2363179214.0,343592764.0,536137279.0,446252155.0,2019589322.0,592731191.0,227538771.0,273681793.0,492550260.0,2476909829.0,218170592.0,433940265.0,2573716262.0,2600396331.0
 Sudan (Former) ,1975,17215822,186,1124531881.0,148724871.0,338095923.0,2847521548.0,398173465.0,640422173.0,522354970.0,2449348083.0,610614591.0,268802413.0,322917864.0,603960369.0,3113383122.0,324391155.0,588859852.0,3206869624.0,3242133840.0
 Sudan (Former) ,1976,17874622,225,1452561750.0,171794946.0,347076394.0,3668179218.0,471490524.0,629738658.0,492392305.0,3196688694.0,661866745.0,314867893.0,373785182.0,732398049.0,3897110867.0,391513499.0,775054569.0,4014170029.0,4043202194.0
 Sudan (Former) ,1977,18568262,255,1674496484.0,187819764.0,367816577.0,4397245514.0,571121421.0,654267565.0,513055246.0,3826124094.0,701880162.0,385237291.0,454064332.0,839221211.0,4580030905.0,497650579.0,926784278.0,4727087462.0,4750817657.0
 Sudan (Former) ,1978,19301717,263,1720804999.0,234686899.0,456948371.0,4616475139.0,648427108.0,1020954111.0,791767252.0,3968048031.0,1003100177.0,442093496.0,526297617.0,1026168022.0,4933082424.0,556937288.0,868187599.0,5074244807.0,5111632359.0
 Sudan (Former) ,1979,20065826,280,1861626412.0,314448933.0,557664467.0,5198381371.0,721798837.0,1304211265.0,1109927770.0,4476582535.0,1453647382.0,459234176.0,548933594.0,1280845052.0,5431735935.0,567965827.0,857916119.0,5612647003.0,5646498654.0
 Sudan (Former) ,1980,20865598,303,2192854004.0,365494001.0,612372001.0,5893456012.0,737618001.0,1469900003.0,1225608002.0,5155838010.0,1653212003.0,464052001.0,546866001.0,1454210003.0,6133920012.0,635934001.0,938562002.0,6320430013.0,6365486013.0
 Sudan (Former) ,1981,21698202,348,2503561134.0,476004355.0,832912338.0,7166556833.0,758965154.0,1579962128.0,1384311471.0,6407593468.0,1956984332.0,548070919.0,634318180.0,1774310129.0,7311028151.0,780720220.0,1142112344.0,7545917733.0,7672758465.0
 Sudan (Former) ,1982,22526928,254,1734605693.0,359965347.0,680101859.0,5448794502.0,556536806.0,922333299.0,979374148.0,4892257696.0,1283204874.0,435887851.0,515008926.0,1374045995.0,5511128851.0,565878400.0,961625539.0,5719389903.0,5807458789.0
 Sudan (Former) ,1983,23236536,219,1502261538.0,285823077.0,442733846.0,5206667692.0,505205385.0,447069231.0,447069231.0,4701463077.0,862016154.0,464527692.0,553648462.0,1115871538.0,4948419231.0,452599231.0,1038216154.0,5093814615.0,5234454615.0
 Sudan (Former) ,1984,23768876,285,2085599231.0,364922308.0,430665385.0,7008933077.0,651496923.0,614575385.0,614575385.0,6357436154.0,992480000.0,597643846.0,724346154.0,1473941538.0,6695104615.0,526263077.0,1520033077.0,6785393077.0,7061693846.0
 Sudan (Former) ,1985,24224171,265,2342986730.0,303151224.0,311375528.0,6065007107.0,448996430.0,833119432.0,833119432.0,5616011111.0,585729322.0,435362898.0,536802769.0,1125977800.0,6384712406.0,650672627.0,1425122123.0,6408143575.0,6623773180.0
 Sudan (Former) ,1986,24707119,352,3411110000.0,390921600.0,423332000.0,7983178400.0,604846400.0,1282072000.0,1282072000.0,7378332000.0,710348000.0,595466000.0,722423600.0,1350397200.0,8678118800.0,1053343600.0,1749922800.0,8685101600.0,8978234800.0
 Sudan (Former) ,1987,25124341,449,4595022000.0,412211000.0,526206333.0,10397329333.0,808984333.0,1632112667.0,1632112667.0,9588344667.0,932082667.0,815481333.0,956614000.0,1562040333.0,11224105667.0,1215291667.0,2482926333.0,11269187667.0,11623565667.0
 Sudan (Former) ,1988,25268698,439,4330246889.0,482754667.0,484072667.0,10510579333.0,791421778.0,1273990667.0,1273990667.0,9719157556.0,726339556.0,783016889.0,934549778.0,1629971778.0,11147832222.0,997535333.0,2772773778.0,11103838889.0,11542303111.0
 Sudan (Former) ,1989,25425335,423,4438807708.0,583398354.0,269869739.0,10313731462.0,646160228.0,1353988893.0,1353988893.0,9667571095.0,598909998.0,651302066.0,793019138.0,1695934244.0,10932118986.0,880778655.0,2540180886.0,10764690780.0,11338680097.0
