Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sudan ,2008,32065241,1307,22903148503.0,1648200794.0,2198154460.0,42299057673.0,2756708661.0,11202254460.0,9418770502.0,39542349012.0,6194322961.0,4475140288.0,7574621172.0,5674332209.0,49891668868.0,4071221554.0,8020144636.0,41902063791.0,49508784350.0
 Sudan ,2009,32948155,1292,18944426316.0,2154237465.0,1184343345.0,43140109461.0,3212705527.0,10747100578.0,9356551373.0,39927403934.0,6103578495.0,4816251613.0,6888317449.0,6626279243.0,48121892192.0,5450451569.0,8058180149.0,42559786532.0,48971439614.0
 Sudan ,2010,33739933,1606,22867337050.0,2261231964.0,2635708238.0,44416731650.0,2665866547.0,13425247525.0,12085595414.0,41750865102.0,5742538751.0,5296212834.0,5294422608.0,8334578114.0,53707841426.0,5930251586.0,9020020105.0,54179899306.0,54739552605.0
 Sudan ,2011,34419624,1950,21833382938.0,3097227329.0,9783660102.0,52544452439.0,4901786477.0,17766625477.0,16115696352.0,47642665963.0,11786795441.0,6210183025.0,12842121226.0,14192059267.0,68307957983.0,7028760438.0,9314406786.0,67120934136.0,68307942577.0
 Sudan ,2012,35159792,1697,21344291351.0,1989662169.0,4333020023.0,55477453527.0,4077461487.0,11955518684.0,10289056485.0,51399992039.0,9479259717.0,5691669880.0,9143951661.0,13470537792.0,62286731366.0,6494247046.0,9844041346.0,59675590955.0,62286732516.0
 Sudan ,2013,35990704,1651,19549077901.0,2287462422.0,6277129089.0,58402346986.0,4224913111.0,10710907033.0,9389335359.0,54177433875.0,11456788598.0,5012858276.0,11074283488.0,14420698778.0,63933586655.0,6241455143.0,10360608922.0,59433389005.0,63933594510.0
 Sudan ,2014,37003245,2055,25061564804.0,2783716731.0,5845072223.0,71428118136.0,4672480913.0,10985789572.0,9564508501.0,66755637224.0,10167884908.0,5152549657.0,11120862400.0,15832679779.0,78091102373.0,10471603792.0,12820674868.0,76058138589.0,78091095023.0
 Sudan ,2015,38171178,2048,26818146778.0,3063317532.0,5458489813.0,78353289385.0,5247328766.0,10281853533.0,9474736735.0,73105960618.0,10160225168.0,5495385573.0,10594748269.0,19750536400.0,83933480999.0,9013128068.0,14693603952.0,78157674506.0,83933528709.0
 Sudan ,2016,39377169,2133,21763053237.0,3390497479.0,4739968155.0,86726278189.0,5293066887.0,7939015268.0,7688697434.0,81433211301.0,9733957071.0,6652491497.0,13046794198.0,22999859154.0,89671337360.0,8997124096.0,19474009196.0,83996228634.0,89671402298.0
 Sudan ,2017,40679828,2731,27539955689.0,3652739393.0,7928586819.0,116000000000.0,8340385674.0,13061917957.0,12689350865.0,108000000000.0,15202083982.0,8477104238.0,17903126478.0,37731162780.0,122000000000.0,10130823418.0,25114842963.0,111000000000.0,122000000000.0
 Sudan ,2018,41999059,1195,8964088071.0,1608251194.0,2925827641.0,45292158965.0,3746937147.0,7628002780.0,7585912939.0,41545221818.0,7482579090.0,5296003612.0,9952082153.0,15635405247.0,48363451729.0,4341517252.0,7862107812.0,50188979809.0,48363447289.0
 Sudan ,2019,43232093,847,7096250667.0,1256010726.0,2974826071.0,33982661204.0,2788600372.0,4378827561.0,4357392924.0,31194060832.0,6217355680.0,2928443352.0,6393568644.0,11434268458.0,35082494669.0,3103392158.0,5799004017.0,36628476195.0,35118937306.0
 Sudan ,2020,44440486,729,7005897032.0,1130751822.0,2401762099.0,32648342387.0,2573746270.0,4450404813.0,4398603109.0,30074596117.0,5214709685.0,2998106785.0,6108483572.0,10948186590.0,34273923677.0,2984311383.0,6096293279.0,32414211246.0,34285818055.0
 Sudan ,2021,45657202,745,7074807530.0,1219462716.0,2573536170.0,34150188158.0,2773094077.0,4928295726.0,4892530033.0,31377094081.0,5784766937.0,3351615732.0,6766892743.0,11575522580.0,35850670576.0,3170408748.0,6043576260.0,34023148464.0,35867261255.0
