Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sweden ,1970,8027702,4673,2573539478.0,2295474518.0,8362506638.0,26444285055.0,7708785835.0,12777510472.0,10841204002.0,18735499220.0,8511436026.0,8507974964.0,9527893875.0,11049009079.0,32824130573.0,3658000540.0,3720213082.0,37515391767.0,38092378396.0
 Sweden ,1971,8073819,5077,2991573357.0,2483572172.0,9215361135.0,29188050457.0,8816274554.0,12646331696.0,11534640448.0,20371775903.0,8730018180.0,9003964953.0,10202800425.0,12330300033.0,36156159356.0,4000522659.0,4147390710.0,40990808424.0,41566370370.0
 Sweden ,1972,8117716,5952,3064903141.0,2898569752.0,10790804041.0,34625703414.0,10492421497.0,14364629935.0,13741161598.0,24133281917.0,10057985339.0,10246855804.0,11652255162.0,14665890541.0,41726781727.0,4858016850.0,4587146281.0,48314126242.0,48953974498.0
 Sweden ,1973,8156939,7199,3538349096.0,3546373447.0,14835579144.0,41747767369.0,12710662777.0,16831771256.0,16441720079.0,29037104592.0,13262424412.0,12789894159.0,14477878839.0,17626961709.0,50788283417.0,6089383499.0,5509336826.0,58722308102.0,59405646817.0
 Sweden ,1974,8193154,7960,4929932662.0,3635135216.0,19375028302.0,47030809856.0,14452295740.0,20552517955.0,17937559936.0,32578514117.0,19719086147.0,16016183530.0,17847391266.0,19079068913.0,58845840487.0,6806225843.0,6548086587.0,65214977180.0,66012967235.0
 Sweden ,1975,8224408,9955,5890256146.0,4576326752.0,21260120223.0,58325526252.0,18609648885.0,26241183879.0,21940689481.0,39715877368.0,21285632292.0,19484368069.0,21822169958.0,23944166415.0,72554858438.0,7676478566.0,8645460601.0,81875796537.0,82885563989.0
 Sweden ,1976,8246995,10690,6382790126.0,5444347458.0,22510383298.0,64754994534.0,20966165830.0,27480491295.0,23951734801.0,43788828704.0,23742228902.0,19588789729.0,22090418045.0,26908838022.0,78181496161.0,8060774774.0,9294327735.0,88156462436.0,89362242654.0
 Sweden ,1977,8265242,11239,6119454450.0,5621960836.0,23577138219.0,71157009817.0,24493373899.0,25517967194.0,25237683295.0,46663635918.0,24866161624.0,18920688798.0,21451074821.0,29732527855.0,81142033418.0,8675789105.0,9541226352.0,92893861459.0,94467862579.0
 Sweden ,1978,8281299,12383,6114465501.0,5806744212.0,26862097284.0,78818385867.0,27510018984.0,24600443739.0,25701355220.0,51308366883.0,25733585120.0,19893727769.0,23045930569.0,33841792872.0,88608906768.0,9456562835.0,10343410779.0,103000000000.0,104000000000.0
 Sweden ,1979,8296033,14612,6441859767.0,6737901138.0,34178742898.0,92704555566.0,32922975379.0,32487962608.0,30975236940.0,59781580187.0,35107429302.0,24034816939.0,27858175052.0,39898552108.0,105000000000.0,11210172122.0,12463002552.0,121000000000.0,123000000000.0
