Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Syrian Arab Republic ,1970,6319199,276,354358974.0,51538462.0,305128205.0,1577692308.0,304358974.0,240256410.0,230000000.0,1273333333.0,367179487.0,336410256.0,400000000.0,404358974.0,1755897436.0,187948718.0,357692308.0,1744041655.0,1755897436.0
 Syrian Arab Republic ,1971,6538526,314,412820513.0,70512821.0,356410256.0,1858974359.0,365897436.0,306153846.0,294871795.0,1493076923.0,458974359.0,364871795.0,456153846.0,458205128.0,2062307692.0,244358974.0,420256410.0,2055491731.0,2062564103.0
 Syrian Arab Republic ,1972,6768544,350,595128205.0,90256410.0,429230769.0,2033589744.0,419743590.0,478974359.0,410512821.0,1613846154.0,560769231.0,362564103.0,464102564.0,498717949.0,2380769231.0,210512821.0,522051282.0,2367299586.0,2381025641.0
 Syrian Arab Republic ,1973,7003114,362,430512821.0,95384615.0,557692308.0,2328717949.0,544102564.0,315128205.0,453589744.0,1784615385.0,651538462.0,387435897.0,520512821.0,677179487.0,2550000000.0,325128205.0,501282051.0,2534322727.0,2550000000.0
 Syrian Arab Republic ,1974,7244901,564,826666667.0,174871795.0,978461538.0,3466410256.0,721794872.0,1016153846.0,786410256.0,2744615385.0,1371025641.0,417948718.0,894102564.0,867692308.0,4089743590.0,439230769.0,887179487.0,4089548009.0,4090000000.0
 Syrian Arab Republic ,1975,7497126,707,950000000.0,246153846.0,1130512821.0,4456923077.0,1112307692.0,1516923077.0,1322051282.0,3344615385.0,1793846154.0,393589744.0,1070000000.0,1246923077.0,5310512821.0,617179487.0,1180256410.0,5298000481.0,5310512821.0
 Syrian Arab Republic ,1976,7758673,817,1235128205.0,389230769.0,1237948718.0,5105641026.0,1274871795.0,2218974359.0,1989487179.0,3830769231.0,2174102564.0,542051282.0,1268974359.0,1479487179.0,6388461538.0,491538462.0,1524102564.0,6341634835.0,6388461538.0
 Syrian Arab Republic ,1977,8029313,866,1282051282.0,412051282.0,1258461538.0,6171538462.0,1358974359.0,2377435897.0,2460769231.0,4812564103.0,2816410256.0,596666667.0,1361538462.0,1625384615.0,6990769231.0,444871795.0,1864871795.0,6951209882.0,6991025641.0
 Syrian Arab Republic ,1978,8310217,1006,1756666667.0,456666667.0,1232820513.0,7211794872.0,1666410256.0,2532307692.0,2278717949.0,5545384615.0,2593333333.0,919230769.0,1727692308.0,1922820513.0,8383076923.0,495384615.0,2023846154.0,8357800455.0,8383589744.0
 Syrian Arab Republic ,1979,8600747,1168,1758205128.0,696153846.0,1859743590.0,9201538462.0,2176153846.0,2593076923.0,2613846154.0,7025384615.0,3576923077.0,853076923.0,2114358974.0,2364615385.0,10077435897.0,714358974.0,2429743590.0,10044334590.0,10077435897.0
 Syrian Arab Republic ,1980,8898954,1480,2658717949.0,916410256.0,2396153846.0,11725128205.0,3043589744.0,3683333333.0,3683333333.0,8681538462.0,4658461538.0,467948718.0,2146923077.0,3257948718.0,13146153846.0,911538462.0,3254615385.0,13173347577.0,13146153846.0
 Syrian Arab Republic ,1981,9203635,1833,3271538462.0,963846154.0,2638461538.0,15817179487.0,3501538462.0,3971025641.0,3971025641.0,12315641026.0,5560769231.0,1410256410.0,3341025641.0,3883333333.0,16865897436.0,1233333333.0,4172820513.0,16867624137.0,16865897436.0
 Syrian Arab Republic ,1982,9510754,1840,3552307692.0,1109487179.0,2454358974.0,15346666667.0,3872564103.0,4234102564.0,4234102564.0,11474102564.0,4397179487.0,1327179487.0,2976666667.0,4266410256.0,17637948718.0,1413589744.0,4319487179.0,17495505595.0,17637948718.0
