Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Thailand ,1970,35791728,206,1912849833.0,391862799.0,1067645840.0,5654536185.0,881059793.0,2095135960.0,1938902538.0,4773476391.0,1384628675.0,1178044431.0,1479084080.0,1419888637.0,7387400693.0,459178191.0,1724537153.0,7385975397.0,7387400693.0
 Thailand ,1971,36807997,208,1837815477.0,400233366.0,1182752915.0,5788431964.0,939414460.0,2062096660.0,1982783403.0,4849017504.0,1398683852.0,1350016966.0,1679225825.0,1545096272.0,7689743551.0,496068832.0,1731303780.0,7669843529.0,7689743551.0
 Thailand ,1972,37834384,224,2161808464.0,399330583.0,1492001603.0,6427325759.0,987032169.0,2047434302.0,2140352559.0,5440293590.0,1581544292.0,1569403775.0,1924024570.0,1676917783.0,8524733046.0,536868316.0,1825783332.0,8479853929.0,8524733046.0
 Thailand ,1973,38873060,289,3130138793.0,456218887.0,2022395528.0,8165207686.0,1167126332.0,3379471230.0,2808407666.0,6998081353.0,2190334392.0,2169570869.0,2569061300.0,1981374854.0,11300410047.0,651537756.0,2512078457.0,11237023510.0,11300410047.0
 Thailand ,1974,39900961,357,3859121259.0,547399619.0,2967322514.0,10394124221.0,1415231920.0,4215470015.0,3678188146.0,8978892301.0,3309207861.0,2736230567.0,3260655570.0,2505563388.0,14286526257.0,801604265.0,3312182156.0,14257582092.0,14286526257.0
 Thailand ,1975,40908471,379,4170446859.0,593125218.0,2741198762.0,11673245773.0,1697280157.0,4598238636.0,3923367587.0,9975965616.0,3446988584.0,2897381390.0,3408909685.0,2797009501.0,15517176809.0,858941902.0,3688743646.0,15490290770.0,15517176809.0
 Thailand ,1976,41882128,421,4725233083.0,771338340.0,3447398679.0,13269320994.0,2059636920.0,4705360787.0,4483538700.0,11209684074.0,3887719924.0,3484693306.0,4120192693.0,3088113068.0,17708942972.0,1032335153.0,3971730633.0,17633915952.0,17708942972.0
 Thailand ,1977,42843802,479,5109036895.0,1007651100.0,3959579411.0,15148675346.0,2325917427.0,6141784141.0,5910224474.0,12822757919.0,5060168450.0,4161639417.0,5042855013.0,3488526233.0,20622632284.0,1141190296.0,4833372746.0,20522630890.0,20622632284.0
 Thailand ,1978,43806715,566,6133425937.0,1250544634.0,4788328326.0,17870271986.0,2967059533.0,7809074576.0,6984398277.0,14903212453.0,5835631178.0,5006587457.0,6148549565.0,4186527933.0,25029656224.0,1407881635.0,5902726521.0,24801985592.0,25029656224.0
 Thailand ,1979,44760091,629,6849404145.0,1378785442.0,6196794162.0,20770193050.0,3616320615.0,8600635448.0,8062835643.0,17153872435.0,8083943850.0,6005048684.0,7281359590.0,4918318224.0,28534639725.0,1643013507.0,6463758817.0,28169117265.0,28534639725.0
 Thailand ,1980,45737753,726,7791922523.0,1487074951.0,7824617588.0,25007220166.0,4396162493.0,9817166745.0,9326582223.0,20611057673.0,9904528522.0,7212133848.0,8128175662.0,6702338865.0,33528243810.0,1765986909.0,7652744899.0,33197411703.0,33528243810.0
 Thailand ,1981,46727292,759,7712320117.0,1647802566.0,8335132021.0,27058630296.0,4914342475.0,10767010830.0,10123691616.0,22144287821.0,10581044055.0,8175515252.0,9221396856.0,7081191217.0,36111268395.0,1977970985.0,8470586654.0,35477880291.0,36111268395.0
 Thailand ,1982,47700340,781,7033259625.0,1797311474.0,8411104371.0,27935747121.0,5294773817.0,10102365453.0,10232061212.0,22640973305.0,9085172566.0,8084882833.0,9392292887.0,7892625925.0,37918315860.0,2448831251.0,9353994698.0,37271153865.0,37918315860.0
 Thailand ,1983,48670565,845,8324314099.0,2101083696.0,8077573359.0,31072521692.0,5698969699.0,12497815098.0,11830087427.0,25373551993.0,11009397757.0,9184221080.0,10589944837.0,8840078061.0,41496718398.0,2550794547.0,9090503159.0,41123142575.0,41496718398.0
 Thailand ,1984,49636724,861,7612165681.0,2298309223.0,9182094272.0,31980720187.0,6083693534.0,12826977602.0,12408598591.0,25897026653.0,11026102691.0,9923231842.0,11551911421.0,8966329984.0,43315284000.0,2852907235.0,10033660456.0,42738825906.0,43315284000.0
 Thailand ,1985,50594940,782,6373257265.0,2056791675.0,9057721390.0,29377117489.0,5817227810.0,11440345807.0,10968731728.0,23559889679.0,10173160649.0,8837148924.0,10780002971.0,8483049398.0,40313009996.0,2979129363.0,9640779324.0,39572568962.0,40313009996.0
