Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Timor-Leste ,1990,758106,330,43125822.0,30430216.0,55164630.0,374219606.0,225861628.0,56806465.0,64403167.0,148357978.0,283201816.0,4298039.0,68875741.0,38751220.0,208216274.0,12708787.0,14324489.0,250175624.0,202988925.0
 Timor-Leste ,1991,772655,373,49459451.0,35011513.0,63556059.0,431144437.0,260218821.0,65447643.0,74199926.0,170925615.0,326281375.0,4963490.0,79318719.0,44459916.0,239844082.0,14609884.0,16984600.0,288375061.0,233866810.0
 Timor-Leste ,1992,783705,472,62937168.0,44468720.0,80843552.0,548417387.0,330999344.0,83249655.0,94382592.0,217418043.0,415031168.0,6432674.0,101152443.0,56300357.0,305235783.0,19013367.0,21363728.0,369559593.0,297479485.0
 Timor-Leste ,1993,795179,540,73600000.0,51700000.0,93331167.0,633129469.0,382127635.0,96108932.0,108961536.0,251001834.0,479139555.0,7100000.0,116330082.0,66400000.0,352230082.0,21100000.0,23100000.0,429372762.0,343430082.0
 Timor-Leste ,1994,807115,571,81000000.0,57900000.0,89925332.0,715923323.0,432098172.0,108677024.0,123210352.0,283825151.0,541796266.0,8300000.0,88304827.0,72852783.0,354757610.0,24100000.0,30600000.0,461135580.0,378461314.0
 Timor-Leste ,1995,819226,634,92800000.0,65200000.0,86445202.0,807688646.0,487483473.0,122606982.0,139003157.0,320205174.0,611242404.0,10000000.0,69382264.0,81694193.0,369376457.0,29900000.0,30400000.0,519452325.0,416109986.0
 Timor-Leste ,1996,831269,722,111700000.0,73300000.0,86001029.0,943029683.0,569169056.0,143151726.0,162295341.0,373860626.0,713665759.0,11000000.0,56768980.0,93324495.0,407193475.0,36400000.0,35700000.0,599800530.0,473476795.0
 Timor-Leste ,1997,843341,678,115300000.0,62000000.0,68200724.0,877666114.0,529718632.0,133229549.0,151046274.0,347947482.0,664199934.0,10700000.0,39038753.0,83885630.0,364524384.0,33300000.0,31000000.0,571693092.0,429449246.0
 Timor-Leste ,1998,855409,750,160600000.0,41300000.0,66259234.0,1000703420.0,603978254.0,151906588.0,172220986.0,396725166.0,757312074.0,10700000.0,30935349.0,96641450.0,404876799.0,47000000.0,28400000.0,641222258.0,477196308.0
 Timor-Leste ,1999,866649,390,116600000.0,33000000.0,39060928.0,692341172.0,417865078.0,105097258.0,119151866.0,274476094.0,523949773.0,7500000.0,17355592.0,78459236.0,275114828.0,14600000.0,15100000.0,337907435.0,321751830.0
