Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Togo ,1970,2197383,138,93248161.0,4326697.0,111156421.0,279180044.0,43167047.0,43006890.0,29747502.0,236012997.0,107503064.0,41704879.0,74791459.0,63687238.0,301309777.0,21250734.0,44005489.0,302948927.0,307572754.0
 Togo ,1971,2267211,151,95440424.0,5254408.0,118183356.0,313950484.0,59009349.0,60571397.0,42924297.0,254941135.0,124763457.0,40223678.0,76124762.0,82191297.0,332128700.0,26562332.0,46555478.0,342138897.0,346619961.0
 Togo ,1972,2330704,170,111503811.0,9348263.0,115818040.0,373191087.0,73630360.0,78138013.0,57096421.0,299560727.0,141015987.0,50871222.0,93014214.0,94499732.0,391365106.0,30050732.0,52948355.0,396315000.0,403631117.0
 Togo ,1973,2390909,194,125242215.0,10500400.0,118303223.0,424107965.0,80423769.0,98613765.0,68723288.0,343684196.0,146287531.0,60099551.0,109869647.0,96272501.0,452385600.0,45172407.0,65328430.0,462992136.0,471165652.0
 Togo ,1974,2450335,258,114795569.0,10230376.0,325285540.0,437827951.0,85533718.0,103130458.0,74109815.0,352294233.0,176942207.0,58819372.0,213050403.0,95553900.0,549332828.0,45217483.0,70485098.0,632298346.0,630555839.0
 Togo ,1975,2509713,276,140381480.0,19303872.0,235833888.0,664584980.0,145093497.0,191373588.0,121394344.0,519491484.0,362201975.0,72319625.0,179996430.0,165314483.0,622861582.0,47471820.0,70393497.0,693140446.0,695563767.0
 Togo ,1976,2569671,257,145485833.0,16748847.0,257638965.0,592863390.0,150544069.0,172678343.0,125659893.0,442319321.0,314585207.0,73075248.0,151027429.0,195420093.0,622197077.0,45549431.0,67965444.0,659846557.0,662783401.0
 Togo ,1977,2630626,298,177666575.0,22376294.0,260151310.0,691567055.0,188700331.0,299320687.0,212617097.0,502866725.0,411992858.0,83187909.0,162573515.0,177840043.0,671840833.0,52701973.0,78682433.0,785000163.0,798279601.0
 Togo ,1978,2693400,359,197543917.0,45397685.0,381108332.0,814663186.0,209849306.0,462194172.0,348989159.0,604813880.0,632678662.0,93880323.0,215088581.0,223038459.0,844191492.0,69243422.0,93879427.0,967071578.0,989000276.0
 Togo ,1979,2761240,419,263145185.0,46117916.0,466887278.0,982805230.0,245962488.0,576560443.0,424340512.0,736842742.0,808317238.0,91537007.0,218787703.0,251192318.0,983144463.0,67648171.0,136253169.0,1157536367.0,1181022344.0
 Togo ,1980,2838110,454,286359770.0,38559373.0,608511317.0,1131615703.0,265507825.0,460174182.0,295462724.0,866107877.0,814866542.0,135513357.0,290407377.0,270032981.0,1114422435.0,79654659.0,149408276.0,1289393130.0,1313589323.0
 Togo ,1981,2925865,366,242455830.0,23644398.0,540207684.0,1004239307.0,230536636.0,326326210.0,221774334.0,773702671.0,699404665.0,103256330.0,226751124.0,245921966.0,941919408.0,69484304.0,133661786.0,1070860660.0,1103142544.0
 Togo ,1982,3023343,299,198043493.0,20959384.0,478246639.0,896356236.0,205906168.0,241872112.0,172283552.0,690450068.0,597657723.0,91846352.0,201315084.0,211396988.0,806342895.0,59729815.0,114898131.0,904376753.0,953579623.0
 Togo ,1983,3126635,259,235994935.0,17906762.0,389683100.0,788023465.0,172462504.0,186216797.0,131513604.0,615560960.0,446362657.0,78406285.0,171930704.0,174954307.0,745310230.0,49432958.0,95090564.0,810359193.0,857672190.0
 Togo ,1984,3232244,237,214810693.0,15834220.0,513982390.0,693838053.0,157812037.0,153931771.0,131600238.0,536026015.0,475470659.0,69418704.0,152124945.0,172375922.0,697536339.0,48703530.0,93687028.0,766664283.0,810454116.0
 Togo ,1985,3336508,245,229421254.0,18134803.0,507171159.0,738824644.0,170063173.0,233805303.0,151177252.0,568761470.0,554229746.0,77982371.0,172692847.0,176413379.0,742395277.0,49846290.0,95886703.0,817066172.0,859889946.0
 Togo ,1986,3439370,341,329637009.0,21315903.0,530872223.0,1088803127.0,245396466.0,342808395.0,222854664.0,843406661.0,668626763.0,116932767.0,228259864.0,249358108.0,1034555237.0,70455391.0,135528962.0,1171592638.0,1219876368.0
 Togo ,1987,3544927,389,373889195.0,23282406.0,590309815.0,1258812650.0,296797227.0,378113905.0,267298514.0,962015423.0,716433815.0,156945221.0,278583522.0,301133272.0,1225622539.0,85078180.0,163655964.0,1380349112.0,1436261542.0
 Togo ,1988,3653420,459,413841480.0,30522117.0,714602980.0,1477406475.0,244623744.0,379233178.0,282825300.0,1232782731.0,806023574.0,160398540.0,319740654.0,320509907.0,1349423414.0,90572269.0,174236987.0,1678537629.0,1740986708.0
 Togo ,1989,3763657,440,389725463.0,33171129.0,644343215.0,1355676329.0,245166087.0,569080129.0,402328411.0,1110510242.0,756694315.0,183442152.0,356700160.0,304591230.0,1335770952.0,86055049.0,165527921.0,1656824428.0,1708225552.0
 Togo ,1990,3875947,521,491360379.0,32676595.0,657007847.0,1770351004.0,305017189.0,482233649.0,299244267.0,1465333815.0,846357150.0,245206984.0,416096535.0,368834917.0,1613551991.0,104183183.0,200400381.0,2019744312.0,2057077763.0
 Togo ,1991,3990215,502,470156568.0,35945026.0,625250478.0,1845243740.0,289565257.0,377145347.0,270383850.0,1555678483.0,852789005.0,270144342.0,457374594.0,348624158.0,1600366920.0,98581245.0,189685329.0,2003376596.0,2032468342.0
 Togo ,1992,4106219,516,533671142.0,32835679.0,544048556.0,1912256661.0,266198662.0,365199232.0,247031692.0,1646057999.0,750286795.0,297632113.0,469395649.0,359408306.0,1691908872.0,101475831.0,195122265.0,2119311600.0,2131363215.0
 Togo ,1993,4078392,401,486755923.0,22669914.0,345538624.0,1584465442.0,256496373.0,84958165.0,97658908.0,1327969069.0,503243113.0,170238412.0,289244259.0,224884222.0,1209148853.0,63481103.0,122113432.0,1635084780.0,1624510801.0
 Togo ,1994,4092612,295,306762681.0,19201306.0,395712839.0,1096386527.0,158597820.0,225843981.0,117349251.0,937788707.0,490577951.0,135926810.0,234752921.0,222711363.0,968298036.0,63181965.0,121687800.0,1207523207.0,1259116885.0
 Togo ,1995,4279566,380,442014346.0,25341236.0,460588555.0,1507762511.0,212356143.0,343154135.0,195997267.0,1295406368.0,670349606.0,196479418.0,330752289.0,272547126.0,1294244392.0,76600252.0,146989143.0,1624252471.0,1662902166.0
