Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Turkmenistan ,1990,3720278,831,1010055448.0,114136266.0,3412977358.0,1777697588.0,270694860.0,1217116815.0,927230901.0,1507002728.0,3299851148.0,783803028.0,794913637.0,566641106.0,3131171888.0,372710460.0,273725026.0,3092789781.0,3070568561.0
 Turkmenistan ,1991,3821782,798,978505826.0,120510718.0,3338764880.0,1745345392.0,258531539.0,1252487458.0,970265777.0,1486813853.0,3252244365.0,793619725.0,806494802.0,527878143.0,3038518092.0,331661975.0,273466628.0,3050363163.0,3028218031.0
 Turkmenistan ,1992,3926369,676,286414616.0,125100637.0,2645055437.0,1623460593.0,245592303.0,1121362603.0,883012968.0,1377868290.0,2718584983.0,1998318066.0,2011486554.0,141561247.0,2712708545.0,92179417.0,55966074.0,2652890688.0,2633697616.0
 Turkmenistan ,1993,4031698,684,497433483.0,310861782.0,1574168004.0,1192310636.0,296302086.0,1010054941.0,953509784.0,896008550.0,1038737268.0,1318021174.0,1346703500.0,194493487.0,2589877461.0,134943515.0,105441694.0,2756508117.0,2736567072.0
 Turkmenistan ,1994,4133037,580,752034387.0,156958994.0,3354630430.0,1332045219.0,161757689.0,1013227735.0,643964261.0,1170287530.0,3323201494.0,918118596.0,938013685.0,200834298.0,2282497315.0,108786350.0,125869600.0,2395687111.0,2311472523.0
 Turkmenistan ,1995,4226623,522,353218466.0,127096848.0,3119705161.0,1510700584.0,184197225.0,734780056.0,510127201.0,1326503359.0,3175160779.0,1217585180.0,1240249737.0,179623673.0,2095413593.0,105752262.0,89472607.0,2206109872.0,2190025022.0
 Turkmenistan ,1996,4301093,557,299674307.0,246105904.0,2516597565.0,1340217415.0,168785624.0,1188791395.0,994733756.0,1171431792.0,2547202292.0,1349946281.0,1368391691.0,164986800.0,2288658958.0,135779699.0,73720557.0,2396326972.0,2379541799.0
 Turkmenistan ,1997,4363672,636,537849359.0,303620683.0,1375195752.0,2190656584.0,356436878.0,1303881105.0,1109174956.0,1834219706.0,2208131293.0,930882967.0,980046258.0,369605841.0,2566367289.0,277213250.0,98031898.0,2773867058.0,2681068281.0
 Turkmenistan ,1998,4431517,654,721172762.0,373879895.0,934665894.0,2651589891.0,463992366.0,1302000613.0,1302000613.0,2187597526.0,2026390750.0,861809277.0,933188848.0,424397601.0,2787051225.0,223609761.0,110802358.0,2897714631.0,2861812276.0
 Turkmenistan ,1999,4501079,855,958076923.0,470961538.0,2165252212.0,3382007500.0,460192308.0,1530000000.0,1530000000.0,2921815192.0,3220336635.0,1155862574.0,1212500000.0,800769231.0,3856923077.0,257884615.0,156730769.0,3847952308.0,3856923077.0
 Turkmenistan ,2000,4569132,1032,1131923077.0,334038462.0,4796201827.0,2546139712.0,714038462.0,1744615385.0,1744615385.0,1832101250.0,4064841538.0,1628213957.0,1728076923.0,1237884615.0,4932307692.0,327115385.0,173269231.0,4715601058.0,4932307692.0
 Turkmenistan ,2001,4635094,1451,1605769231.0,368269231.0,5643397212.0,4420958654.0,792500000.0,2198846154.0,2198846154.0,3628458654.0,5329548173.0,2242378107.0,2386346154.0,1530576923.0,6512115385.0,350769231.0,270384615.0,6727690481.0,6753648654.0
 Turkmenistan ,2002,4698968,1801,1821153846.0,672487576.0,6007289519.0,4941357308.0,965192308.0,2397692308.0,2397692308.0,3976165000.0,4646339135.0,2676482646.0,2833473963.0,2044812211.0,8273076923.0,553237168.0,347912160.0,8461541250.0,8699983269.0
 Turkmenistan ,2003,4758988,2339,2155990986.0,712531033.0,7026204545.0,7767687961.0,1358361639.0,2866302509.0,2866302509.0,6409326322.0,6383857231.0,3459719640.0,3672342341.0,2882584905.0,10624681061.0,733721502.0,467510293.0,11129192158.0,11276527605.0
 Turkmenistan ,2004,4819792,2483,2231700496.0,749009567.0,7495832333.0,9097521803.0,1543579118.0,2802914038.0,2802914038.0,7553942684.0,7238029750.0,3632169393.0,3855540306.0,3267746358.0,11479505010.0,821048128.0,554460157.0,11967997897.0,12158238423.0
 Turkmenistan ,2005,4885775,2700,2626750227.0,905313638.0,9217496684.0,8481101305.0,1877404810.0,3248654214.0,3248654214.0,6603696495.0,6772323940.0,4099907531.0,4348186817.0,4268065903.0,13966692838.0,1104256578.0,714119676.0,13190212774.0,14173896610.0
 Turkmenistan ,2006,4954029,3074,2788575408.0,962354327.0,11852517701.0,6864181829.0,1632331532.0,3162174352.0,3162174352.0,5231850297.0,5662764381.0,4561836749.0,4840897197.0,5203786196.0,15987563659.0,1326106228.0,865844303.0,15226942058.0,16214578988.0
 Turkmenistan ,2007,5024894,3575,3487005612.0,1164249013.0,13943320867.0,8346332872.0,1673950305.0,3439880212.0,3439880212.0,6672382567.0,7157123541.0,5475340691.0,5809762211.0,5497302101.0,18282189320.0,1401454400.0,922415982.0,17961763998.0,18494116627.0
 Turkmenistan ,2008,5100083,4013,2318933785.0,2204774912.0,13854848953.0,9650079430.0,1582531222.0,6856239898.0,6856239898.0,8067548208.0,8732651252.0,10264872013.0,10890380578.0,4135548428.0,21300332768.0,1059372768.0,691322298.0,20465989705.0,21628517030.0
 Turkmenistan ,2009,5180957,3659,2125614035.0,2056771638.0,15079000000.0,4860482105.0,1979632070.0,9419903860.0,9419903860.0,2880850035.0,9145000000.0,9665650426.0,10255859941.0,3837105046.0,19896243895.0,979653263.0,641239972.0,18957543860.0,20214385965.0
 Turkmenistan ,2010,5267970,3927,2561052632.0,2236085264.0,17234443263.0,3241166842.0,2101897193.0,11716329123.0,11716329123.0,1139269649.0,10043869053.0,10478161200.0,11117598946.0,4466948787.0,22270435789.0,1141168005.0,747582156.0,20689157895.0,22583157895.0
 Turkmenistan ,2011,5360811,4926,2597192982.0,3227669304.0,21836155930.0,4941418140.0,2663117930.0,15181409123.0,15181409123.0,2278300211.0,12725649860.0,15106496753.0,16028120170.0,4880444733.0,28797175286.0,1247672778.0,816075319.0,26406333333.0,29233333333.0
