Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Turks and Caicos Islands ,1970,5665,1627,134314.0,752075.0,5996541.0,7554516.0,2748965.0,2946551.0,2946551.0,4805551.0,6774785.0,453298.0,924336.0,3471247.0,10273421.0,1065945.0,3925504.0,9215965.0,9775102.0
 Turks and Caicos Islands ,1971,5742,1808,151305.0,847227.0,6755419.0,8510252.0,3096550.0,3319429.0,3319429.0,5413702.0,7632158.0,510646.0,1041280.0,3910430.0,11573180.0,1200808.0,4422131.0,10380863.0,11011841.0
 Turks and Caicos Islands ,1972,5896,1984,170446.0,954409.0,7610064.0,9586821.0,3488251.0,3739336.0,3739336.0,6098570.0,8597645.0,575245.0,1173003.0,4405144.0,13037318.0,1352724.0,4981592.0,11695413.0,12404978.0
 Turks and Caicos Islands ,1973,6068,2171,192013.0,1075150.0,8572469.0,10799484.0,3929831.0,4212212.0,4212212.0,6869653.0,9684648.0,648024.0,1321401.0,4962444.0,14686762.0,1523859.0,5611896.0,13175025.0,13974358.0
 Turks and Caicos Islands ,1974,6249,2375,216310.0,1211185.0,9656780.0,12165966.0,4427444.0,4745051.0,4745051.0,7738522.0,10909610.0,730030.0,1488612.0,5590313.0,16545064.0,1716664.0,6321981.0,14841955.0,15742422.0
 Turks and Caicos Islands ,1975,6451,2592,243678.0,1364452.0,10879072.0,13706710.0,4987698.0,5345979.0,5345979.0,8719012.0,12292042.0,822401.0,1676997.0,6297643.0,18638306.0,1933874.0,7121663.0,16719881.0,17734281.0
 Turks and Caicos Islands ,1976,6668,2825,274488.0,1537069.0,12257714.0,15439068.0,5615932.0,6022966.0,6022966.0,9823135.0,13848621.0,926398.0,1889103.0,7094456.0,20996208.0,2178549.0,8022542.0,18835308.0,19978052.0
 Turks and Caicos Islands ,1977,6885,3082,309213.0,1731444.0,13806015.0,17391447.0,6327853.0,6783442.0,6783442.0,11063594.0,15596978.0,1043558.0,2127935.0,7991676.0,23651896.0,2454069.0,9037560.0,21217583.0,22504860.0
 Turks and Caicos Islands ,1978,7110,3329,348372.0,1950476.0,15548696.0,19590470.0,7131881.0,7639923.0,7639923.0,12458589.0,17563276.0,1175664.0,2397233.0,9002720.0,26644957.0,2764540.0,10181616.0,23666043.0,25351947.0
 Turks and Caicos Islands ,1979,7332,3602,392474.0,2197443.0,17517197.0,22073167.0,8036174.0,8607842.0,8607842.0,14036993.0,19789560.0,1324609.0,2700961.0,10142340.0,30017915.0,3114497.0,11470200.0,26410145.0,28560773.0
 Turks and Caicos Islands ,1980,7598,3958,442093.0,2475698.0,19741913.0,24880912.0,9049731.0,9704181.0,9704181.0,15831182.0,22320187.0,1492104.0,3042883.0,11425830.0,33813988.0,3508669.0,12918816.0,30071114.0,32175383.0
 Turks and Caicos Islands ,1981,7957,4237,497808.0,2788492.0,22258588.0,27993693.0,10163158.0,10932666.0,10932666.0,17830535.0,25137315.0,1680228.0,3426675.0,12871365.0,38090170.0,3952419.0,14553410.0,33715315.0,36245234.0
 Turks and Caicos Islands ,1982,8355,4494,560950.0,3140388.0,25024328.0,31543432.0,11492870.0,12292731.0,12292731.0,20050562.0,28262455.0,1892826.0,3858965.0,14495443.0,42903373.0,4451276.0,16396353.0,37543811.0,40821803.0
