Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Türkiye ,1970,35540990,720,6659751954.0,1472039546.0,971002339.0,18978682087.0,1942004679.0,4325374057.0,4413646997.0,17036677408.0,1059275279.0,4406143797.0,4788806992.0,4705477336.0,21430639539.0,1439025467.0,2365538244.0,25594032752.0,25069514942.0
 Türkiye ,1971,36359957,673,5990448430.0,1224215247.0,1008968610.0,18565022421.0,1950672646.0,3766816143.0,3834080717.0,16614349775.0,1278026906.0,4285022421.0,4666883408.0,4525560538.0,20209439461.0,1420762332.0,2381636771.0,24472264573.0,23609865470.0
 Türkiye ,1972,37188035,832,6887561837.0,1508127208.0,1413427562.0,23321554770.0,2614840989.0,4946996466.0,4946996466.0,20706713781.0,1766784452.0,5617314488.0,6103604240.0,5964381625.0,25456325088.0,1812226148.0,3180424028.0,30932862191.0,29681978799.0
 Türkiye ,1973,38028236,1034,8583109541.0,1996537102.0,2049469965.0,28833922261.0,3533568905.0,6360424028.0,6431095406.0,25300353357.0,2332155477.0,7146219081.0,7696890459.0,7661696113.0,32184240283.0,2222120141.0,4023886926.0,39306431095.0,37314487633.0
 Türkiye ,1974,38863420,1386,12598976814.0,2562201945.0,2513089005.0,39706806283.0,4379955123.0,8472700075.0,9118922962.0,35326851160.0,4020942408.0,9350198953.0,10109726253.0,9469678385.0,43934755423.0,3283673897.0,5910641735.0,53847958116.0,51410620794.0
 Türkiye ,1975,39673590,1681,15517428811.0,3437731168.0,2769683506.0,49646576847.0,6162545801.0,11355702375.0,12117365339.0,43484031046.0,5123914486.0,11703436139.0,12674071724.0,11608643721.0,54858774995.0,4230276103.0,7390623468.0,66695363668.0,64256657341.0
 Türkiye ,1976,40500997,1861,16392987849.0,3991445050.0,3363839761.0,55191889412.0,7662079456.0,16133972187.0,16196265516.0,47529809956.0,5606399602.0,14312452956.0,15434978743.0,13493420268.0,62958185607.0,5079211159.0,8566142538.0,75371751018.0,73568421440.0
 Türkiye ,1977,41385656,2073,18129067201.0,4777180630.0,2721881987.0,65214070467.0,9721007097.0,18386590566.0,17942201670.0,55493063370.0,6110347318.0,16043550113.0,17289227736.0,16063769807.0,72395839413.0,6299768085.0,9836770404.0,85794664561.0,83878404093.0
 Türkiye ,1978,42292206,2234,20363586446.0,5282806998.0,3459328863.0,73304825904.0,9430789400.0,17131914369.0,16349447126.0,63874036504.0,4900715889.0,17585045267.0,18852106828.0,17911045830.0,79919762792.0,6956833891.0,10553382799.0,94490826605.0,92578229569.0
 Türkiye ,1979,43187476,2988,24518896308.0,7040463358.0,4054380179.0,100000000000.0,12163140536.0,24776767759.0,23200064356.0,88037969595.0,6178103129.0,27094875715.0,28986211891.0,24742080284.0,110000000000.0,9538412035.0,14783331993.0,129000000000.0,126000000000.0
 Türkiye ,1980,44089069,2205,17677444526.0,5413077000.0,4366233149.0,78263414057.0,6667711465.0,13927231640.0,14361224693.0,71595702592.0,7877631494.0,18594235126.0,20305390830.0,20692749357.0,83965780306.0,7837717284.0,12039414460.0,97216009084.0,94768301411.0
