Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 U.R. of Tanzania: Mainland ,1970,13618192,171,381530635.0,96320968.0,323510202.0,2032827681.0,688763611.0,606494564.0,644342952.0,1344064069.0,321008831.0,258939435.0,314185469.0,849061694.0,2163511808.0,196947588.0,325465454.0,2323837508.0,2314168968.0
 U.R. of Tanzania: Mainland ,1971,14092218,176,388394379.0,116589648.0,347920518.0,2182234430.0,778280075.0,760245485.0,813834656.0,1403954355.0,398213487.0,291982405.0,355350560.0,923205545.0,2336332874.0,215959924.0,336832817.0,2480808937.0,2475880767.0
 U.R. of Tanzania: Mainland ,1972,14595699,194,448040975.0,110202834.0,403650243.0,2557744969.0,851827048.0,715641974.0,811085309.0,1705917921.0,409785734.0,353346928.0,408307388.0,1051893933.0,2647655843.0,234621077.0,394589635.0,2826993841.0,2818461894.0
 U.R. of Tanzania: Mainland ,1973,15123504,223,515156864.0,146033276.0,439570341.0,3121310569.0,1141667516.0,823961289.0,907624337.0,1979643053.0,481081286.0,396308573.0,466770757.0,1205565164.0,3087046753.0,282538186.0,470982507.0,3373032181.0,3363300741.0
 U.R. of Tanzania: Mainland ,1974,15671316,259,603426053.0,159832378.0,500532234.0,3972629232.0,1486387598.0,1032816424.0,1041450241.0,2486241634.0,686623996.0,455571949.0,525377453.0,1482525245.0,3704348598.0,348088819.0,585098650.0,4057618460.0,4039509155.0
 U.R. of Tanzania: Mainland ,1975,16243826,287,767571235.0,170109725.0,493612461.0,4689087510.0,1801695405.0,1139132533.0,1177656157.0,2887392104.0,702612976.0,538547239.0,607200383.0,1754128185.0,4344666234.0,389609088.0,656047619.0,4668941139.0,4650315133.0
 U.R. of Tanzania: Mainland ,1976,16838919,300,939069703.0,150457455.0,664187292.0,4664097975.0,1939378535.0,1191186892.0,1303652869.0,2724719440.0,613279493.0,651096141.0,724751304.0,1802148057.0,4660918806.0,396126502.0,648365784.0,5049018384.0,5036368228.0
 U.R. of Tanzania: Mainland ,1977,17454627,346,1182980709.0,193587691.0,713019323.0,5336030162.0,2116596328.0,1618218572.0,1701492526.0,3219433834.0,697108538.0,779446326.0,866170906.0,2127950652.0,5598804834.0,431535489.0,796579386.0,6038315826.0,6016862581.0
 U.R. of Tanzania: Mainland ,1978,18080005,401,1428930086.0,197073622.0,639036414.0,7445982449.0,2949366476.0,1871090582.0,2011904794.0,4496615973.0,1090845451.0,983808034.0,1076329879.0,2536752448.0,6712676619.0,496029398.0,977561185.0,7244324078.0,7206662358.0
 U.R. of Tanzania: Mainland ,1979,18698636,410,1598907311.0,218751781.0,655912620.0,7558124090.0,2952137770.0,2052141450.0,2213472289.0,4605986321.0,1044623854.0,936934020.0,1035855206.0,2727278435.0,7137763508.0,519483499.0,1037487276.0,7664734836.0,7629150342.0
