Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Ukraine ,1990,51589817,1790,22048546570.0,7886164931.0,24937132391.0,68957108732.0,14821168650.0,25805560453.0,22563144605.0,54135994085.0,25918373476.0,31316225504.0,32531463155.0,14548127653.0,88753661110.0,6926579195.0,4812833609.0,92345748726.0,93470206726.0
 Ukraine ,1991,51672817,1679,20949860420.0,8130448749.0,22261258911.0,63140370983.0,14749940224.0,23348605371.0,18912511735.0,48390402312.0,20396529285.0,38834054130.0,40210767940.0,15875946754.0,96341576165.0,6126497357.0,5048054944.0,86764688933.0,88225521820.0
 Ukraine ,1992,51785154,1514,16350490822.0,6370130362.0,18817279277.0,51545051028.0,13714183958.0,28120528069.0,22380938897.0,37830868629.0,17254400870.0,35034363688.0,35680335344.0,15037811409.0,85561863037.0,6942763260.0,5180330280.0,78391818073.0,81260944582.0
 Ukraine ,1993,51778418,1299,14831083988.0,5135710050.0,17830412432.0,45663115220.0,10962072645.0,26012296398.0,17566708021.0,34701042621.0,18046031702.0,20829108890.0,21480724960.0,18374342849.0,76925328411.0,8519913315.0,8583553203.0,67237895118.0,71356305509.0
 Ukraine ,1994,51487372,1047,7897390296.0,4335214003.0,19192833412.0,38009051172.0,10452135555.0,19932510399.0,13392266753.0,27556915616.0,20909953190.0,18910994987.0,19658920862.0,13260010239.0,53752141503.0,4610663741.0,3989942363.0,53881869747.0,56165716377.0
 Ukraine ,1995,51061265,937,6693147312.0,3599159714.0,22897929053.0,38393706252.0,10298533285.0,13501749717.0,11841787080.0,28095172966.0,24397695603.0,15060791032.0,15753419687.0,10647709169.0,46247483844.0,6145870531.0,3408177431.0,47860554420.0,50375889204.0
 Ukraine ,1996,50616105,869,5445134815.0,2828945955.0,20341972990.0,36803667241.0,9651009997.0,10508252206.0,9672570329.0,27152657244.0,21479461793.0,12249744863.0,13890339702.0,9536798813.0,41030074453.0,6166569797.0,3162285372.0,43986544417.0,46146055635.0
 Ukraine ,1997,50169353,987,6272067576.0,2785227211.0,20357118877.0,42306292875.0,11938846266.0,11188172128.0,10433860379.0,30367446609.0,21891234965.0,12520554915.0,14179605754.0,10714832133.0,45243030334.0,6642652843.0,4648644816.0,49507473176.0,51937951282.0
 Ukraine ,1998,49745874,825,5050715236.0,2137403949.0,17543690146.0,35326813525.0,8988626946.0,9069542642.0,8589364484.0,26338186578.0,18496113218.0,10690517606.0,11916693522.0,8801320128.0,36851663068.0,5430299128.0,3515231104.0,41037881236.0,43374410981.0
 Ukraine ,1999,49320119,623,3747459220.0,1403939086.0,17161360871.0,25205480276.0,6233412177.0,5728468276.0,6362322430.0,18972068099.0,15414574309.0,8684266307.0,9595649654.0,6011992332.0,27202205245.0,3915091497.0,2528073457.0,30731338255.0,32705564369.0
 Ukraine ,2000,48879755,620,4516901849.0,1121643067.0,19521221516.0,24390681772.0,5794052951.0,6411489703.0,6419209960.0,18596628821.0,17948311041.0,5629170317.0,9125160073.0,6168853052.0,27631167781.0,3820975816.0,2877633925.0,30318920144.0,32375081951.0
 Ukraine ,2001,48414534,771,5493881261.0,1475943095.0,19909688688.0,30195312561.0,7430905331.0,8574579739.0,7787372859.0,22764407229.0,19370426846.0,6421069123.0,10280597960.0,8384525773.0,34897519464.0,4858010204.0,4404561171.0,37342533029.0,39309154142.0
 Ukraine ,2002,47976537,871,5539905663.0,1578485439.0,22030272452.0,33216154695.0,7774528900.0,8875038134.0,8460329008.0,25441625795.0,20165301669.0,7441297257.0,11703095300.0,10106023983.0,39334850867.0,5526951869.0,4880388614.0,41787248023.0,43956163612.0
