Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 United Arab Emirates ,1970,298084,3122,5172748.0,169151244.0,596249501.0,215695410.0,65591940.0,307951499.0,276759798.0,150103471.0,215243167.0,17505054.0,564531074.0,107655994.0,1044026876.0,40560151.0,156955666.0,930712393.0,1067266664.0
 United Arab Emirates ,1971,344513,3743,7090899.0,227774651.0,796447143.0,300433645.0,88031111.0,444495510.0,405966881.0,212402534.0,290659505.0,21240120.0,785946529.0,150308746.0,1439639403.0,55879473.0,212639105.0,1289630501.0,1462298219.0
 United Arab Emirates ,1972,392368,4562,10482719.0,348632025.0,1244612867.0,508993961.0,174796833.0,690105804.0,672795261.0,334197128.0,544334807.0,35564804.0,1164085910.0,232550899.0,2168111622.0,85254735.0,327105334.0,1789960106.0,2201609970.0
 United Arab Emirates ,1973,441546,7808,20922711.0,688600665.0,2359041391.0,933386773.0,286982220.0,1248328764.0,907256257.0,646404553.0,897922777.0,79063628.0,2221902941.0,457257500.0,4198558200.0,171056911.0,638817471.0,3447637203.0,4267682605.0
 United Arab Emirates ,1974,491955,22215,57649851.0,1884141917.0,7431292931.0,1516256100.0,602355427.0,2110316271.0,1779230989.0,913900672.0,1929806821.0,234800754.0,6157695812.0,1235601538.0,11569307369.0,477854735.0,1756363516.0,10928725475.0,11768960346.0
 United Arab Emirates ,1975,543394,25492,71911452.0,2162078945.0,7444237840.0,3375036234.0,734719453.0,5271277634.0,5213618938.0,2640316781.0,2803624382.0,120133452.0,8542851785.0,1249783067.0,14633417607.0,483134794.0,2123657564.0,13852256974.0,14913105618.0
 United Arab Emirates ,1976,614177,29513,94620931.0,2998396999.0,9237327110.0,4325249274.0,1049393015.0,7418073064.0,7185297861.0,3275856258.0,3585881065.0,193461073.0,10548345034.0,2187447746.0,19262931320.0,764205880.0,2669914730.0,18126322568.0,19464294994.0
 United Arab Emirates ,1977,706861,32907,108916494.0,4316127960.0,10691595123.0,6677780185.0,1695019658.0,11075505599.0,9953960599.0,4982760528.0,5470299769.0,612241843.0,12222844784.0,3019082248.0,24848918768.0,1040022271.0,4141925011.0,23260539671.0,25197030753.0
 United Arab Emirates ,1978,805231,27896,135091606.0,4247595369.0,10372651396.0,7316323939.0,1881957456.0,10591493844.0,11404685720.0,5434366484.0,5905934494.0,731908702.0,11563703924.0,2763363978.0,23578057937.0,1128989857.0,3739313202.0,22463039641.0,24086428985.0
 United Arab Emirates ,1979,908452,33027,154303470.0,4865352832.0,14974168078.0,8969145219.0,2245466555.0,12544529795.0,12765938282.0,6723678664.0,7458367064.0,856463418.0,16959322140.0,2980137732.0,30975635073.0,1366832552.0,4649686347.0,30003527269.0,31633624906.0
 United Arab Emirates ,1980,1014048,42743,193142752.0,5273473897.0,23061013109.0,11496989081.0,2886909060.0,14551343574.0,13930222943.0,8610080021.0,9783316189.0,1457894151.0,25792214848.0,4064164599.0,43210909725.0,1534689713.0,6353223915.0,43343699314.0,44168902930.0
 United Arab Emirates ,1981,1100180,43919,244350720.0,5672853778.0,22764305838.0,16656848790.0,5221023131.0,15000200959.0,14295882715.0,11435825659.0,10639364654.0,2837522911.0,27264255785.0,6249754302.0,49141868589.0,2056276409.0,7654377595.0,48319118027.0,49978178963.0
 United Arab Emirates ,1982,1167856,39445,269823575.0,5506594483.0,19475723204.0,17655491425.0,5348661647.0,15170952594.0,14781074048.0,12306829778.0,10474494155.0,3314951861.0,23146658490.0,7392096724.0,46284917512.0,2270212238.0,7699532003.0,46065826943.0,47231997234.0
 United Arab Emirates ,1983,1237572,34460,282560003.0,5697224033.0,16404547282.0,17485822084.0,4626592325.0,15189820178.0,14774076096.0,12859229759.0,9564575954.0,3366945596.0,19809853227.0,7890511179.0,42510225668.0,1985656815.0,6844420412.0,42646414218.0,43362742846.0
 United Arab Emirates ,1984,1308331,32514,318174827.0,5339793627.0,16259246673.0,16902031146.0,4302268932.0,13869089297.0,13586756918.0,12599762214.0,8477265441.0,3429127291.0,20155404465.0,7294374391.0,41402348085.0,1836109440.0,6458491335.0,42538526200.0,42354292119.0
 United Arab Emirates ,1985,1379536,29937,339638066.0,4810146753.0,15692465468.0,17735158051.0,4753987719.0,11760636785.0,11410393869.0,12981170332.0,8102654621.0,3251364929.0,19347737283.0,7354374712.0,39755346337.0,1754689202.0,6148760321.0,41299757078.0,41134253523.0
 United Arab Emirates ,1986,1468697,23670,363224043.0,4844265110.0,10312805758.0,18778820712.0,4274310018.0,11260174120.0,10903742150.0,14504510694.0,8198655166.0,2519588252.0,12285797379.0,7202364511.0,33220527325.0,1903405758.0,6621470524.0,34764451561.0,34387154899.0
 United Arab Emirates ,1987,1575909,23161,375724611.0,4549114245.0,13213648010.0,19836857773.0,4318314916.0,9884727248.0,9473360778.0,15518542857.0,8808571666.0,2863519777.0,14727711507.0,7344193756.0,35759076567.0,1971532896.0,6790799552.0,36499983393.0,36860291625.0
 United Arab Emirates ,1988,1683681,21890,392470654.0,4792816794.0,12755706212.0,22249139484.0,4551711060.0,10268682582.0,9751412734.0,17697428424.0,10140057474.0,2876518211.0,13815837477.0,7337676230.0,35635377059.0,2089509159.0,7207066745.0,36855150288.0,36749676279.0
 United Arab Emirates ,1989,1791840,23541,446954261.0,5182740872.0,16285912326.0,24300880338.0,4813309239.0,11096969518.0,10439078143.0,19487571099.0,11663805241.0,3037417739.0,17146277831.0,8359646972.0,41037124721.0,2348724609.0,7552780177.0,42182400440.0,42006844975.0
 United Arab Emirates ,1990,1900151,26748,484927683.0,5246103535.0,22081066465.0,26869753177.0,4923199924.0,11944595729.0,11244775674.0,21946553253.0,13197466108.0,3408048749.0,24025384099.0,8854658861.0,50058953834.0,2580107631.0,8867772025.0,50825499104.0,51363957467.0
 United Arab Emirates ,1991,2008383,25397,604508586.0,5613282042.0,22910694832.0,28738648611.0,5129852760.0,12829957107.0,12036477301.0,23608795850.0,15495740004.0,3432289071.0,22992971024.0,9498274258.0,50955041734.0,2787812319.0,9458193506.0,51007637337.0,52225758567.0
 United Arab Emirates ,1992,2116231,25138,675738236.0,6003206120.0,24135138143.0,32315074504.0,5543158433.0,14811053425.0,13902597813.0,26771916071.0,19017499095.0,3689447270.0,23151232659.0,10138628229.0,53517476328.0,3017118294.0,10531552789.0,53198278922.0,54948005423.0
 United Arab Emirates ,1993,2223284,25505,744373429.0,6607046880.0,27488019509.0,33688754426.0,5714618888.0,14071754304.0,13094576415.0,27974135537.0,21739501751.0,3913582421.0,21155042959.0,11628545555.0,54856959898.0,3291288482.0,11430662594.0,56704344835.0,56352199950.0
 United Arab Emirates ,1994,2329024,26402,980704917.0,6721316297.0,28440418131.0,36891820474.0,5922073879.0,16245075726.0,15200720385.0,30969746595.0,23546934953.0,5038473886.0,21426600564.0,13262725499.0,58512569531.0,3557565892.0,12563656363.0,61491446713.0,60080131151.0
 United Arab Emirates ,1995,2433988,28513,1061604817.0,7372814445.0,30591359892.0,41093008872.0,6286883358.0,17644807540.0,16537226362.0,34806125514.0,24663071026.0,5742145842.0,23402731674.0,15302067662.0,64830164527.0,4377168589.0,13313777341.0,69400061177.0,66602765376.0
 United Arab Emirates ,1996,2572735,30036,1191563549.0,7847763634.0,40052680881.0,44757273876.0,6562192911.0,18765545686.0,17550706393.0,38195080965.0,31105631563.0,6297565394.0,27174388540.0,16540729758.0,72646970083.0,4645938455.0,15246586147.0,77273963326.0,74532671762.0
 United Arab Emirates ,1997,2746119,29795,1427374715.0,8454565878.0,43679849240.0,48381915679.0,7393220367.0,20094052536.0,18852158742.0,40988695311.0,34610992981.0,8027488948.0,28638668058.0,17305819377.0,77720918022.0,4973111705.0,16921378289.0,81820744815.0,79866461487.0
 United Arab Emirates ,1998,2921130,26878,1491203717.0,8873645670.0,37066582156.0,51110347483.0,8129497545.0,20614358251.0,19305215128.0,42980849938.0,33413402155.0,8423407459.0,22821136712.0,18555622267.0,75152759777.0,5542204345.0,17868947065.0,78514075769.0,76663323509.0
 United Arab Emirates ,1999,3097563,28184,1780249686.0,8997612536.0,39942644423.0,55186738806.0,8815545454.0,21352471040.0,19941756468.0,46371193353.0,32834403463.0,9319581880.0,28054294871.0,19665592383.0,83446445734.0,6331159785.0,18617536473.0,87300474367.0,85548961330.0
 United Arab Emirates ,2000,3275333,32920,2132951782.0,9125368781.0,53889275029.0,61754587785.0,9696322057.0,22741919854.0,21229633834.0,52058265728.0,36002965092.0,12207215995.0,43593974926.0,21074034803.0,102000000000.0,7161639195.0,19317405634.0,108000000000.0,106000000000.0
 United Arab Emirates ,2001,3454198,31785,2089335547.0,9444218055.0,50787202178.0,64090030988.0,10242340343.0,23291495150.0,21716009116.0,53847690646.0,37487053743.0,12337147240.0,39840140612.0,22305869150.0,102000000000.0,8254965339.0,19939517563.0,110000000000.0,105000000000.0
 United Arab Emirates ,2002,3633655,30874,2186299873.0,9822694356.0,54362695711.0,70551895052.0,11142485814.0,24805441363.0,23185941035.0,59409409238.0,42649864351.0,12867477626.0,40282149284.0,24996655732.0,109000000000.0,9661569349.0,21625473986.0,112000000000.0,111000000000.0
 United Arab Emirates ,2003,3813443,33019,2165737446.0,11473654299.0,69538461538.0,76326363897.0,12124060325.0,27569605093.0,25904961899.0,64202303572.0,51406253288.0,13676541118.0,47291836191.0,28236040262.0,123000000000.0,10648144099.0,23267827809.0,126000000000.0,126000000000.0
 United Arab Emirates ,2004,3993339,37681,2224441599.0,12755744441.0,93968686181.0,92105146403.0,12929750529.0,29588771779.0,27674714249.0,79175395875.0,69912028725.0,15264284387.0,60986093235.0,32786629649.0,147000000000.0,13079017494.0,24716747159.0,150000000000.0,150000000000.0
 United Arab Emirates ,2005,4280993,43425,2277273144.0,15071412318.0,122000000000.0,104000000000.0,14219278421.0,36492037309.0,33262065226.0,89703978376.0,83670542768.0,17185528701.0,82302145521.0,39125169913.0,180000000000.0,14730462594.0,26737401125.0,186000000000.0,183000000000.0
 United Arab Emirates ,2006,4898954,46912,2196125088.0,18844108510.0,152000000000.0,125000000000.0,15365627116.0,42881754685.0,39121918209.0,110000000000.0,101000000000.0,19239386683.0,106000000000.0,44952353721.0,221000000000.0,17493960640.0,31809393730.0,230000000000.0,225000000000.0
 United Arab Emirates ,2007,5872624,45937,2276076976.0,24648994623.0,187000000000.0,154000000000.0,17365487775.0,65115257362.0,60919792227.0,137000000000.0,148000000000.0,20879402251.0,113000000000.0,58588681907.0,258000000000.0,21473000043.0,38789758864.0,270000000000.0,261000000000.0
 United Arab Emirates ,2008,6988685,46282,2358166883.0,31813221421.0,249000000000.0,185000000000.0,23019664133.0,79321518220.0,70724623622.0,162000000000.0,196000000000.0,24335602600.0,146000000000.0,68360731135.0,317000000000.0,25064648187.0,43658489227.0,323000000000.0,320000000000.0
 United Arab Emirates ,2009,7992644,32545,2375327085.0,31398718475.0,202000000000.0,143000000000.0,25948399059.0,80354321981.0,73454234869.0,117000000000.0,167000000000.0,20911848572.0,96276633136.0,65753797026.0,258000000000.0,24980967974.0,37066298460.0,260000000000.0,257000000000.0
 United Arab Emirates ,2010,8481771,34156,2212294756.0,31841861305.0,238000000000.0,151000000000.0,29068775895.0,78593555309.0,71752718209.0,122000000000.0,179000000000.0,23036890963.0,120000000000.0,70412499337.0,290000000000.0,25262824392.0,39671987812.0,290000000000.0,290000000000.0
 United Arab Emirates ,2011,8575205,40909,2356202631.0,31533315831.0,316000000000.0,170000000000.0,34902893984.0,81219427151.0,75168048403.0,135000000000.0,216000000000.0,27012249238.0,172000000000.0,75252354690.0,351000000000.0,28125924649.0,41420426836.0,351000000000.0,351000000000.0
 United Arab Emirates ,2012,8664969,43265,2393212655.0,30695220783.0,376000000000.0,157000000000.0,36449312457.0,81978431088.0,77961722247.0,120000000000.0,240000000000.0,28724405607.0,185000000000.0,83665438534.0,375000000000.0,29342808049.0,43990060483.0,375000000000.0,375000000000.0
 United Arab Emirates ,2013,8751847,44627,2511386686.0,31489848142.0,392000000000.0,175000000000.0,42851083193.0,75126823346.0,71052518010.0,132000000000.0,253000000000.0,29376532981.0,183000000000.0,93580115818.0,390000000000.0,30625794118.0,48807097282.0,391000000000.0,390000000000.0
 United Arab Emirates ,2014,8835951,45699,2578144332.0,33292793280.0,401000000000.0,190000000000.0,44070401010.0,89369188620.0,78929978273.0,146000000000.0,278000000000.0,31297735851.0,179000000000.0,104000000000.0,403000000000.0,32795613409.0,51121077861.0,404000000000.0,403000000000.0
