Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 United States ,1970,200328340,5363,25085300513.0,51672227336.0,59709000000.0,840000000000.0,193000000000.0,230000000000.0,230000000000.0,647000000000.0,55760000000.0,250000000000.0,289000000000.0,417000000000.0,1060000000000.0,104000000000.0,175000000000.0,1070000000000.0,1070000000000.0
 United States ,1971,202907917,5731,26983201538.0,56579086134.0,62963000000.0,909000000000.0,209000000000.0,255000000000.0,255000000000.0,700000000000.0,62342000000.0,263000000000.0,305000000000.0,457000000000.0,1150000000000.0,114000000000.0,189000000000.0,1160000000000.0,1160000000000.0
 United States ,1972,205238390,6239,31274108205.0,63088184538.0,70843000000.0,994000000000.0,225000000000.0,289000000000.0,280000000000.0,768000000000.0,74216000000.0,290000000000.0,336000000000.0,500000000000.0,1270000000000.0,128000000000.0,209000000000.0,1280000000000.0,1280000000000.0
 United States ,1973,207314764,6907,45962211795.0,70398402747.0,95269000000.0,1090000000000.0,239000000000.0,333000000000.0,317000000000.0,850000000000.0,91159000000.0,324000000000.0,375000000000.0,552000000000.0,1420000000000.0,141000000000.0,232000000000.0,1430000000000.0,1430000000000.0
 United States ,1974,209277968,7422,44559415385.0,74404001765.0,127000000000.0,1200000000000.0,265000000000.0,351000000000.0,337000000000.0,930000000000.0,127000000000.0,338000000000.0,402000000000.0,604000000000.0,1530000000000.0,156000000000.0,252000000000.0,1550000000000.0,1550000000000.0
 United States ,1975,211274535,7973,45879694359.0,76006241373.0,139000000000.0,1330000000000.0,297000000000.0,342000000000.0,348000000000.0,1030000000000.0,123000000000.0,355000000000.0,432000000000.0,666000000000.0,1660000000000.0,162000000000.0,276000000000.0,1680000000000.0,1680000000000.0
 United States ,1976,213270022,8766,44889485128.0,85819958967.0,150000000000.0,1460000000000.0,315000000000.0,413000000000.0,396000000000.0,1150000000000.0,151000000000.0,406000000000.0,491000000000.0,736000000000.0,1850000000000.0,185000000000.0,306000000000.0,1870000000000.0,1870000000000.0
 United States ,1977,215437405,9667,45384589744.0,94732416783.0,159000000000.0,1620000000000.0,341000000000.0,490000000000.0,467000000000.0,1270000000000.0,182000000000.0,463000000000.0,559000000000.0,824000000000.0,2070000000000.0,205000000000.0,337000000000.0,2080000000000.0,2080000000000.0
 United States ,1978,217881437,10785,52976193846.0,112000000000.0,187000000000.0,1790000000000.0,371000000000.0,584000000000.0,558000000000.0,1420000000000.0,212000000000.0,518000000000.0,625000000000.0,937000000000.0,2340000000000.0,233000000000.0,383000000000.0,2350000000000.0,2350000000000.0
 United States ,1979,220463115,11858,62548216410.0,126000000000.0,230000000000.0,1990000000000.0,405000000000.0,660000000000.0,642000000000.0,1590000000000.0,253000000000.0,572000000000.0,690000000000.0,1050000000000.0,2610000000000.0,257000000000.0,425000000000.0,2610000000000.0,2630000000000.0
