Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Vanuatu ,1970,87019,436,11384922.0,667845.0,19225515.0,39977223.0,14258782.0,8209681.0,8994093.0,25718441.0,26952457.0,1421669.0,2034887.0,11485885.0,35986425.0,3890483.0,6522402.0,37919331.0,38009945.0
 Vanuatu ,1971,89796,435,12300429.0,721549.0,20771515.0,43191951.0,15405388.0,8869855.0,9717344.0,27786564.0,29119812.0,1535991.0,2198521.0,12409511.0,38880237.0,4203333.0,7046895.0,39026674.0,41066477.0
 Vanuatu ,1972,92687,534,16344571.0,958780.0,27600786.0,57392627.0,20470380.0,11786091.0,12912218.0,36922247.0,38693841.0,2040996.0,2921352.0,16489518.0,51663304.0,5585307.0,9363777.0,49490718.0,54568338.0
 Vanuatu ,1973,95687,685,19938693.0,1169613.0,33670116.0,70013092.0,24971755.0,14377817.0,15751575.0,45041337.0,47202500.0,2489804.0,3563748.0,20115513.0,63023909.0,6813499.0,11422843.0,65553500.0,66567751.0
 Vanuatu ,1974,98790,827,19882532.0,1166318.0,33575278.0,69815888.0,24901417.0,14337319.0,15707208.0,44914471.0,47069546.0,2482791.0,3553710.0,20058854.0,62846391.0,6794308.0,11390669.0,81677678.0,66380251.0
 Vanuatu ,1975,102010,858,24053121.0,1410967.0,40618077.0,84460570.0,30124775.0,17344736.0,19001975.0,54335795.0,56942922.0,3003585.0,4299142.0,24266429.0,76029141.0,8219491.0,13779992.0,87524260.0,80304269.0
 Vanuatu ,1976,105341,760,23232203.0,1362812.0,39231808.0,81577984.0,29096635.0,16752771.0,18353450.0,52481349.0,54999496.0,2901075.0,4152415.0,23438231.0,73434315.0,7938965.0,13309689.0,80034434.0,77563535.0
 Vanuatu ,1977,108769,709,24337507.0,1427649.0,41098315.0,85459168.0,30480947.0,17549807.0,19226640.0,54978220.0,57616172.0,3039097.0,4349971.0,24553337.0,76928052.0,8316672.0,13942916.0,77096007.0,81253725.0
 Vanuatu ,1978,112185,880,29700862.0,1742266.0,50155317.0,104292150.0,37198157.0,21417329.0,23463692.0,67093993.0,70313281.0,3708836.0,5308592.0,29964255.0,93880999.0,10149451.0,17015573.0,98687157.0,99159938.0
 Vanuatu ,1979,115344,949,39085563.0,2292777.0,66003096.0,137245764.0,48951810.0,28184649.0,30877610.0,88293955.0,92530453.0,4880732.0,6985970.0,39432182.0,123544959.0,13356414.0,22392052.0,109485935.0,130491906.0
 Vanuatu ,1980,118156,888,37173566.0,2180618.0,62774340.0,130531942.0,46557173.0,26805905.0,29367132.0,83974769.0,88004025.0,4641975.0,6644228.0,37503229.0,117501355.0,12703042.0,21296672.0,104881557.0,124108470.0
 Vanuatu ,1981,120887,744,32364876.0,1898538.0,54653990.0,113646618.0,40534640.0,23338353.0,25568264.0,73111978.0,76620019.0,4041499.0,5784746.0,33605957.0,103255703.0,11059805.0,18541782.0,89933138.0,108054073.0
 Vanuatu ,1982,123748,730,32164914.0,1886809.0,54316319.0,112944471.0,40284203.0,23194160.0,25410295.0,72660268.0,76146634.0,4016529.0,5749005.0,33450805.0,102670231.0,10991473.0,18427224.0,90319177.0,107386478.0
 Vanuatu ,1983,126743,860,34681520.0,1530174.0,69466990.0,117501722.0,44064806.0,21403904.0,19281277.0,73436915.0,84547661.0,3080113.0,4890494.0,43336510.0,117760411.0,10433508.0,22888204.0,108943370.0,114552492.0
 Vanuatu ,1984,129873,1039,46435724.0,1638441.0,90931053.0,134129497.0,49043247.0,24263170.0,22453164.0,85086250.0,97351026.0,4264442.0,6513271.0,47887523.0,141632766.0,11979583.0,27178225.0,134936773.0,139445966.0
 Vanuatu ,1985,133119,1028,45311137.0,1585450.0,70114726.0,140327948.0,50784277.0,27289053.0,24033568.0,89543670.0,98063589.0,4464377.0,6633448.0,50365129.0,139098866.0,11276082.0,23927621.0,136819497.0,132567686.0
 Vanuatu ,1986,136488,983,36277969.0,2105168.0,48438084.0,145407271.0,51924786.0,32326834.0,30187557.0,93482485.0,89222656.0,4369742.0,6516443.0,59500268.0,138611302.0,11736186.0,22475268.0,134161758.0,128759342.0
 Vanuatu ,1987,139956,915,34119899.0,3179477.0,54472863.0,149412712.0,49487716.0,35207644.0,35965991.0,99924997.0,94833137.0,5491805.0,7450753.0,52268613.0,135622975.0,13527344.0,25076889.0,128011713.0,136842571.0
