Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Yemen Democratic (Former) ,1970,1617953,97,33278073.0,1764747.0,34362961.0,192645137.0,53551232.0,64483645.0,54917474.0,139093905.0,137900513.0,43110232.0,45883406.0,41345487.0,169919864.0,11596904.0,36051247.0,156993028.0,153591228.0
 Yemen Democratic (Former) ,1971,1666296,87,37260556.0,3828140.0,31861316.0,178033295.0,49497036.0,60564673.0,51734212.0,128536258.0,128818895.0,24755301.0,27562604.0,42619953.0,156698500.0,11484419.0,33942835.0,144777492.0,141640386.0
 Yemen Democratic (Former) ,1972,1715538,94,42319613.0,8851160.0,34422194.0,198756289.0,55324478.0,64789483.0,54964096.0,143431812.0,139456100.0,28489674.0,31532259.0,47851587.0,175640224.0,12170345.0,32915255.0,162022649.0,158511867.0
 Yemen Democratic (Former) ,1973,1764116,75,27290709.0,6355370.0,29726555.0,162459605.0,45092382.0,54913403.0,46800657.0,117367223.0,117338189.0,22056874.0,23552255.0,49160660.0,143556604.0,10093824.0,27103786.0,132635380.0,129761375.0
 Yemen Democratic (Former) ,1974,1812716,78,25153878.0,7350159.0,31521855.0,174430835.0,48517582.0,62172106.0,53549849.0,125913253.0,130228258.0,36587458.0,37567480.0,43120934.0,152556635.0,11270244.0,28093941.0,140950724.0,137896538.0
 Yemen Democratic (Former) ,1975,1858569,77,28817353.0,12529284.0,27215762.0,174802949.0,48832852.0,49454927.0,40901402.0,125970096.0,111040307.0,11276355.0,13424232.0,52622991.0,155363119.0,14677162.0,33292097.0,143543702.0,140433330.0
 Yemen Democratic (Former) ,1976,1903047,99,44442279.0,16394262.0,48131870.0,226473115.0,62318106.0,84779645.0,73126666.0,164155010.0,177665710.0,16789305.0,19357081.0,66762179.0,215693193.0,24690155.0,44047236.0,188812038.0,181718920.0
 Yemen Democratic (Former) ,1977,1945622,122,46115579.0,23846091.0,50615215.0,290581121.0,81316248.0,118987244.0,105047316.0,209264874.0,237310682.0,27196367.0,31334944.0,80209577.0,265854344.0,31532020.0,52816134.0,237310682.0,222872899.0
 Yemen Democratic (Former) ,1978,1987974,137,37751749.0,45051811.0,51014613.0,351917199.0,88481083.0,117919023.0,112064888.0,263436116.0,253065933.0,36708883.0,40671775.0,87600743.0,294713928.0,35248870.0,48388981.0,272468212.0,267784903.0
 Yemen Democratic (Former) ,1979,2033916,145,40124672.0,37535983.0,54525363.0,394034562.0,99628496.0,97311554.0,97311554.0,294406066.0,258725163.0,33283137.0,36796358.0,104656978.0,318038872.0,45671862.0,53253020.0,295178380.0,287146316.0
 Yemen Democratic (Former) ,1980,2084496,175,51103213.0,50900422.0,50435245.0,489856091.0,120349971.0,170181201.0,130165213.0,369506120.0,362257942.0,33866018.0,33866018.0,128366402.0,372526195.0,42586011.0,65704130.0,363767979.0,348214595.0
 Yemen Democratic (Former) ,1981,2141611,197,63331755.0,66950713.0,51387532.0,621059377.0,224250326.0,158723620.0,158723620.0,396809051.0,432689103.0,35988521.0,35988521.0,152800426.0,448348617.0,53480150.0,75797053.0,421742647.0,398481426.0
 Yemen Democratic (Former) ,1982,2202945,226,57566030.0,80202163.0,54538662.0,670130882.0,236925409.0,195984462.0,195984462.0,433205473.0,447246592.0,36295870.0,36295870.0,163721690.0,473407414.0,52882691.0,82738972.0,498681429.0,473407414.0
 Yemen Democratic (Former) ,1983,2269727,226,62874220.0,80308370.0,57051189.0,678951620.0,246608366.0,215180664.0,215180664.0,432343254.0,454427586.0,39319572.0,39319572.0,177865419.0,498171550.0,55269963.0,82534006.0,512752871.0,496755887.0
 Yemen Democratic (Former) ,1984,2341463,229,66265326.0,87623572.0,63830993.0,735609829.0,266197836.0,228916017.0,228916017.0,469411993.0,500338957.0,40160804.0,40160804.0,205185197.0,547647325.0,59328461.0,89083964.0,536491023.0,528017883.0
 Yemen Democratic (Former) ,1985,2417083,216,70084608.0,71858902.0,55596941.0,755064688.0,271191063.0,220585369.0,220585369.0,483873625.0,519089643.0,51454522.0,51454522.0,198543482.0,529626719.0,56422544.0,81262659.0,521862557.0,512157356.0
 Yemen Democratic (Former) ,1986,2495594,193,73751680.0,51717227.0,32261690.0,723746751.0,256951509.0,154884660.0,154884660.0,466795242.0,467508996.0,50260403.0,50260403.0,198127969.0,489492625.0,49896197.0,65739151.0,482316818.0,443384105.0
 Yemen Democratic (Former) ,1987,2579318,192,76647823.0,52356863.0,45796723.0,681902875.0,244464029.0,183905465.0,183905465.0,437438844.0,456978941.0,46776508.0,46776508.0,190224466.0,501903726.0,52849248.0,83048817.0,494545975.0,454626122.0
