Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Zambia ,1970,4281671,379,139150144.0,51972179.0,1202609319.0,1016420594.0,287407285.0,142420543.0,234466306.0,729014709.0,1001003800.0,189876324.0,532762787.0,275448490.0,1262074296.0,95152362.0,167589733.0,1621858752.0,1544192383.0
 Zambia ,1971,4399919,339,158047337.0,55221578.0,879572050.0,1387661247.0,494817203.0,149760740.0,246552502.0,892845444.0,1120272554.0,219595513.0,514453595.0,311456476.0,1339844266.0,104129159.0,196537522.0,1492589805.0,1574164973.0
 Zambia ,1972,4523581,367,207857151.0,64420933.0,1028756822.0,1558244060.0,564137097.0,175692182.0,289243929.0,994106964.0,1203281456.0,254258086.0,605180470.0,357943072.0,1556593534.0,113998327.0,207192180.0,1659966334.0,1851647204.0
 Zambia ,1973,4653289,462,216300922.0,71128506.0,1501223185.0,1717614542.0,643616104.0,185937492.0,306111313.0,1073998438.0,1233542479.0,310928934.0,820514617.0,449131664.0,1950569442.0,136611673.0,256883594.0,2152087946.0,2349834205.0
 Zambia ,1974,4789038,545,246002860.0,75721879.0,1839739847.0,2392858923.0,818540392.0,208078203.0,342560533.0,1574318530.0,1810995247.0,408721599.0,1129596247.0,485377491.0,2388509002.0,152460138.0,299348833.0,2612038048.0,2894548228.0
 Zambia ,1975,4931249,443,309043422.0,85369153.0,1121004929.0,2839211482.0,965514669.0,238043935.0,391894035.0,1873695258.0,2090721827.0,456539652.0,880007152.0,540293519.0,2320846355.0,169460380.0,336677394.0,2183337222.0,2658265319.0
 Zambia ,1976,5079672,462,390362783.0,71714921.0,1488406652.0,2471058415.0,977118113.0,200977531.0,330870683.0,1493940303.0,1597276495.0,479491800.0,894950740.0,555310952.0,2475630561.0,182938598.0,380351140.0,2345504878.0,2813702552.0
 Zambia ,1977,5233292,428,349603988.0,75408258.0,1241753120.0,2602267409.0,882666118.0,211149960.0,347617228.0,1719601291.0,1604640166.0,521185886.0,872953911.0,556334704.0,2436818004.0,215968075.0,366547801.0,2237394869.0,2767425574.0
 Zambia ,1978,5391355,462,349425062.0,78242298.0,1182500833.0,2970018734.0,892682348.0,225729392.0,371620316.0,2077336386.0,1578917985.0,633375937.0,990377186.0,688809742.0,2743280183.0,204208576.0,432217319.0,2493158618.0,3098138218.0
 Zambia ,1979,5553462,537,365029412.0,84326471.0,1911070588.0,3333070588.0,1031401261.0,244120588.0,401896639.0,2301669328.0,1867726891.0,709100420.0,1282934874.0,848257563.0,3377959664.0,215794538.0,581616807.0,2981055882.0,3827221008.0
