Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Zanzibar ,1990,680287,192,32875034.0,8002100.0,11945863.0,116919414.0,31571143.0,34875278.0,64198016.0,85348270.0,27060803.0,13863248.0,16033534.0,33766154.0,123834607.0,5946871.0,27210914.0,130547958.0,136679753.0
 Zanzibar ,1991,701000,212,40105594.0,7607891.0,10653730.0,147693157.0,28065664.0,26581300.0,50654067.0,119627493.0,30446889.0,14049423.0,17479097.0,35916590.0,138533842.0,6995052.0,30429618.0,148779994.0,154481297.0
 Zanzibar ,1992,722000,202,33667878.0,8056271.0,14226067.0,146291114.0,25852480.0,29904109.0,56559433.0,120438634.0,35934721.0,18395083.0,21914542.0,34625787.0,139958856.0,7169745.0,34524632.0,145827229.0,154486569.0
 Zanzibar ,1993,744000,195,34627620.0,8394866.0,18745694.0,144490533.0,32355851.0,24353111.0,53433468.0,112134682.0,37207746.0,17081284.0,19983658.0,34916270.0,138222026.0,7631665.0,32667947.0,144921657.0,150381592.0
 Zanzibar ,1994,767000,192,30896749.0,10822347.0,24464128.0,145060982.0,27739722.0,25154448.0,51369821.0,117321260.0,42190869.0,18071024.0,21105627.0,36613752.0,137029643.0,7906510.0,29684658.0,147645208.0,152488689.0
 Zanzibar ,1995,790000,229,35117645.0,13444443.0,34831721.0,172952576.0,30239528.0,27056693.0,50218894.0,142713048.0,48939260.0,20140804.0,23693463.0,45074912.0,165075329.0,9404577.0,38340289.0,181167230.0,185901731.0
 Zanzibar ,1996,814000,291,45147239.0,14833409.0,37295989.0,212327279.0,29515416.0,39436701.0,54575328.0,182811863.0,48696392.0,24637434.0,29037028.0,57381062.0,215120129.0,12973755.0,55747638.0,236945170.0,240363577.0
 Zanzibar ,1997,636000,432,49962710.0,15255896.0,35170234.0,241245559.0,26037642.0,47624250.0,56542160.0,215207917.0,45399027.0,28919273.0,33745506.0,69497299.0,246131025.0,14235842.0,63433773.0,274459106.0,278641016.0
 Zanzibar ,1998,864000,320,49747463.0,10740097.0,29358041.0,249577352.0,23218741.0,51663421.0,61976072.0,226358611.0,50001254.0,32194927.0,36805816.0,75540995.0,242458411.0,12987196.0,56636843.0,276703613.0,280597560.0
 Zanzibar ,1999,889000,309,53832394.0,10705201.0,29819743.0,248860720.0,22181193.0,45978477.0,54318981.0,226679526.0,45903280.0,31925571.0,36032181.0,70934940.0,243329584.0,13294741.0,58530127.0,275080195.0,278755660.0
 Zanzibar ,2000,916000,321,63453958.0,7386266.0,33979344.0,257335394.0,23787656.0,49657030.0,55658107.0,233547738.0,43183285.0,30728123.0,35030890.0,79093818.0,263197627.0,15532246.0,62700450.0,293702379.0,297788483.0
 Zanzibar ,2001,944000,333,74364441.0,9876549.0,46092338.0,264231146.0,25748080.0,55805554.0,61675645.0,238483066.0,48682118.0,30021607.0,34432443.0,83945353.0,282585815.0,18183471.0,61783558.0,314322869.0,317446920.0
 Zanzibar ,2002,982000,335,75427847.0,10873656.0,49726230.0,268556265.0,29778079.0,60366085.0,63465581.0,238778186.0,47359537.0,33248926.0,38273992.0,92261560.0,298531070.0,18780359.0,62913655.0,328751135.0,331289043.0
 Zanzibar ,2003,1011000,338,67659204.0,13482988.0,54729090.0,277554940.0,36258780.0,69808254.0,74228422.0,241296160.0,56758982.0,37795113.0,43917406.0,100130742.0,312897678.0,25985027.0,61722312.0,342118210.0,345333302.0
 Zanzibar ,2004,1041000,373,84504133.0,19448770.0,66347926.0,310985110.0,45715800.0,92391460.0,100129548.0,265269310.0,74270815.0,37583290.0,44426285.0,114382103.0,360599123.0,29004269.0,68833563.0,387785456.0,395453680.0
 Zanzibar ,2005,1073000,400,92194311.0,22110763.0,77791784.0,342042979.0,52568175.0,111478619.0,123306303.0,289474805.0,93737736.0,40205743.0,48135009.0,116952767.0,400784930.0,32117130.0,89274949.0,429368696.0,437575646.0
 Zanzibar ,2006,1144000,446,134155456.0,31569242.0,91603126.0,388335832.0,64346908.0,152854880.0,158346413.0,323988924.0,123149978.0,44409547.0,54032232.0,115829383.0,467313047.0,32261088.0,99465646.0,509777538.0,509643860.0
 Zanzibar ,2007,1143312,510,145753591.0,37710950.0,117358477.0,447730330.0,77483124.0,205798829.0,208152898.0,370247205.0,180703644.0,50180337.0,61505104.0,133642448.0,536412479.0,37620779.0,120179606.0,583171620.0,590183992.0
 Zanzibar ,2008,1178453,617,176110670.0,56120144.0,143963550.0,563102336.0,83660484.0,245940778.0,277017664.0,479441852.0,218529224.0,68621545.0,79353366.0,160820296.0,665697105.0,43850230.0,149442399.0,726767767.0,734477440.0
 Zanzibar ,2009,1212196,620,180351099.0,56634622.0,138452800.0,606268419.0,93818944.0,206004702.0,245047059.0,512449475.0,192533270.0,68512180.0,77723666.0,162862818.0,684878390.0,45442724.0,161863462.0,751268439.0,758192651.0
 Zanzibar ,2010,1248153,645,188182949.0,61623013.0,161613369.0,633174043.0,85400059.0,273701487.0,263545302.0,547773984.0,230891010.0,70137976.0,78267413.0,175389034.0,745387565.0,52778093.0,189147063.0,805245467.0,820224788.0
 Zanzibar ,2011,1278067,668,222063734.0,70580660.0,189763105.0,667426991.0,85061596.0,353462843.0,319975368.0,582365395.0,302926046.0,68999351.0,78930182.0,163740501.0,789059549.0,53481288.0,200263183.0,853396984.0,869827547.0
 Zanzibar ,2012,1303569,765,239986943.0,89030165.0,226497384.0,793461171.0,105564269.0,352769061.0,333743276.0,687896902.0,323946499.0,83652411.0,101440895.0,189769830.0,914668503.0,60931921.0,233508749.0,997754043.0,1012411357.0
 Zanzibar ,2013,1348776,841,269939413.0,100452105.0,218971665.0,886511299.0,115695283.0,431557432.0,391097724.0,770816016.0,341127880.0,92423084.0,117472815.0,234090800.0,1044691885.0,68358017.0,254378734.0,1133936529.0,1151742663.0
 Zanzibar ,2014,1394690,921,287605020.0,106124862.0,234554960.0,978994083.0,128093009.0,488783129.0,430581645.0,850901074.0,354207928.0,96962855.0,124597066.0,294334052.0,1174287160.0,89655318.0,271970842.0,1284341909.0,1298091986.0
 Zanzibar ,2015,1441183,809,260982906.0,99778498.0,202449407.0,873349905.0,117496948.0,387723600.0,377218658.0,755852957.0,279948193.0,90446830.0,117908841.0,276296704.0,1080150708.0,77571910.0,247611850.0,1165535763.0,1183574718.0
 Zanzibar ,2016,1488036,832,276990901.0,117117103.0,206312462.0,870581270.0,114405876.0,405998148.0,413305008.0,756175394.0,240641404.0,89630361.0,125686494.0,296127748.0,1148223090.0,73620198.0,258680646.0,1237638768.0,1261851878.0
 Zanzibar ,2017,1534291,928,311774064.0,149448756.0,219844348.0,996719499.0,123371158.0,493946599.0,514894471.0,873348341.0,248281078.0,94532732.0,133925109.0,353320010.0,1319195969.0,65773604.0,304954427.0,1424142857.0,1450832910.0
 Zanzibar ,2018,1579849,1032,343628702.0,149837840.0,244841356.0,1121099061.0,133777472.0,632462557.0,643880704.0,987321589.0,295230198.0,96210736.0,138573497.0,382457552.0,1496302225.0,67321011.0,414483624.0,1630923214.0,1649011368.0
 Zanzibar ,2019,1625589,1094,382482723.0,156323206.0,286819109.0,1203737324.0,142097257.0,721737252.0,769344195.0,1061640066.0,312604980.0,119744362.0,170701270.0,396598573.0,1646397579.0,85175826.0,455115982.0,1778003517.0,1807396933.0
 Zanzibar ,2020,1671598,1076,418194804.0,163633864.0,243073574.0,1221463874.0,134899077.0,723966763.0,777322699.0,1086564797.0,255489327.0,141621317.0,196500123.0,422161421.0,1675961228.0,92670643.0,382800372.0,1799417428.0,1834625923.0
 Zanzibar ,2021,1717608,1190,563025564.0,194188766.0,298366403.0,1387384118.0,152808133.0,838742896.0,889341261.0,1234575985.0,347196358.0,146011499.0,201152057.0,445911721.0,1923957188.0,94004423.0,425674657.0,2044323819.0,2080370103.0
