Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Zimbabwe ,1970,5202918,441,270563589.0,104936669.0,544886998.0,1830444978.0,358067991.0,411143038.0,59573150.0,1472376987.0,485489617.0,398774204.0,600764342.0,540351304.0,2236207206.0,168367391.0,551223911.0,2293209356.0,2336518315.0
 Zimbabwe ,1971,5363423,492,354716076.0,110985319.0,628394390.0,2127726397.0,407571631.0,532788736.0,75453215.0,1720154766.0,557031106.0,480316436.0,688982754.0,601361843.0,2575638052.0,197644845.0,621947213.0,2636570494.0,2701724625.0
 Zimbabwe ,1972,5532842,588,449315179.0,153304046.0,780822646.0,2510957242.0,484453301.0,627649554.0,94625851.0,2026503941.0,707543506.0,615310793.0,858537011.0,741000715.0,3195024283.0,236830414.0,756036916.0,3254176826.0,3336471760.0
 Zimbabwe ,1973,5712712,700,463960906.0,188588242.0,956170713.0,3052232783.0,624212508.0,849439956.0,137085483.0,2428020275.0,841728876.0,798619479.0,1144773580.0,926552477.0,3884937681.0,284839457.0,876223019.0,4000724334.0,4103781302.0
 Zimbabwe ,1974,5903530,818,682580913.0,191709707.0,1139448319.0,3500259580.0,769578444.0,1324346899.0,175614464.0,2730681137.0,994308037.0,984302376.0,1409259790.0,1083146729.0,4836720083.0,323534102.0,1146488842.0,4831960297.0,4938098908.0
 Zimbabwe ,1975,6097083,869,715630504.0,224698845.0,1291934207.0,3965210108.0,911471978.0,1377031051.0,199602867.0,3053738130.0,1245260587.0,1068554546.0,1511935001.0,1264461999.0,5236533184.0,347577548.0,1172229288.0,5295853470.0,5420653296.0
 Zimbabwe ,1976,6288387,829,706941333.0,191771766.0,1231693241.0,4112548003.0,1035435493.0,948503953.0,166026650.0,3077112511.0,987088258.0,1046066800.0,1512661688.0,1298468579.0,5142540815.0,347464024.0,1085233426.0,5211343389.0,5357270897.0
 Zimbabwe ,1977,6453044,820,671420978.0,182185744.0,1211937820.0,4273923409.0,1234038863.0,971765288.0,146663569.0,3039884546.0,1028480555.0,997721021.0,1453230558.0,1449888647.0,5115396703.0,361038834.0,997631942.0,5292449522.0,5410606535.0
 Zimbabwe ,1978,6549349,812,541564788.0,135460927.0,1250139315.0,4617798622.0,1358145043.0,606069667.0,123010322.0,3259653579.0,1018874555.0,1041268324.0,1493259482.0,1464971152.0,5364214801.0,360885946.0,1368072505.0,5316776882.0,5413153502.0
 Zimbabwe ,1979,6655833,947,596515658.0,184455372.0,1465621309.0,5645288579.0,1603644635.0,765708545.0,141302066.0,4041643945.0,1368188096.0,1253140263.0,1861377599.0,1624603914.0,6264552207.0,377982816.0,1619616848.0,6301001694.0,6421605915.0
 Zimbabwe ,1980,7049926,1155,883821116.0,192404794.0,2020106209.0,7024797873.0,2132031094.0,1461593116.0,199184873.0,4892766778.0,2059140097.0,1695762593.0,2459634685.0,2107459524.0,7903161324.0,447370845.0,1812470361.0,8144595018.0,8257381101.0
 Zimbabwe ,1981,7506526,1289,1171278905.0,272487196.0,2020391741.0,8357636092.0,2243995181.0,2161182091.0,292410551.0,6113640911.0,2419686239.0,2006212383.0,2671625950.0,2301331496.0,9285723426.0,605897506.0,2263102372.0,9676823295.0,9934543230.0
 Zimbabwe ,1982,7803855,1306,1113234663.0,341115041.0,1876498886.0,9070850644.0,2746300657.0,2110599588.0,332821022.0,6324549987.0,2212289977.0,2012653749.0,2545055962.0,2606674261.0,9791839643.0,657129340.0,2528630377.0,10194382645.0,10589687509.0
 Zimbabwe ,1983,8106356,1141,678271842.0,347065352.0,1657407257.0,8412045058.0,2322230680.0,1437925089.0,297139325.0,6089814378.0,1762798646.0,1938526401.0,2753021298.0,2184278939.0,8508314352.0,543634894.0,2002042028.0,9249195987.0,9627835902.0
 Zimbabwe ,1984,8398567,909,751347394.0,222167083.0,1695622290.0,6487415052.0,2201763113.0,1402373316.0,229135372.0,4285651940.0,1540808176.0,1598578834.0,2113061427.0,1927324644.0,7014001928.0,471657025.0,1528444355.0,7637138589.0,7876990743.0
 Zimbabwe ,1985,8690515,979,1475513201.0,178197196.0,1562734421.0,7260837286.0,2312034372.0,1460422151.0,195738157.0,4948802914.0,1436842828.0,1394381684.0,1802379297.0,2174507876.0,8352623440.0,375174111.0,2346851758.0,8507831177.0,8719664288.0
 Zimbabwe ,1986,8983044,1038,1267241238.0,227328813.0,1866693975.0,7800704558.0,2606476608.0,1630406797.0,227605222.0,5194227950.0,1549677522.0,1651057484.0,2200206186.0,2325720029.0,9254169806.0,490367410.0,2743306129.0,9322723206.0,9616001507.0
 Zimbabwe ,1987,9277488,1091,1117499774.0,294449772.0,2021084414.0,8844024471.0,3197060583.0,1463826826.0,264144708.0,5646963887.0,1660992219.0,1898820692.0,2443396591.0,3001396276.0,9940341582.0,565869046.0,2517730123.0,10123465328.0,10426005671.0
 Zimbabwe ,1988,9568739,1228,1463423919.0,350197559.0,2316089510.0,9960651244.0,4360590284.0,2124767969.0,295985718.0,5600060960.0,1842712328.0,2073337389.0,2875210468.0,3129345837.0,11406393596.0,611529230.0,2976686583.0,11750844856.0,12085775628.0
 Zimbabwe ,1989,9846346,1265,1398494533.0,299712839.0,2407905656.0,10727315821.0,3135420583.0,1806538727.0,281491259.0,7591895239.0,2078607726.0,2586888337.0,3271200837.0,3298122984.0,11942669442.0,615288122.0,3059850127.0,12454678691.0,12780973461.0
 Zimbabwe ,1990,10113893,1297,1642461277.0,341852380.0,2502663228.0,11323490666.0,3460749324.0,2214782506.0,388179188.0,7862741342.0,2314183073.0,2447531913.0,3246103960.0,3403443679.0,12746087025.0,660530031.0,3451695698.0,13114099297.0,13560131346.0
 Zimbabwe ,1991,10377815,1179,1399734667.0,305952334.0,2438962187.0,10589104465.0,2676498285.0,2271851315.0,409447835.0,7912606181.0,2573818828.0,2686308919.0,3418908737.0,2863560598.0,11725100190.0,531722384.0,3205221470.0,12234326017.0,12652473104.0
 Zimbabwe ,1992,10641501,940,575270335.0,289216916.0,2292837272.0,9526094602.0,3307678470.0,1984644183.0,366798183.0,6218416132.0,2850346913.0,2472870059.0,3153627282.0,2756286195.0,10136390315.0,406087656.0,2955901931.0,10006819764.0,10433668192.0
 Zimbabwe ,1993,10794918,903,1137052804.0,242161164.0,2512915736.0,7948479772.0,1988181874.0,2169601517.0,375884440.0,5960297898.0,2462374253.0,1877239399.0,2501464432.0,2559479520.0,9799150918.0,591704884.0,2767288114.0,9752460288.0,10135143613.0
 Zimbabwe ,1994,10858594,939,1486344894.0,222355938.0,2975826733.0,8355847974.0,2334526113.0,2376697372.0,358012877.0,6021321861.0,2913857822.0,1789112461.0,2541970516.0,2674943744.0,10080193669.0,520558354.0,2634020224.0,10199785469.0,10656132607.0
 Zimbabwe ,1995,10994041,957,1209584121.0,198319034.0,3394508197.0,8630354747.0,2600175486.0,2645302642.0,429832561.0,6030179262.0,3370173728.0,1867036475.0,2314466435.0,2765248048.0,10557377274.0,571384390.0,3498375247.0,10525113171.0,11063283546.0
 Zimbabwe ,1996,11178171,1164,2238760849.0,232713990.0,3857882794.0,10708938354.0,2940988458.0,2580959602.0,447884966.0,7767949897.0,3560116049.0,1945032796.0,2477997379.0,3248312934.0,12703336859.0,593246481.0,3912305226.0,13013143760.0,13466389367.0
 Zimbabwe ,1997,11362401,1163,2318144710.0,286261845.0,3955579761.0,11872786949.0,2938046360.0,2637262762.0,620613757.0,8934740589.0,4354301342.0,1823861992.0,2337789974.0,3787709960.0,13010474561.0,609778946.0,3670789126.0,13219402545.0,13854127988.0
 Zimbabwe ,1998,11548364,789,1503870642.0,209494509.0,3286228217.0,7564283538.0,1943616678.0,2133366940.0,317531467.0,5620666860.0,3170055502.0,1191860981.0,1542185261.0,2861466972.0,9224497002.0,562770264.0,2544709354.0,9107675157.0,9705756429.0
 Zimbabwe ,1999,11716454,755,1787792279.0,168371682.0,3450971248.0,7537740545.0,1641223938.0,1328068328.0,235580749.0,5896516607.0,3091700551.0,1088727888.0,1389159733.0,2624596878.0,8941189915.0,568145977.0,2403123365.0,8844219695.0,9225079569.0
 Zimbabwe ,2000,11834676,710,1686422528.0,160769143.0,3327727246.0,7340797096.0,2116063141.0,1183323684.0,1028844446.0,5224733956.0,3131332696.0,991285570.0,1259530997.0,2517793468.0,8508484538.0,667615434.0,2216352968.0,8407757333.0,8720515330.0
 Zimbabwe ,2001,11910978,722,2122155273.0,103183437.0,3027158558.0,7595284686.0,1532043758.0,888993408.0,1049303384.0,6063240928.0,2852246978.0,938208956.0,1204135493.0,2034662163.0,8332622010.0,943563237.0,1924922408.0,8600973613.0,8659189674.0
 Zimbabwe ,2002,11984644,684,2038800000.0,75977700.0,2615377729.0,8062475704.0,1472500927.0,410773376.0,835717722.0,6589974777.0,2873158892.0,742472000.0,972105855.0,2015067173.0,7697577017.0,1035499430.0,1560126859.0,8195180332.0,8215468047.0
 Zimbabwe ,2003,12075828,636,1519050000.0,58460800.0,2509639225.0,7565069970.0,1387883876.0,619720198.0,1070083519.0,6177186094.0,2947926310.0,862985000.0,1123609195.0,2496406027.0,7044180619.0,591916674.0,1254737922.0,7675235496.0,7746503219.0
 Zimbabwe ,2004,12160881,601,695991000.0,41518300.0,2556374447.0,7608421048.0,1557463905.0,334408274.0,378808968.0,6050957143.0,3082930625.0,805300000.0,1513371407.0,2363711831.0,6282831189.0,365768799.0,1302469852.0,7311109186.0,7416273145.0
 Zimbabwe ,2005,12224753,579,683948000.0,24231100.0,2411843167.0,7722611429.0,1093552283.0,109646354.0,143813562.0,6629059146.0,3055008873.0,361562000.0,2327607145.0,1967279751.0,6402514990.0,191315895.0,1208133100.0,7073366623.0,7189091952.0
 Zimbabwe ,2006,12330490,563,1114440000.0,87064900.0,2534531545.0,7707118636.0,414665992.0,110750346.0,156816691.0,7292452644.0,3303452742.0,1614150000.0,3152862810.0,562759567.0,6867600959.0,118333935.0,1832139747.0,6943314206.0,7048947785.0
