Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Afghanistan ,1970,10752971,164,869917407.0,46793902.0,165618722.0,1663221269.0,112126986.0,94611818.0,94611818.0,1551094283.0,195277226.0,370146827.0,376690811.0,127747843.0,1731454254.0,83917200.0,226387091.0,1766527525.0,1731435587.0
 Afghanistan ,1971,11015857,168,910828104.0,48994113.0,193580300.0,1796541240.0,121114833.0,99012350.0,99012350.0,1675426407.0,276296480.0,387549502.0,394401164.0,133754097.0,1812857077.0,87860382.0,237019196.0,1850121913.0,1812837521.0
 Afghanistan ,1972,11286753,149,827945340.0,44535223.0,227654380.0,1607159399.0,108347543.0,103456794.0,103456794.0,1498811856.0,290370350.0,352284669.0,358512865.0,121582672.0,1647917912.0,79864525.0,215477287.0,1683947905.0,1647900178.0
 Afghanistan ,1973,11575305,150,855486925.0,46018542.0,226913554.0,1617037233.0,109013455.0,121728433.0,121728433.0,1508023800.0,262962880.0,364010279.0,370445793.0,125630236.0,1702734673.0,82528885.0,222624293.0,1739998153.0,1702716294.0
 Afghanistan ,1974,11869879,177,1035913365.0,55721659.0,284938449.0,1907408182.0,128588961.0,175061875.0,175061875.0,1778819221.0,305679151.0,440760406.0,448552790.0,152119162.0,2061751510.0,99918604.0,269525910.0,2106420227.0,2061729287.0
 Afghanistan ,1975,12157386,195,1165441381.0,62686658.0,300493815.0,2131358499.0,143686711.0,221728484.0,221728484.0,1987671788.0,333827202.0,495891889.0,504659018.0,171142804.0,2319778374.0,112416374.0,303432162.0,2369877014.0,2319753506.0
 Afghanistan ,1976,12425267,207,1262891632.0,67941997.0,329382802.0,2232098998.0,150478171.0,322716302.0,322716302.0,2081620805.0,370617399.0,537391228.0,546891983.0,185472327.0,2513608060.0,121865126.0,328544951.0,2568148611.0,2513580659.0
 Afghanistan ,1977,12687301,231,1439687056.0,77430595.0,342962988.0,2584198550.0,174215156.0,362716078.0,362716078.0,2409983394.0,424938409.0,612470141.0,623298276.0,211382277.0,2864969897.0,138798518.0,374373152.0,2927408257.0,2864939207.0
 Afghanistan ,1978,12938862,254,1618731870.0,87058287.0,354814847.0,2883951161.0,194423174.0,437531071.0,437531071.0,2689527987.0,453333379.0,688846878.0,701025415.0,237719665.0,3222997856.0,156155903.0,422306672.0,3292593311.0,3222963833.0
 Afghanistan ,1979,12986369,285,1824507919.0,98215848.0,424287344.0,3241236374.0,218509730.0,487588175.0,487588175.0,3022726644.0,522344151.0,776522761.0,790251109.0,268036272.0,3630809406.0,176271742.0,473526514.0,3707542111.0,3630767856.0
 Afghanistan ,1980,12486631,298,1833562539.0,98532815.0,421868016.0,3268912030.0,220375496.0,482304575.0,482304575.0,3048536534.0,526287844.0,779480093.0,793260866.0,269014824.0,3646833941.0,176313390.0,476149507.0,3722131465.0,3646796868.0
 Afghanistan ,1981,11155195,314,1718724637.0,92428356.0,391421266.0,3066531139.0,206731957.0,459513054.0,459513054.0,2859799183.0,489983587.0,732043180.0,744985769.0,252555248.0,3427516574.0,166095276.0,452727309.0,3498878174.0,3427482014.0
 Afghanistan ,1982,10088289,341,1726519723.0,93192698.0,396355483.0,3069066293.0,206902671.0,458169539.0,458169539.0,2862163623.0,492946310.0,735140420.0,748136470.0,253916138.0,3430693404.0,167551200.0,441377195.0,3444942467.0,3430645143.0
 Afghanistan ,1983,9951449,342,1716473104.0,91768952.0,392422843.0,3051150067.0,205694993.0,454250259.0,454250259.0,2845455074.0,489618656.0,727197612.0,740054431.0,250856628.0,3408226352.0,162736656.0,446336562.0,3406282147.0,3408204613.0
 Afghanistan ,1984,10243686,329,1676305154.0,90335802.0,387309317.0,3014873729.0,203249684.0,450192119.0,450192119.0,2811624045.0,483264293.0,717950348.0,730645071.0,247437834.0,3369144034.0,164358551.0,460061583.0,3367206173.0,3369110951.0
 Afghanistan ,1985,10512221,317,1693802362.0,92428310.0,383698586.0,2980427397.0,200926508.0,444575108.0,444575108.0,2779500889.0,478235489.0,720657617.0,733393922.0,249752897.0,3330552065.0,166460923.0,394713652.0,3328583888.0,3330465681.0
 Afghanistan ,1986,10448442,318,1676188805.0,87033307.0,382241974.0,2972187313.0,200372077.0,443219663.0,443219663.0,2771815237.0,476760181.0,699386839.0,711755492.0,240333298.0,3320833313.0,147666606.0,457855785.0,3319025098.0,3320888887.0
 Afghanistan ,1987,10322758,289,1432221547.0,78922216.0,343396018.0,2670212843.0,180014902.0,398399906.0,398399906.0,2490197941.0,428265396.0,633101618.0,644299828.0,217566618.0,2983799044.0,154022249.0,456766606.0,2982069940.0,2983743471.0
 Afghanistan ,1988,10383460,261,1572889482.0,66677753.0,312460283.0,2428768984.0,163733965.0,362286205.0,362286205.0,2265035019.0,389616063.0,485094989.0,493666301.0,161733198.0,2713843954.0,129944373.0,288932866.0,2712358824.0,2713899488.0
 Afghanistan ,1989,10673168,299,2122790293.0,75833378.0,367371146.0,2856286844.0,192562075.0,426055201.0,426055201.0,2663724769.0,458156222.0,497072474.0,505844598.0,167311186.0,3191457087.0,145277853.0,174399799.0,3189731619.0,3191557068.0
 Afghanistan ,1990,10694796,333,1509620075.0,105122302.0,409739639.0,3185532001.0,214757900.0,475208015.0,475208015.0,2970774120.0,510968017.0,683514541.0,695589398.0,226200144.0,3559489503.0,205100157.0,817857446.0,3557507175.0,3559511736.0
 Afghanistan ,1991,10745167,316,1578756366.0,107755544.0,451898050.0,3144186224.0,211948590.0,451305892.0,451305892.0,2932237634.0,644734732.0,680342026.0,692422081.0,230511087.0,3402654940.0,214466653.0,578743210.0,3400808720.0,3402654940.0
 Afghanistan ,1992,12057433,286,1867278379.0,128566734.0,538992070.0,3317143798.0,223656310.0,452868098.0,452868098.0,3093487489.0,864291208.0,469309787.0,477621650.0,250966740.0,3444711434.0,244066746.0,476211165.0,3442784146.0,3444711414.0
 Afghanistan ,1993,14003760,203,1743643917.0,110788829.0,507296032.0,2841479970.0,191563945.0,370886233.0,370886233.0,2649916025.0,875217835.0,304797219.0,310155245.0,195244250.0,2844442641.0,123577407.0,361032994.0,2842735849.0,2844442641.0
 Afghanistan ,1994,15455555,111,1250142369.0,62248410.0,354798182.0,1793838215.0,120873832.0,221231043.0,221231043.0,1672964383.0,654696712.0,139782856.0,142236253.0,97948199.0,1715169169.0,46857436.0,115736501.0,1714162001.0,1715169169.0
 Afghanistan ,1995,16418912,168,1829088268.0,136694540.0,631234333.0,2983570664.0,201339451.0,352587313.0,352587313.0,2782231213.0,1210551146.0,153659543.0,156390148.0,204536716.0,2756838035.0,171773712.0,258354652.0,2755434126.0,2756838036.0
 Afghanistan ,1996,17106595,156,1709038614.0,140121479.0,672996346.0,2990856755.0,201511058.0,338414037.0,338414037.0,2789345697.0,1332477843.0,175969216.0,179190610.0,200892374.0,2633888330.0,183067281.0,221577974.0,2668648884.0,2669785634.0
 Afghanistan ,1997,17788819,164,1825434126.0,158294608.0,797679423.0,3375758150.0,227197972.0,367733720.0,367733720.0,3148560178.0,1616577339.0,237385257.0,241503463.0,218333696.0,2862311421.0,209239991.0,209505537.0,2922683513.0,2924589326.0
 Afghanistan ,1998,18493132,159,1782339866.0,164266130.0,866499830.0,3496423195.0,236722323.0,365811290.0,365811290.0,3259700871.0,1793589592.0,298073135.0,303108025.0,217254726.0,2865878832.0,219899756.0,179010330.0,2932741740.0,2935139404.0
 Afghanistan ,1999,19262847,112,1265698035.0,125854611.0,697281390.0,2669154263.0,178828421.0,265877102.0,265877102.0,2490325841.0,1475110911.0,287999806.0,293074256.0,157984681.0,2121126845.0,171143946.0,107371317.0,2156204880.0,2157197316.0
 Afghanistan ,2000,19542982,171,1914742125.0,200732181.0,1145416949.0,4242373762.0,284430763.0,408699474.0,408699474.0,3957942999.0,2454448335.0,542605334.0,552829543.0,242965903.0,3332167837.0,275998149.0,144899935.0,3341542477.0,3342034168.0
 Afghanistan ,2001,19688632,183,1945443612.0,225837212.0,1221308444.0,4612607837.0,317882489.0,478407037.0,478407037.0,4294725348.0,2713843393.0,675408325.0,689376488.0,241805465.0,3598470576.0,332989433.0,163018367.0,3598407195.0,3598470576.0
 Afghanistan ,2002,21000256,197,1869249676.0,194441167.0,1261260259.0,4998433835.0,327354145.0,486380419.0,486380419.0,4671079690.0,2604548411.0,720338527.0,729963858.0,522756889.0,4099214501.0,410542963.0,372259947.0,4134295420.0,4141523943.0
 Afghanistan ,2003,22645130,209,1981633068.0,216394293.0,1948898419.0,6269973449.0,438135689.0,537868146.0,537868146.0,5831837759.0,3799110373.0,691580599.0,703842914.0,676723389.0,4583535524.0,545463877.0,459477984.0,4721728965.0,4729042179.0
 Afghanistan ,2004,23553551,229,1918994249.0,334068487.0,2026411122.0,7113840108.0,580194791.0,848865441.0,848865441.0,6533645317.0,4126999003.0,746469467.0,768861821.0,931380865.0,5120696899.0,649240547.0,518150929.0,5396722695.0,5388482107.0
 Afghanistan ,2005,24411191,255,2186379081.0,443045556.0,2050736428.0,7928264732.0,716729109.0,1218149622.0,1218149622.0,7211535623.0,4272778289.0,772808251.0,807882905.0,1234847952.0,5865622689.0,611491972.0,581975221.0,6231622214.0,6220574147.0
 Afghanistan ,2006,25442944,281,2443549101.0,538531877.0,2332699780.0,8709723113.0,907602355.0,1546774109.0,1546774109.0,7802120758.0,4474623611.0,790852547.0,842928180.0,1470249958.0,6625371513.0,675429220.0,654683177.0,7148304369.0,7104711445.0
 Afghanistan ,2007,25903301,364,3319287550.0,545051819.0,2400553983.0,11413579056.0,1235347740.0,1650004354.0,1650004354.0,10178231316.0,4722015358.0,1036748730.0,1120608553.0,1961638014.0,8753370467.0,919226924.0,887557606.0,9440635873.0,9412161765.0
 Afghanistan ,2008,26427199,389,3163666290.0,526252391.0,2631650853.0,12732121887.0,1372350532.0,1618011573.0,1618011573.0,11359771355.0,4177772977.0,1075453417.0,1175108287.0,2443453210.0,9427180755.0,1112310581.0,1006389996.0,10280097552.0,10236901594.0
 Afghanistan ,2009,27385307,422,3801533209.0,543784753.0,2761955579.0,13372418203.0,1781408597.0,1718898802.0,1718898802.0,11591009606.0,4015329744.0,902301144.0,1028897403.0,2955467307.0,10701592273.0,1311944740.0,1059964862.0,11562069957.0,11595133469.0
 Afghanistan ,2010,28189672,522,4543989077.0,624215548.0,2686043877.0,16987741968.0,2874647204.0,2117214423.0,2117214423.0,14113094764.0,5103524804.0,957689031.0,1153160803.0,4363794020.0,13694680351.0,1659482584.0,1350038319.0,14724781634.0,14698889678.0
 Afghanistan ,2011,29249157,593,5175622743.0,649582288.0,2096070881.0,19086246173.0,3318994429.0,2256544434.0,2256544434.0,15767251744.0,5750744471.0,1097137284.0,1457991556.0,5514299435.0,16272128426.0,1847213864.0,1627418540.0,17331776170.0,17350694945.0
 Afghanistan ,2012,30466479,629,5464645975.0,672150413.0,2055179815.0,19713516488.0,3686536514.0,2455843943.0,2455843943.0,16026979974.0,7005630220.0,1060751259.0,1456272439.0,6079761103.0,17775108419.0,2130882247.0,1971396240.0,19166775125.0,19136499341.0
 Afghanistan ,2013,31541209,624,5470188987.0,667480973.0,2455424003.0,19435606399.0,3838926186.0,2511890876.0,2511890876.0,15596680213.0,7026277186.0,916920660.0,1315378081.0,6358588471.0,18102439244.0,2258928593.0,2031874139.0,19690262077.0,19621802455.0
 Afghanistan ,2014,32716210,598,5372356458.0,682280348.0,2772039928.0,19395964676.0,4145849262.0,2547714147.0,2547714147.0,15250115414.0,6352479894.0,837661844.0,1257932293.0,6981406780.0,18359993635.0,2079703497.0,1986314259.0,19548440117.0,19550702567.0
 Afghanistan ,2015,33753499,559,4777856295.0,679236545.0,3037082983.0,19126816049.0,4149160995.0,2564175617.0,2564175617.0,14977655054.0,6209330331.0,744252334.0,1211308200.0,6968190068.0,17522092768.0,1899054376.0,1986447285.0,18882219776.0,18713048410.0
 Afghanistan ,2016,34636207,525,4638290864.0,589868586.0,3002518992.0,18591863124.0,4145467774.0,2266927660.0,2266927660.0,14446395349.0,5841751767.0,741360053.0,1296203916.0,7073713417.0,17160084571.0,1583226772.0,1978781016.0,18199126228.0,18019558182.0
 Afghanistan ,2017,35643418,537,4992453824.0,594893889.0,4440910058.0,17932956296.0,4019923168.0,2552410075.0,2552410075.0,13913033128.0,6029924407.0,667121057.0,1304543606.0,7199679731.0,17913941649.0,1574009084.0,2248361513.0,19145017023.0,18896352021.0
 Afghanistan ,2018,36686784,507,4060047714.0,663723185.0,3074840238.0,19961689604.0,3658110195.0,2782928254.0,2782928254.0,16303579410.0,7400609629.0,1134633696.0,1802053524.0,7232891365.0,17480877592.0,1601011390.0,2121150414.0,18610257350.0,18418848300.0
 Afghanistan ,2019,37769499,508,4872437789.0,584313409.0,2305836637.0,22659390021.0,4583995509.0,2190726124.0,2190726124.0,18075394513.0,8251463946.0,1331477482.0,2073301075.0,6907644920.0,18016903621.0,1503540176.0,2075666252.0,19205014965.0,18904490263.0
 Afghanistan ,2020,38972230,522,5402592033.0,620058680.0,1476056243.0,23256995875.0,4265058155.0,2393445329.0,2393445329.0,18991937720.0,6983058259.0,1546262619.0,2206409285.0,7098671034.0,19245174810.0,1929932938.0,1987510840.0,20332383762.0,20143441792.0
 Afghanistan ,2021,40099462,377,5002252164.0,300111089.0,1803587091.0,17114916718.0,3250843273.0,1921133260.0,1921133260.0,13864073445.0,5900628595.0,1353586197.0,2028732543.0,3913886381.0,14278498694.0,1471191459.0,1562325057.0,15114672599.0,14939009447.0
