Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Albania ,1970,2324731,975,864793402.0,239349639.0,508501251.0,1518291365.0,205730582.0,824850020.0,767056789.0,1312560783.0,504595820.0,394647786.0,794665515.0,188952171.0,2345798397.0,45739633.0,212298036.0,2267359895.0,2265577056.0
 Albania ,1971,2389812,976,889758995.0,246266478.0,523137162.0,1561968405.0,211681441.0,848318607.0,789243724.0,1350286963.0,519031885.0,406050295.0,817625694.0,194253684.0,2413182393.0,47022973.0,218254570.0,2332419015.0,2330584860.0
 Albania ,1972,2455171,977,915350702.0,253312262.0,538480502.0,1606908267.0,217744245.0,872343965.0,811525122.0,1389164022.0,533991647.0,417663130.0,841009277.0,199867591.0,2482483855.0,48381941.0,224562082.0,2399402905.0,2397526448.0
 Albania ,1973,2520436,979,941147592.0,260505787.0,553185620.0,1652656555.0,223896669.0,898790644.0,835122162.0,1428759886.0,549392880.0,429539992.0,864924791.0,205932186.0,2553736359.0,49849969.0,231376034.0,2468449903.0,2466543461.0
 Albania ,1974,2585452,982,969063811.0,268239525.0,569621270.0,1700683918.0,230586803.0,922806967.0,859729579.0,1470097115.0,564865686.0,442272785.0,890563577.0,211067032.0,2627172195.0,51092986.0,237145264.0,2539022289.0,2537015817.0
 Albania ,1975,2650122,986,996627620.0,275682329.0,587262561.0,1749635603.0,236994563.0,948579365.0,882213855.0,1512641040.0,581508042.0,454532595.0,915249547.0,217701614.0,2702559685.0,52699055.0,244599520.0,2612201506.0,2610110369.0
 Albania ,1976,2713560,991,1022980841.0,283335184.0,599747151.0,1797864494.0,243416374.0,983026379.0,910110111.0,1554448120.0,598313395.0,467235377.0,940829093.0,225249517.0,2780000928.0,54526020.0,253080274.0,2687860264.0,2685745678.0
 Albania ,1977,2774795,996,1057872940.0,292843798.0,621912220.0,1853301729.0,251878343.0,998756168.0,937984400.0,1601423386.0,613947755.0,482777882.0,972124733.0,227235455.0,2860395091.0,55006962.0,255311203.0,2762847360.0,2760746397.0
 Albania ,1978,2833314,1004,1084112844.0,299271168.0,643516286.0,1905109255.0,257304794.0,1030292284.0,953218828.0,1647804462.0,634434147.0,493385987.0,993483439.0,238873997.0,2941953465.0,57824371.0,268387646.0,2844334321.0,2842275926.0
 Albania ,1979,2888763,822,896897900.0,249378663.0,517741716.0,1581494846.0,213827206.0,886743469.0,810074210.0,1367667641.0,528366688.0,411464971.0,828532376.0,202245990.0,2453247358.0,48957156.0,227235273.0,2374394861.0,2372305641.0
 Albania ,1980,2941651,729,835437843.0,230908941.0,495098223.0,1450000000.0,199285714.0,747571429.0,733428571.0,1250714286.0,473812509.0,380354207.0,765881710.0,166275409.0,2225573162.0,40250836.0,186818422.0,2143663211.0,2141837051.0
 Albania ,1981,2992389,741,833341568.0,228080357.0,509174644.0,1478142857.0,195857143.0,807857143.0,713857143.0,1282285714.0,500031787.0,376047385.0,757205753.0,197719081.0,2286356598.0,47862121.0,222147718.0,2217065873.0,2215474766.0
 Albania ,1982,3041179,750,839214356.0,238543430.0,441832335.0,1495428571.0,202857143.0,929714286.0,820428571.0,1292571429.0,504546621.0,394549214.0,794485919.0,202688856.0,2351731170.0,49062506.0,227736104.0,2281860173.0,2280424885.0
 Albania ,1983,3087911,747,912584019.0,240076335.0,419501686.0,1569428571.0,209571429.0,851857143.0,836142857.0,1359857143.0,452501686.0,393467139.0,792268727.0,189004265.0,2392038998.0,45756103.0,212349548.0,2306629795.0,2305384485.0
 Albania ,1984,3131726,728,874483025.0,239213923.0,396275855.0,1626571429.0,221857143.0,747857143.0,871285714.0,1404714286.0,413132998.0,395515949.0,796395710.0,189062501.0,2357344601.0,45765498.0,212423943.0,2279520873.0,2275736342.0
 Albania ,1985,3171725,733,933658742.0,238587136.0,377381357.0,1635571429.0,224000000.0,810285714.0,799142857.0,1411571429.0,415238500.0,398412055.0,802339998.0,186354678.0,2415437990.0,45101359.0,209396078.0,2326070204.0,2324414456.0
 Albania ,1986,3207128,747,946140415.0,260210442.0,360941472.0,1708142857.0,230285714.0,779428571.0,779428571.0,1477857143.0,365227187.0,415027346.0,835559339.0,189580517.0,2490368765.0,45913859.0,212964193.0,2397197157.0,2397086883.0
 Albania ,1987,3237676,735,916600515.0,254914828.0,367818673.0,1778285714.0,237571429.0,688142857.0,786000000.0,1540714286.0,370532959.0,432850606.0,871576510.0,181171357.0,2471688521.0,43841801.0,203583511.0,2378635906.0,2378194810.0
 Albania ,1988,3263019,754,899728464.0,263741825.0,403069861.0,1854872543.0,241079458.0,745277353.0,812293844.0,1613793085.0,454344224.0,453873784.0,914413487.0,198143461.0,2546642928.0,47926819.0,222688872.0,2460631432.0,2460399974.0
 Albania ,1989,3282182,896,1102604964.0,357300814.0,527545705.0,2126753631.0,268352360.0,966721026.0,954975512.0,1858401270.0,574690891.0,499703014.0,1005124305.0,244331880.0,3042908865.0,59296772.0,274250129.0,2940460558.0,2940586487.0
 Albania ,1990,3295066,651,893978834.0,206116285.0,319061329.0,1843435632.0,226760300.0,543166947.0,768208365.0,1616675332.0,482884076.0,428491850.0,863176680.0,123685071.0,2255935217.0,29857978.0,139120369.0,2143811317.0,2145751209.0
