Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Algeria ,1970,13795915,361,683788307.0,363144476.0,1140783357.0,3761949657.0,686291181.0,1707118032.0,1580951884.0,3075658475.0,1422482735.0,608789886.0,1406309207.0,1689381441.0,5323633931.0,255414671.0,925595828.0,4974911740.0,5155120658.0
 Algeria ,1971,14110271,382,740679497.0,432569406.0,986534285.0,4073370778.0,789525746.0,1742067720.0,1624247817.0,3283845033.0,1409560405.0,630168969.0,1234119718.0,1919922181.0,5653395110.0,276194839.0,1049909470.0,5387317508.0,5363676160.0
 Algeria ,1972,14439748,499,877592428.0,621134922.0,1460328062.0,5240731774.0,1012732211.0,2244082459.0,2094509063.0,4227999563.0,1734974761.0,807298644.0,2020130649.0,2345015404.0,7431971561.0,329572630.0,1238525528.0,7204774258.0,7176428384.0
 Algeria ,1973,14786469,624,957231511.0,814791285.0,2344366326.0,6286330268.0,1135331755.0,3387806896.0,2997400725.0,5150998513.0,2762591632.0,1076165800.0,3030075045.0,2769319011.0,9441398112.0,445224108.0,1424757152.0,9228147253.0,9229622200.0
 Algeria ,1974,15153602,869,1137400202.0,1040255332.0,5108013455.0,7575204729.0,1418219129.0,5262360793.0,4057643557.0,6156985600.0,4693985906.0,1110944454.0,6235672504.0,3235771152.0,13506944419.0,600612942.0,1257232286.0,13167725272.0,13259764650.0
 Algeria ,1975,15724692,978,1748652508.0,1351080446.0,5233153976.0,9987282720.0,2018351761.0,7024899232.0,6070527154.0,7968930959.0,6702778245.0,1296265916.0,5910834763.0,4440967034.0,15656795996.0,712898934.0,1492362310.0,15376900074.0,15555547083.0
 Algeria ,1976,16500516,1057,1774811335.0,1655488366.0,5838077775.0,10856084098.0,2220636673.0,7641632494.0,7531053206.0,8635447425.0,6596991823.0,1592473244.0,7088189291.0,4508454766.0,17675525574.0,777136770.0,1871445046.0,17434653660.0,17750032488.0
 Algeria ,1977,17134192,1203,1795192537.0,1946076309.0,6389292999.0,13561822338.0,2794816662.0,9809221484.0,9268199816.0,10767005675.0,8786165938.0,1798582841.0,8417318822.0,5488429290.0,20981697927.0,992694245.0,2341986725.0,20608554600.0,20990939140.0
 Algeria ,1978,17632645,1461,2362276017.0,2712422505.0,6714630548.0,16517764413.0,3681015846.0,13726504134.0,12806671863.0,12836748567.0,10607537539.0,2387050633.0,9579493643.0,7570734050.0,26962177701.0,1198580803.0,3538670683.0,25755713934.0,26373761387.0
 Algeria ,1979,18166981,1766,2827887802.0,3372009523.0,10333857716.0,19724272699.0,4536578704.0,14078595559.0,13073317905.0,15187693995.0,10950911501.0,3294995776.0,13449014563.0,7955864541.0,33273187753.0,1474327941.0,4194083383.0,32078309927.0,33201433009.0
 Algeria ,1980,18739378,2190,3402335516.0,4306718391.0,14509037876.0,24124538112.0,5824656461.0,16494804238.0,14301418475.0,18299881651.0,12892043835.0,3865159333.0,18423629877.0,9283944290.0,42252197741.0,1897522894.0,4938046773.0,41033999041.0,42252197741.0
 Algeria ,1981,19351357,2220,3804724130.0,4654868449.0,15300630155.0,26319048574.0,6106614145.0,16357841155.0,14607918200.0,20212434430.0,13726314621.0,4040029901.0,18643696740.0,10096990987.0,44264573122.0,1817599935.0,5246692882.0,42959376533.0,44264573122.0
 Algeria ,1982,20000096,2189,3543592643.0,5308298540.0,13954110635.0,27499420402.0,6676797909.0,16785532144.0,15567288335.0,20822622493.0,13152171129.0,4319597411.0,18112759221.0,10652212230.0,45094842770.0,1831352736.0,5646627401.0,43775138307.0,45094842770.0
 Algeria ,1983,20682111,2295,3503697628.0,5956842729.0,13614779000.0,29432572720.0,7244880786.0,18276620517.0,16772253649.0,22187691933.0,12623295026.0,4907804395.0,18990384530.0,12023540668.0,48702201863.0,2207208997.0,6020527311.0,47468092559.0,48702201863.0
