Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Australia ,1970,12595034,3551,2600883259.0,3519297266.0,5715360915.0,30900804948.0,6286561007.0,14512962324.0,13855522219.0,24614243941.0,5839680935.0,9465867963.0,12267650841.0,13581968945.0,40016444790.0,3464877536.0,4581766942.0,44719367160.0,45216647240.0
 Australia ,1971,12993834,3867,2984188124.0,3988420880.0,6462209347.0,34819344683.0,7272251367.0,15355677681.0,15176675388.0,27547093316.0,6032830430.0,10367798188.0,13670619445.0,15731773029.0,45457207852.0,3935170599.0,5147035776.0,50253194251.0,50469583098.0
 Australia ,1972,13300308,4469,4280596203.0,4694346805.0,8393964953.0,41006426513.0,8677738200.0,16863046353.0,17268436706.0,32328688313.0,6535130952.0,11994951012.0,15935717309.0,19186985506.0,54754591926.0,4565003132.0,6091942971.0,59438571996.0,59402802259.0
 Australia ,1973,13513318,6328,6952639940.0,6516723048.0,11265149469.0,58305855004.0,12395218090.0,26228963785.0,24437911630.0,45910636913.0,11320586797.0,16644339740.0,22219163040.0,27506025402.0,78284252321.0,6298830103.0,8790870787.0,85507104244.0,85802769997.0
 Australia ,1974,13713388,7474,6145262469.0,8461440850.0,14583748763.0,74324008583.0,17174660822.0,27417734756.0,26437350858.0,57149347761.0,15047385658.0,19659780632.0,26679089072.0,35414802439.0,95293452891.0,7721895691.0,10870962369.0,103000000000.0,102000000000.0
 Australia ,1975,13886854,7857,5757128907.0,9240543667.0,14731540184.0,80372183245.0,19505904980.0,28834702221.0,28599060416.0,60866278265.0,14579682132.0,20482105712.0,28909446522.0,39028338374.0,103000000000.0,8432919209.0,11646821077.0,109000000000.0,109000000000.0
 Australia ,1976,14038072,8316,5989903142.0,9572119309.0,16460053777.0,87178770234.0,20523434786.0,31701704286.0,30315877500.0,66655335448.0,17200627880.0,21521794642.0,30751312826.0,42198424891.0,110000000000.0,8958075791.0,12299578373.0,117000000000.0,118000000000.0
 Australia ,1977,14193365,8109,5321031133.0,9396319350.0,15851190659.0,88144595779.0,20774540538.0,30075679905.0,30661159350.0,67370055241.0,16974468458.0,20967722432.0,30361876753.0,42628386573.0,108000000000.0,8744390923.0,11974149282.0,115000000000.0,116000000000.0
 Australia ,1978,14355814,9353,8780798213.0,10366477653.0,19421759707.0,101000000000.0,23599589913.0,37855720108.0,36267000019.0,76996838386.0,20844511199.0,23597074928.0,35261448241.0,49512086768.0,128000000000.0,10062170724.0,13525141952.0,134000000000.0,136000000000.0
 Australia ,1979,14520527,10254,9886120308.0,11068791771.0,24694824050.0,110000000000.0,25902012298.0,40756016589.0,39734377645.0,84123136649.0,23903445087.0,26094437992.0,40087882496.0,55064672288.0,142000000000.0,11561067313.0,14144691174.0,149000000000.0,150000000000.0
 Australia ,1980,14706322,11757,9657094708.0,13376721908.0,25826525905.0,128000000000.0,30896868902.0,49749253586.0,49261917677.0,97156334358.0,28999902490.0,30446532907.0,47508120032.0,64877382345.0,165000000000.0,13030283193.0,16335235040.0,173000000000.0,173000000000.0
 Australia ,1981,14930052,13278,10251562546.0,14981993855.0,27319698477.0,149000000000.0,35848629330.0,60290876601.0,58509706725.0,113000000000.0,33962887545.0,34219205262.0,53611702966.0,75307659499.0,187000000000.0,14853268732.0,18337156663.0,198000000000.0,202000000000.0
 Australia ,1982,15168445,12569,7143021801.0,12587892104.0,26077664313.0,149000000000.0,35836628425.0,48612239379.0,51010138886.0,113000000000.0,29976786862.0,30923826825.0,51389336491.0,73431400399.0,180000000000.0,15845783657.0,19680529010.0,191000000000.0,192000000000.0
 Australia ,1983,15383076,12364,9888142911.0,12049617389.0,26098746433.0,145000000000.0,35261685679.0,51265973922.0,50120944349.0,109000000000.0,28844655274.0,30822995256.0,52116725634.0,71484700298.0,182000000000.0,16338792068.0,19926371907.0,190000000000.0,193000000000.0
 Australia ,1984,15579476,13082,9702289837.0,13406359389.0,31458882897.0,153000000000.0,39776426194.0,57870900264.0,55834076252.0,113000000000.0,35684349343.0,32891491350.0,55752737644.0,76577228696.0,196000000000.0,17699599925.0,22375333450.0,204000000000.0,207000000000.0
