Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Austria ,1970,7465301,2069,1070624590.0,1274548516.0,4210950289.0,10676680798.0,2200714414.0,4771511039.0,4184615721.0,8475966384.0,4222768799.0,4398664412.0,5011171290.0,3590158704.0,14464941177.0,1252595100.0,2265842978.0,15443685338.0,15373056894.0
 Austria ,1971,7498541,2394,1086434178.0,1596314261.0,4828176241.0,12452145489.0,2570411884.0,5541822088.0,5238139337.0,9881733605.0,4883495926.0,5089526769.0,5718958966.0,4193556444.0,16719788223.0,1410951607.0,2713572767.0,17953659680.0,17858749698.0
 Austria ,1972,7542077,2937,1318676804.0,2148302957.0,5940953469.0,15208021430.0,3142377996.0,7058893412.0,7018595334.0,12065643434.0,6036846167.0,6179610767.0,6981026724.0,5042504556.0,20602150344.0,1750562221.0,3361077082.0,22152856904.0,22060179956.0
 Austria ,1973,7584023,3906,1729933786.0,2628412395.0,7945186679.0,20331724529.0,4334758040.0,9516794957.0,8861086443.0,15996966488.0,8127613259.0,7684478894.0,8776034354.0,6626924284.0,25680247558.0,2191891888.0,3727050852.0,29621198346.0,29514760528.0
 Austria ,1974,7597030,4655,1910846322.0,3141316206.0,10244864124.0,24387329818.0,5400896954.0,11444685725.0,10524605483.0,18986432863.0,10716033580.0,9202476300.0,10551280028.0,8148516609.0,30860714722.0,2523213823.0,4585541733.0,35365628790.0,35188342682.0
 Austria ,1975,7576926,5310,2050192904.0,3597373769.0,11254269827.0,29423520297.0,6725801256.0,10879312269.0,11244091467.0,22697719040.0,11418454044.0,9728838420.0,11357743479.0,10037690135.0,35447344891.0,2947743815.0,5456600789.0,40231907183.0,40058428685.0
 Austria ,1976,7563511,5696,2193628859.0,3220526971.0,12351828378.0,31925675005.0,7381134453.0,12248406374.0,11814714158.0,24544540552.0,13387670698.0,9559573314.0,11384965638.0,11233663189.0,38144935865.0,3479915904.0,6632235305.0,43081970351.0,42959105617.0
 Austria ,1977,7566358,6827,2273317597.0,3959244265.0,14409584561.0,38676444324.0,8768709008.0,15310267220.0,14622802429.0,29907735316.0,16662049707.0,11147996269.0,13361875348.0,13828771417.0,45686757882.0,4220281004.0,8043268253.0,51652386062.0,51547566800.0
 Austria ,1978,7560249,8219,2739288048.0,4764693500.0,18066047429.0,45790092353.0,10955761347.0,16460588550.0,16373069062.0,34834331007.0,18958210449.0,13643877376.0,16234659459.0,17219370342.0,55139924162.0,4880452029.0,9301460785.0,62139985741.0,62050455509.0
 Austria ,1979,7547481,9815,3171265494.0,5443097355.0,22833489257.0,54201680162.0,12955974823.0,21697599267.0,19715206091.0,41245705339.0,23983762839.0,15787795770.0,18896760946.0,20368766247.0,65788304354.0,6162859800.0,11745554513.0,74075257089.0,73940789595.0
