Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bahamas ,1970,179129,3725,15262937.0,44721452.0,588030361.0,514370482.0,91246260.0,157606840.0,157606833.0,423124222.0,522646625.0,21067387.0,49593068.0,321898035.0,680784697.0,44342779.0,204966424.0,667171137.0,762965055.0
 Bahamas ,1971,184435,3851,15816384.0,46336921.0,618982208.0,530651344.0,94022988.0,163303122.0,163303115.0,436628355.0,558177159.0,21827260.0,51380767.0,333509407.0,705358229.0,45943823.0,212370926.0,710347369.0,790540410.0
 Bahamas ,1972,189181,3869,17012692.0,49833586.0,663387732.0,571058456.0,98941372.0,175595829.0,175595822.0,472117084.0,582377186.0,23475209.0,55261500.0,358699414.0,758626186.0,49413237.0,228405757.0,732000901.0,850048649.0
 Bahamas ,1973,193563,4294,19460236.0,57029701.0,728139608.0,660765591.0,120053933.0,200884204.0,200884195.0,540711658.0,645602529.0,26865616.0,63241710.0,410483475.0,868130767.0,56545425.0,261370221.0,831128936.0,972468120.0
 Bahamas ,1974,197767,4383,23588921.0,69104014.0,966654125.0,781167118.0,137909750.0,243577642.0,243577631.0,643257368.0,907021820.0,32554497.0,76635947.0,497429795.0,1052010172.0,68522253.0,316729241.0,866903895.0,1179144440.0
 Bahamas ,1975,201881,5316,22007427.0,64512086.0,850809305.0,741512079.0,119772118.0,227456729.0,227456719.0,621739961.0,685140622.0,30391502.0,71541951.0,464344891.0,982022717.0,63963215.0,295653146.0,1073248742.0,1101104088.0
 Bahamas ,1976,206096,5692,24281629.0,71090040.0,859253967.0,748927179.0,135845411.0,250562946.0,250562935.0,613081768.0,680369682.0,33478586.0,78799557.0,511542939.0,1082018561.0,70481227.0,325823170.0,1173067263.0,1212959869.0
 Bahamas ,1977,210534,6676,25821494.0,75574733.0,754539958.0,739177084.0,128180319.0,273522727.0,273522715.0,610996765.0,477890943.0,35607400.0,83832535.0,544155522.0,1150794577.0,74955530.0,346454762.0,1405444781.0,1288018707.0
 Bahamas ,1978,215016,7308,30032190.0,88218342.0,900655810.0,802728278.0,148452126.0,318910150.0,318910150.0,654276153.0,542705825.0,41562001.0,97829825.0,634868688.0,1342563947.0,87444315.0,404170586.0,1571383092.0,1501748179.0
 Bahamas ,1979,219426,8538,36446479.0,106576025.0,1329832184.0,1073803695.0,206619482.0,387475842.0,387475842.0,867184213.0,749276357.0,50214313.0,118228722.0,767464591.0,1623079660.0,105717860.0,488645982.0,1873553720.0,1824624083.0
 Bahamas ,1980,223752,8468,43560128.0,128099986.0,1698593081.0,1102925301.0,254509926.0,464971041.0,464971041.0,848415375.0,1158291857.0,60349962.0,142043338.0,921729985.0,1949162696.0,126952743.0,586776516.0,1894635391.0,2189549043.0
 Bahamas ,1981,227956,9490,45770116.0,133175422.0,1813127513.0,1275865386.0,313113406.0,481710031.0,481710031.0,962751980.0,1299579233.0,62606517.0,147270719.0,956900809.0,2025713502.0,131997742.0,610598692.0,2163266996.0,2268372957.0
 Bahamas ,1982,232177,9537,51574795.0,150716090.0,2061858266.0,1615798158.0,379168422.0,542405509.0,542405509.0,1236629735.0,1621516877.0,71177270.0,167797706.0,1088578324.0,2300112414.0,149758715.0,691686782.0,2214374079.0,2554188014.0
 Bahamas ,1983,236586,9117,56150230.0,167972279.0,2203561489.0,1804030271.0,445980059.0,603697369.0,603697369.0,1358050212.0,1850301147.0,79112601.0,186009811.0,1205762156.0,2549145966.0,166014148.0,767237342.0,2157038320.0,2842811439.0
 Bahamas ,1984,241166,9595,62028469.0,174938274.0,2116154789.0,1809662528.0,437892840.0,644748761.0,644748761.0,1371769688.0,1810317076.0,81709887.0,191877563.0,1251669200.0,2658299196.0,173450385.0,804335306.0,2314032890.0,3036122483.0
 Bahamas ,1985,245935,10993,62972430.0,186482730.0,2401331358.0,1893238295.0,467591740.0,702131401.0,702131401.0,1425646555.0,1968523107.0,89290156.0,211867898.0,1368137507.0,2874506222.0,186710325.0,858335332.0,2703564686.0,3306337382.0
 Bahamas ,1986,250804,12213,64761150.0,208196632.0,2481666757.0,2044271252.0,473574561.0,759004010.0,759004010.0,1570696691.0,1980880599.0,97279138.0,226917492.0,1467403380.0,3107523473.0,202528765.0,937716054.0,3063071072.0,3574150547.0
 Bahamas ,1987,255618,13426,71917621.0,241885432.0,2705438690.0,2245071599.0,509348807.0,661884573.0,655871234.0,1735722792.0,2215011169.0,110194726.0,257767895.0,1595736279.0,3448855765.0,225464597.0,1056083942.0,3432000327.0,3935169678.0
 Bahamas ,1988,260452,14897,66187859.0,206553162.0,2919793251.0,2080602864.0,514382846.0,679151113.0,653312768.0,1566220019.0,2163993761.0,106748429.0,260954680.0,1970370163.0,3910504152.0,256926184.0,1149512104.0,3879826141.0,4091463142.0
 Bahamas ,1989,265493,17042,61612460.0,275572258.0,2150525039.0,3167058378.0,456219793.0,1186353362.0,1068765037.0,2710838585.0,2051739905.0,119975668.0,265255225.0,2092082612.0,4405583022.0,298759458.0,1412301009.0,4524605876.0,4612085023.0
 Bahamas ,1990,270679,17141,69914138.0,260443241.0,2237156637.0,3263680386.0,447211841.0,1145516730.0,987807212.0,2816468546.0,2076588169.0,109932043.0,259441084.0,2102997532.0,4556220915.0,319055617.0,1544369304.0,4639669433.0,4767541687.0
