Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bahrain ,1970,222555,2158,3467685.0,41538802.0,359167018.0,332107783.0,46298058.0,123150694.0,143264474.0,285809725.0,375115883.0,42332432.0,151407201.0,119384655.0,383375930.0,19720798.0,47856786.0,480379055.0,422003552.0
 Bahrain ,1971,230992,2242,3749463.0,46415862.0,385113879.0,357893506.0,49532026.0,135494524.0,159513566.0,308361478.0,403763294.0,45023610.0,161849528.0,129588252.0,414893857.0,21411492.0,51879258.0,517923342.0,454985468.0
 Bahrain ,1972,243143,2695,4775731.0,53622626.0,494716960.0,451744873.0,64820528.0,160950282.0,184114205.0,386924345.0,512087581.0,58564432.0,208995160.0,161380959.0,519654053.0,26672757.0,64206816.0,655200133.0,575580428.0
 Bahrain ,1973,256632,3638,6655281.0,82124279.0,695064736.0,647589786.0,88300425.0,244474664.0,285449369.0,559289363.0,729689497.0,82219510.0,293262030.0,232548241.0,747006167.0,38383630.0,94032708.0,933741028.0,820273128.0
 Bahrain ,1974,270627,4724,9335428.0,126655472.0,934944128.0,882217563.0,119425103.0,354610800.0,431182392.0,762792460.0,991749443.0,106571379.0,389232949.0,326360767.0,1035703015.0,53961841.0,130156557.0,1278521164.0,1123155693.0
 Bahrain ,1975,285116,4729,10028597.0,78891178.0,1064572807.0,923433605.0,146731727.0,266664039.0,269750223.0,776701878.0,1061907836.0,130444706.0,456319963.0,316338494.0,1037261244.0,52335583.0,123347431.0,1348362598.0,1184510018.0
 Bahrain ,1976,300044,6467,12890679.0,206231840.0,1382271174.0,1369432211.0,158081013.0,602184996.0,736979926.0,1211351197.0,1515754253.0,163117212.0,580863308.0,499221328.0,1592471923.0,82082079.0,211182693.0,1940407889.0,1704610160.0
 Bahrain ,1977,315337,7739,19094849.0,323116407.0,1688590632.0,1658256660.0,219484628.0,790636918.0,1054000382.0,1438772032.0,1850823359.0,169023311.0,672449270.0,668455278.0,2050640713.0,111049397.0,256475517.0,2440446616.0,2143884345.0
 Bahrain ,1978,330912,8423,21692419.0,338725663.0,1819541096.0,1790519384.0,290636272.0,961313423.0,791893705.0,1499883112.0,1996494425.0,190965078.0,755638588.0,889152812.0,2407072419.0,132463950.0,269398986.0,2787293183.0,2448582231.0
 Bahrain ,1979,346697,9587,25736084.0,385899599.0,2177615674.0,1926724562.0,365900176.0,1257233114.0,1056292381.0,1560824386.0,2385559184.0,290934027.0,964397777.0,975521489.0,2803732195.0,170783691.0,281393553.0,3323745757.0,2919845264.0
