Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bangladesh ,1970,67541860,91,2437216085.0,221597955.0,362400454.0,6175894324.0,80030267.0,346894819.0,346894819.0,6095864057.0,545226545.0,492254814.0,511018946.0,1148621040.0,5830546238.0,569284558.0,942807655.0,6162645975.0,6195774654.0
 Bangladesh ,1971,68376204,81,2052171610.0,149665126.0,246915069.0,5530631952.0,75670918.0,226496151.0,226496151.0,5454961034.0,420996216.0,418769083.0,431789388.0,1144928512.0,5327520156.0,569883859.0,979081662.0,5547999754.0,5577824265.0
 Bangladesh ,1972,69346705,89,2669532737.0,158397450.0,248015812.0,6130617038.0,87260724.0,144012594.0,144012594.0,6043356313.0,600160753.0,338706346.0,351726186.0,1037376518.0,5673979761.0,511703628.0,945243242.0,6178403947.0,6211617337.0
 Bangladesh ,1973,71144818,95,2764452721.0,297077014.0,311494628.0,6850296332.0,75392088.0,291079513.0,283620504.0,6774904244.0,564682891.0,789638373.0,814844321.0,1124094614.0,6351337780.0,557323149.0,793545961.0,6733706798.0,6769905343.0
 Bangladesh ,1974,72947807,110,3399452801.0,287158340.0,219539180.0,7891070759.0,125466887.0,823993559.0,802878450.0,7765603872.0,613826184.0,1067516090.0,1094513435.0,1181037865.0,7697663757.0,595871899.0,1139629418.0,8007603702.0,8086909309.0
 Bangladesh ,1975,74700345,112,4136608396.0,267796225.0,189839693.0,8247795088.0,131297311.0,759205913.0,739751009.0,8116497777.0,531157094.0,898309662.0,916533544.0,1011609832.0,7924465244.0,484124728.0,1107792519.0,8387767891.0,8474735042.0
 Bangladesh ,1976,76380080,122,3875922224.0,360060178.0,340396728.0,8980099075.0,421832338.0,1340919672.0,1306558160.0,8558266737.0,1264844158.0,1295293292.0,1323179635.0,1472492798.0,8989575179.0,690311014.0,1267609329.0,9354197383.0,9447322262.0
 Bangladesh ,1977,78137788,126,3763788430.0,449516615.0,502614251.0,8424177332.0,503102030.0,1571080890.0,1530821419.0,7921075302.0,883830823.0,1558961294.0,1614910590.0,1670498900.0,9527214793.0,777647788.0,1250852470.0,9860208135.0,9949540465.0
 Bangladesh ,1978,80007550,159,4986560531.0,531463906.0,546394836.0,11566487508.0,543549219.0,2153297626.0,2098118658.0,11022938290.0,1521917909.0,1895475328.0,1983775524.0,1956623985.0,12252473273.0,1010333034.0,1783716294.0,12696916431.0,12750957172.0
 Bangladesh ,1979,81908151,180,5444517546.0,817692798.0,684137048.0,13369961644.0,644005603.0,2388494574.0,2327288606.0,12725956041.0,1769038218.0,2148249255.0,2237948729.0,2367540022.0,14161245747.0,1318351234.0,1975195418.0,14726553547.0,14758225423.0
 Bangladesh ,1980,83929765,200,5680732351.0,793135900.0,906916234.0,15058823220.0,726903457.0,3652771732.0,3559168241.0,14331919763.0,2561466322.0,2770067638.0,2866430547.0,3024261671.0,16290710455.0,1512421996.0,2413727990.0,16811049873.0,16729233787.0
 Bangladesh ,1981,86154836,199,5725338881.0,952239874.0,943833294.0,15095742175.0,729897948.0,3929226847.0,3828539102.0,14365844227.0,2596615334.0,2724046219.0,2790046893.0,3061418810.0,16364405054.0,1645459807.0,2189900790.0,17175406203.0,16967808187.0
 Bangladesh ,1982,88555336,176,5135156703.0,944341088.0,851861657.0,14215406928.0,653164584.0,3412692996.0,3325241603.0,13562242345.0,2606791179.0,2455170765.0,2531923300.0,2836049379.0,14959513030.0,1495043388.0,2016999173.0,15588627924.0,15443050924.0
 Bangladesh ,1983,91045478,178,5188619207.0,803861025.0,978256661.0,14560242777.0,633937760.0,3018082237.0,2940742876.0,13926305017.0,2509418245.0,2588860396.0,2682193150.0,2810202494.0,15246564755.0,1671476119.0,2090212760.0,16177425183.0,15760530887.0
