Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bermuda ,1970,52019,5436,2043753.0,14788109.0,136115233.0,206921132.0,25895258.0,36874310.0,37325096.0,181025874.0,113153174.0,6355821.0,12567426.0,169116779.0,264126488.0,19000817.0,46609603.0,282782417.0,265536110.0
 Bermuda ,1971,52539,6101,2315806.0,16756638.0,154919922.0,234034091.0,29269777.0,40901867.0,41401890.0,204764315.0,127960030.0,7201911.0,14240380.0,191629561.0,299286740.0,21530173.0,52814181.0,320553254.0,300883912.0
 Bermuda ,1972,52743,6778,2582378.0,18685761.0,172190023.0,261071725.0,32618546.0,45666355.0,46224623.0,228453179.0,142265873.0,8030929.0,15879615.0,213688059.0,333737952.0,24008533.0,58893605.0,357468902.0,335519057.0
 Bermuda ,1973,52925,7735,2956473.0,21392708.0,196491861.0,299839931.0,37481205.0,52827796.0,53473613.0,262358726.0,163344308.0,9194260.0,18179953.0,244642309.0,382082867.0,27486424.0,67425002.0,409350354.0,384122285.0
 Bermuda ,1974,53102,8941,3429320.0,24813566.0,227873971.0,347807390.0,43611622.0,62171946.0,62931994.0,304195768.0,190027376.0,10664637.0,21087402.0,283766678.0,443187558.0,31882244.0,78208349.0,474772294.0,445553344.0
 Bermuda ,1975,53256,9838,3784736.0,27384689.0,251749947.0,383134926.0,48016648.0,71411552.0,72284554.0,335118278.0,211258358.0,11770073.0,23272956.0,313180726.0,489123852.0,35186689.0,86314055.0,523945649.0,491733538.0
 Bermuda ,1976,53373,10992,4237707.0,30663221.0,289763438.0,424314418.0,52897419.0,66786096.0,67602552.0,371416999.0,231817214.0,13179161.0,26058980.0,350672017.0,547677194.0,39398831.0,96646438.0,586659491.0,550599032.0
 Bermuda ,1977,53434,11918,4599825.0,33286207.0,301700064.0,465904153.0,57919130.0,81843969.0,82844507.0,407985023.0,249636765.0,14305074.0,28285643.0,380630081.0,594470473.0,42765173.0,104903543.0,636818200.0,597643786.0
 Bermuda ,1978,53462,12885,4975575.0,36003069.0,325279190.0,512591884.0,64234780.0,93500534.0,94643573.0,448357103.0,278846852.0,15472861.0,30595355.0,411705803.0,643007850.0,46257283.0,113470764.0,688832215.0,646442540.0
 Bermuda ,1979,53456,14640,5784580.0,41850384.0,384006410.0,586784561.0,74709517.0,112420309.0,113794640.0,512075045.0,325247564.0,17988119.0,35568689.0,478634213.0,747533630.0,53776843.0,131918920.0,782621481.0,751525864.0
 Bermuda ,1980,53565,17965,6945572.0,50249906.0,464376424.0,696510155.0,87063544.0,156708171.0,158623919.0,609446611.0,401790105.0,21601247.0,42709867.0,574774421.0,897655096.0,64574384.0,158400945.0,962319950.0,902432407.0
 Bermuda ,1981,53907,19681,7595338.0,54967697.0,499034308.0,781580242.0,101666559.0,161987284.0,163967569.0,679913684.0,439875027.0,23624939.0,46711802.0,628595821.0,981733659.0,70623287.0,173239715.0,1060948066.0,986968887.0
 Bermuda ,1982,54338,21373,8475097.0,61354727.0,538324682.0,841046933.0,119257954.0,214813846.0,217439932.0,721788979.0,479287680.0,26354391.0,52114722.0,701236040.0,1095240736.0,78790872.0,193269278.0,1161380869.0,1101104098.0
 Bermuda ,1983,54765,23660,9440914.0,68293066.0,590507592.0,929974199.0,136510461.0,238906443.0,241827060.0,793463738.0,514111509.0,29351767.0,58044852.0,781029386.0,1219852128.0,87758765.0,215285147.0,1295748133.0,1226389730.0
 Bermuda ,1984,55197,24949,9938930.0,71849499.0,625214496.0,1020625405.0,152284182.0,285001250.0,288485373.0,868341224.0,598271033.0,30901963.0,61101856.0,822265879.0,1284185667.0,92383838.0,226645665.0,1377088838.0,1291037116.0
 Bermuda ,1985,55611,27435,10988199.0,79497216.0,674186527.0,1104348124.0,166394268.0,295594906.0,299208536.0,937953856.0,613505002.0,34196513.0,67587700.0,909920742.0,1420826354.0,102193391.0,250639105.0,1525671611.0,1428256203.0
 Bermuda ,1986,55995,30007,12196749.0,88403732.0,776174825.0,1179177045.0,172956382.0,272423497.0,275753857.0,1006220663.0,635051518.0,37960501.0,75062062.0,1009819153.0,1577307711.0,113471825.0,278354191.0,1680261740.0,1585802885.0
 Bermuda ,1987,56367,31918,13371234.0,96958973.0,844118003.0,1295135213.0,188884143.0,308845835.0,312621456.0,1106251070.0,700180228.0,41524418.0,82161554.0,1105012143.0,1726347755.0,124209543.0,304634307.0,1799095725.0,1735769786.0
 Bermuda ,1988,56740,33494,14288126.0,102951218.0,879707287.0,1425606179.0,208354829.0,394409984.0,399231622.0,1217251351.0,801716727.0,44376708.0,87779813.0,1181129836.0,1844631941.0,132732724.0,325750225.0,1900441363.0,1854571887.0
 Bermuda ,1989,57111,30075,15140504.0,109101259.0,929929354.0,1545531258.0,230752280.0,377686887.0,382304086.0,1314778978.0,846719828.0,47088828.0,93042338.0,1252879909.0,1956157008.0,140700696.0,345292302.0,1717595777.0,1966357992.0
 Bermuda ,1990,57470,34965,15605200.0,113345358.0,966204933.0,1646267339.0,250469431.0,342965204.0,347157932.0,1395797909.0,883989476.0,48794527.0,96237643.0,1298286644.0,2025433221.0,145535139.0,356423238.0,2009437101.0,2034951875.0
 Bermuda ,1991,57874,27968,16237222.0,118776014.0,946351407.0,1710472020.0,264333052.0,323124241.0,327074415.0,1446138968.0,841362316.0,50554821.0,100199277.0,1343144658.0,2101231014.0,151319393.0,371554451.0,1618623502.0,2114195038.0
 Bermuda ,1992,58322,33819,16694275.0,121317632.0,961547933.0,1759274786.0,268338099.0,330564602.0,334605734.0,1490936687.0,871876840.0,51278365.0,101785167.0,1366969680.0,2137778124.0,153909228.0,377102142.0,1972370561.0,2150214657.0
 Bermuda ,1993,58739,38999,17655099.0,123158872.0,1063021510.0,1809723663.0,270494662.0,337650660.0,341778419.0,1539229001.0,908214748.0,54864126.0,108367914.0,1461589891.0,2278730390.0,164047299.0,403911313.0,2290742915.0,2290221350.0
 Bermuda ,1994,59111,40132,18289581.0,131843852.0,1129445035.0,1897043856.0,293292618.0,333399025.0,337474808.0,1603751238.0,965283897.0,57275411.0,112551228.0,1521274620.0,2371995573.0,170265843.0,417770450.0,2372258542.0,2382306290.0
 Bermuda ,1995,59465,43333,19208113.0,145163146.0,1175769929.0,1968811488.0,305307756.0,357137319.0,361503301.0,1663503732.0,949211361.0,61702901.0,120599128.0,1641890957.0,2551329015.0,182391009.0,442076660.0,2576816624.0,2556766532.0
