Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Bosnia and Herzegovina ,1990,4494310,1499,1465703029.0,478296414.0,1757481671.0,9506370618.0,1834294362.0,2385507171.0,1800984510.0,7672076256.0,5894608674.0,889720910.0,1525034571.0,1741296388.0,6366651882.0,474982823.0,681329959.0,6735860707.0,7754759482.0
 Bosnia and Herzegovina ,1991,4502386,1180,1153743452.0,376791211.0,1405751238.0,7422277258.0,1432382437.0,1936907601.0,1475605903.0,5989899916.0,4649259055.0,700722599.0,1200727695.0,1376337675.0,5020974745.0,375145233.0,538224383.0,5312144561.0,6115682138.0
 Bosnia and Herzegovina ,1992,4275730,962,883665388.0,293079630.0,1057833761.0,5861089032.0,1130944251.0,1361168633.0,1002004441.0,4730144493.0,3545455830.0,543881406.0,932008191.0,1069901076.0,3887135812.0,290682087.0,417799440.0,4112551265.0,4734635595.0
 Bosnia and Herzegovina ,1993,3942981,800,696104482.0,223367130.0,822756117.0,4451439002.0,858779783.0,1156926203.0,885204071.0,3592659218.0,2800450251.0,416604718.0,714481020.0,808239075.0,2980780967.0,221524470.0,317064785.0,3153636872.0,3630671071.0
 Bosnia and Herzegovina ,1994,3762330,636,517037583.0,169254882.0,660226422.0,3243913833.0,626321333.0,948100427.0,739762721.0,2617592500.0,2096055919.0,314519406.0,538474172.0,624455034.0,2262827696.0,169823989.0,243782037.0,2394049398.0,2756184764.0
 Bosnia and Herzegovina ,1995,3750527,462,359196780.0,124851768.0,405982274.0,2606995407.0,502853394.0,397457711.0,244015593.0,2104142014.0,1421470742.0,230240032.0,394584929.0,454957081.0,1632939982.0,122429001.0,176920423.0,1731096644.0,1988964650.0
 Bosnia and Herzegovina ,1996,3907751,651,571943319.0,166845681.0,652559860.0,3289384949.0,634222537.0,1138744696.0,940398235.0,2655162412.0,2317678343.0,315991762.0,543248163.0,587242233.0,2268432190.0,165433895.0,233718899.0,2542846590.0,2763011163.0
 Bosnia and Herzegovina ,1997,4047748,879,664596759.0,231685107.0,1055947897.0,3906219875.0,756345406.0,1593389120.0,1298102150.0,3149874469.0,2761773216.0,425732405.0,725016986.0,904503787.0,3114696376.0,240594861.0,348298874.0,3558210172.0,3793783676.0
 Bosnia and Herzegovina ,1998,4115059,1233,676851121.0,283547543.0,909888168.0,5178515712.0,995433868.0,1430402558.0,1430402558.0,4183081844.0,3277993573.0,511835537.0,879715043.0,997725821.0,3481707376.0,260257557.0,383610292.0,5074268728.0,4240812865.0
 Bosnia and Herzegovina ,1999,4153014,1307,603906008.0,245184506.0,1057019996.0,5959904730.0,1147739735.0,1282520385.0,1282520385.0,4812164994.0,3601025068.0,457600287.0,827754135.0,1298751922.0,3945096856.0,416228156.0,553272130.0,5428364607.0,4698420042.0
 Bosnia and Herzegovina ,2000,4179350,1505,501181180.0,323953763.0,1218441572.0,6985887499.0,1369772641.0,1655146045.0,1699897004.0,5616114858.0,3534084691.0,517581555.0,875199526.0,1926664310.0,4726595910.0,427537617.0,672059515.0,6291545054.0,5567774043.0
 Bosnia and Herzegovina ,2001,4194932,1542,529049721.0,288992521.0,1280121790.0,7220925406.0,1357659410.0,1797009730.0,1648313198.0,5863265996.0,3710481176.0,545632436.0,925518396.0,1943567429.0,4908414057.0,477390188.0,743895801.0,6467803221.0,5800616582.0
 Bosnia and Herzegovina ,2002,4198410,1761,597028816.0,303219302.0,1286840062.0,8143728806.0,1576919853.0,2073779797.0,1905362426.0,6566808953.0,4010117561.0,626634272.0,1030003386.0,2246710934.0,5623951550.0,562898296.0,884090816.0,7392195090.0,6728219502.0
 Bosnia and Herzegovina ,2003,4183757,2205,688836865.0,370015068.0,1749750938.0,10248417201.0,1937630132.0,2523267106.0,2308089766.0,8310787070.0,5097761333.0,790379689.0,1314472399.0,2825616564.0,7114913102.0,743949554.0,1172022650.0,9227137058.0,8498893383.0
 Bosnia and Herzegovina ,2004,4142860,2628,871786253.0,423456843.0,2288902795.0,11783791915.0,2224915429.0,3036370174.0,2670823127.0,9558876486.0,6020436290.0,926047282.0,1631566135.0,3294549061.0,8574584794.0,886661208.0,1466565295.0,10886035073.0,10156541358.0
