Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 British Virgin Islands ,1970,9581,1087,100204.0,477659.0,3193497.0,11151424.0,1149008.0,6501013.0,5791396.0,10002416.0,7373343.0,206969.0,294404.0,5065190.0,9068060.0,642123.0,2488480.0,10413910.0,11613756.0
 British Virgin Islands ,1971,9813,916,92550.0,312220.0,3735557.0,10307592.0,1239857.0,4678895.0,4189881.0,9067735.0,6634527.0,161633.0,264622.0,5506646.0,9368847.0,586073.0,2606737.0,8991605.0,10027579.0
 British Virgin Islands ,1972,9907,948,95453.0,243941.0,4467517.0,8369151.0,1339109.0,3333695.0,2939727.0,7030042.0,6017017.0,150463.0,261859.0,5795324.0,10029873.0,680965.0,2952331.0,9387342.0,10468912.0
 British Virgin Islands ,1973,10018,1061,131699.0,226772.0,5288541.0,10596242.0,1145332.0,3917907.0,3449418.0,9450910.0,7420548.0,176307.0,284760.0,6412312.0,11554622.0,729149.0,3769931.0,10626145.0,11850445.0
 British Virgin Islands ,1974,10146,1252,160731.0,285028.0,5983647.0,13141697.0,1552316.0,4419876.0,3701445.0,11589381.0,8505719.0,201274.0,354286.0,7720885.0,14007519.0,752258.0,4734332.0,12704748.0,14168535.0
 British Virgin Islands ,1975,10282,1357,172344.0,340802.0,7362087.0,13937905.0,1349612.0,4621703.0,4150841.0,12588293.0,9555211.0,275520.0,418023.0,8178969.0,14967783.0,850100.0,5007545.0,13957263.0,15565361.0
 British Virgin Islands ,1976,10428,1459,188004.0,304777.0,8860302.0,13633315.0,1798082.0,4027565.0,3556996.0,11835233.0,10188090.0,264132.0,437321.0,8601576.0,16617419.0,984327.0,6101416.0,15215006.0,16968013.0
 British Virgin Islands ,1977,10578,1487,208150.0,236994.0,10555072.0,11523120.0,1858473.0,3686775.0,3282847.0,9664646.0,10337940.0,278368.0,475518.0,9295274.0,17741116.0,1107736.0,6417446.0,15730251.0,17542620.0
 British Virgin Islands ,1978,10727,1703,221896.0,289827.0,12903164.0,13123034.0,2135857.0,4221026.0,3713013.0,10987177.0,12149618.0,291166.0,472751.0,10708309.0,20812801.0,1159329.0,7960688.0,18272287.0,20377554.0
 British Virgin Islands ,1979,10876,2096,239569.0,350207.0,16090671.0,16220674.0,2405316.0,7285244.0,6701536.0,13815358.0,16853482.0,335961.0,527922.0,13440629.0,26276709.0,1481028.0,10237354.0,22794429.0,25420691.0
 British Virgin Islands ,1980,11109,2561,261170.0,404550.0,20900289.0,19102761.0,2821392.0,9854948.0,9042545.0,16281369.0,21171450.0,454347.0,659279.0,16675452.0,32849684.0,1693471.0,13155763.0,28451018.0,31729006.0
 British Virgin Islands ,1981,11472,2712,286697.0,466440.0,25817671.0,21105293.0,3863563.0,11453286.0,10876411.0,17241729.0,26139348.0,534338.0,806716.0,20585631.0,36894663.0,1799692.0,12949488.0,31108511.0,34692800.0
 British Virgin Islands ,1982,11889,3080,315171.0,744190.0,31205805.0,25660755.0,4549098.0,12751384.0,12089933.0,21111657.0,31493142.0,639925.0,961590.0,23916519.0,42797741.0,2100147.0,14760125.0,36618272.0,40837110.0
 British Virgin Islands ,1983,12315,3351,332844.0,955522.0,38896658.0,28943204.0,5662597.0,14645548.0,14113978.0,23280607.0,38455510.0,694319.0,1280579.0,26059103.0,47780159.0,2115321.0,17036790.0,41266318.0,46020823.0
 British Virgin Islands ,1984,12753,3554,349535.0,1030998.0,43054029.0,32354576.0,6673067.0,15435886.0,14870164.0,25681509.0,42456638.0,761511.0,1456723.0,30222843.0,53161005.0,2345973.0,17754933.0,45325631.0,50548517.0
 British Virgin Islands ,1985,13202,3576,359354.0,892123.0,49502775.0,33961213.0,6700806.0,15881831.0,15264106.0,27260407.0,47635763.0,790308.0,1534807.0,30993077.0,55221305.0,2640358.0,18801588.0,47207655.0,52645431.0
 British Virgin Islands ,1986,13656,3762,366227.0,819666.0,55792713.0,36440360.0,7422004.0,17577306.0,16930434.0,29018355.0,52969246.0,969487.0,1903353.0,33120155.0,59135866.0,2955987.0,19970479.0,51376218.0,57296129.0
 British Virgin Islands ,1987,14117,4340,427101.0,985712.0,63188636.0,42984107.0,8016399.0,20177917.0,19479734.0,34967708.0,59553844.0,1171064.0,2234634.0,37304947.0,69271811.0,3726850.0,24592568.0,61268511.0,68331286.0
 British Virgin Islands ,1988,14593,4721,432010.0,1107983.0,80141408.0,47252640.0,10441528.0,21449524.0,20403459.0,36811112.0,71228201.0,1270252.0,2510219.0,42254368.0,76806033.0,4373282.0,26128171.0,68886390.0,76812660.0
 British Virgin Islands ,1989,15091,5436,467356.0,1426490.0,92880092.0,54073387.0,12838918.0,23555621.0,22323359.0,41234469.0,79063912.0,1471828.0,2823340.0,46348905.0,87663420.0,6458254.0,30139075.0,82029647.0,91491059.0
 British Virgin Islands ,1990,15617,6882,578418.0,2035266.0,121139732.0,71142590.0,16741098.0,30848296.0,29220984.0,54401492.0,103313734.0,2187583.0,3904004.0,61643721.0,115191571.0,8937990.0,38092172.0,107481608.0,119887470.0
 British Virgin Islands ,1991,16090,8743,881434.0,1751315.0,161661354.0,91403891.0,22101123.0,40444258.0,38209804.0,69302768.0,136823339.0,1515094.0,3921085.0,81175956.0,150922573.0,8938629.0,54254155.0,140671812.0,156768160.0
 British Virgin Islands ,1992,16476,10940,981284.0,3747518.0,201970751.0,120030738.0,28240728.0,51724107.0,49193337.0,91790011.0,172616046.0,4094159.0,7041935.0,98138920.0,191319920.0,16134397.0,65275865.0,180247733.0,201188472.0
 British Virgin Islands ,1993,16855,14352,1072526.0,5702906.0,268865494.0,162084017.0,37127925.0,69319319.0,65571023.0,124956092.0,230616821.0,6673223.0,10168610.0,144908822.0,261469926.0,23330166.0,76286895.0,241901329.0,269881679.0
 British Virgin Islands ,1994,17255,18287,1168933.0,7680557.0,383495889.0,193576292.0,50850915.0,91188832.0,85475246.0,142725377.0,317675379.0,9243776.0,13280947.0,191770696.0,342404945.0,30525934.0,97977877.0,315536331.0,350699906.0
 British Virgin Islands ,1995,17674,22873,1253289.0,11554229.0,417966753.0,288922373.0,62809212.0,115340552.0,111914595.0,226113162.0,368861370.0,12725088.0,17135101.0,248877671.0,443971001.0,39266118.0,125884591.0,404262925.0,453368309.0
 British Virgin Islands ,1996,18120,25398,1363514.0,10063361.0,499047735.0,314046058.0,66235169.0,131328351.0,122192466.0,247810889.0,432812567.0,14755150.0,19788006.0,290399584.0,508742732.0,45241397.0,141886870.0,460220223.0,512751563.0
 British Virgin Islands ,1997,18591,29178,1464783.0,12299664.0,604110416.0,335743785.0,71945097.0,149600122.0,147316151.0,263798688.0,492195821.0,21607087.0,27688115.0,338436270.0,602222894.0,49509454.0,172824608.0,542443191.0,596116517.0
 British Virgin Islands ,1998,19079,33100,1576902.0,16772269.0,696611255.0,370003355.0,81080982.0,164445936.0,178149764.0,288922373.0,545869148.0,25085009.0,31375205.0,390681728.0,689412194.0,58045566.0,190960524.0,631518072.0,686333384.0
