Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Burundi ,1970,3497834,68,155062857.0,5137143.0,25945143.0,236701714.0,23718857.0,10997714.0,9701714.0,212982857.0,28208000.0,15377143.0,16107429.0,30116571.0,227226285.0,2724571.0,18077714.0,237987428.0,245436571.0
 Burundi ,1971,3582070,68,159300571.0,4667429.0,21329143.0,247784000.0,26762286.0,19235429.0,12817143.0,221021714.0,35832000.0,17341714.0,18120000.0,30665143.0,236076571.0,3170286.0,20153143.0,243441143.0,252516571.0
 Burundi ,1972,3579195,66,146081143.0,4910857.0,28961143.0,246752000.0,31896000.0,7852571.0,12995429.0,214856000.0,37200000.0,18616000.0,19523429.0,31674286.0,229154286.0,4285714.0,22678857.0,234956571.0,246354286.0
 Burundi ,1973,3571450,83,188066183.0,5217049.0,33526569.0,296375869.0,35251007.0,16165979.0,17391830.0,261124862.0,40576770.0,24044660.0,25154299.0,37980117.0,284700926.0,3922471.0,24360807.0,297134372.0,305491647.0
 Burundi ,1974,3660032,92,205446349.0,6713651.0,33674921.0,335426032.0,43500952.0,30907937.0,22449524.0,291925079.0,53633016.0,28344127.0,29611429.0,44699683.0,321036190.0,5001905.0,29563175.0,337385397.0,346375873.0
 Burundi ,1975,3749232,108,250845714.0,12538413.0,34839365.0,428123175.0,48606984.0,31911111.0,38971429.0,379516190.0,79994921.0,28286984.0,29894603.0,50791111.0,386881270.0,5578413.0,37233016.0,406233651.0,414873651.0
 Burundi ,1976,3830889,116,260208696.0,11663768.0,61551304.0,429806377.0,62289855.0,40753623.0,40753623.0,367516522.0,74777971.0,39991884.0,41557101.0,65242899.0,420544928.0,7877101.0,33995362.0,446070725.0,457333333.0
 Burundi ,1977,3927428,135,292765556.0,19196667.0,96342222.0,480271111.0,61055556.0,61304444.0,61304444.0,419215556.0,94676667.0,33592222.0,34921111.0,70885556.0,472371111.0,11431111.0,43171111.0,529561111.0,543241111.0
 Burundi ,1978,4039410,148,310947778.0,31765556.0,71443333.0,579945556.0,84122222.0,85656667.0,85656667.0,495823333.0,123426667.0,51768889.0,53986667.0,91806667.0,545775556.0,12372222.0,44896667.0,599158889.0,613618889.0
 Burundi ,1979,4137437,189,399247778.0,38674444.0,111872222.0,757094444.0,100542222.0,116718889.0,116718889.0,656552222.0,192851111.0,66128889.0,69475556.0,116441111.0,705190000.0,19670000.0,61681111.0,782675556.0,792834444.0
 Burundi ,1980,4312834,223,531941111.0,41797778.0,81422222.0,931992222.0,152736667.0,131951111.0,121718889.0,779255556.0,194180000.0,77454444.0,80054444.0,113306667.0,860327778.0,18630000.0,74597778.0,960322222.0,951188889.0
 Burundi ,1981,4490743,222,559654444.0,47550000.0,75944444.0,952977778.0,175133333.0,160855556.0,132755556.0,777844444.0,196622222.0,75184444.0,79480000.0,136893333.0,915354444.0,17716667.0,74060000.0,998200000.0,993144444.0
 Burundi ,1982,4602271,227,534233333.0,55033333.0,96633333.0,1023077778.0,202033333.0,182555556.0,190777778.0,821044444.0,256765556.0,80140000.0,85786667.0,148877778.0,924042222.0,22540000.0,77571111.0,1046244444.0,1045488889.0
 Burundi ,1983,4726506,233,578020047.0,42937833.0,104176155.0,1053596084.0,219627392.0,198583442.0,210245836.0,833968692.0,249375101.0,125359967.0,132030339.0,148308200.0,1010227904.0,24615826.0,84315659.0,1102870771.0,1106980581.0
 Burundi ,1984,4842268,206,537953791.0,44073484.0,98421870.0,949100250.0,176527835.0,181890833.0,170112286.0,772572415.0,223215989.0,126849100.0,130583149.0,137299427.0,987142449.0,22955636.0,114276963.0,998010456.0,1006196963.0
 Burundi ,1985,4948024,234,641921605.0,47302714.0,115476952.0,1095949772.0,188854573.0,167262197.0,166649060.0,907095200.0,207530403.0,142115282.0,147492662.0,154137745.0,1149955568.0,26033478.0,133067364.0,1159260341.0,1171150233.0
 Burundi ,1986,5041706,242,629511413.0,44205589.0,136856019.0,1126309712.0,212418060.0,193630465.0,165190690.0,913891652.0,223191366.0,152446657.0,160531016.0,175473504.0,1201661542.0,32687787.0,159252233.0,1218741173.0,1233604831.0
 Burundi ,1987,5157769,222,570126372.0,31554541.0,105330173.0,1097287097.0,231216524.0,201321045.0,170875243.0,866070574.0,241866889.0,189788544.0,201321045.0,171053288.0,1129270566.0,31708307.0,123507013.0,1144663420.0,1162071426.0
 Burundi ,1988,5271840,203,518907368.0,30535275.0,123209516.0,1038420172.0,224302860.0,154364472.0,183062075.0,814117312.0,226874176.0,175433598.0,185904056.0,161693793.0,1061768582.0,27906977.0,136821112.0,1071619360.0,1089119983.0
 Burundi ,1989,5373697,208,520644958.0,36384454.0,98930672.0,1084008403.0,230338235.0,185054622.0,164590336.0,853670168.0,236388655.0,204863445.0,217594538.0,176653361.0,1106892857.0,36037815.0,119577731.0,1118949580.0,1131605042.0
 Burundi ,1990,5483793,205,587438354.0,38468856.0,91331418.0,1176949634.0,223893648.0,181354848.0,188227623.0,953055986.0,301316017.0,188642208.0,197885712.0,207339427.0,1121424383.0,34971157.0,55320878.0,1125628630.0,1148319883.0
 Burundi ,1991,5594828,207,579695602.0,45230662.0,116967097.0,1177907317.0,198955903.0,205297062.0,211043220.0,978951413.0,332770318.0,175865279.0,185441097.0,198677205.0,1103535381.0,39210304.0,55280511.0,1156156759.0,1167401158.0
 Burundi ,1992,5743085,187,523377573.0,47807789.0,97497552.0,1070538383.0,169042483.0,234197674.0,229372964.0,901495900.0,315430431.0,148910452.0,157991530.0,173688821.0,993344956.0,39908693.0,50570551.0,1073145167.0,1086803177.0
 Burundi ,1993,5555220,174,452710273.0,56289645.0,88022078.0,1018914243.0,124721971.0,153204547.0,149077354.0,894192273.0,285282972.0,125780542.0,132609770.0,170269380.0,894983112.0,36831699.0,46272345.0,964665103.0,974857896.0
 Burundi ,1994,5586408,189,435394799.0,66772732.0,95103151.0,1144273487.0,128467818.0,93005492.0,92795726.0,1015805670.0,263561075.0,136289548.0,142692413.0,204891670.0,930702117.0,36587798.0,44362705.0,1055677187.0,1068821056.0
 Burundi ,1995,5932783,167,420348915.0,57247519.0,129317438.0,1051099567.0,134530495.0,92970181.0,93766954.0,916569072.0,272956768.0,105287395.0,110491715.0,190958507.0,872724414.0,41634559.0,52043199.0,988020267.0,1000430418.0
 Burundi ,1996,5930507,144,433524120.0,44627483.0,50953492.0,848167885.0,131829693.0,106729499.0,108050735.0,716338193.0,136890029.0,72360276.0,77141792.0,160977706.0,791181520.0,40164735.0,34745683.0,855053652.0,868960847.0
 Burundi ,1997,5923862,162,471284856.0,55377413.0,95813595.0,947419357.0,142752607.0,70029634.0,62366817.0,804666750.0,140408352.0,85373511.0,92295688.0,187764040.0,884019634.0,39225667.0,38071971.0,960354774.0,972854234.0
 Burundi ,1998,6035340,147,376504109.0,31710310.0,71506126.0,933838558.0,130938977.0,60746037.0,53599445.0,802899581.0,172395914.0,96694116.0,105179974.0,178649637.0,812855846.0,61857437.0,58954380.0,885395513.0,893694807.0
 Burundi ,1999,6180180,129,327872906.0,32290513.0,61230121.0,815086171.0,112759454.0,60887657.0,60887657.0,702326716.0,129054009.0,93323132.0,101661891.0,171742951.0,750488308.0,59968096.0,56951950.0,796844412.0,808149939.0
 Burundi ,2000,6307659,114,255286315.0,28580968.0,55172015.0,751123949.0,104869983.0,53511068.0,53511068.0,646253966.0,150693796.0,82968052.0,90043923.0,152200591.0,630862431.0,53693372.0,51057263.0,720762268.0,709113237.0
 Burundi ,2001,6465729,101,235915513.0,27818521.0,46047867.0,714317600.0,127751640.0,48260178.0,48260178.0,586565960.0,146279897.0,78999784.0,85743668.0,182325721.0,596833733.0,33358140.0,31672169.0,653040849.0,662345748.0
 Burundi ,2002,6648938,93,229064748.0,26108224.0,38643064.0,674402968.0,116841362.0,63160948.0,59937738.0,557561606.0,148105424.0,72522845.0,78969320.0,170186942.0,565140983.0,31157963.0,29653785.0,617687350.0,628101556.0
 Burundi ,2003,6860846,85,189615008.0,29214313.0,44970534.0,644716521.0,125760655.0,63855277.0,63855277.0,518955866.0,158061000.0,71250990.0,82274482.0,175315438.0,539045094.0,35561878.0,27063974.0,581899598.0,595481332.0
 Burundi ,2004,7120496,93,331098192.0,29254247.0,54683441.0,728510310.0,148487601.0,76587338.0,76427468.0,580022709.0,179895540.0,58440076.0,68940867.0,151488782.0,634301935.0,27440276.0,26079571.0,659605305.0,679885548.0
 Burundi ,2005,7388874,149,456319729.0,37123565.0,69786976.0,1166240412.0,145104764.0,204076978.0,205096785.0,1021135647.0,322993135.0,132778321.0,152037233.0,273195486.0,1060545688.0,32849251.0,109020423.0,1099546141.0,1117109382.0
 Burundi ,2006,7658190,165,517470118.0,44635690.0,93383431.0,1390712426.0,173443037.0,236208695.0,219227769.0,1217269389.0,446926558.0,131973530.0,150385412.0,323093530.0,1201604708.0,39677897.0,126342061.0,1264939054.0,1273375078.0
 Burundi ,2007,7944609,170,473777025.0,53843823.0,92015704.0,1490709118.0,206310431.0,207175599.0,201136979.0,1284398687.0,433704731.0,157982983.0,178828378.0,384341115.0,1290812584.0,65036484.0,134985759.0,1350298467.0,1356198462.0
 Burundi ,2008,8278109,194,612575369.0,51387763.0,169807335.0,1831854425.0,267444928.0,201703508.0,200274805.0,1564409497.0,591531941.0,173051013.0,197080043.0,496288732.0,1525622826.0,52435254.0,115855665.0,1607536698.0,1611836700.0
 Burundi ,2009,8709366,202,654327452.0,76707526.0,118060852.0,1895543400.0,283957825.0,279452790.0,269266469.0,1611585575.0,517565260.0,201630792.0,224706293.0,527640215.0,1670828165.0,74298933.0,113147746.0,1758554324.0,1775497472.0
 Burundi ,2010,9126605,221,780960635.0,85088882.0,197297037.0,2101585621.0,362321839.0,337947238.0,323605557.0,1739263781.0,604694705.0,208147347.0,227578614.0,619574270.0,1918553888.0,71837595.0,133513892.0,2021331183.0,2032137629.0
 Burundi ,2011,9455733,262,820642204.0,86967187.0,195738022.0,2439549643.0,413205946.0,365200015.0,345027516.0,2026343697.0,764674008.0,224233589.0,244150750.0,714378757.0,2085294273.0,71550161.0,147605215.0,2481854082.0,2235809707.0
