Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cayman Islands ,1970,10533,1824,75587.0,2332079.0,24271694.0,19930128.0,3124194.0,4528382.0,4528382.0,16805934.0,17731492.0,397197.0,1023188.0,18878340.0,27344065.0,2164445.0,2870427.0,19212704.0,31074200.0
 Cayman Islands ,1971,11117,2164,94648.0,2918144.0,30386516.0,24955393.0,3912185.0,5669685.0,5669685.0,21043208.0,22198706.0,497320.0,1281081.0,23637896.0,34237761.0,2711932.0,3594058.0,24057685.0,38910364.0
 Cayman Islands ,1972,11778,2716,125867.0,3872437.0,40399060.0,33185411.0,5201630.0,7536786.0,7536786.0,27983780.0,29512866.0,660845.0,1703791.0,31442654.0,45532661.0,3608103.0,4779810.0,31992641.0,51744186.0
 Cayman Islands ,1973,12443,3355,164240.0,5067219.0,52753170.0,43302993.0,6782375.0,9828642.0,9828642.0,36520618.0,38533289.0,861994.0,2223997.0,41033557.0,59428294.0,4701195.0,6238088.0,41746025.0,67519090.0
 Cayman Islands ,1974,13118,3716,191778.0,5932270.0,61605883.0,50565725.0,7926348.0,11507900.0,11507900.0,42639377.0,45011521.0,1008338.0,2596046.0,47884829.0,69373278.0,5484931.0,7283423.0,48745726.0,78840251.0
 Cayman Islands ,1975,13791,4217,228786.0,7064984.0,73461129.0,60331594.0,9465765.0,13707551.0,13707551.0,50865829.0,53667048.0,1204109.0,3096116.0,57126030.0,82752612.0,6550503.0,8686194.0,58152332.0,94054286.0
 Cayman Islands ,1976,14456,4799,272935.0,8385684.0,87539072.0,71953712.0,11283498.0,16340132.0,16340132.0,60670216.0,63952326.0,1433507.0,3692329.0,68147675.0,98703791.0,7844316.0,10360853.0,69374139.0,112204186.0
 Cayman Islands ,1977,15116,5475,325605.0,9911501.0,104380484.0,85833716.0,13444251.0,19458880.0,19458880.0,72389465.0,76247643.0,1702984.0,4409726.0,81445549.0,117817054.0,9355671.0,12369003.0,82761468.0,133856554.0
 Cayman Islands ,1978,15746,6270,388438.0,12152447.0,125213250.0,102421239.0,15981168.0,23176425.0,23176425.0,86440070.0,91406210.0,2034922.0,5269164.0,97108527.0,140722182.0,11037222.0,14766388.0,98732184.0,159687236.0
 Cayman Islands ,1979,16378,7192,463396.0,14520421.0,148948386.0,122206249.0,19234033.0,28184270.0,28184270.0,102972216.0,108969857.0,2458310.0,6262495.0,115354648.0,167390983.0,13198568.0,17591455.0,117784800.0,190502512.0
 Cayman Islands ,1980,17100,8217,552817.0,16925558.0,177105864.0,145877082.0,22991164.0,32867240.0,32867240.0,122885916.0,129307969.0,2923879.0,7470351.0,138042916.0,199861313.0,15914162.0,20955508.0,140514023.0,227264250.0
 Cayman Islands ,1981,17904,9363,659497.0,19747168.0,210337092.0,173618179.0,27156912.0,39330588.0,39330588.0,146461267.0,153671015.0,3428008.0,8906674.0,164640404.0,238283876.0,19313666.0,25016468.0,167629480.0,271120188.0
 Cayman Islands ,1982,18729,10677,786762.0,22833018.0,251596342.0,207339074.0,32284253.0,46602415.0,46602415.0,175054821.0,183685209.0,4028548.0,10714192.0,198576354.0,285481170.0,22577378.0,29993468.0,199977359.0,323438924.0
 Cayman Islands ,1983,19572,14242,1096685.0,38944700.0,363260384.0,289506373.0,44308910.0,64905328.0,64905328.0,245197463.0,264348993.0,5791937.0,14996256.0,273409304.0,399698991.0,29413467.0,41838578.0,278752938.0,450848794.0
 Cayman Islands ,1984,20433,15340,1233138.0,38944700.0,390676262.0,325475233.0,53431332.0,82125110.0,82125110.0,272043900.0,288977780.0,6950325.0,16352779.0,300407730.0,438966928.0,35541273.0,46487308.0,313436484.0,506945188.0
 Cayman Islands ,1985,21313,15912,1334216.0,36059908.0,420376795.0,353138313.0,56037739.0,70203723.0,70203723.0,297100574.0,303755054.0,6950325.0,18021924.0,338328855.0,484394715.0,40443518.0,50206293.0,339128000.0,548498072.0
 Cayman Islands ,1986,22195,16784,1465615.0,38944700.0,456931300.0,381287955.0,57340942.0,88748102.0,88748102.0,323947013.0,334951518.0,6950325.0,19735106.0,365427456.0,527928971.0,46571324.0,55784770.0,372526968.0,602516822.0
 Cayman Islands ,1987,23075,18872,1713255.0,41829493.0,555171529.0,453868708.0,69069770.0,98020292.0,98020292.0,384798938.0,403912124.0,8108712.0,24297828.0,455991613.0,634894116.0,44120200.0,66941724.0,435471180.0,704321389.0
