Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Central African Republic ,1970,2067356,95,77830128.0,2558399.0,88138863.0,252894212.0,55436122.0,49628522.0,49628522.0,197458090.0,114697263.0,47356829.0,68692850.0,70321709.0,262410903.0,3479722.0,39528095.0,195893888.0,275964335.0
 Central African Republic ,1971,2111224,99,86597367.0,2852813.0,87603310.0,261275140.0,55646845.0,55116855.0,55116855.0,205628296.0,110016898.0,49022367.0,72819829.0,69396558.0,274134377.0,3435639.0,39032172.0,208061843.0,293978407.0
 Central African Republic ,1972,2153613,111,102326253.0,3212147.0,83806942.0,303988803.0,63692895.0,61955821.0,61955821.0,240295908.0,113647246.0,61675268.0,88453781.0,75822250.0,316211228.0,3753662.0,42643134.0,238715747.0,336104320.0
 Central African Republic ,1973,2195905,128,119773459.0,3524863.0,113252798.0,344384175.0,77257277.0,82495072.0,82495072.0,267126898.0,144392886.0,75243756.0,104642542.0,86758664.0,367699230.0,4288941.0,48710760.0,280374169.0,395739160.0
 Central African Republic ,1974,2239305,130,142673635.0,3228633.0,113900403.0,411047127.0,81845656.0,63657752.0,63657752.0,329201471.0,177958398.0,88367863.0,115321206.0,114291748.0,445584639.0,5666669.0,64402747.0,291784215.0,410646883.0
 Central African Republic ,1975,2283927,173,172337152.0,4261168.0,116762263.0,580145395.0,94648331.0,76263397.0,76263397.0,485497064.0,220590137.0,108793337.0,144251923.0,149627726.0,562018100.0,7406912.0,84133219.0,393988439.0,552580918.0
 Central African Republic ,1976,2318349,203,220191511.0,4696056.0,146071581.0,626593284.0,89164369.0,78782218.0,78782218.0,537428914.0,193077489.0,106135197.0,145355369.0,181641704.0,662287939.0,8941051.0,101462248.0,471111612.0,658369594.0
 Central African Republic ,1977,2342048,226,246864686.0,4876390.0,186588999.0,722288600.0,91474059.0,85534175.0,86128162.0,630814542.0,254108429.0,126537719.0,167361605.0,203799038.0,749191146.0,10193904.0,116095523.0,529921545.0,740303346.0
 Central African Republic ,1978,2365957,270,294613818.0,6333978.0,208679995.0,887266184.0,125458891.0,97004326.0,80836939.0,761807293.0,301929307.0,195772975.0,247974971.0,235015207.0,926810963.0,11578645.0,131294344.0,639826343.0,891021198.0
 Central African Republic ,1979,2390329,304,339942044.0,7451682.0,229402244.0,1052349777.0,159841928.0,100158441.0,114564794.0,892507849.0,359280104.0,226905973.0,289828811.0,280900139.0,1085536816.0,13594332.0,153819808.0,727244585.0,1022630357.0
