Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Chad ,1970,3667394,97,132186210.0,19401646.0,57353170.0,326472705.0,72842693.0,38552531.0,39939866.0,253630013.0,92568539.0,40719286.0,40750897.0,51125445.0,408841328.0,33325440.0,132051690.0,355826002.0,355301780.0
 Chad ,1971,3742534,104,144279218.0,21177205.0,59943844.0,357013004.0,81822595.0,43445948.0,42294525.0,275190410.0,98364436.0,44432698.0,44467202.0,55798202.0,446230703.0,36371824.0,144137053.0,389102914.0,387785536.0
 Chad ,1972,3824399,106,149948445.0,22007077.0,64121885.0,371155651.0,89708226.0,50983615.0,45728150.0,281447426.0,106952285.0,46182934.0,46218794.0,57984404.0,463761268.0,37809184.0,149793364.0,405070918.0,403013385.0
 Chad ,1973,3912905,115,166255907.0,24403330.0,73987015.0,428051861.0,100907068.0,58195404.0,60414637.0,327144792.0,139648744.0,51236638.0,51276392.0,64319740.0,514250628.0,41911157.0,166084101.0,448584287.0,446936127.0
 Chad ,1974,4000559,131,193763350.0,28442897.0,90911160.0,470626628.0,101435906.0,84766822.0,88198605.0,369190723.0,162849801.0,59624551.0,59670893.0,74917708.0,599222892.0,48836847.0,193591198.0,523349575.0,520701998.0
 Chad ,1975,4084110,185,279916204.0,41069081.0,88510989.0,684875350.0,118876704.0,143428501.0,144797281.0,565998645.0,220049702.0,86236182.0,86303127.0,108207083.0,865707281.0,70626119.0,279585669.0,756266286.0,752271453.0
 Chad ,1976,4163051,170,262577136.0,38555280.0,104683651.0,619707547.0,103495839.0,133275617.0,134538358.0,516211707.0,212830278.0,81068489.0,81131252.0,101722715.0,812438408.0,66145570.0,262306456.0,709756819.0,706314320.0
 Chad ,1977,4238551,170,266150956.0,39076950.0,109702461.0,620652852.0,120729330.0,132285318.0,132285318.0,499923521.0,202718319.0,81532028.0,81595721.0,102725439.0,822625360.0,67046250.0,266030044.0,719137320.0,714485898.0
 Chad ,1978,4313479,198,316544923.0,46374123.0,139737944.0,740060145.0,151955925.0,138108542.0,138108542.0,588104219.0,237970663.0,97862804.0,97938503.0,122294586.0,979167967.0,80122418.0,315893413.0,855409480.0,850880754.0
 Chad ,1979,4402942,174,284418802.0,41860791.0,136390095.0,794462296.0,49347579.0,102031968.0,84709832.0,745114716.0,265725601.0,88379734.0,88447603.0,110896451.0,881180643.0,71302954.0,284254042.0,765428810.0,767158757.0
 Chad ,1980,4408230,180,295710152.0,43406689.0,121121026.0,690350263.0,42810440.0,91752394.0,76035498.0,647539823.0,114152866.0,88471464.0,88542482.0,112871959.0,911108335.0,74493857.0,296083197.0,792931272.0,789070818.0
 Chad ,1981,4409225,209,343529681.0,49994257.0,142301275.0,811070762.0,50296637.0,107796996.0,89331709.0,760774125.0,134114603.0,109128739.0,109210715.0,133108574.0,1065205142.0,88200919.0,341160996.0,923376107.0,927054429.0
 Chad ,1982,4622828,187,318047498.0,47467333.0,135273639.0,767290137.0,47814181.0,91751189.0,76481853.0,719475956.0,127491252.0,100356748.0,100432143.0,127455919.0,990090795.0,77393914.0,319293989.0,864661276.0,866823712.0
 Chad ,1983,4859173,190,358882406.0,52274931.0,158231954.0,1056082776.0,68247389.0,87078443.0,65590178.0,987835387.0,323976140.0,95447362.0,95535134.0,128514896.0,1088107030.0,91664889.0,361234773.0,921437822.0,927823081.0
 Chad ,1984,4920556,202,357876483.0,50669493.0,188972015.0,1042047417.0,79728149.0,91516542.0,63494550.0,962319268.0,337728133.0,134464152.0,134547830.0,145158941.0,1131811393.0,97317697.0,346240948.0,991598305.0,999740434.0
 Chad ,1985,4967590,198,351298688.0,56505638.0,135063451.0,1128814089.0,88436017.0,99526398.0,80766036.0,1040378072.0,380288090.0,108513196.0,108594749.0,155341615.0,1107055593.0,70774886.0,364540017.0,981662545.0,986892996.0
 Chad ,1986,5118160,235,400694882.0,87570110.0,172224349.0,1401941258.0,109568433.0,76924373.0,132617343.0,1292372825.0,443575741.0,123434781.0,123551875.0,215407935.0,1386365364.0,114411727.0,444728835.0,1204821142.0,1214841090.0
 Chad ,1987,5300852,258,451792965.0,122323705.0,194710267.0,1536513889.0,113206429.0,220004209.0,194962115.0,1423307460.0,545026523.0,116046165.0,116194174.0,287621217.0,1591420772.0,135594010.0,477894702.0,1366576733.0,1379240458.0
 Chad ,1988,5483038,291,514967097.0,122242537.0,232647240.0,1675488007.0,129950396.0,276722438.0,201462910.0,1545537611.0,577912936.0,143085407.0,143245625.0,310594526.0,1867739349.0,156857550.0,619832012.0,1596852390.0,1611361976.0
 Chad ,1989,5670619,267,478900385.0,128088896.0,208139741.0,1662643166.0,131286321.0,175035777.0,187111022.0,1531356845.0,535351131.0,151946599.0,152106995.0,270125073.0,1751357310.0,150643165.0,571492796.0,1512855890.0,1522878641.0
 Chad ,1990,5827069,311,567302558.0,163523816.0,251738436.0,1945625361.0,157828077.0,267692518.0,245219386.0,1787797284.0,663610063.0,188477023.0,188687890.0,318294589.0,2089682334.0,188669005.0,663204475.0,1814863710.0,1833675591.0
 Chad ,1991,6042428,301,596913922.0,153630634.0,231628779.0,1820670513.0,167514655.0,282327578.0,229902703.0,1653155858.0,629431454.0,181086244.0,181275192.0,313631184.0,2064604982.0,176268371.0,642885679.0,1817594327.0,1820027719.0
 Chad ,1992,6302926,301,612462091.0,158374240.0,242244192.0,1995067220.0,177948783.0,225113436.0,254260177.0,1817118437.0,667639527.0,168344082.0,168574699.0,324058953.0,2186878850.0,193416398.0,729992469.0,1898945896.0,1896094855.0
 Chad ,1993,6448280,249,499515176.0,135957058.0,207961105.0,1870850625.0,156874359.0,173096909.0,216183924.0,1713976266.0,643981394.0,131211949.0,131370886.0,325535032.0,1917307226.0,178439813.0,646489261.0,1608805012.0,1654085614.0
 Chad ,1994,6592998,202,453923694.0,99265258.0,199854736.0,1349768694.0,106236672.0,266508540.0,164518417.0,1243532022.0,486281170.0,115981204.0,116099892.0,239729389.0,1556439006.0,113515856.0,533904918.0,1332936067.0,1341884888.0
 Chad ,1995,6888856,238,524009410.0,110601450.0,292893496.0,1766986833.0,133723491.0,175292791.0,194554254.0,1633263342.0,600942146.0,172834798.0,172951246.0,285719284.0,1889600221.0,115964937.0,680353893.0,1637427412.0,1643276653.0
 Chad ,1996,7200291,254,624053062.0,118799887.0,258970062.0,1925785387.0,146236543.0,330504131.0,229035730.0,1779548843.0,666215854.0,180240283.0,180358257.0,289835407.0,2081331302.0,117724520.0,750560167.0,1825610520.0,1837279011.0
 Chad ,1997,7450874,233,612482820.0,97487037.0,272368051.0,1663367336.0,171547054.0,265062836.0,205638652.0,1491820283.0,648770813.0,196618894.0,196724535.0,273959048.0,1974254799.0,116279680.0,677321680.0,1735975027.0,1754815782.0
 Chad ,1998,7709115,259,703555646.0,114580131.0,313002178.0,2082120310.0,162987745.0,296440475.0,238330068.0,1919132565.0,713468520.0,209747229.0,209856251.0,292756148.0,2272882249.0,121933088.0,830200985.0,1998557347.0,1999334348.0
 Chad ,1999,7981889,218,603003580.0,118446992.0,243953927.0,1977133767.0,154031155.0,191012092.0,250502467.0,1823102612.0,677345906.0,164750605.0,164865172.0,273591797.0,1952612034.0,112909362.0,679795131.0,1737059243.0,1738899327.0
 Chad ,2000,8259137,188,582835094.0,99626248.0,241379462.0,1760500370.0,123283005.0,287108693.0,249874896.0,1637217365.0,657472944.0,131579201.0,131673348.0,248617854.0,1752164094.0,91521288.0,597890262.0,1555893377.0,1575765966.0
 Chad ,2001,8538804,225,711872945.0,117842261.0,285209216.0,1842431475.0,145658916.0,782759085.0,711365568.0,1696772559.0,965674918.0,206091855.0,206194040.0,286145693.0,2163337411.0,122666775.0,718615696.0,1919094032.0,1944724857.0
