Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
" China, Hong Kong SAR ",1970,3955072,960,32769992.0,251960018.0,3552783550.0,2740817739.0,215655215.0,777975777.0,749760749.0,2525162523.0,3259083256.0,724169701.0,783502369.0,1604312458.0,3670894423.0,298809794.0,699539793.0,3798468812.0,3812493809.0
" China, Hong Kong SAR ",1971,4028605,1103,38371697.0,294669483.0,3986515661.0,3187908271.0,234432069.0,1086045855.0,1053104972.0,2953476202.0,3799070334.0,847565492.0,916972756.0,1876971389.0,4295407250.0,349636031.0,818785894.0,4442169953.0,4461399453.0
" China, Hong Kong SAR ",1972,4128333,1375,49105002.0,377271406.0,4818647798.0,3919228326.0,302406310.0,1337252759.0,1295419295.0,3616822016.0,4365038333.0,1085166301.0,1173928153.0,2402270730.0,5497963411.0,447473533.0,1047914586.0,5675524623.0,5710090551.0
" China, Hong Kong SAR ",1973,4234754,1885,68944622.0,531146300.0,6859419023.0,5685611581.0,416788108.0,1837559506.0,1778684543.0,5268823472.0,6352472554.0,1524262944.0,1649420794.0,3380615410.0,7732466654.0,629519951.0,1472819576.0,7983289867.0,8030117556.0
" China, Hong Kong SAR ",1974,4342773,2150,80902556.0,619003418.0,8133821362.0,6668278706.0,546945130.0,2270458272.0,2135709435.0,6121333576.0,7683863595.0,1784514849.0,1930425165.0,3947406432.0,9037533298.0,735577504.0,1724218224.0,9336027168.0,9388694745.0
" China, Hong Kong SAR ",1975,4451220,2243,86376331.0,664560703.0,8380061464.0,7180507244.0,602411266.0,2305697207.0,2157576576.0,6578095978.0,7818175678.0,1911568891.0,2067385527.0,4227072677.0,9676520230.0,787309944.0,1843815048.0,9984870082.0,10048090237.0
" China, Hong Kong SAR ",1976,4558873,2807,110016190.0,854537038.0,11516998828.0,8233039401.0,701157042.0,3268260360.0,2660889954.0,7531882359.0,10141801315.0,2435488626.0,2637778515.0,5431942101.0,12402401370.0,1010589269.0,2357538257.0,12796982212.0,12876497273.0
" China, Hong Kong SAR ",1977,4664903,3347,136928980.0,1026322802.0,13104032604.0,10523380524.0,877091377.0,4169026169.0,3803946804.0,9646289146.0,12077005577.0,2999702153.0,3241877267.0,6583204528.0,15115652078.0,1229323045.0,2897995455.0,15612611905.0,15719433720.0
" China, Hong Kong SAR ",1978,4768798,3819,156303551.0,1222716397.0,15674898584.0,12867482742.0,1043840296.0,5261903067.0,4820582165.0,11823642446.0,15489146680.0,3493726829.0,3775874515.0,7718167619.0,17661124020.0,1435454224.0,3352607715.0,18210091723.0,18315137713.0
" China, Hong Kong SAR ",1979,4872752,4591,188925603.0,1510208027.0,20190631664.0,14883462154.0,1240538380.0,7351479211.0,6700626333.0,13642923775.0,19899386995.0,4186325983.0,4553925573.0,9581397612.0,21707645180.0,1776649565.0,4096538801.0,22370469564.0,22526186035.0
