Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
" China, Macao SAR ",1970,247284,695,,6753087.0,188998854.0,110227586.0,9837516.0,38604770.0,33584091.0,100390070.0,168786147.0,22269833.0,25636122.0,95922089.0,149364260.0,5162923.0,15890038.0,171925286.0,169026522.0
" China, Macao SAR ",1971,249832,824,,8084976.0,226270188.0,131976012.0,11776912.0,46221210.0,40208463.0,120199101.0,202082186.0,26661952.0,30692154.0,114840629.0,178822902.0,6181189.0,19023954.0,205833482.0,202363005.0
" China, Macao SAR ",1972,248669,1014,,9902212.0,277145898.0,161609515.0,14424856.0,56617427.0,49238916.0,147184659.0,247499428.0,32654457.0,37590492.0,140652261.0,219015190.0,7570476.0,23299749.0,252096759.0,247846255.0
" China, Macao SAR ",1973,247838,1388,,13508592.0,378055606.0,220507272.0,19680101.0,77204997.0,67187550.0,200827170.0,337615307.0,44548227.0,51282073.0,191879052.0,298783534.0,10327752.0,31786065.0,343914070.0,338115471.0
" China, Macao SAR ",1974,247280,1600,,15542782.0,434963360.0,253763964.0,22635508.0,88871636.0,77301857.0,231128456.0,388528212.0,51255175.0,59002898.0,220773632.0,343774231.0,11882883.0,36572036.0,395699640.0,389027906.0
" China, Macao SAR ",1975,246919,1855,,17990125.0,503608776.0,293443242.0,26211579.0,102900626.0,89417588.0,267231663.0,449628884.0,59324697.0,68292248.0,255529875.0,397895502.0,13753658.0,42329595.0,457996843.0,450274740.0
" China, Macao SAR ",1976,246661,1847,,17892351.0,500634939.0,292223147.0,26073456.0,102130293.0,89054005.0,266149691.0,447084598.0,59008981.0,67928507.0,254152222.0,395756209.0,13679730.0,42103398.0,455535049.0,447854454.0
" China, Macao SAR ",1977,246405,2365,,22885684.0,640357896.0,373878124.0,33293375.0,131037331.0,113807899.0,340584750.0,572404283.0,75463813.0,86871189.0,325076250.0,506177013.0,17496410.0,53847479.0,582628751.0,572805278.0
" China, Macao SAR ",1978,246048,3096,,29928710.0,838595177.0,486790247.0,43665549.0,171364042.0,148476794.0,443124698.0,747629765.0,98688482.0,113606485.0,425072131.0,661901965.0,22879416.0,70415223.0,761886854.0,749040982.0
" China, Macao SAR ",1979,245605,3532,,34070649.0,951957146.0,558593167.0,49673893.0,193270616.0,170276163.0,508919274.0,850764582.0,112403347.0,129392005.0,484020756.0,753732507.0,26053663.0,80195434.0,867587180.0,852959137.0
