Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 China ,1970,822534450,113,32512670644.0,3432434619.0,2709294053.0,59149647584.0,10128794345.0,31045205347.0,22961720267.0,49020853239.0,2611804785.0,2548444444444.4443,33970947600.0,10906611779.0,92598555721.0,4070176910.0,7705714169.0,92602617774.0,92602617774.0
 China ,1971,843285424,118,33865334227.0,3923943009.0,3267370468.0,63058332624.0,11795226237.0,34244292259.0,25470258202.0,51263106387.0,2633690231.0,2548444444444.4443,38033000404.0,11828697765.0,99800575343.0,4403265240.0,7746334697.0,99800575343.0,99800575343.0
 China ,1972,862840403,132,37183746249.0,4222591213.0,4335982054.0,73059424836.0,13631353147.0,36286490138.0,28758875001.0,59428071689.0,3516407388.0,2548444444444.4443,44546555611.0,13024110450.0,114000000000.0,5478678472.0,9233577620.0,114000000000.0,114000000000.0
 China ,1973,881652080,157,46023557260.0,5076866845.0,6900032775.0,87884329464.0,15878272479.0,46572203218.0,34558627218.0,72006056985.0,6156095851.0,2548444444444.4443,54433060460.0,15135095119.0,139000000000.0,6584847096.0,11289745479.0,139000000000.0,139000000000.0
 China ,1974,899367640,160,48623291887.0,5552722826.0,8346475688.0,92145905546.0,17344763350.0,48917499286.0,39331531506.0,74801142196.0,8703400020.0,2548444444444.4443,55802569884.0,16168672250.0,144000000000.0,6740770960.0,11299204574.0,144000000000.0,144000000000.0
 China ,1975,915124661,179,52683084231.0,6780298961.0,9028841676.0,101000000000.0,19096392356.0,58548926083.0,48762927583.0,82186256631.0,8991203220.0,2548444444444.4443,67566405026.0,18130981836.0,163000000000.0,7979352623.0,10291429191.0,163000000000.0,163000000000.0
 China ,1976,929375924,166,50252395205.0,6855877206.0,8153369237.0,101000000000.0,19476353152.0,52352824597.0,45914172075.0,81822396251.0,7705239021.0,2548444444444.4443,62676419111.0,18110641814.0,154000000000.0,7577006288.0,8468115797.0,154000000000.0,154000000000.0
 China ,1977,942581333,186,51162010034.0,7390367152.0,8829866281.0,111000000000.0,21900182153.0,60602879976.0,50537339864.0,88695171104.0,8286219462.0,2548444444444.4443,74549588529.0,20421742879.0,175000000000.0,8892124206.0,12520024760.0,175000000000.0,175000000000.0
 China ,1978,955138943,229,61029935888.0,8250178194.0,11689537829.0,133000000000.0,28141123311.0,83906513179.0,65849967671.0,104000000000.0,12366658285.0,2548444444444.4443,96311475467.0,25059396546.0,219000000000.0,10810168693.0,17040864824.0,219000000000.0,219000000000.0
 China ,1979,968298969,272,81684887512.0,9299035376.0,15986474828.0,166000000000.0,36288844057.0,97743755074.0,76791986572.0,130000000000.0,17272648463.0,2548444444444.4443,115000000000.0,29620578797.0,264000000000.0,12456591648.0,15749196152.0,264000000000.0,264000000000.0
 China ,1980,982372466,312,91537640211.0,13100640692.0,21253191939.0,198000000000.0,42042941429.0,108000000000.0,89817873485.0,156000000000.0,22234238389.0,2548444444444.4443,134000000000.0,36725840921.0,306000000000.0,14241857991.0,16097170326.0,306000000000.0,306000000000.0
 China ,1981,997259502,290,91485450608.0,12202753448.0,25285538709.0,192000000000.0,38121265119.0,97553962172.0,81074378309.0,154000000000.0,24282331574.0,2548444444444.4443,121000000000.0,34889314786.0,290000000000.0,12953692121.0,16731852324.0,289000000000.0,290000000000.0
 China ,1982,1013483166,281,93910746172.0,11709121337.0,25438286638.0,189000000000.0,37434863193.0,92976535656.0,82355897620.0,151000000000.0,20624654175.0,2548444444444.4443,115000000000.0,37552673890.0,284000000000.0,13045947915.0,12348473179.0,284000000000.0,284000000000.0
 China ,1983,1029226907,297,100000000000.0,13752261891.0,24713165528.0,205000000000.0,42448477141.0,99627439122.0,88203495402.0,163000000000.0,22141892417.0,2548444444444.4443,121000000000.0,41793311164.0,305000000000.0,13919293412.0,13726954085.0,306000000000.0,305000000000.0
 China ,1984,1044172197,302,99825793377.0,13702340118.0,27956987970.0,206000000000.0,47192516092.0,110000000000.0,94485456450.0,159000000000.0,27900954494.0,2548444444444.4443,121000000000.0,44387133860.0,314000000000.0,14594565474.0,19840160920.0,315000000000.0,314000000000.0
 China ,1985,1060239979,293,87320338596.0,14278133593.0,29041583106.0,202000000000.0,43944490979.0,124000000000.0,96849342118.0,158000000000.0,41542186116.0,2548444444444.4443,118000000000.0,43399669126.0,310000000000.0,14363264368.0,32033008040.0,311000000000.0,310000000000.0
 China ,1986,1077770523,279,80763633294.0,15271700436.0,29492307302.0,195000000000.0,41515793710.0,116000000000.0,95565274483.0,153000000000.0,36883428014.0,2548444444444.4443,116000000000.0,44737712239.0,301000000000.0,14452073805.0,29419672488.0,300000000000.0,301000000000.0
 China ,1987,1096851843,298,86856881868.0,17933424680.0,38350598513.0,205000000000.0,42746462712.0,125000000000.0,103000000000.0,162000000000.0,38060439732.0,2548444444444.4443,124000000000.0,49375352624.0,327000000000.0,15273635851.0,33494532656.0,327000000000.0,327000000000.0
