Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Colombia ,1970,20905254,471,1704998072.0,320233802.0,922832642.0,8749871621.0,701378905.0,2863701188.0,2693832909.0,8048492716.0,1495194162.0,1922649089.0,2152247058.0,3612441222.0,9736560973.0,702330210.0,1244310610.0,9840846786.0,10126966867.0
 Colombia ,1971,21405413,501,1768871039.0,355576387.0,898842994.0,9840649718.0,919400785.0,2944216115.0,2804191520.0,8921248932.0,1778797691.0,2108486069.0,2376870612.0,4146926512.0,10760973011.0,758180541.0,1354547920.0,10729286519.0,10990990730.0
 Colombia ,1972,21898055,544,2004654247.0,432174212.0,1106126521.0,10575424724.0,887392295.0,3041687178.0,2840222487.0,9688032429.0,1621488065.0,2462588310.0,2754794725.0,4405234456.0,11868429317.0,789863018.0,1481708659.0,11903815383.0,12202618772.0
 Colombia ,1973,22396318,633,2378503725.0,499734162.0,1440107179.0,12235084248.0,1048917091.0,3641316961.0,3328011981.0,11186167156.0,1888857030.0,3055911860.0,3461374816.0,4976245809.0,13953979613.0,867671987.0,1770449113.0,14166468135.0,14436964673.0
 Colombia ,1974,22897871,747,2888203665.0,589157337.0,1718423180.0,14802666409.0,1158031189.0,5178497817.0,4209456765.0,13644635219.0,2770969583.0,3779099243.0,4146804705.0,5907114988.0,16804114985.0,993944457.0,2278889831.0,17111685649.0,17348997764.0
 Colombia ,1975,23403731,772,2988481338.0,534680154.0,1998422446.0,15902758110.0,1254708431.0,4363971321.0,4149731175.0,14648049679.0,2632321003.0,3991470994.0,4371008830.0,6532998440.0,18014332174.0,1186609666.0,2400553746.0,18059350554.0,18388725628.0
 Colombia ,1976,23913002,884,3460676335.0,646891216.0,2504503061.0,18213843341.0,1367113639.0,5243573619.0,5071761515.0,16846729702.0,3027950496.0,4883221887.0,5375761327.0,7412100276.0,20941384710.0,1400080809.0,2645874747.0,21128125552.0,21533759887.0
 Colombia ,1977,24443926,1105,4638160762.0,899369204.0,3166616813.0,22551170664.0,1612192727.0,7127735054.0,5854307982.0,20938977937.0,3642178982.0,6106820954.0,6660401027.0,9048011589.0,26384235095.0,1761141163.0,3377151350.0,27010353945.0,27341578547.0
 Colombia ,1978,25003608,1293,5118537993.0,1117932483.0,3711940836.0,27384399849.0,2150714389.0,8305938436.0,7413172949.0,25233685459.0,4534493154.0,7088190842.0,7721077187.0,11509428963.0,31757355352.0,2043188837.0,4247189889.0,32317352909.0,32651889306.0
 Colombia ,1979,25579323,1523,5710666336.0,1388045890.0,4168417305.0,33191996013.0,2812102107.0,9930116412.0,8903221031.0,30379893906.0,5277291227.0,8241080890.0,9100221392.0,14496491310.0,38441661183.0,2638335953.0,5107900302.0,38951546348.0,39241559272.0
 Colombia ,1980,26176195,1783,6167156931.0,1873751750.0,5210215200.0,39762711340.0,3625118429.0,12453288579.0,11602695834.0,36137592911.0,7248905300.0,10194265675.0,11481234870.0,16930660345.0,45667769955.0,3219087909.0,5995878151.0,46659753406.0,46898990977.0
 Colombia ,1981,26785982,1889,6680147389.0,2211108573.0,4224887992.0,44673141494.0,4095005872.0,14682498769.0,13296587209.0,40578135621.0,7735636605.0,10195049984.0,11805339249.0,19412526344.0,50140883246.0,3367609719.0,6664151972.0,50607112788.0,51104976375.0
 Colombia ,1982,27405194,1960,6973683731.0,2377750764.0,4179458214.0,48263949306.0,4592123437.0,15628357925.0,14083978525.0,43671825869.0,8134825795.0,10861544467.0,12751342045.0,21103646996.0,53893059540.0,3503506203.0,7183129800.0,53722495947.0,54717436544.0
 Colombia ,1983,28042329,1895,6912171759.0,2546564196.0,3862396048.0,47875885746.0,4579571048.0,15082594499.0,13782476354.0,43296314698.0,7260613642.0,10675859072.0,12740269008.0,20975369244.0,53738785248.0,3476981342.0,7087429700.0,53134426029.0,54388279541.0
 Colombia ,1984,28689032,1813,6342078049.0,2577620386.0,4318219617.0,46486466322.0,4554913804.0,14183402332.0,13428771087.0,41931552518.0,6772994944.0,11111799682.0,13339600090.0,19328703616.0,52156384669.0,3404758660.0,7163623868.0,52025680985.0,53725008999.0
 Colombia ,1985,29326260,1605,5651266851.0,2838681643.0,4513172348.0,41463554600.0,4022160449.0,13003147474.0,12655289405.0,37441394151.0,6219158289.0,9800634550.0,12151443324.0,16462064268.0,46796444741.0,3071910389.0,6621078266.0,47059047093.0,49003587956.0
 Colombia ,1986,29960101,1568,5817575266.0,2718016317.0,6294327959.0,39346672000.0,3695668877.0,12305025298.0,12830195348.0,35651003123.0,6381131017.0,10316637375.0,12960427600.0,15336620651.0,46161058638.0,2928316995.0,6400101808.0,46975030826.0,49070100926.0
 Colombia ,1987,30603048,1591,6260773146.0,2410083361.0,5863400278.0,41581059415.0,3856744577.0,14231095849.0,13114839450.0,37724314839.0,7128428063.0,9706133278.0,13107255298.0,15852945899.0,47703111630.0,3172337110.0,6899716816.0,48684774063.0,51076713606.0
 Colombia ,1988,31256727,1692,6258681078.0,3063862021.0,6165041555.0,44127727553.0,4258917676.0,16869179381.0,15831634229.0,39868809877.0,7913786680.0,10895529842.0,14414961861.0,17043215143.0,51875480696.0,3496183310.0,7598577282.0,52896676058.0,55064677218.0
 Colombia ,1989,31923117,1654,6050101392.0,2760322794.0,6710744725.0,44686919839.0,4499886460.0,15446847063.0,14788503553.0,40187033379.0,7894621622.0,10844538483.0,15090794494.0,17143405246.0,52228622701.0,3583348190.0,7600650584.0,52814433771.0,55527195714.0
 Colombia ,1990,32601393,1646,6230445163.0,2354166751.0,7829604848.0,45308234458.0,4455585483.0,14612776520.0,13869169575.0,40852648975.0,8523184215.0,10550809428.0,15581257179.0,17499678067.0,53316024150.0,3960877544.0,7689599446.0,53651954281.0,56557039787.0
 Colombia ,1991,33272628,1662,6690844572.0,2448106042.0,8351563271.0,46945360040.0,4572092073.0,12866898650.0,12459012222.0,42373267967.0,8280719129.0,11061795540.0,15795657866.0,18347375073.0,55594817551.0,4288420036.0,8024413961.0,55291382252.0,57914050570.0
 Colombia ,1992,33939039,1760,6511390137.0,2844514961.0,7633339523.0,52624336992.0,5629331879.0,14847855019.0,14208775024.0,46995005113.0,9962321430.0,11232240381.0,15641574322.0,20060819920.0,59153580803.0,4921486304.0,9173795159.0,59723908185.0,61986681194.0
 Colombia ,1993,34614735,2006,6717061904.0,4399971314.0,8121614914.0,61301503625.0,6971446525.0,20854023649.0,19668632017.0,54330057099.0,14161681971.0,12220995310.0,17060533887.0,23832595441.0,68171038416.0,5490755885.0,10670119985.0,69431591011.0,71746031361.0
 Colombia ,1994,35295461,2664,8784687900.0,6195818242.0,10587793930.0,80214781671.0,9477414120.0,28181906507.0,26455517519.0,70737367551.0,18625374389.0,15278830112.0,20996116687.0,32740024644.0,90008254029.0,7357984049.0,13933622506.0,94016918896.0,94692918901.0
 Colombia ,1995,35970101,3027,9608174763.0,7203936285.0,11872762194.0,92901744913.0,11327246017.0,32944815862.0,29443918722.0,81574498896.0,21599148017.0,17403222813.0,24383576206.0,39396069396.0,105000000000.0,8397663154.0,15768219268.0,109000000000.0,110000000000.0
 Colombia ,1996,36632573,3108,9191349086.0,6637324226.0,13040019421.0,99750034309.0,14320119380.0,29706836215.0,29818170273.0,85429914929.0,22555026213.0,17840817994.0,25751797957.0,44954196617.0,111000000000.0,8479685971.0,16229468507.0,114000000000.0,115000000000.0
 Colombia ,1997,37291946,3349,9964068218.0,7044858513.0,13981177071.0,111000000000.0,17407589603.0,30811896582.0,30636005425.0,93186914587.0,24660232174.0,18746318648.0,26667011155.0,50987354153.0,121000000000.0,9456660118.0,17153197243.0,125000000000.0,126000000000.0
 Colombia ,1998,37944414,3053,9661421804.0,5915972031.0,13056197880.0,103000000000.0,16387538683.0,26829447362.0,26515622214.0,87106100399.0,22934561196.0,17642268791.0,24539857271.0,46624909048.0,112000000000.0,9211409265.0,16155353525.0,116000000000.0,117000000000.0
 Colombia ,1999,38585033,2629,8313498337.0,3763208413.0,13982707712.0,90302877806.0,15666557454.0,15345138539.0,16251749088.0,74636320352.0,17112791910.0,15233194922.0,23413167023.0,39787251276.0,96602411119.0,7935585055.0,13389701015.0,101000000000.0,102000000000.0
 Colombia ,2000,39215135,2488,8030241285.0,3179186186.0,15906183859.0,85402032690.0,14539059816.0,15830098656.0,14945177626.0,70862972874.0,18098512496.0,15640562354.0,24620869685.0,35739305904.0,91626061704.0,7519178392.0,12537280252.0,97567439836.0,99230396791.0
 Colombia ,2001,39837875,2418,7910952057.0,3321601055.0,15122258306.0,85124202746.0,14377872240.0,16754160392.0,16016548669.0,70746330507.0,19668925926.0,15605715327.0,23807578554.0,34745580044.0,90007093627.0,7881350416.0,12340031500.0,96343025902.0,97577132572.0
 Colombia ,2002,40454050,2379,8070177977.0,3677112334.0,14523652637.0,83981147000.0,13886668326.0,17982691892.0,17351884144.0,70094478674.0,19251494869.0,15451381324.0,23556508439.0,34245064344.0,89495854471.0,7987875153.0,11959116224.0,96245505126.0,97329991040.0
 Colombia ,2003,41057687,2258,7630506231.0,3625545897.0,15697766495.0,79822794635.0,13055726950.0,18813297558.0,18151404370.0,66767067685.0,20414697965.0,15145038783.0,23969165032.0,32053785668.0,86204447800.0,7745574352.0,11179870620.0,92723889504.0,94029831970.0
 Colombia ,2004,41648268,2733,8966233009.0,4890989702.0,19648811771.0,96582551287.0,16225052558.0,24219857545.0,23350806289.0,80357498730.0,24180910148.0,18967584916.0,30115129701.0,38908702597.0,106000000000.0,9535843978.0,13782362076.0,114000000000.0,116000000000.0
 Colombia ,2005,42220940,3361,10961145030.0,6211128802.0,24713096944.0,119000000000.0,20322865147.0,31535643837.0,30524800398.0,98829120282.0,29781533164.0,23286023854.0,37981601997.0,48475242708.0,133000000000.0,12056009982.0,16895218277.0,142000000000.0,146000000000.0
 Colombia ,2006,42772910,3678,11615154918.0,7443440207.0,28652691910.0,131000000000.0,22433660559.0,37073626285.0,36498056712.0,109000000000.0,35415104985.0,25824396394.0,42518455150.0,52612310652.0,146000000000.0,13541343598.0,18713422791.0,157000000000.0,162000000000.0
 Colombia ,2007,43306582,4614,14297799508.0,9917279006.0,33882152043.0,167000000000.0,28308825047.0,48358463536.0,49653276878.0,138000000000.0,42609030377.0,33307160611.0,53131133006.0,67169584914.0,187000000000.0,17792977554.0,24220852487.0,200000000000.0,206000000000.0
 Colombia ,2008,43815313,5337,16195973389.0,12851478711.0,43859076074.0,192000000000.0,31832921683.0,57448976114.0,53082481924.0,160000000000.0,50999859345.0,37233104093.0,64965830813.0,78824062899.0,220000000000.0,19728503780.0,27412557802.0,234000000000.0,242000000000.0
 Colombia ,2009,44313917,5089,15546812569.0,13445578886.0,38170172446.0,187000000000.0,32080533131.0,51098667145.0,52640189628.0,155000000000.0,43531909200.0,34348568164.0,59171852524.0,79211644812.0,212000000000.0,19076977824.0,25997843871.0,225000000000.0,232000000000.0
 Colombia ,2010,44816108,6172,18124697323.0,15683385763.0,46826831270.0,228000000000.0,39431790428.0,62725115656.0,63177561531.0,189000000000.0,51362877690.0,40024341778.0,74215344714.0,98508369908.0,261000000000.0,22600698540.0,31912972193.0,277000000000.0,287000000000.0
 Colombia ,2011,45308899,7079,20403763143.0,18646861106.0,64565473515.0,261000000000.0,44712534602.0,77022325595.0,73417078205.0,216000000000.0,67638293555.0,44271550568.0,92896668672.0,111000000000.0,304000000000.0,24470014701.0,36475602137.0,321000000000.0,335000000000.0
 Colombia ,2012,45782417,7792,20707376396.0,22474868869.0,69774770559.0,293000000000.0,49983418285.0,81990837082.0,78370705301.0,243000000000.0,74273083424.0,48550948000.0,101000000000.0,126000000000.0,337000000000.0,26356006308.0,39986178113.0,357000000000.0,371000000000.0
 Colombia ,2013,46237930,7978,20606433196.0,25856367395.0,69111201874.0,304000000000.0,53868145549.0,84763079902.0,81550297828.0,250000000000.0,76041906976.0,48384904724.0,99277320573.0,133000000000.0,350000000000.0,28710627819.0,41869442608.0,369000000000.0,382000000000.0
 Colombia ,2014,46677947,7933,20759013598.0,27759279693.0,63397043406.0,306000000000.0,54284658204.0,91479535270.0,86412547545.0,251000000000.0,79472228067.0,46759859219.0,90331557572.0,136000000000.0,347000000000.0,29625617674.0,42316815856.0,370000000000.0,381000000000.0
 Colombia ,2015,47119728,6147,17551455570.0,21168680579.0,45930515099.0,244000000000.0,43469430771.0,69771448918.0,68610566966.0,201000000000.0,66651327931.0,36394360399.0,62736132279.0,107000000000.0,266000000000.0,23583811050.0,34547817727.0,290000000000.0,293000000000.0
 Colombia ,2016,47625955,5873,18684586309.0,21061701819.0,41623750984.0,236000000000.0,41126390314.0,65523257228.0,62597375107.0,195000000000.0,60766406796.0,34781194519.0,57250174914.0,103000000000.0,258000000000.0,22648082624.0,35570292092.0,280000000000.0,283000000000.0
 Colombia ,2017,48351671,6340,19928321051.0,21845763350.0,47235694654.0,260000000000.0,46410303340.0,67364942243.0,67757985726.0,214000000000.0,62805976678.0,35584666044.0,61785418946.0,115000000000.0,283000000000.0,24455436541.0,39879343751.0,307000000000.0,312000000000.0
 Colombia ,2018,49276961,6614,20806210847.0,22028593073.0,53136579845.0,279000000000.0,51538314238.0,70834901643.0,70951625105.0,228000000000.0,68961912989.0,37269293921.0,67855577567.0,124000000000.0,303000000000.0,26081773000.0,42279606236.0,326000000000.0,334000000000.0
 Colombia ,2019,50187406,6298,20713650574.0,19896479715.0,51271146742.0,273000000000.0,50964821971.0,69082789206.0,68730744320.0,222000000000.0,70084059728.0,35305987329.0,64091676635.0,122000000000.0,293000000000.0,24658077309.0,41680895386.0,316000000000.0,323000000000.0
 Colombia ,2020,50930662,5259,19977514284.0,13448163048.0,36465851526.0,237000000000.0,46402103212.0,52017480598.0,50055833437.0,191000000000.0,55177280626.0,29386816877.0,50850993393.0,109000000000.0,246000000000.0,18866239002.0,34265764638.0,268000000000.0,270000000000.0
 Colombia ,2021,51516562,6003,23361443597.0,14850023447.0,51599165400.0,277000000000.0,51326280507.0,62289659149.0,58108326467.0,226000000000.0,76863163971.0,36211359216.0,63788847763.0,118000000000.0,284000000000.0,21597154525.0,42756222380.0,309000000000.0,314000000000.0
