Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Comoros ,1970,242351,155,8955997.0,2776575.0,5192243.0,40638190.0,11450632.0,9462172.0,12441608.0,29187559.0,19342136.0,2502559.0,3238990.0,11735450.0,36357881.0,1747520.0,7903349.0,37668864.0,37476996.0
 Comoros ,1971,249066,167,9904785.0,3071292.0,5734445.0,44943949.0,12663912.0,10473554.0,13767067.0,32280037.0,21395923.0,2767957.0,3582539.0,12978582.0,40210391.0,1932637.0,8740556.0,41660150.0,41447953.0
 Comoros ,1972,256187,192,11671901.0,3616389.0,6750031.0,52964760.0,14923885.0,12331806.0,16209044.0,38040876.0,25201119.0,3262034.0,4221110.0,15293723.0,47380225.0,2277352.0,10299749.0,49088592.0,48838558.0
 Comoros ,1973,263728,248,15575402.0,4830763.0,9064570.0,70668995.0,19912355.0,16441278.0,21632899.0,50756640.0,33639268.0,4351001.0,5632423.0,20409990.0,63233084.0,3039278.0,13745228.0,65513414.0,65179719.0
 Comoros ,1974,271719,272,17599982.0,5460474.0,10147742.0,79864853.0,22503864.0,18658457.0,24502442.0,57360989.0,38043857.0,4919924.0,6368084.0,23061296.0,71454792.0,3434060.0,15530897.0,74030323.0,73653248.0
 Comoros ,1975,280036,410,27335264.0,8449441.0,15755714.0,124058453.0,34955527.0,28808129.0,37861310.0,89102926.0,58935621.0,7641312.0,9881567.0,35814854.0,110934241.0,5332887.0,24120230.0,114934880.0,114349455.0
 Comoros ,1976,288810,392,26929233.0,8377745.0,15968520.0,122136717.0,34414105.0,28349888.0,37417820.0,87722611.0,58212784.0,7512456.0,9736277.0,35295816.0,109364877.0,5256332.0,23769474.0,113310711.0,112733559.0
 Comoros ,1977,298152,420,29799252.0,9254399.0,16698510.0,135272731.0,38118405.0,31998017.0,41778554.0,97154326.0,64575980.0,8347168.0,10799972.0,39037382.0,120994773.0,5812921.0,26290847.0,125349366.0,124710895.0
 Comoros ,1978,307938,528,38705681.0,11830698.0,22287579.0,175734223.0,49511965.0,40065537.0,52785435.0,126222258.0,82806428.0,10819689.0,13953883.0,50701412.0,156887050.0,7548217.0,34147160.0,162553810.0,161725836.0
 Comoros ,1979,318123,683,51526305.0,16339734.0,33126577.0,233241138.0,65720018.0,54069948.0,72279599.0,167521120.0,112262536.0,14285919.0,18637923.0,67609432.0,209709871.0,10072756.0,45523720.0,217286415.0,216179659.0
 Comoros ,1980,328328,792,61888925.0,19119198.0,28632391.0,281684114.0,79394238.0,70355495.0,89088748.0,202289876.0,135105424.0,17547886.0,22592091.0,80949948.0,251128772.0,12050152.0,54528458.0,260099395.0,258774570.0
 Comoros ,1981,337986,710,57576567.0,16757714.0,35806441.0,261550819.0,73654519.0,52965418.0,71958469.0,187896300.0,118433526.0,15995975.0,20428959.0,75405277.0,232176457.0,11219135.0,50788804.0,239973941.0,239427532.0
 Comoros ,1982,347053,650,52821217.0,18596021.0,44766423.0,236907333.0,66771402.0,57721679.0,80380023.0,170135931.0,121423993.0,14277206.0,19300303.0,69664981.0,217658174.0,10401920.0,46873732.0,225566288.0,224378828.0
 Comoros ,1983,356137,653,57457913.0,19950136.0,58926470.0,239353695.0,66070434.0,57964605.0,75419095.0,173283261.0,126079632.0,14446262.0,19571591.0,70315138.0,225157943.0,10440374.0,47422791.0,232607122.0,233660995.0
 Comoros ,1984,365664,612,54845938.0,26816828.0,25834901.0,226181147.0,63441465.0,83000792.0,91083621.0,162739682.0,125718329.0,1421066.0,8571837.0,66780805.0,211903667.0,9920966.0,44967293.0,223901731.0,225217490.0
 Comoros ,1985,375650,632,60922404.0,19549591.0,51861967.0,237848811.0,65668838.0,64480089.0,81964192.0,172179973.0,120699558.0,15252036.0,20865996.0,70805904.0,230321368.0,10684598.0,47492874.0,237429302.0,239886040.0
 Comoros ,1986,386068,874,89551658.0,26151854.0,71189840.0,341581326.0,93567074.0,65826019.0,85960941.0,248014252.0,141988309.0,21621474.0,27345496.0,99955184.0,325484821.0,14590905.0,67889725.0,337553537.0,340451641.0
 Comoros ,1987,396887,1031,109900991.0,22563851.0,80783828.0,414490410.0,111698884.0,84553503.0,90436690.0,302791526.0,175265541.0,25535972.0,32233304.0,125050269.0,392156775.0,18607577.0,83800782.0,409227114.0,411576590.0
 Comoros ,1988,408070,1054,120647646.0,19182229.0,100659466.0,438114161.0,117316919.0,77239524.0,91787796.0,320797242.0,182518239.0,26795639.0,33564914.0,132448415.0,414562049.0,20915553.0,87803292.0,430113472.0,434714142.0
 Comoros ,1989,419584,999,119725136.0,13529596.0,79784616.0,433970726.0,114348705.0,64286164.0,72462472.0,319622021.0,164437048.0,24751302.0,31105451.0,127985164.0,396462613.0,21620211.0,82497056.0,419238612.0,416394646.0
 Comoros ,1990,431119,1183,148765121.0,14983981.0,76826944.0,532346442.0,130659351.0,83839813.0,75300207.0,401687092.0,191538922.0,31038942.0,39144493.0,157961138.0,490285580.0,27833245.0,101597601.0,509892592.0,510762203.0
 Comoros ,1991,442277,1158,151414168.0,13327681.0,102919781.0,539807867.0,129321020.0,68101894.0,76079134.0,410486847.0,196509910.0,28794541.0,36492466.0,160143103.0,492928966.0,28957492.0,102594056.0,512283187.0,514318237.0
 Comoros ,1992,452990,1242,162685354.0,20281746.0,100063572.0,572913777.0,114203206.0,113833424.0,127841535.0,458710572.0,232135383.0,33064107.0,41950797.0,162078054.0,534015936.0,33015931.0,114004054.0,562736983.0,554675616.0
 Comoros ,1993,463318,1194,159453579.0,21382921.0,109674017.0,540634945.0,109513426.0,106018020.0,107755013.0,431121519.0,207117423.0,33105231.0,42153320.0,151734800.0,525630158.0,32103994.0,118801543.0,553007241.0,549210045.0
 Comoros ,1994,473478,820,107012812.0,14914089.0,77698235.0,412211798.0,90976228.0,80061120.0,94676562.0,321235569.0,182889934.0,21209784.0,27418862.0,105515361.0,350028183.0,21538598.0,73628460.0,388021934.0,387081141.0
 Comoros ,1995,483760,1003,146682157.0,18758195.0,95496702.0,509051809.0,107644766.0,94017264.0,94017264.0,401407042.0,215352044.0,26960560.0,35078326.0,133109179.0,459228960.0,34856861.0,90744241.0,485334456.0,483213731.0
 Comoros ,1996,494288,973,145794505.0,18644302.0,88015971.0,497756989.0,91245724.0,93266924.0,93266924.0,406511265.0,198744397.0,26788984.0,34862910.0,132309681.0,456454547.0,34647254.0,90195895.0,481061220.0,480295487.0
 Comoros ,1997,505033,876,134165759.0,17157241.0,80181395.0,481817669.0,77868470.0,70033697.0,70033697.0,403949199.0,190139092.0,24661049.0,32082967.0,121745469.0,420034691.0,31882038.0,83001218.0,442399936.0,441914506.0
 Comoros ,1998,515959,868,136243538.0,17363844.0,53655430.0,469938214.0,70491774.0,80576911.0,80576911.0,399446440.0,155361119.0,25037472.0,32585526.0,123637448.0,426493080.0,32375628.0,84287097.0,448062692.0,448830273.0
 Comoros ,1999,526443,882,140788203.0,18003418.0,61262037.0,490450535.0,68013364.0,69388634.0,69388634.0,422437172.0,157280904.0,25864506.0,33670300.0,127766684.0,440787066.0,33459120.0,87099342.0,464219128.0,463799465.0
 Comoros ,2000,536758,787,151636493.0,14053001.0,70618939.0,446030804.0,49510357.0,42592243.0,42592243.0,396520447.0,137278717.0,25582520.0,33164633.0,123513385.0,409741955.0,23884721.0,63489721.0,422648568.0,421942431.0
