Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Curaçao ,2005,147263,16186,12902804.0,127612705.0,1394972067.0,1876902823.0,376870508.0,840974270.0,583712512.0,1500032315.0,1768212291.0,137034702.0,235027309.0,1320567685.0,2204341970.0,178431636.0,329799831.0,2383575417.0,2344637262.0
 Curaçao ,2006,149664,16732,12804907.0,118397735.0,1557877095.0,2017865359.0,391942880.0,876531994.0,610186727.0,1625922479.0,1994692737.0,184053570.0,276596407.0,1330961814.0,2277723565.0,207321813.0,331640889.0,2504118023.0,2457581712.0
 Curaçao ,2007,152119,17378,15444574.0,139353739.0,1578435754.0,2166018213.0,432322908.0,1059209934.0,680161555.0,1733695305.0,2209832402.0,188271357.0,285969055.0,1400275802.0,2386416964.0,202565217.0,342808575.0,2643496304.0,2593831498.0
 Curaçao ,2008,154587,18284,17036463.0,163860356.0,1968324022.0,2294639692.0,453729875.0,1326713553.0,788319768.0,1840909817.0,2756201117.0,183126899.0,267728692.0,1449240929.0,2606744010.0,270604189.0,438273380.0,2826437043.0,2833476151.0
 Curaçao ,2009,157010,17966,12289823.0,154142176.0,1741117318.0,2430976564.0,472062214.0,1107676098.0,776520822.0,1958914350.0,2410614525.0,211570379.0,332280028.0,1486059332.0,2637381535.0,246897566.0,405712608.0,2820831433.0,2869153199.0
 Curaçao ,2010,159380,18475,12163280.0,167320166.0,1648547486.0,2532848389.0,478211473.0,1387041865.0,857934980.0,2054636917.0,2617094972.0,175836028.0,277181828.0,1554636757.0,2732976162.0,305346135.0,416327996.0,2944582992.0,2951342768.0
 Curaçao ,2011,161677,18712,9720670.0,147150838.0,2083123422.0,2417297920.0,451869813.0,1257623111.0,720789273.0,1965428107.0,2824915962.0,232234637.0,280167598.0,1582625698.0,2705642458.0,291731844.0,394245810.0,3025347670.0,2933128492.0
 Curaçao ,2012,163948,19325,6145251.0,134581006.0,2289118393.0,2508001033.0,462221945.0,1250440751.0,711422665.0,2045779088.0,3023035038.0,241061453.0,312905028.0,1638938547.0,2789553073.0,290446927.0,406536313.0,3168224601.0,3024525140.0
 Curaçao ,2013,166136,19225,7486034.0,146759777.0,2096417206.0,2442800862.0,428163323.0,1200089155.0,741062461.0,2014637539.0,2699363088.0,257988827.0,347318436.0,1600167598.0,2778882682.0,296927374.0,380223464.0,3193945792.0,3039944134.0
 Curaçao ,2014,168025,19206,6871508.0,125195531.0,2202231935.0,2509360640.0,479710334.0,938034864.0,749660277.0,2029650306.0,2601191685.0,261117318.0,403296089.0,1539217877.0,2780893855.0,337206704.0,369106145.0,3227121116.0,3048435754.0
 Curaçao ,2015,169572,19129,6871508.0,110670391.0,1902411908.0,2481908239.0,473776771.0,1017030533.0,666840612.0,2008131468.0,2358613250.0,277206704.0,423016760.0,1509497207.0,2762011173.0,329441341.0,382513966.0,3243793436.0,3042737430.0
 Curaçao ,2016,170739,18743,5642458.0,116089385.0,1729049197.0,2475993953.0,475566555.0,1042894346.0,700300122.0,2000427397.0,2233188893.0,292178771.0,427206704.0,1509273743.0,2715754190.0,286033520.0,371508380.0,3200204156.0,3014748603.0
 Curaçao ,2017,171524,18809,5586592.0,121564246.0,1658962917.0,2646432428.0,506457018.0,1062026257.0,750409612.0,2139975409.0,2357924396.0,277430168.0,369217877.0,1571843575.0,2703910615.0,244581006.0,391117318.0,3226134517.0,3009497207.0
 Curaçao ,2018,184722,17501,4657285.0,119950556.0,1922988339.0,2647138687.0,506778054.0,1087218360.0,736846198.0,2140360633.0,2636951181.0,267636097.0,429475127.0,1520564753.0,2726344987.0,218057430.0,433639836.0,3232779546.0,3020394205.0
 Curaçao ,2019,193107,16748,5054853.0,110884050.0,1764841853.0,2454215655.0,470295778.0,1008749189.0,691066922.0,1983919877.0,2232615397.0,220147380.0,391743973.0,1554396170.0,2684311843.0,207591704.0,414641094.0,3234089147.0,2995191301.0
 Curaçao ,2020,189288,14327,5044541.0,107161673.0,1074047884.0,2179036940.0,417245028.0,888322960.0,612680134.0,1761791911.0,1645233048.0,102617298.0,268043277.0,1367905887.0,2251043349.0,163665302.0,339222670.0,2711899441.0,2496174736.0
 Curaçao ,2021,190338,15409,5246814.0,110452876.0,1490339596.0,2311549767.0,442696952.0,947224151.0,648024013.0,1868852815.0,2049501071.0,105058769.0,274983838.0,1417738280.0,2393721955.0,178715013.0,406585134.0,2932918666.0,2699612444.0
