Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Cyprus ,1970,640804,975,92081073.0,45517139.0,330752000.0,516128565.0,45401192.0,201473021.0,193448543.0,470727374.0,392466345.0,59963854.0,99705544.0,195365796.0,581095347.0,75649620.0,72776175.0,624792696.0,616073732.0
 Cyprus ,1971,644413,1133,121176051.0,54098533.0,386702123.0,594554059.0,54373305.0,228822299.0,215390313.0,540180755.0,439580721.0,71326775.0,106995589.0,220847788.0,679506124.0,89921095.0,86467068.0,730250768.0,721234556.0
 Cyprus ,1972,647620,1370,136701966.0,67291138.0,482259079.0,720253326.0,67584483.0,277534931.0,264941090.0,652668844.0,541627184.0,96812259.0,132599334.0,273040973.0,824182660.0,105418556.0,109130694.0,887530534.0,877439595.0
 Cyprus ,1973,650705,1666,125167672.0,121216721.0,603319951.0,870329581.0,89594017.0,433266850.0,407504521.0,780735564.0,764772017.0,121232688.0,168842083.0,318947437.0,979020693.0,94620965.0,150225816.0,1084069059.0,1067917209.0
 Cyprus ,1974,520500,1855,147577881.0,93545704.0,509424580.0,862713351.0,103502964.0,334019914.0,331734212.0,759210387.0,735524055.0,103167427.0,141331258.0,298174144.0,869529932.0,70279629.0,118621316.0,965507881.0,946160270.0
 Cyprus ,1975,502200,1629,116713518.0,60231733.0,396621338.0,753586933.0,106593754.0,238686749.0,207014877.0,646993179.0,600235426.0,97739270.0,124115883.0,270783876.0,736799999.0,72928988.0,92026001.0,817865134.0,789183202.0
 Cyprus ,1976,497900,1875,139159596.0,74086323.0,649171505.0,772694908.0,114355955.0,293415806.0,252721897.0,658338953.0,774149224.0,128175240.0,157243316.0,281886361.0,878164766.0,109363190.0,116425980.0,933662281.0,912338783.0
 Cyprus ,1977,497500,2398,147349781.0,118150998.0,795251956.0,964440868.0,124995346.0,491094748.0,450530957.0,839445522.0,1067621696.0,168313343.0,201838416.0,339726585.0,1098705374.0,137298490.0,154341105.0,1193172638.0,1162791345.0
 Cyprus ,1978,499600,3111,159274825.0,184205512.0,920911643.0,1230965007.0,152808770.0,685290332.0,673225418.0,1078156237.0,1296749473.0,226462351.0,267048231.0,437990851.0,1430329497.0,182919509.0,198890568.0,1554208821.0,1521276896.0
 Cyprus ,1979,503200,4028,195767004.0,264584431.0,1273723173.0,1492475724.0,195972445.0,934399992.0,913867459.0,1296503279.0,1721969663.0,285550260.0,332374555.0,578207359.0,1867983518.0,225118253.0,271931916.0,2026760162.0,1992982638.0
 Cyprus ,1980,508600,4830,222134738.0,335719424.0,1563668911.0,1794185106.0,253659045.0,1105778257.0,1086753901.0,1540526061.0,2064094492.0,345149939.0,399007280.0,713122903.0,2278129996.0,280767151.0,327378501.0,2456435031.0,2415750838.0
 Cyprus ,1981,515000,4585,207024558.0,288655877.0,1675800160.0,1718681749.0,262030628.0,954393147.0,966098975.0,1456651121.0,2000373947.0,334232290.0,389358943.0,732994268.0,2224172011.0,279920997.0,326217369.0,2361186876.0,2331450490.0
 Cyprus ,1982,520800,4698,214983216.0,280948414.0,1761324694.0,1802425593.0,276016119.0,928622421.0,945850097.0,1526409474.0,2104857910.0,335304515.0,387495755.0,767972756.0,2291690721.0,291577011.0,348713569.0,2446468554.0,2418151587.0
 Cyprus ,1983,527600,4595,183437912.0,272049369.0,1745575202.0,1839402952.0,282702405.0,882593876.0,885459609.0,1556700547.0,2098546739.0,325913661.0,379714297.0,768955399.0,2272158209.0,312977208.0,355024024.0,2424099269.0,2420915904.0
 Cyprus ,1984,534800,4768,218673519.0,269245983.0,1993212349.0,1827703949.0,277765163.0,1036913860.0,1034565226.0,1549938785.0,2317944813.0,334095250.0,391304110.0,790867339.0,2399643224.0,335825979.0,393726294.0,2550093803.0,2549455365.0
 Cyprus ,1985,541100,5009,194942725.0,280521735.0,1892051575.0,1949154322.0,294802375.0,996892180.0,970863135.0,1654351947.0,2163478345.0,345818183.0,407258360.0,846335785.0,2551112969.0,369920333.0,452134030.0,2710339019.0,2711449628.0
 Cyprus ,1986,547500,6299,243542942.0,349265373.0,2232461506.0,2409058031.0,384288484.0,1087594192.0,1093648270.0,2024769548.0,2285485618.0,423990024.0,504304916.0,1108769433.0,3285282312.0,492975821.0,586423827.0,3448971869.0,3464825994.0
 Cyprus ,1987,553500,7469,295838583.0,408608637.0,2807211075.0,2893297032.0,532337617.0,1282832941.0,1281847171.0,2360959414.0,2826971886.0,519676152.0,608152040.0,1315862474.0,3920513594.0,572145147.0,719906713.0,4134183153.0,4151750014.0
 Cyprus ,1988,559300,8524,330140412.0,468857054.0,3297888886.0,3396402630.0,617146376.0,1594694426.0,1552133720.0,2779256255.0,3478069612.0,604303794.0,706018955.0,1520217981.0,4492698667.0,639743690.0,827720574.0,4767262354.0,4789093144.0
