Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 D.P.R. of Korea ,1970,12966372,427,1392855760.0,401384093.0,265084861.0,5071149761.0,,,,,408902026.0,1317090760.0,1988079389.0,1145007467.0,4927326709.0,228088509.0,56738942.0,5536461399.0,4927332597.0
 D.P.R. of Korea ,1971,13299027,460,1537712759.0,443128038.0,292653687.0,5598549337.0,,,,,451427837.0,1454068200.0,2194839646.0,1264088244.0,5439768687.0,228088509.0,56738942.0,6112253385.0,5439775187.0
 D.P.R. of Korea ,1972,13633401,495,1697634886.0,489213354.0,323089671.0,6180798468.0,,,,,498376332.0,1605291292.0,2423102969.0,1395553421.0,6005504630.0,228088509.0,56738942.0,6747927737.0,6005511807.0
 D.P.R. of Korea ,1973,13944451,534,1874188914.0,540091543.0,356690996.0,6823601508.0,,,,,550207470.0,1772241587.0,2675105678.0,1540690977.0,6630077112.0,228088509.0,56738942.0,7449712221.0,6630085035.0
 D.P.R. of Korea ,1974,14211510,579,2069104561.0,596261063.0,393786860.0,7533256065.0,,,,,607429047.0,1956554712.0,2953316668.0,1700922839.0,7319605132.0,228088509.0,56738942.0,8224482293.0,7319613878.0
 D.P.R. of Korea ,1975,14459003,628,2284291435.0,658272214.0,434740693.0,8316714696.0,,,,,670601668.0,2160036402.0,3260461602.0,1877818814.0,8080844065.0,228088509.0,56738942.0,9079828451.0,8080853721.0
 D.P.R. of Korea ,1976,14687188,644,2377947384.0,685261375.0,452565062.0,8657699998.0,,,,,698096336.0,2248597894.0,3394140528.0,1954809385.0,8412158672.0,228088509.0,56738942.0,9452101417.0,8412168724.0
 D.P.R. of Korea ,1977,14898340,660,2475443227.0,713357091.0,471120230.0,9012665698.0,,,,,726718286.0,2340790408.0,3533300289.0,2034956570.0,8757057177.0,228088509.0,56738942.0,9839637575.0,8757067642.0
 D.P.R. of Korea ,1978,15106455,678,2576936399.0,742604732.0,490436159.0,9382184992.0,,,,,756513736.0,2436762814.0,3678165601.0,2118389789.0,9116096522.0,228088509.0,56738942.0,10243062716.0,9116107415.0
 D.P.R. of Korea ,1979,15320080,696,2682590791.0,773051526.0,510544041.0,9766854577.0,,,,,787530799.0,2536670090.0,3828970391.0,2205243770.0,9489856479.0,228088509.0,56738942.0,10663028288.0,9489867819.0
 D.P.R. of Korea ,1980,15540103,714,2792577014.0,804746639.0,531476347.0,10167295614.0,,,,,819819562.0,2640673564.0,3985958177.0,2295658765.0,9878940595.0,228088509.0,56738942.0,11100212447.0,9878952400.0
 D.P.R. of Korea ,1981,15766242,730,2895902363.0,834522264.0,551140972.0,10543485552.0,,,,,850152886.0,2738378486.0,4133438630.0,2380598140.0,10244461397.0,228088509.0,56738942.0,11510920308.0,10244473639.0
 D.P.R. of Korea ,1982,15996992,904,3637576195.0,1048252994.0,692294500.0,13243793209.0,,,,,1067886797.0,3439708644.0,5192059702.0,2990296645.0,12868185536.0,228088509.0,56738942.0,14458999109.0,12868200913.0
 D.P.R. of Korea ,1983,16229809,890,3633881740.0,1047188350.0,691591380.0,13230342330.0,,,,,1066802212.0,3436215150.0,5186786456.0,2987259591.0,12855116137.0,228088509.0,56738942.0,14444314022.0,12855131499.0
 D.P.R. of Korea ,1984,16466530,836,3463196355.0,998001348.0,659106961.0,12608906018.0,,,,,1016693937.0,3274814272.0,4943160301.0,2846946397.0,12251304402.0,228088509.0,56738942.0,13765856805.0,12251319042.0
 D.P.R. of Korea ,1985,16708907,812,3413279969.0,983616770.0,649606997.0,12427168986.0,,,,,1002039934.0,3227613109.0,4871912622.0,2805912259.0,12074721620.0,228088509.0,56738942.0,13567444194.0,12074736049.0
 D.P.R. of Korea ,1986,16957525,905,3859677682.0,1112256752.0,745317749.0,14064866539.0,,,,,1156282569.0,3649728823.0,5509074141.0,3172876829.0,13653885403.0,228088509.0,56738942.0,15341830154.0,13653901719.0
