Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Denmark ,1970,4922963,3415,786266666.0,1294133332.0,4636162796.0,12992117189.0,3579366930.0,4567032129.0,4340669730.0,9412750259.0,5119854662.0,2882266664.0,3209466664.0,5643066662.0,14986666654.0,1316399999.0,2737333331.0,16810092652.0,17075457585.0
 Denmark ,1971,4951486,3784,869876920.0,1469095542.0,5119631932.0,14526673234.0,4268946570.0,4945503983.0,4742050409.0,10257726664.0,5506175611.0,3176666629.0,3535793834.0,6629781759.0,16838851198.0,1374432465.0,2959870678.0,18736842113.0,19085633673.0
 Denmark ,1972,4981078,4587,1111911886.0,1841626545.0,6134831441.0,17122548703.0,5211720668.0,6204739285.0,6036008275.0,11910828036.0,6229711470.0,3759807655.0,4178987068.0,8126295847.0,20450861302.0,1648225539.0,3543814418.0,22847285398.0,23232407815.0
 Denmark ,1973,5008581,6109,1621456319.0,2215224399.0,8596329120.0,22850227957.0,6748558560.0,8462310275.0,7949446402.0,16101669397.0,9178240683.0,5025869907.0,5545416978.0,10820728988.0,27281924130.0,2181337301.0,4897760146.0,30599735686.0,30730626668.0
 Denmark ,1974,5033573,6716,1761472707.0,2281251539.0,10472333428.0,26103005796.0,8078001773.0,9201323075.0,8550523882.0,18025004023.0,11616217495.0,5676221104.0,6297724328.0,12445815356.0,30510262684.0,2410704032.0,5313294723.0,33804669155.0,34160444804.0
 Denmark ,1975,5058203,7963,1786587542.0,2535262742.0,11887532002.0,31767979087.0,9955303118.0,9095230199.0,9113021938.0,21812675969.0,12275982878.0,6738250830.0,7539482959.0,15183905748.0,36216249147.0,2846949697.0,6324060459.0,40279214264.0,40474758410.0
 Denmark ,1976,5078773,8750,1915459407.0,2673934351.0,12587223049.0,35267205518.0,10740323656.0,11328542067.0,10873524760.0,24526881861.0,14607262669.0,7128010224.0,7944549445.0,16870401697.0,39517289017.0,2991716329.0,7121227788.0,44437266520.0,44575708131.0
 Denmark ,1977,5094599,9787,2321764950.0,2880301174.0,14117670186.0,39409901795.0,11849320322.0,12150479955.0,11772128550.0,27560581473.0,15893644633.0,7946106447.0,8818642307.0,18722540652.0,43850507307.0,3378036406.0,7729221818.0,49859667102.0,49784407636.0
 Denmark ,1978,5108930,11855,2842441690.0,3312645919.0,16550303605.0,47735499159.0,14766516130.0,13965067981.0,14002633364.0,32968983028.0,17888212892.0,9264093208.0,10436249067.0,23089149312.0,52701860970.0,4058480858.0,8962894124.0,60568918115.0,60362658215.0
 Denmark ,1979,5119418,13675,2795878445.0,3450892186.0,20570323535.0,55775454293.0,17528903134.0,16267404453.0,15856144590.0,38246551158.0,22246382618.0,10726942970.0,12061490700.0,27429223135.0,60777519950.0,4906140359.0,10133895126.0,70009113879.0,70366799282.0
 Denmark ,1980,5125392,13650,2898007284.0,3875838555.0,23118304754.0,57133397771.0,18683326806.0,14313849359.0,14655628092.0,38450070965.0,23438549197.0,11387271872.0,12682707565.0,28009871174.0,61516073190.0,4838233186.0,9211415426.0,69963566941.0,71127002865.0
 Denmark ,1981,5126981,11718,2679070290.0,2851881835.0,22322956049.0,50479914327.0,16875791131.0,10527725936.0,10738712548.0,33604123196.0,21452492645.0,9606693466.0,10858208433.0,24952948282.0,53498579799.0,4248552885.0,7907918074.0,60076760903.0,61878103527.0
 Denmark ,1982,5126398,11359,2810700745.0,2572355242.0,21672188565.0,48825438605.0,16728809584.0,11038181566.0,10889870897.0,32096629021.0,21123265911.0,9213745871.0,10849280874.0,24423933362.0,52574745501.0,4119200755.0,7799274523.0,58229280497.0,60412542586.0
 Denmark ,1983,5124332,11440,2444726121.0,2467689510.0,21784427945.0,48167856582.0,16363509391.0,11136978329.0,11073846943.0,31804347191.0,20444425302.0,9421113015.0,11058511992.0,24281596760.0,52522519162.0,4214109909.0,8055884870.0,58620646097.0,60644837444.0
 Denmark ,1984,5121314,11104,2750422235.0,2496670800.0,21450909446.0,45936900221.0,14853493887.0,12177291436.0,11326892262.0,31083406334.0,20459816495.0,9453496204.0,10877806486.0,22969043066.0,51129948642.0,4322271404.0,7713734651.0,56865144536.0,59105284415.0
 Denmark ,1985,5119452,11766,2643824510.0,2603810889.0,22827245030.0,48325623393.0,15407707278.0,13847398871.0,13045963980.0,32917916115.0,22341649729.0,9968015842.0,11691527069.0,23935883835.0,53965634529.0,4509082101.0,8581506126.0,60234119415.0,62658617565.0
 Denmark ,1986,5119369,16649,3415032562.0,3780624336.0,28448705361.0,67304980581.0,20726329591.0,20949174834.0,20047935245.0,46578650990.0,28624009830.0,13771859445.0,16174778741.0,32931191995.0,74790585003.0,6289834682.0,12199122687.0,85234398751.0,88078850822.0
 Denmark ,1987,5121510,20763,3776433352.0,5373727824.0,34688434112.0,83071009675.0,26586010687.0,24094989901.0,24667570117.0,56484998989.0,32440276206.0,16488271742.0,19600993131.0,42076560783.0,93498741530.0,8156493730.0,14514532709.0,106000000000.0,109000000000.0
 Denmark ,1988,5126107,21835,3653704027.0,5804776778.0,38843768537.0,87203494899.0,28542624442.0,24332151630.0,24328524220.0,58660870457.0,34826997746.0,17045617449.0,20273117904.0,45808787756.0,98944889902.0,9226883953.0,14177619484.0,112000000000.0,116000000000.0
 Denmark ,1989,5133930,21123,3935747092.0,5285646376.0,39815432599.0,84174251232.0,27383539108.0,23969365439.0,23540775973.0,56790712124.0,35549442524.0,16621489910.0,20259569709.0,45064995024.0,96994668390.0,9212775344.0,13235934844.0,108000000000.0,112000000000.0
 Denmark ,1990,5144623,25957,4544677207.0,6002205683.0,50354362877.0,102000000000.0,33050467651.0,28753394153.0,28480516868.0,68763124637.0,42673132542.0,20550989932.0,25287311127.0,55513413867.0,120000000000.0,11564728996.0,17103014030.0,134000000000.0,138000000000.0
 Denmark ,1991,5158325,26029,4218115494.0,5781324301.0,52463653246.0,103000000000.0,33759599257.0,27304395167.0,27529068091.0,69503959509.0,43806010983.0,20392691268.0,25405308927.0,56417157932.0,121000000000.0,11435234342.0,17843624402.0,134000000000.0,139000000000.0
 Denmark ,1992,5175469,28623,4269123722.0,6301882000.0,56508725067.0,113000000000.0,36948864394.0,28961406806.0,28890057487.0,76443023624.0,45947209693.0,22596253672.0,28096960527.0,62235371430.0,133000000000.0,12898489099.0,19439100086.0,148000000000.0,153000000000.0
 Denmark ,1993,5193775,26888,3855063929.0,5462728611.0,52360901648.0,108000000000.0,36229783926.0,24884183033.0,26086921955.0,71301813005.0,41581919736.0,20504664924.0,25506871016.0,60547452699.0,125000000000.0,12104832877.0,17665341555.0,140000000000.0,143000000000.0
 Denmark ,1994,5213800,29288,4061754601.0,5980613317.0,57549183496.0,118000000000.0,38110448072.0,29256403965.0,28800677143.0,79546737220.0,48299198261.0,22564237746.0,27787212378.0,65080675654.0,135000000000.0,13100750433.0,19462148330.0,153000000000.0,156000000000.0
 Denmark ,1995,5235197,34702,5276163050.0,7355641366.0,67735042988.0,138000000000.0,44498254190.0,38271531436.0,36294764891.0,93525597337.0,59022441171.0,27227778736.0,33517263537.0,75560566665.0,160000000000.0,15152881818.0,23313718607.0,182000000000.0,185000000000.0
 Denmark ,1996,5256007,35000,5239993182.0,8016491133.0,69550741477.0,139000000000.0,45229757275.0,37646171149.0,37072029485.0,94130722065.0,58924129291.0,26600402448.0,33803431418.0,75176010138.0,162000000000.0,15604435843.0,23663522939.0,184000000000.0,188000000000.0
