Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Djibouti ,1970,144379,452,3143365.0,2613509.0,27890817.0,69702901.0,18069870.0,6997268.0,6997268.0,51633030.0,33226382.0,4438645.0,6645404.0,13440316.0,63276957.0,5349368.0,32084994.0,65243426.0,71364603.0
 Djibouti ,1971,154225,478,3609985.0,2700703.0,31752254.0,78487249.0,20334705.0,7868607.0,7868607.0,58152545.0,37454631.0,4650457.0,7197351.0,15023509.0,71484942.0,5813071.0,37140322.0,73736529.0,80653479.0
 Djibouti ,1972,165234,537,4244659.0,3699338.0,37289845.0,95747130.0,24802359.0,9312397.0,9312397.0,70944771.0,45370652.0,6258906.0,9226237.0,18354219.0,85998554.0,7418327.0,43055774.0,88692431.0,96978720.0
 Djibouti ,1973,177327,625,4981913.0,5838319.0,47764717.0,117479568.0,30498278.0,12183183.0,12183183.0,86981290.0,56277544.0,7691491.0,11458891.0,24169945.0,107449678.0,9862104.0,51138506.0,110815902.0,121149924.0
 Djibouti ,1974,191389,729,5808393.0,9343546.0,61342921.0,146755789.0,37951146.0,14653006.0,14653006.0,108804643.0,70265515.0,9451296.0,14185773.0,32017506.0,134991927.0,13134962.0,60501747.0,139471348.0,152486200.0
 Djibouti ,1975,208582,741,6223122.0,12443544.0,60464035.0,174409831.0,45158064.0,15483262.0,15483262.0,129251767.0,80990537.0,10368068.0,15784879.0,36841686.0,150422038.0,15554459.0,63574349.0,154629958.0,169366591.0
 Djibouti ,1976,229304,806,6635964.0,18907495.0,85611717.0,185357949.0,48457976.0,23081122.0,23081122.0,136899972.0,91896850.0,11760217.0,18112736.0,46034916.0,179376663.0,19090901.0,70594652.0,184829030.0,202153938.0
 Djibouti ,1977,253083,786,9849418.0,13817986.0,92842151.0,204815413.0,52329213.0,18005751.0,18005751.0,152486200.0,97906269.0,14735068.0,21213251.0,60488859.0,186748014.0,19468696.0,61909804.0,198970847.0,217757046.0
 Djibouti ,1978,278425,781,17450767.0,7604183.0,51715200.0,294483404.0,76075181.0,19580414.0,19580414.0,218408222.0,127017138.0,19321285.0,27025377.0,75076041.0,203847604.0,20331476.0,56359761.0,217419470.0,238761880.0
 Djibouti ,1979,302856,855,9924268.0,12682822.0,114320767.0,269007178.0,97162160.0,35194640.0,35194640.0,171845018.0,154513267.0,21665808.0,29658543.0,97898765.0,227643329.0,23629986.0,53848945.0,258883306.0,264009318.0
 Djibouti ,1980,324121,831,10405200.0,15602414.0,119428509.0,304198009.0,108064136.0,45829044.0,45829044.0,196133873.0,168269997.0,24316500.0,31770329.0,110821843.0,250521885.0,27343271.0,54578829.0,269411043.0,301185566.0
