Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Dominica ,1970,68895,339,8084500.0,816221.0,8168454.0,22031162.0,6203410.0,6689716.0,5870175.0,15827752.0,13761129.0,333561.0,572997.0,8137397.0,19726640.0,216897.0,1898627.0,23373160.0,23044578.0
 Dominica ,1971,69430,379,8083053.0,878538.0,8312434.0,24803117.0,7357436.0,9723158.0,8381300.0,17445681.0,17054770.0,332173.0,592443.0,9504916.0,21590252.0,262802.0,2268501.0,26321190.0,25752039.0
 Dominica ,1972,69870,401,9711678.0,980502.0,9812530.0,26465403.0,7451978.0,8036164.0,7051673.0,19013425.0,16530851.0,400698.0,688325.0,9775223.0,23697047.0,260552.0,2280766.0,28038712.0,27682791.0
 Dominica ,1973,70334,455,12330932.0,1167812.0,12279381.0,30175286.0,8035344.0,6456143.0,5851310.0,22139942.0,16918985.0,510407.0,849828.0,10721107.0,27782496.0,274089.0,2438727.0,31987742.0,31800423.0
 Dominica ,1974,70822,574,8803619.0,1445510.0,14383584.0,42489354.0,6667851.0,5031888.0,4128498.0,35821504.0,20545716.0,1565466.0,2896019.0,16404727.0,36388246.0,2048302.0,4790069.0,40616427.0,40084999.0
 Dominica ,1975,71300,603,8460140.0,1643736.0,14265330.0,41630885.0,7681034.0,7176424.0,7176424.0,33949850.0,21006802.0,1558066.0,2947228.0,18182197.0,38466345.0,2192713.0,5040331.0,42963978.0,42238052.0
 Dominica ,1976,71748,586,8722518.0,1582766.0,14028971.0,40179529.0,6937193.0,6271588.0,6271588.0,33242335.0,19322400.0,1706869.0,3080422.0,17030170.0,37748631.0,2120810.0,5211945.0,42014310.0,41189845.0
 Dominica ,1977,72142,641,11322222.0,1414815.0,15000000.0,47400380.0,7214573.0,6970397.0,6970397.0,40185808.0,22185185.0,1781481.0,3311111.0,17607407.0,41111111.0,2288889.0,5166667.0,46238079.0,45874074.0
 Dominica ,1978,72478,788,14759259.0,1388889.0,19296296.0,59450593.0,9577507.0,9079987.0,9079987.0,49873086.0,29296296.0,2514815.0,4392593.0,21477778.0,51437037.0,2659259.0,6759259.0,57148082.0,57129630.0
 Dominica ,1979,72768,772,12414815.0,2007407.0,12407407.0,73898343.0,15446732.0,13636184.0,10395646.0,58451611.0,40296296.0,2111111.0,3585185.0,24685185.0,50292593.0,3303704.0,4296296.0,56164393.0,55018519.0
 Dominica ,1980,72978,1034,15625926.0,4811111.0,13000000.0,93358161.0,16593899.0,26300206.0,24031829.0,76764262.0,54703704.0,2914815.0,5174074.0,30729630.0,67470370.0,4318519.0,6811111.0,75485170.0,72803704.0
 Dominica ,1981,72932,1164,17137037.0,3792593.0,22888889.0,96217529.0,17329457.0,19660344.0,19660344.0,78888072.0,52111111.0,4303704.0,7192593.0,33388889.0,73081481.0,4614815.0,6955556.0,84912580.0,82107407.0
 Dominica ,1982,72626,1264,17562963.0,3562963.0,29703704.0,92005994.0,18198407.0,19475633.0,19475633.0,73807586.0,50111111.0,5629630.0,8644444.0,35633333.0,78625926.0,5981481.0,7240741.0,91817228.0,89525926.0
 Dominica ,1983,72269,1412,18511111.0,3274074.0,32888889.0,95326712.0,19921063.0,19627938.0,19627938.0,75405649.0,48407407.0,5937037.0,8977778.0,38785185.0,86129630.0,9070370.0,7511111.0,102077714.0,98666667.0
 Dominica ,1984,71936,1570,19944444.0,4470370.0,32000000.0,112742978.0,22954766.0,28960687.0,28960687.0,89788212.0,61444444.0,5196296.0,8637037.0,43588889.0,95155556.0,10603704.0,7911111.0,112907703.0,109155556.0
