Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Dominican Republic ,1970,4475871,385,322433458.0,68127939.0,515436252.0,1564930601.0,179877775.0,396101714.0,291467215.0,1385052826.0,687161343.0,624907199.0,699843077.0,301209301.0,1863061860.0,162834271.0,308613814.0,1722622192.0,1859112944.0
 Dominican Republic ,1971,4599841,420,346258591.0,94273324.0,588552064.0,1780647994.0,176844952.0,414631973.0,348124933.0,1603803042.0,772750164.0,694795151.0,776202574.0,340831617.0,2090325389.0,178295016.0,354464267.0,1932816091.0,2085635628.0
 Dominican Republic ,1972,4724801,485,382136437.0,119950154.0,827437329.0,1950083050.0,185838841.0,545737043.0,505770885.0,1764244209.0,833454128.0,788054721.0,896776579.0,451162011.0,2486757952.0,205244939.0,431487833.0,2290181120.0,2487244070.0
 Dominican Republic ,1973,4851183,552,486967020.0,144127607.0,1033289556.0,2253265545.0,202467077.0,721844171.0,590046277.0,2050798468.0,1064393126.0,905139730.0,1036483615.0,503957616.0,2910088249.0,239003263.0,499549129.0,2676697130.0,2934532502.0
 Dominican Republic ,1974,4978582,672,605532090.0,185641606.0,1469365948.0,2908185480.0,304850996.0,951730850.0,762864170.0,2603334484.0,1728743353.0,1236199863.0,1323672784.0,629142789.0,3679185911.0,279002622.0,656194019.0,3346815575.0,3661532645.0
 Dominican Republic ,1975,5106453,806,722041660.0,232871979.0,2032538971.0,3270185780.0,232272406.0,1228988118.0,951446660.0,3037913374.0,1903691427.0,1706582080.0,1875646483.0,766977216.0,4667612057.0,308931221.0,761143499.0,4114536690.0,4504297143.0
 Dominican Republic ,1976,5235318,863,703261850.0,240087730.0,1692741801.0,3911208503.0,158857174.0,1228430817.0,924895763.0,3752351329.0,1894642389.0,1848853980.0,2029093023.0,908917947.0,5096254953.0,338150611.0,876743791.0,4517457502.0,4945328043.0
 Dominican Republic ,1977,5365074,982,859947133.0,286662126.0,1848843049.0,4567235910.0,198074713.0,1392555973.0,1113241189.0,4369161196.0,2090516363.0,1975696073.0,2176008648.0,1097926601.0,5844162880.0,401270167.0,1022348205.0,5268065692.0,5740785592.0
 Dominican Republic ,1978,5495443,988,828086857.0,326957881.0,1667765601.0,4737767669.0,283516656.0,1574654089.0,1223119233.0,4454251012.0,2175539618.0,1996117877.0,2214891672.0,1227500171.0,6006411415.0,457155797.0,951819037.0,5427392902.0,5925132503.0
 Dominican Republic ,1979,5625864,1114,959358665.0,392461910.0,2285926546.0,5349924741.0,438818107.0,1942472775.0,1582030468.0,4911106635.0,2798226565.0,2107076345.0,2347464928.0,1365362814.0,6686379923.0,503396192.0,1118335414.0,6268168492.0,6881784092.0
